unit,month,statinfo\time	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2014 
PH,M01,CMEAN	8.12 	8.13 	: 	8.12 	8.13 	8.15 	: 	8.11 	8.11 	8.11 	8.09 	: 	8.09 	8.10 	8.10 	8.10 	: 	8.11 	: 	8.10 	8.10 	: 	8.09 	8.09 	8.08 
PH,M01,MMEAN	: 	: 	: 	: 	8.12 	: 	: 	8.10 	8.12 	8.11 	: 	: 	: 	: 	: 	8.10 	: 	8.10 	: 	8.10 	8.10 	: 	8.09 	8.08 	8.08 
PH,M07,CMEAN	8.10 	8.11 	8.11 	8.10 	: 	8.09 	8.09 	8.09 	8.09 	8.08 	8.09 	8.09 	8.09 	8.09 	8.08 	8.07 	8.07 	8.08 	8.06 	8.06 	8.06 	8.07 	8.07 	8.06 	8.06 
PH,M07,MMEAN	: 	: 	: 	8.09 	: 	8.10 	8.09 	8.08 	8.09 	: 	: 	: 	: 	: 	8.07 	8.08 	8.08 	8.08 	8.08 	8.06 	8.06 	8.06 	8.07 	8.06 	8.06 
