unit,sex,age,citizen,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,Y20-64,NEU28_FOR,AT	57.3 	58.3 b	58.1 	57.3 	59.1 	60.0 	59.1 	57.4 	56.2 	55.9 	55.3 	56.8 
PC,T,Y20-64,NEU28_FOR,BE	36.3 	40.3 	42.1 	40.9 	40.3 	39.6 b	38.9 	39.9 	40.5 	42.7 	41.7 	41.6 b
PC,T,Y20-64,NEU28_FOR,BG	55.7 u	62.2 u	: bu	46.0 u	48.0 bu	: bu	: u	49.4 u	56.5 u	: u	55.1 u	56.0 u
PC,T,Y20-64,NEU28_FOR,CH	66.2 	67.3 	68.8 	66.6 	63.4 b	65.2 	65.2 	64.1 	64.1 	64.1 	64.9 	64.9 
PC,T,Y20-64,NEU28_FOR,CY	79.7 	78.0 	74.0 	69.5 b	73.5 	75.1 	75.0 	74.3 	77.5 	75.2 	65.9 	66.0 
PC,T,Y20-64,NEU28_FOR,CZ	75.2 	75.7 	75.0 	71.9 	74.4 	73.1 b	77.2 	79.1 	78.6 	76.0 	78.0 	78.8 
PC,T,Y20-64,NEU28_FOR,DE	49.5 	51.8 	53.2 	53.9 	54.8 b	57.0 b	58.2 	57.9 	57.7 	57.0 	54.2 	54.9 
PC,T,Y20-64,NEU28_FOR,DK	61.3 	55.6 	59.3 	60.9 	56.2 	55.4 	54.5 	58.0 	56.2 	56.4 	61.3 b	60.6 b
PC,T,Y20-64,NEU28_FOR,EA18	60.1 	61.4 	62.2 	58.1 	57.7 	57.2 	55.8 	54.6 	55.3 	55.6 	55.4 	56.4 
PC,T,Y20-64,NEU28_FOR,EA19	60.1 	61.4 	62.3 	58.1 	57.7 	57.2 	55.8 	54.6 	55.3 	55.6 	55.4 	56.4 
PC,T,Y20-64,NEU28_FOR,EE	71.8 	74.0 	75.2 	64.5 	57.9 	64.1 	64.4 	67.0 	66.7 	70.1 	68.2 	71.8 
PC,T,Y20-64,NEU28_FOR,EL	74.3 	73.8 	74.5 	72.2 b	68.8 	62.5 	51.9 	49.4 	54.1 	55.1 	56.3 	56.5 
PC,T,Y20-64,NEU28_FOR,ES	74.9 	73.7 	69.9 	59.6 	59.5 	56.5 	52.3 	50.0 	51.8 	55.0 	57.4 	59.4 
PC,T,Y20-64,NEU28_FOR,EU27	60.7 	61.7 	62.6 	58.8 	58.4 	57.8 	56.6 	55.7 	56.4 	56.7 	56.6 	57.4 
PC,T,Y20-64,NEU28_FOR,EU28	60.7 	61.7 	62.6 	58.7 	58.4 	57.8 	56.5 	55.7 	56.4 	56.7 	56.5 	57.4 
PC,T,Y20-64,NEU28_FOR,FI	51.5 	53.0 	55.1 b	55.4 	49.4 	50.6 	51.6 	53.0 	50.0 	48.1 	46.5 	49.9 
PC,T,Y20-64,NEU28_FOR,FR	47.3 	48.3 	52.4 	48.3 	48.3 	47.4 	48.2 	48.1 	47.3 b	46.6 	46.3 	47.3 
PC,T,Y20-64,NEU28_FOR,HR	: bu	47.2 u	42.1 u	32.0 u	31.3 u	39.2 u	28.9 u	34.3 u	37.1 u	39.9 u	34.5 u	40.9 u
PC,T,Y20-64,NEU28_FOR,HU	67.0 	71.1 	75.4 	64.7 	51.4 	52.3 	61.4 	64.2 	72.6 	71.4 	66.0 	65.8 
PC,T,Y20-64,NEU28_FOR,IE	64.6 	69.3 b	68.8 	61.9 	58.2 	59.4 	56.8 	56.6 	57.0 	57.5 	61.5 	63.8 b
PC,T,Y20-64,NEU28_FOR,IS	86.6 	89.0 	75.6 	75.4 	62.1 	70.5 	78.6 	80.8 	83.4 	75.4 	80.1 	87.9 
PC,T,Y20-64,NEU28_FOR,IT	71.2 	70.6 	70.3 	66.9 	65.1 	64.8 	63.1 	60.3 	60.6 	60.7 	61.5 	62.6 
PC,T,Y20-64,NEU28_FOR,LT	75.6 u	68.8 u	77.6 u	57.2 u	58.1 u	56.0 u	63.9 u	70.8 u	72.9 u	70.8 u	70.7 u	69.8 u
PC,T,Y20-64,NEU28_FOR,LU	51.5 	59.5 b	39.9 	58.1 b	59.1 	58.8 	59.2 	61.5 	57.0 	57.4 b	53.9 	59.0 
PC,T,Y20-64,NEU28_FOR,LV	79.5 	67.0 	71.8 b	58.8 	54.8 	59.2 	59.1 	60.2 	62.8 	64.0 	63.9 	65.1 
PC,T,Y20-64,NEU28_FOR,ME	: 	: 	: 	: 	: 	51.3 	41.4 	44.7 	47.3 	53.8 	48.7 	57.2 
PC,T,Y20-64,NEU28_FOR,MK	24.6 u	16.4 u	19.4 u	20.8 u	: u	: u	15.8 u	: u	: u	: u	: u	26.8 u
PC,T,Y20-64,NEU28_FOR,MT	51.4 	58.4 	60.1 	59.5 	61.7 	62.6 	78.7 	83.5 	79.3 	70.7 	74.5 	71.8 
PC,T,Y20-64,NEU28_FOR,NL	48.8 	51.8 	58.2 	55.7 	52.8 b	51.9 b	52.8 	50.1 	50.5 	49.7 	50.3 	50.7 
PC,T,Y20-64,NEU28_FOR,NO	57.7 b	64.9 	68.6 	61.4 	59.1 	63.1 	61.7 	62.1 	59.8 	58.5 	57.9 	57.7 
PC,T,Y20-64,NEU28_FOR,PL	54.2 	64.3 	66.0 	64.3 	64.0 b	60.5 	65.2 	62.0 	65.4 	62.3 	62.4 	70.5 
PC,T,Y20-64,NEU28_FOR,PT	76.6 	76.7 	78.0 	71.1 	69.2 	66.2 b	62.2 	58.7 	64.3 	63.5 	68.0 	71.6 
PC,T,Y20-64,NEU28_FOR,RO	74.4 	68.8 	63.0 	65.4 u	: bu	: u	: u	: u	: u	: u	: u	: u
PC,T,Y20-64,NEU28_FOR,SE	51.0 	53.8 	53.5 	49.7 	47.8 	47.0 	47.7 	50.1 	51.5 	50.7 	51.6 	52.9 
PC,T,Y20-64,NEU28_FOR,SI	54.7 u	62.8 	69.7 	55.9 	61.2 	68.2 	63.0 	60.1 	58.1 	71.3 	70.8 	72.8 
PC,T,Y20-64,NEU28_FOR,SK	: u	: u	: u	: u	: u	: bu	: u	: u	: u	78.8 u	65.5 u	72.9 u
PC,T,Y20-64,NEU28_FOR,UK	64.8 	63.7 b	64.9 b	63.0 	63.4 	62.3 	61.5 	61.8 	62.7 	63.4 	63.6 	63.6 
