unit,incgrp,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,TOTAL,F,AT	15.5 	14.6 	14.8 b	13.4 	12.0 	11.7 	13.3 	14.3 	14.9 	14.8 	15.0 	15.2 
PC,TOTAL,TOTAL,F,BE	3.6 	3.5 	4.0 	3.8 	4.0 	1.9 	1.4 	1.8 	1.8 	1.3 	3.6 	5.1 
PC,TOTAL,TOTAL,F,BG	48.7 	51.7 	48.5 	46.9 	47.5 	48.1 	45.1 	44.9 	43.6 	41.9 	42.8 b	41.9 
PC,TOTAL,TOTAL,F,CH	: 	7.1 	7.7 	7.4 	5.4 	6.0 	5.6 	6.3 	6.3 b	6.1 	6.5 	: 
PC,TOTAL,TOTAL,F,CY	1.7 	1.5 	3.3 b	2.7 	3.4 	2.8 	2.8 	2.2 	1.9 	1.3 	2.5 	2.8 
PC,TOTAL,TOTAL,F,CZ	34.3 	33.3 	30.3 	26.9 	22.4 	21.2 	21.1 	21.6 	20.6 	19.5 	18.6 	16.1 
PC,TOTAL,TOTAL,F,DE	7.4 	6.8 	6.9 	6.8 	6.7 	6.5 	6.7 	6.6 	6.3 	6.7 	7.0 	7.1 
PC,TOTAL,TOTAL,F,DK	6.7 	7.1 	7.1 	7.4 	6.6 	7.0 	7.1 	7.9 	8.3 	7.8 	8.2 	8.0 
PC,TOTAL,TOTAL,F,EA18	12.5 	12.5 	12.2 	11.8 	11.7 	11.2 	11.5 	11.6 	11.6 	11.8 	12.0 	12.0 e
PC,TOTAL,TOTAL,F,EA19	13.0 	12.9 	12.6 	12.1 	12.1 	11.3 	11.6 	11.8 	11.7 	11.9 	12.1 	12.1 e
PC,TOTAL,TOTAL,F,EE	46.4 	44.0 	41.9 	41.4 	40.3 	14.6 	14.5 	21.4 	14.3 b	13.2 	13.1 	13.3 
PC,TOTAL,TOTAL,F,EL	29.2 	28.9 	26.5 	24.6 	24.8 	25.4 	26.3 	27.0 	27.0 	27.6 	28.1 	28.3 
PC,TOTAL,TOTAL,F,ES	6.3 	5.7 	5.3 	4.9 	4.8 	6.4 b	5.6 	5.0 	5.3 	5.3 	5.5 	5.3 
PC,TOTAL,TOTAL,F,EU27	19.0 e	18.7 	18.1 	17.5 	17.3 	16.5 	16.6 	16.6 	16.3 	16.3 	16.2 	17.4 e
PC,TOTAL,TOTAL,F,EU28	: 	: 	: 	: 	17.5 	16.8 	16.8 	16.9 	16.5 	16.6 	16.4 	17.4 e
PC,TOTAL,TOTAL,F,FI	5.7 	5.9 	5.5 	5.8 	5.9 	6.4 	5.4 	6.6 	6.6 	6.6 	6.4 	5.7 
PC,TOTAL,TOTAL,F,FR	7.7 	9.8 	9.1 	9.1 	8.7 	7.5 	7.8 	7.3 	7.1 	7.2 	7.6 	7.6 
PC,TOTAL,TOTAL,F,HR	: 	: 	: 	: 	43.4 	44.1 	44.5 	43.1 	42.2 	41.7 	40.9 	: 
PC,TOTAL,TOTAL,F,HU	50.5 	46.7 	47.6 	46.4 	46.8 	45.1 	44.9 	43.2 	41.2 	40.8 	40.3 	40.6 
PC,TOTAL,TOTAL,F,IE	6.5 	5.1 	4.6 	3.4 	3.5 	3.2 	3.3 	2.7 	3.6 	3.6 	3.5 	: 
PC,TOTAL,TOTAL,F,IS	9.2 	11.0 	6.4 	7.1 	7.2 	7.7 	7.8 	9.1 	7.7 	8.4 	7.2 p	: 
PC,TOTAL,TOTAL,F,IT	24.2 	23.7 	23.7 	23.0 	23.8 	24.0 	25.6 	26.5 	26.8 	27.3 	27.0 	26.6 
PC,TOTAL,TOTAL,F,LT	52.6 	52.3 	48.9 	48.0 	45.1 	19.1 b	18.7 	28.3 b	28.3 	25.7 	23.2 	23.5 
PC,TOTAL,TOTAL,F,LU	7.7 	7.6 	7.6 	6.2 	7.2 	6.4 	6.7 	5.8 	5.8 	6.4 	8.4 b	8.8 
PC,TOTAL,TOTAL,F,LV	60.7 	60.6 	58.2 	56.8 	55.9 	43.9 	36.2 	37.3 	38.9 	41.5 	43.6 	42.1 
PC,TOTAL,TOTAL,F,MK	: 	: 	: 	: 	: 	55.0 	52.5 	50.5 	46.4 b	51.5 	50.0 	: 
PC,TOTAL,TOTAL,F,MT	3.7 	4.3 	3.8 	3.9 	4.2 	4.5 	3.9 	3.5 	3.9 	3.4 	2.8 	2.6 
PC,TOTAL,TOTAL,F,NL	1.6 	1.9 	1.7 	1.8 	1.7 	1.8 	2.5 	2.6 	3.7 	3.4 	3.8 b	3.8 
PC,TOTAL,TOTAL,F,NO	5.5 	5.0 	5.4 	5.0 	5.5 	5.1 	5.4 	5.7 	4.2 	5.3 	4.9 	4.9 
PC,TOTAL,TOTAL,F,PL	53.3 	51.5 	50.2 	48.5 	47.0 	46.6 	46.0 	44.4 	43.7 	42.9 	40.3 	40.0 
PC,TOTAL,TOTAL,F,PT	15.2 	15.3 	15.4 	14.1 	14.4 	10.6 	10.0 	11.2 	10.1 	10.2 	10.3 	9.4 
PC,TOTAL,TOTAL,F,RO	: 	55.6 	54.0 	52.8 	51.3 	50.6 	50.7 	49.5 	48.5 	49.3 	47.8 	46.7 
PC,TOTAL,TOTAL,F,RS	: 	: 	: 	: 	: 	: 	: 	54.6 	50.6 	54.0 	56.0 	: 
PC,TOTAL,TOTAL,F,SE	10.5 	9.4 	10.5 b	11.5 	12.5 	12.9 	12.7 	12.6 	12.1 	13.6 	14.4 	14.0 
PC,TOTAL,TOTAL,F,SI	40.6 	40.4 	39.7 	38.1 	34.7 	16.8 b	16.5 	15.5 	14.4 	13.5 	12.4 	12.5 
PC,TOTAL,TOTAL,F,SK	45.5 	42.5 	42.0 	39.2 	39.9 	39.0 	38.2 	39.2 	38.6 	37.3 	37.4 	36.1 
PC,TOTAL,TOTAL,F,TR	51.3 	51.5 	50.5 	48.6 	47.6 	47.6 	46.2 	46.2 	47.0 	45.9 	: 	: 
PC,TOTAL,TOTAL,F,UK	6.4 	6.4 	6.6 	6.9 	7.0 	6.9 	6.9 b	7.9 	7.0 	7.3 	7.4 	: 
PC,TOTAL,TOTAL,M,AT	15.7 	15.8 	14.7 b	13.2 	12.0 	12.8 	14.6 	15.1 	15.6 	15.1 	15.3 	14.9 
PC,TOTAL,TOTAL,M,BE	3.6 	4.1 	4.2 	3.9 	4.4 	2.5 	1.7 	2.2 	2.3 	1.8 	3.9 	5.0 
PC,TOTAL,TOTAL,M,BG	47.7 	50.4 	47.6 	47.2 	47.2 	46.8 	43.9 	43.6 	42.9 	40.9 	42.1 b	41.8 
PC,TOTAL,TOTAL,M,CH	: 	8.4 	8.5 	7.8 	6.7 	6.2 	6.2 	7.2 	7.3 b	6.7 	7.4 	: 
PC,TOTAL,TOTAL,M,CY	2.0 	1.8 	3.3 b	2.5 	3.5 	3.0 	2.7 	2.5 	2.6 	1.6 	2.3 	2.9 
PC,TOTAL,TOTAL,M,CZ	33.3 	32.1 	29.3 	26.4 	22.5 	20.9 	21.0 	20.4 	19.2 	17.8 	17.1 	15.8 
PC,TOTAL,TOTAL,M,DE	7.7 	6.2 	7.1 	7.2 	7.5 	7.0 	6.6 	6.9 	6.9 	7.2 	7.5 	7.4 
PC,TOTAL,TOTAL,M,DK	7.5 	7.6 	7.5 	8.1 	8.0 	7.9 	7.4 	7.9 	8.0 	8.4 	8.2 	9.2 
PC,TOTAL,TOTAL,M,EA18	12.9 	12.7 	12.7 	12.2 	12.3 	11.8 	11.8 	12.0 	11.9 	12.2 	12.4 	12.3 e
PC,TOTAL,TOTAL,M,EA19	13.3 	13.1 	13.0 	12.5 	12.6 	11.8 	11.9 	12.2 	12.1 	12.4 	12.5 	12.4 e
PC,TOTAL,TOTAL,M,EE	45.3 	42.9 	41.5 	40.9 	39.0 	14.1 	13.4 	20.7 	14.2 b	13.5 	13.7 	13.6 
PC,TOTAL,TOTAL,M,EL	29.5 	29.4 	27.0 	25.5 	26.2 	26.3 	26.8 	27.6 	27.8 	28.6 	29.3 	30.0 
PC,TOTAL,TOTAL,M,ES	6.8 	5.8 	5.9 	5.6 	5.3 	6.7 b	5.6 	5.3 	5.3 	5.6 	5.3 	4.9 
PC,TOTAL,TOTAL,M,EU27	19.2 e	18.8 	18.4 	17.9 	17.8 	17.0 	16.8 	17.0 	16.7 	16.6 	16.6 	17.6 e
PC,TOTAL,TOTAL,M,EU28	: 	: 	: 	: 	18.0 	17.2 	17.1 	17.2 	16.9 	16.8 	16.8 	17.6 e
PC,TOTAL,TOTAL,M,FI	6.9 	6.4 	6.0 	5.9 	6.2 	6.6 	6.7 	7.3 	7.6 	6.8 	6.9 	6.5 
PC,TOTAL,TOTAL,M,FR	8.6 	10.5 	10.4 	10.1 	9.8 	8.5 	8.4 	7.5 	7.1 	7.6 	7.8 	7.8 
PC,TOTAL,TOTAL,M,HR	: 	: 	: 	: 	44.0 	45.1 	44.4 	42.4 	42.1 	41.7 	41.3 	: 
PC,TOTAL,TOTAL,M,HU	52.0 	48.2 	49.1 	47.2 	47.6 	45.9 	45.7 	44.8 	42.8 	41.5 	40.5 	40.4 
PC,TOTAL,TOTAL,M,IE	5.9 	4.8 	4.7 	3.9 	3.2 	2.0 	3.1 	2.8 	3.5 	3.3 	2.8 	: 
PC,TOTAL,TOTAL,M,IS	8.2 	10.3 	6.2 	7.5 	7.1 	7.5 	8.0 	9.1 	8.3 	8.1 	7.5 p	: 
PC,TOTAL,TOTAL,M,IT	25.1 	24.9 	24.9 	23.7 	24.7 	25.1 	26.7 	27.8 	27.7 	28.4 	28.6 	27.7 
PC,TOTAL,TOTAL,M,LT	54.4 	52.7 	47.9 	48.2 	46.1 	19.9 b	19.4 	27.6 b	28.3 	27.1 	24.2 	23.9 
PC,TOTAL,TOTAL,M,LU	7.6 	7.8 	8.3 	6.7 	8.5 	7.1 	7.3 	6.5 	7.6 	7.2 	7.9 b	7.9 
PC,TOTAL,TOTAL,M,LV	58.8 	59.3 	56.4 	55.6 	55.4 	43.4 	36.9 	38.2 	40.8 	41.4 	42.7 	41.7 
PC,TOTAL,TOTAL,M,MK	: 	: 	: 	: 	: 	55.3 	52.3 	50.4 	46.1 b	50.7 	50.1 	: 
