unit,incgrp,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,TOTAL,F,AT	5.7 	6.1 	9.7 bu	9.4 u	8.3 u	8.8 u	7.7 	7.7 	7.0 	6.8 	7.4 	7.5 
PC,TOTAL,TOTAL,F,BE	10.6 	10.7 	13.4 	9.2 	9.4 	11.3 	11.9 	10.2 	11.0 	10.4 	10.1 	9.9 
PC,TOTAL,TOTAL,F,BG	16.0 	22.2 	14.2 	8.1 	7.0 	9.6 	16.0 	15.8 	13.9 	16.5 	22.1 b	20.3 
PC,TOTAL,TOTAL,F,CH	: 	: 	: 	15.1 	16.0 	15.0 	13.7 	11.8 	13.1 b	13.5 	13.5 	: 
PC,TOTAL,TOTAL,F,CY	3.2 	2.1 	2.0 b	2.6 	3.0 	3.3 	3.3 	3.6 	4.4 	4.2 	3.4 	3.3 
PC,TOTAL,TOTAL,F,CZ	11.9 	11.5 	14.0 	10.3 	11.2 	11.1 	11.5 	13.1 	12.0 	11.8 	10.7 	10.0 
PC,TOTAL,TOTAL,F,DE	: 	: 	: 	: 	15.4 	17.5 	18.0 	18.0 	18.0 	17.3 	17.5 	15.7 
PC,TOTAL,TOTAL,F,DK	16.6 	14.5 	17.6 	25.0 	22.6 	18.8 b	17.3 	18.7 	16.1 	15.9 	15.6 	15.8 
PC,TOTAL,TOTAL,F,EA18	10.6 e	9.0 e	8.7 e	8.5 e	10.1 	11.3 	11.8 	12.0 	12.2 	12.0 	11.8 	10.8 e
PC,TOTAL,TOTAL,F,EA19	10.6 e	8.9 e	8.7 e	8.5 e	10.1 	11.3 	11.8 	11.9 	12.2 	11.9 	11.7 	10.8 e
PC,TOTAL,TOTAL,F,EE	7.7 	5.6 	3.7 	4.3 	5.9 	7.0 	8.1 	7.3 	8.2 b	6.2 	4.6 	4.5 
PC,TOTAL,TOTAL,F,EL	26.0 	17.0 	23.3 	23.2 	19.6 	25.6 	34.6 	38.5 	45.3 	46.1 	41.2 	40.4 
PC,TOTAL,TOTAL,F,ES	7.9 	8.4 	9.5 b	10.4 	10.0 	10.1 	10.8 	10.1 	10.9 	10.2 	10.4 	10.2 
PC,TOTAL,TOTAL,F,EU27	12.4 e	11.3 e	11.1 e	10.5 e	11.3 	12.1 	11.6 	11.8 	12.3 	12.0 	11.8 	10.8 e
PC,TOTAL,TOTAL,F,EU28	: 	: 	: 	: 	11.4 	12.0 	11.5 	11.7 	12.3 	12.0 	11.7 	10.8 e
PC,TOTAL,TOTAL,F,FI	4.2 	5.1 	5.0 	4.7 	4.6 	4.9 	4.8 	5.1 	5.3 	4.8 	4.4 	4.6 
PC,TOTAL,TOTAL,F,FR	6.8 	6.3 	4.7 	4.6 	5.6 	5.6 	5.3 	5.6 	5.6 	6.1 	5.7 	5.1 
PC,TOTAL,TOTAL,F,HR	: 	: 	: 	: 	15.1 	8.3 	7.2 	9.1 	7.8 	7.7 	7.2 	: 
PC,TOTAL,TOTAL,F,HU	12.7 	11.7 	12.5 	9.3 	12.0 	13.9 	15.7 	14.9 	13.2 	8.6 	9.6 	11.2 
PC,TOTAL,TOTAL,F,IE	2.5 	3.3 	3.3 	3.7 	5.4 	5.7 	6.3 	4.6 	6.5 	5.2 	4.7 	: 
