unit,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT	-201.0 	15.0 	41.0 	-175.0 	-195.0 	-442.0 	-509.0 	-458.0 	-119.0 	-168.0 	11.0 	-906.0 	27.0 	-162.0 	-125.0 	177.0 	-330.0 	-448.0 	-489.0 	-347.0 	-1796.0 	-372.0 	-253.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,BE	: 	: 	: 	: 	: 	: 	: 	: 	-943.0 	-388.2 	-722.0 	-206.0 	-1250.2 	-1858.0 	-650.0 	-863.0 	-416.0 	2322.0 	-409.0 	-914.0 	51.0 	410.0 	378.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1148.8 	542.6 	933.2 	578.1 	985.3 	1067.9 	917.8 	1876.8 	2782.0 	2094.4 	1035.9 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.0 	64.0 	57.0 	81.0 	36.0 	255.0 	147.0 	49.0 	36.0 	103.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,CZ	181.0 	17.0 	317.0 	67.0 	-73.0 	-197.0 	-332.0 	-120.0 	-83.0 	-14180.0 	24268.0 	11415.0 	21925.0 	26024.0 	51275.0 	37596.0 	12711.0 	53010.0 	82437.0 	32320.0 	101896.0 	53509.0 	46457.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,DE	-2249.0 	-2311.0 	-433.0 	-436.0 	-937.0 	5091.0 	-3259.0 	-4011.0 	5921.0 	-119.0 	-2333.0 	-1328.0 	-1596.0 	-892.0 	-1858.0 	1219.0 	419.0 	-413.0 	-564.0 	2938.0 	533.0 	3467.0 	-253.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2219.0 	47.0 	265.0 	428.0 	-278.0 	470.0 	5769.0 	453.0 	-590.0 	-4134.0 	-7119.0 	167.0 	1011.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,EE	-0.6 	-0.5 	-0.1 	1.5 	1.2 	28.2 	16.1 	40.6 	51.8 	70.6 	86.6 	292.6 	203.1 	206.0 	484.0 	512.0 	678.0 	606.8 	491.3 	215.3 	424.1 	225.4 	230.2 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2047.0 	3041.0 	4332.0 	4092.0 	2016.0 	2073.0 	2671.0 	2328.0 	3041.0 	2510.0 	1988.0 	1036.0 	914.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,ES	4245.0 	4715.0 	4223.0 	5296.0 	6203.0 	4681.0 	4779.0 	7058.0 	8311.0 	7752.0 	7328.0 	5614.0 	4256.0 	4669.0 	3332.0 	4894.0 	4055.0 	5178.0 	6575.0 	5049.0 	7069.0 	2542.0 	2685.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,FI	-29.0 	-72.9 	75.0 	68.0 	45.9 	110.9 	86.7 	127.0 	130.0 	145.0 	260.0 	: c	: c	: c	: c	: c	: c	: c	: c	: c	82.0 	110.0 	180.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,FR	: 	: 	: 	: 	1137.0 	1510.0 	-599.0 	130.0 	-7790.0 	1248.0 	26.0 	429.0 	1656.0 	360.0 	331.0 	145.0 	-157.0 	-3396.0 	60.0 	-1175.0 	-1023.0 	1431.0 	1133.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,HR	: 	: 	: 	: 	: 	54.0 	1149.0 	3847.0 	770.0 	234.0 	391.0 	-993.0 	216.0 	129.0 	435.0 	424.0 	256.0 	352.0 	480.0 	1281.0 	2440.0 	5025.0 	2300.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,HU	7540.4 	23878.6 	22124.3 	40543.9 	8235.4 	78430.3 	91298.4 	48978.2 	-6628.3 	18266.8 	149131.9 	154766.0 	177419.4 	308296.0 	449991.0 	493860.0 	661956.0 	726128.5 	1078198.7 	1214333.1 	1586113.9 	-10885.5 	372608.8 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,IE	: 	: 	: 	: 	: 	: 	: 	588.0 	446.0 	352.0 	340.0 	299.0 	115.0 	118.0 	14.0 	89.0 	235.0 	86.0 	-936.0 	-6769.0 	-1302.0 	-4331.0 	-28169.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,IT	1402.0 	: c	: c	2250.0 	2780.0 	3210.0 	1032.0 	-43.0 	2332.0 	1747.0 	1082.0 	1546.0 	1821.0 	-178.0 	218.0 	45.0 	1032.0 	3959.0 	-744.0 	2683.0 	3902.0 	-3123.0 	-1043.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	129.7 	204.0 	358.6 	611.4 	619.1 	1158.2 	1057.8 	1003.8 	964.1 	1088.9 	975.7 	1117.3 	568.7 	501.7 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,LU	: 	: 	: 	: 	: 	: 	: 	-107.0 	-113.0 	-538.0 	960.0 	-242.0 	-146.0 	-250.0 	-405.0 	-196.0 	-176.0 	-414.0 	-572.0 	-665.0 	-300.0 	-231.0 	-221.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,LV	: 	: 	: 	: 	: 	31.0 	36.0 	19.0 	60.0 	110.0 	171.0 	190.0 	411.0 	340.0 	451.0 	352.0 	428.0 	651.0 	574.0 	754.0 	674.0 	249.0 	215.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	69.1 	158.9 	193.7 	71.3 	23.4 	74.4 	128.9 	83.4 	136.5 	133.2 	142.8 	167.3 	44.0 	65.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	582.0 	428.0 	-1379.0 	-10421.0 	-391.0 	767.0 	-2816.0 	766.0 	-8747.0 	734.0 	-393.0 	-3382.0 	-1180.0 	-669.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	4259.0 	3155.0 	6482.0 	12783.0 	14241.0 	22097.0 	25705.0 	30618.0 	35711.0 	37857.0 	41990.0 	42510.0 	19536.0 	25015.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,PT	: 	1918.0 	2579.0 	2365.0 	2566.0 	1756.0 	2082.0 	2692.0 	3206.0 	2615.0 	2257.0 	1976.0 	2002.0 	2156.0 	2044.0 	2498.0 	2632.0 	3502.0 	2790.0 	2317.0 	2093.0 	1877.0 	1820.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,RO	: 	: 	: 	: 	71.0 	73.0 	280.0 	306.0 	711.0 	2072.0 	2105.0 	-207.0 	2596.0 	2105.0 	2542.0 	811.0 	3048.0 	8377.0 	13451.0 	17623.0 	17327.0 	19105.0 	10196.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,SE	-4510.0 	-10291.0 	-6725.0 	-778.0 	: c	-3862.0 	-2062.0 	: c	-130.0 	80.0 	2222.0 	-19822.0 	-3052.0 	-5377.0 	-4100.0 	-4935.0 	-8226.0 	-6146.0 	-9385.0 	-5685.0 	-8300.0 	-3481.0 	-5200.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,SI	-5.0 	-2.0 	2.0 	0.0 	1.0 	3.0 	-4.0 	-164.0 	-165.0 	-96.0 	-114.0 	-131.0 	-51.0 	-31.0 	9.0 	53.0 	-85.0 	40.7 	161.7 	78.6 	411.9 	-302.8 	-323.7 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	149.1 	-10.6 	-26.8 	460.0 	755.4 	487.3 	1033.7 	885.4 	1414.5 	1064.1 	729.8 	2790.2 	1630.7 	789.9 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,UK	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	-1181.0 	-1927.0 	-1978.0 	-1693.0 	-1721.0 
PC_GDP,KA,S1,S1,BAL,WRL_REST,NSA,AT	-0.1 	0.0 	0.0 	-0.1 	-0.1 	-0.2 	-0.2 	-0.2 	-0.1 	-0.1 	0.0 	-0.3 	0.0 	-0.1 	0.0 	0.1 	-0.1 	-0.1 	-0.2 	-0.1 	-0.5 	-0.1 	-0.1 
PC_GDP,KA,S1,S1,BAL,WRL_REST,NSA,BE	: 	: 	: 	: 	: 	: 	: 	: 	-0.3 	-0.1 	-0.2 	-0.1 	-0.4 	-0.5 	-0.2 	-0.2 	-0.1 	0.6 	-0.1 	-0.2 	0.0 	0.1 	0.1 
PC_GDP,KA,S1,S1,BAL,WRL_REST,NSA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.8 	0.7 	1.3 	0.8 	1.2 	1.3 	1.1 	2.2 	3.1 	2.2 	1.1 
PC_GDP,KA,S1,S1,BAL,WRL_REST,NSA,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 	0.3 	0.3 	0.4 	0.2 	1.4 	0.8 	0.3 	0.2 	0.5 
PC_GDP,KA,S1,S1,BAL,WRL_REST,NSA,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-0.5 	0.7 	0.3 	0.6 	0.6 	1.3 	0.9 	0.3 	1.3 	2.0 	0.7 	2.2 	1.1 	0.9 
PC_GDP,KA,S1,S1,BAL,WRL_REST,NSA,DE	-0.1 	-0.1 	0.0 	0.0 	0.0 	0.2 	-0.1 	-0.2 	0.3 	0.0 	-0.1 	-0.1 	-0.1 	0.0 	-0.1 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.1 	0.0 
