coicop,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
SERV,I15,AT	105.05 	105.08 	106.54 	106.25 	106.97 	106.79 	106.85 	106.79 	107.12 	108.16 	108.39 	107.63 
SERV,I15,BE	104.50 	103.97 	104.77 	104.34 	105.18 	104.98 	105.39 	105.54 	105.72 	107.12 	107.09 	105.87 
SERV,I15,BG	98.91 	98.82 	100.90 	101.20 	101.73 	101.69 	101.49 	101.56 	102.93 	105.92 	107.34 	104.67 
SERV,I15,CH	100.39 e	99.85 	100.29 e	99.84 e	100.06 	100.38 e	100.44 e	100.61 	100.59 e	101.65 e	101.37 	100.93 e
SERV,I15,CY	101.02 	98.24 	98.35 	96.62 	98.13 	98.64 	99.97 	101.07 	102.84 	104.85 	106.84 	103.20 
SERV,I15,CZ	104.7 	104.5 	104.7 	105.4 	106.0 	106.1 	106.3 	106.7 	107.2 	109.2 	109.3 	107.2 
SERV,I15,DE	102.2 	102.6 	104.2 	102.4 	103.3 	103.7 	102.7 	103.4 	103.8 	105.5 	105.0 	104.2 
SERV,I15,DK	104.2 	103.6 	103.4 	103.6 	104.5 	104.1 	104.5 	104.6 	105.1 	107.7 	106.6 	105.3 
SERV,I15,EA	102.45 	102.12 	102.99 	102.33 	102.92 	103.32 	103.31 	103.74 	103.98 	105.25 	105.39 	104.22 
SERV,I15,EA18	102.43 	102.11 	102.97 	102.32 	102.90 	103.30 	103.29 	103.72 	103.96 	105.22 	105.37 	104.20 
SERV,I15,EA19	102.45 	102.12 	102.99 	102.33 	102.92 	103.32 	103.31 	103.74 	103.98 	105.25 	105.39 	104.22 
SERV,I15,EE	105.27 	104.84 	104.46 	104.08 	105.35 	105.13 	106.62 	107.38 	109.76 	111.15 	112.03 	109.88 
SERV,I15,EL	103.10 	101.85 	101.76 	101.41 	102.08 	102.51 	103.22 	104.36 	105.09 	104.72 	104.59 	104.22 
SERV,I15,ES	102.78 	102.41 	102.78 	102.47 	103.25 	103.73 	103.80 	104.15 	104.53 	105.23 	105.50 	104.72 
SERV,I15,EU	103.04 	102.79 	103.58 	103.04 	103.50 	103.81 	103.96 	104.33 	104.65 	105.78 	105.98 r	104.94 
SERV,I15,EU28	103.04 	102.79 	103.58 	103.04 	103.50 	103.81 	103.96 	104.33 	104.65 	105.78 	105.98 r	104.94 
SERV,I15,FI	104.21 	104.21 	104.59 	103.95 	104.55 	104.49 	104.57 	104.45 	105.21 	106.07 	105.47 	105.31 
SERV,I15,FR	101.72 	101.53 	102.08 	102.21 	102.36 	102.91 	103.09 	103.23 	103.15 	104.52 	104.84 	102.97 
