nutrient,indic_ag,geo,unit\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
N,BAL_UAA,AT,KG	47 	46 	57 	50 	44 	44 	48 	42 	42 	36 	44 	40 	37 	38 	31 	19 	26 	31 	30 	21 	26 	28 	30 	41 	30 	41 	32 
N,BAL_UAA,BE,KG	272 e	264 e	253 e	242 e	244 e	254 e	241 e	232 e	233 e	225 e	190 e	180 e	169 e	152 e	146 e	146 e	152 e	145 e	124 e	129 e	142 e	143 e	143 e	138 e	132 e	132 e	: 
N,BAL_UAA,BG,KG	93 e	56 e	52 e	51 e	47 e	29 e	42 e	33 e	21 e	30 e	28 e	27 e	22 e	31 e	19 e	25 e	24 e	36 e	16 e	20 e	14 e	12 e	24 e	16 e	28 e	28 e	: 
N,BAL_UAA,CH,KG	81 	84 	78 	71 	73 	73 	69 	60 	67 	63 	61 	65 	64 	69 	59 	59 	64 	60 	64 	59 	65 	54 	57 	60 	57 	60 	: 
N,BAL_UAA,CY,KG	171 e	182 e	186 e	186 e	210 e	207 e	211 e	216 e	214 e	197 e	186 e	191 e	209 e	181 e	172 e	152 e	153 e	159 e	201 e	178 e	191 e	199 e	184 e	179 e	194 e	194 e	: 
N,BAL_UAA,CZ,KG	93 	47 	66 	48 	61 	56 	63 	54 	53 	47 	65 	71 	79 	77 	67 	71 	82 	86 	80 	56 	67 	79 	88 	76 	63 	98 	91 
N,BAL_UAA,DE,KG	139 	118 	114 	104 	102 	109 	106 	99 	97 	102 	110 	97 	101 	114 	84 	85 	94 	79 	84 	65 	78 	89 	75 	79 	66 	82 	: 
N,BAL_UAA,DK,KG	178 e	182 e	197 e	173 e	171 e	156 e	139 e	132 e	132 e	125 e	132 e	127 e	124 e	117 e	121 e	111 e	102 e	105 e	106 e	87 e	90 e	88 e	83 e	87 e	80 e	80 e	: 
N,BAL_UAA,EE,KG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36 	21 	32 	22 	36 	25 	31 	32 	28 	23 	22 	22 e	: 
N,BAL_UAA,EL,KG	117 e	100 e	101 e	88 e	79 e	90 e	92 e	87 e	89 e	86 e	82 e	79 e	84 e	83 e	79 e	72 e	79 e	88 e	69 e	65 e	71 e	52 e	50 e	56 e	59 e	59 e	: 
N,BAL_UAA,ES,KG	30 	29 	29 	24 	32 	34 	33 	30 	33 	39 	40 	40 	36 	39 	36 	38 	36 	34 	27 	31 	35 	29 	34 	29 	39 	39 	: 
N,BAL_UAA,EU,KG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	52 e	53 e	56 e	56 e	51 e	46 e	49 e	49 e	50 e	49 e	47 e	51 e	: 
N,BAL_UAA,FI,KG	82 	77 	67 	66 	69 	79 	71 	66 	74 	64 	55 	59 	55 	56 	53 	49 	56 	43 	51 	38 	57 	50 	48 	47 	48 	49 	47 
N,BAL_UAA,FR,KG	71 	59 	61 	51 	53 	55 	58 	53 	51 	55 	58 	59 	51 	64 	52 	51 	46 	52 	52 	39 	40 	52 	40 	45 	45 	42 	52 p
N,BAL_UAA,HR,KG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	122 e	123 e	109 e	121 e	110 e	110 e	112 e	120 e	117 e	63 e	81 e	94 e	88 e	51 e	58 e	65 	43 
N,BAL_UAA,HU,KG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40 	26 	44 	45 	22 	19 	27 	47 	20 	26 	38 	31 	42 	38 	27 	39 	28 p
N,BAL_UAA,IE,KG	53 	53 	53 	60 	67 	72 	74 	66 	81 	79 	64 	57 	58 	64 	59 	57 	55 	47 	27 	29 	34 	23 	29 	44 	40 	42 	: 
N,BAL_UAA,IT,KG	70 e	66 e	70 e	76 e	71 e	68 e	70 e	73 e	67 e	66 e	71 e	72 e	72 e	79 e	64 e	63 e	74 e	68 e	65 e	60 e	59 e	63 e	80 e	70 e	66 e	66 e	: 
N,BAL_UAA,LT,KG	93 e	100 e	51 e	28 e	29 e	26 e	31 e	30 e	32 e	36 e	31 e	33 e	36 e	42 e	40 e	35 e	50 e	28 e	34 e	35 e	44 e	40 e	29 e	31 e	25 e	25 e	: 
N,BAL_UAA,LU,KG	181 e	196 e	171 e	164 e	163 e	166 e	160 e	156 e	159 e	168 e	157 e	143 e	152 e	126 e	145 e	129 e	129 e	123 e	122 e	120 e	127 e	138 e	125 e	127 e	129 e	129 e	: 
N,BAL_UAA,LV,KG	99 e	89 e	53 e	26 e	23 e	9 e	8 e	11 e	7 e	12 e	11 e	22 e	14 e	20 e	16 e	16 e	21 e	20 e	17 e	22 e	29 e	28 e	24 e	28 e	28 e	28 e	: 
N,BAL_UAA,MT,KG	137 e	149 e	161 e	186 e	206 e	222 e	226 e	244 e	179 e	196 e	257 e	270 e	245 e	203 e	261 e	233 e	232 e	244 e	215 e	200 e	169 e	132 e	141 e	147 e	147 e	147 e	: 
N,BAL_UAA,NL,KG	332 	346 	322 	319 	324 	336 	312 	303 	320 	296 	258 	233 	200 	233 	213 	206 	213 	198 	175 	172 	173 	172 	169 	169 	160 	189 	199 p
N,BAL_UAA,NO,KG	99 	100 	115 	97 	106 	108 	106 	105 	103 	102 	98 	93 	98 	104 	101 	109 	110 	113 	104 	101 	96 	110 	103 	116 	105 	100 	106 
N,BAL_UAA,PL,KG	64 	38 	50 	29 	45 	33 	39 	43 	39 	40 	44 	40 	45 	51 	39 	45 	62 	52 	57 	48 	52 	53 	48 	55 	40 	48 	: 
N,BAL_UAA,PT,KG	: 	: 	: 	: 	: 	44 	47 	49 	51 	34 	39 	47 	36 	42 	39 	44 	28 	43 	33 	36 	41 	39 	43 	37 	42 	41 	42 p
N,BAL_UAA,RO,KG	54 e	27 e	26 e	25 e	17 e	15 e	19 e	9 e	12 e	8 e	13 e	7 e	12 e	14 e	0 e	12 e	13 e	32 e	14 e	18 e	-1 e	-11 e	16 e	4 e	-1 e	9 	4 
N,BAL_UAA,SE,KG	53 	56 	54 	53 	63 	58 	50 	54 	57 	51 	51 	54 	47 	47 	44 	44 	50 	45 	51 	30 	42 	42 	32 	35 	31 	32 	37 
N,BAL_UAA,SI,KG	: 	57 	110 	95 	59 	65 	65 	63 	66 	70 	86 	86 	68 	98 	53 	44 	69 	60 	45 	55 	46 	50 	57 	69 	43 	45 	42 
N,BAL_UAA,SK,KG	114 	76 	56 	42 	31 	36 	36 	34 	30 	26 	45 	35 	39 	48 	29 	34 	40 	50 	29 	29 	46 	32 	41 	41 	19 	38 	16 
N,BAL_UAA,UK,KG	136 	: 	: 	: 	: 	119 	: 	: 	: 	: 	107 	109 	102 	96 	96 	91 	87 	88 	82 	84 	90 	85 	87 	88 	85 	83 	87 
P,BAL_UAA,AT,KG	8 e	8 e	7 e	7 e	6 e	5 e	6 e	5 e	5 e	3 e	4 e	3 e	3 e	3 e	0 e	1 e	2 e	3 e	-2 e	0 e	1 e	0 e	2 e	4 e	2 e	2 e	: 
P,BAL_UAA,BE,KG	38 e	33 e	31 e	27 e	28 e	28 e	27 e	25 e	25 e	25 e	20 e	16 e	15 e	12 e	11 e	11 e	10 e	9 e	4 e	2 e	5 e	5 e	6 e	6 e	5 e	5 e	: 
P,BAL_UAA,BG,KG	1 e	1 e	1 e	1 e	-1 e	-2 e	1 e	-1 e	-2 e	-1 e	-1 e	-3 e	-3 e	0 e	-3 e	-2 e	-2 e	0 e	-4 e	-4 e	-5 e	-6 e	-4 e	-9 e	-6 e	-6 e	: 
P,BAL_UAA,CH,KG	12 	12 	11 	9 	8 	7 	5 	4 	5 	4 	3 	4 	4 	4 	3 	2 	4 	3 	3 	2 	3 	1 	2 	2 	1 	2 	: 
P,BAL_UAA,CY,KG	24 e	27 e	23 e	25 e	29 e	28 e	30 e	34 e	34 e	31 e	32 e	33 e	35 e	30 e	29 e	28 e	28 e	31 e	33 e	29 e	31 e	32 e	30 e	29 e	32 e	32 e	: 
P,BAL_UAA,CZ,KG	20 	1 	3 	3 	0 	3 	2 	2 	2 	0 	2 	1 	2 	4 	0 	0 	1 	2 	0 	-5 	-2 	-3 	-1 	-3 	-4 	-1 	-3 
P,BAL_UAA,DE,KG	19 	8 	8 	5 	6 	6 	5 	4 	3 	3 	4 	1 	2 	5 	-1 	0 	1 	0 	-1 	-5 	-1 	0 	-3 	-1 	-4 	-2 	: 
