indic_il,age,sex,tenure,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60,Y_GE65,T,OWN,UK	26.7 	27.2 	28.8 	23.5 	22.7 	23.2 	17.9 b	18.0 	19.1 	17.2 	17.6 	: 
LI_R_MD60,Y_GE65,T,RENT,AT	14.4 	15.3 	19.0 b	18.3 	18.0 	14.9 	15.7 	15.6 	15.5 	14.0 	15.1 	15.8 
LI_R_MD60,Y_GE65,T,RENT,BE	29.1 	26.2 	28.0 	28.4 	24.6 	25.3 	24.9 	24.0 	18.5 	21.9 	24.2 	22.0 
LI_R_MD60,Y_GE65,T,RENT,BG	14.1 u	6.1 u	: u	55.2 u	: u	38.8 u	42.3 u	41.0 u	40.3 u	: u	23.8 bu	35.1 u
LI_R_MD60,Y_GE65,T,RENT,CH	: 	28.2 	26.7 	32.1 	26.7 	26.9 	32.0 	28.8 	26.1 b	26.9 	26.3 	: 
LI_R_MD60,Y_GE65,T,RENT,CY	44.7 	46.3 	34.1 b	34.1 u	25.9 	26.0 	28.4 	19.9 	25.1 	20.8 	15.9 	20.0 
LI_R_MD60,Y_GE65,T,RENT,CZ	9.8 	7.9 	10.0 	10.2 	11.0 	10.3 	7.3 	6.5 	7.9 	10.2 	13.7 	19.8 
LI_R_MD60,Y_GE65,T,RENT,DE	13.1 	18.4 	18.7 	20.9 	18.5 	19.0 	21.1 	21.3 	23.2 	23.7 	24.6 	23.5 
LI_R_MD60,Y_GE65,T,RENT,DK	8.2 	7.7 	8.8 	11.7 	7.7 	6.7 b	8.2 	5.6 	6.7 	7.6 	7.7 	7.3 
LI_R_MD60,Y_GE65,T,RENT,EA18	16.4 e	18.7 e	20.5 e	19.8 e	17.9 e	17.7 e	17.8 	17.8 e	18.5 	18.9 	20.3 	20.2 e
LI_R_MD60,Y_GE65,T,RENT,EA19	16.4 e	18.7 e	20.6 e	19.8 e	17.9 e	17.7 e	17.8 e	17.8 e	18.5 e	18.9 e	20.4 e	20.2 e
LI_R_MD60,Y_GE65,T,RENT,EE	46.9 u	57.8 u	68.3 u	64.6 u	19.7 u	9.8 u	14.5 	32.6 	41.1 b	46.1 	59.9 	62 u
LI_R_MD60,Y_GE65,T,RENT,EL	16.2 	14.0 	16.6 	17.3 	21.4 	24.4 	16.5 	17.1 	17.3 	20.0 	15.3 	13.9 
LI_R_MD60,Y_GE65,T,RENT,ES	35.2 	32.6 	38.1 b	28.9 	27.3 	27.6 	21.1 	23.7 	19.4 	18.9 	19.5 	25.2 
LI_R_MD60,Y_GE65,T,RENT,EU27	16.9 e	18.7 e	20.2 e	19.2 e	17.3 e	17.3 e	16.5 e	16.5 e	17.1 e	18.0 e	19.4 e	19.9 e
LI_R_MD60,Y_GE65,T,RENT,EU28	: 	: 	: 	: 	17.3 e	17.3 e	16.5 e	16.5 e	17.1 e	18.0 e	19.4 e	19.9 e
LI_R_MD60,Y_GE65,T,RENT,FI	24.4 	28.3 	35.9 	35.6 	28.1 	27.5 	28.0 	25.2 	22.1 	20.0 	16.6 	14.7 
LI_R_MD60,Y_GE65,T,RENT,FR	17.6 	13.8 	22.3 b	18.7 	16.0 	13.7 	10.5 	11.9 	11.7 	10.2 	13.0 	12.8 
LI_R_MD60,Y_GE65,T,RENT,HR	: 	: 	: 	: 	: u	14.8 u	16.4 u	27.2 u	18.9 u	26.9 u	27.7 	: 
LI_R_MD60,Y_GE65,T,RENT,HU	12.6 	5.5 	6.8 	11.0 	3.4 	7.1 	9.6 	2.9 	1.8 	7.4 	8.1 	7.0 
LI_R_MD60,Y_GE65,T,RENT,IE	47.5 	49.5 	35.4 	30.4 	13.0 	14.9 	20.1 	17.2 	18.1 	27.5 	31.7 	: 
LI_R_MD60,Y_GE65,T,RENT,IS	13.3 	23.4 	30.1 	28.9 	9.5 	14.9 	10.0 	1.6 	12.1 	5.8 	7.0 p	: 
LI_R_MD60,Y_GE65,T,RENT,IT	25.8 	25.7 	25.9 	22.7 	22.8 	21.6 	21.8 	19.5 	19.8 	23.6 	24.9 	26.6 
LI_R_MD60,Y_GE65,T,RENT,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	40.6 u	31.4 u	83 u
LI_R_MD60,Y_GE65,T,RENT,LU	20.9 	21.5 	9.7 	13.4 	11.5 	11.1 	15.3 	11.6 	13.7 	16.2 	16.8 b	26.2 
LI_R_MD60,Y_GE65,T,RENT,LV	37.6 	46.1 	60.0 	62.6 	31.0 	10.4 	20.6 	27.8 	38.7 	46.3 	58.2 	57.1 
LI_R_MD60,Y_GE65,T,RENT,MK	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u	: 
LI_R_MD60,Y_GE65,T,RENT,MT	25.4 	16.5 	24.3 	19.0 	20.7 	21.6 	22.0 	17.8 	20.5 	24.8 	27.9 	33.0 
LI_R_MD60,Y_GE65,T,RENT,NL	5.3 	9.6 	8.9 	5.2 	3.1 	4.8 	3.9 	4.5 	6.1 	4.4 	8.4 b	9.8 
LI_R_MD60,Y_GE65,T,RENT,NO	24.5 u	22.9 	30.6 	19.9 	18.8 	22.4 	23.0 	33.5 	33.7 	25.0 	23.5 	29.7 
LI_R_MD60,Y_GE65,T,RENT,PL	4.3 	12.8 	17.9 	12.6 	9.1 	14.4 	9.1 	18.3 	8.2 	14.9 	22.4 	11.7 
LI_R_MD60,Y_GE65,T,RENT,PT	21.7 	22.7 	18.0 	12.2 	16.6 	18.6 	18.1 	15.9 	17.8 	18.8 	18.7 	20.2 
LI_R_MD60,Y_GE65,T,RENT,RO	: 	3.7 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
LI_R_MD60,Y_GE65,T,RENT,RS	: 	: 	: 	: 	: 	: 	: 	14.9 u	25.4 u	5.8 u	19.4 u	: 
LI_R_MD60,Y_GE65,T,RENT,SE	12.4 	10.0 	17.6 b	20.2 	17.6 	18.9 	19.9 	18.7 	19.0 	23.1 	24.1 	23.1 
LI_R_MD60,Y_GE65,T,RENT,SI	32.3 	: 	49.4 	48.7 	35.4 	45.1 	44.6 	45.2 	43.6 	48.5 	55.2 	44.7 
LI_R_MD60,Y_GE65,T,RENT,SK	16.1 	12.4 	13.2 	14.0 	12.7 	12.2 	8.7 	3.5 u	3.5 	3.5 	4.6 	6.5 
LI_R_MD60,Y_GE65,T,RENT,TR	13.5 	15.7 	14.4 	11.6 	10.6 	12.4 	13.7 	11.9 	12.0 	9.6 	: 	: 
LI_R_MD60,Y_GE65,T,RENT,UK	24.0 	24.3 	22.1 	18.0 	16.3 	16.4 	10.6 b	10.7 	11.6 	13.9 	15.0 	: 
LI_R_MD60,Y_GE65,T,TOTAL,AT	16.2 	14.0 	18.9 b	17.4 	16.8 	16.2 	15.1 	15.4 	14.2 	13.2 	13.2 	12.9 
LI_R_MD60,Y_GE65,T,TOTAL,BE	23.2 	23.0 	21.2 	21.6 	19.4 	20.2 	19.4 	18.4 	16.1 	15.2 	15.4 	16.0 
LI_R_MD60,Y_GE65,T,TOTAL,BG	19.8 	24.1 	33.8 	39.3 	32.2 	31.2 	28.2 	27.9 	22.6 	31.7 	24.3 b	32.0 
LI_R_MD60,Y_GE65,T,TOTAL,CH	: 	26.0 	27.1 	30.1 	27.5 	28.1 	30.0 	29.5 	25.7 b	26.5 	25.2 	: 
