statinfo,geo,comspec,unit\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
NSME,EU_V,CO_ALL,I00	110.79 	108.47 	107.42 	108.59 	109.76 	103.81 	105.13 	104.44 	99.24 	100.95 	100 	103.53 	101.73 	100.68 	104.12 	100.1 	99.88 	101.07 	101.59 	94.59 	95.99 	97.94 	97.71 	95.18 	97.42 	99.42 
NSME,EU_V,CO_ALL,I90	100 	97.09 	96.79 	97.97 	98.77 	93.29 	94.5 	93.38 	89.34 	90.72 	89.62 	93.28 	91.43 	90.63 	93.71 	89.84 	89.94 	90.69 	91.34 	85.29 	86.6 	88.13 	87.95 	85.65 	87.39 	89.45 
NSME,EU_V,CO_FARM,I00	119.88 	114.62 	117.87 	116.03 	121.79 	111 	111.12 	112.39 	102.67 	105.99 	100 	100.15 	94.16 	92.89 	95.4 	93.79 	92.55 	89.34 	90.62 	85.81 	84.25 	87.08 	86.7 	82.57 	84.46 	84.24 
NSME,EU_V,CO_FARM,I90	100 	96.35 	98.36 	96.21 	101.24 	92.15 	91.56 	92.56 	84.56 	87.78 	83.21 	83.25 	77.77 	77.11 	78.99 	77.33 	76.27 	74.64 	75.12 	71.42 	70.46 	72.48 	72.53 	68.15 	69.98 	70.13 
NSME,EU_V,CO_FOR,I00	122.4 	120.93 	117.24 	109.67 	113.67 	106.35 	110.03 	113.77 	104.68 	102.12 	100 	103.06 	103.67 	105.73 	110.31 	104.91 	104.94 	101.31 	107.61 	99.13 	101.35 	101.01 	107.05 	104.14 	106.31 	113.24 
NSME,EU_V,CO_FOR,I90	100 	99.36 	96.87 	88.79 	93.55 	87.88 	90.69 	93.82 	85.49 	84.59 	83.25 	85.02 	85.87 	86.88 	91.26 	86.74 	87.03 	84.23 	89.06 	81.96 	83.72 	82.93 	88.48 	86.36 	88.08 	93.35 
