unit,hhtyp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,A1,NL	4.5 	3.0 	3.4 	5.2 	3.9 	3.2 	4.7 	5.5 	6.6 	5.7 	7.2 b	7.2 
PC,A1,NO	9.1 	9.5 	10.5 	10.5 	9.4 	10.5 	9.6 	11.3 	9.5 	10.3 	9.1 	10.3 
PC,A1,PL	30.2 	27.7 	26.8 	25.3 	26.2 	27.3 	25.7 	25.4 	25.3 	23.8 	24.1 	23.3 
PC,A1,PT	2.4 	2.1 	1.4 	2.0 	2.9 	1.7 	1.7 	1.4 	1.6 	1.2 	1.1 	0.9 
PC,A1,RO	: 	12.8 	12.2 	10.7 	11.2 	10.8 	11.2 	11.3 	10.7 	10.5 	8.5 	7.5 
PC,A1,RS	: 	: 	: 	: 	: 	: 	: 	26.9 	23.5 	28.3 	31.7 	: 
PC,A1,SE	18.6 	19.8 	18.5 b	17.0 	17.3 	17.9 	19.1 	22.9 	21.7 	23.0 	22.1 	19.2 
PC,A1,SI	25.3 	27.1 	27.2 	27.7 	27.0 	11.1 b	12.1 	10.4 	10.3 	10.2 	7.4 	7.7 
PC,A1,SK	39.8 	24.7 	22.5 	20.2 	19.3 	18.8 	18.3 	18.6 	19.0 	20.5 	20.3 	18.5 
PC,A1,TR	2.5 	4.0 	5.6 	6.1 	6.3 	5.9 	6.3 	5.5 	5.4 	5.2 	: 	: 
PC,A1,UK	1.8 	2.1 	1.4 	1.9 	1.3 	1.4 	6.7 b	5.6 	7.0 	5.7 	7.7 	: 
PC,A2,AT	5.5 	4.6 	5.1 b	4.1 	3.6 	4.0 	2.9 	3.6 	3.5 	3.1 	2.7 	3.4 
PC,A2,BE	0.7 	0.6 	0.8 	0.7 	1.0 	0.1 	0.2 	0.3 	0.2 	0.1 	0.8 	0.9 
PC,A2,BG	19.6 	16.3 	16.1 	16.3 	17.5 	16.5 	15.8 	15.8 	15.2 	14.6 	14.6 b	14.5 
PC,A2,CH	: 	1.5 	1.1 	1.1 	1.1 	0.9 	0.9 	0.9 	1.0 b	1.1 	1.5 	: 
PC,A2,CY	1.1 	0.9 	0.5 b	0.8 	0.9 	0.7 	0.8 	1.3 	0.7 	0.3 	1.0 	0.5 
PC,A2,CZ	11.1 	10.6 	9.6 	7.2 	6.4 	6.3 	5.9 	6.2 	5.8 	5.4 	5.1 	4.3 
PC,A2,DE	1.4 	1.5 	1.8 	1.7 	1.9 	1.5 	1.3 	2.0 	1.4 	1.7 	2.0 	1.6 
PC,A2,DK	2.0 	1.4 	1.5 	2.2 	2.2 	2.0 	2.2 	1.8 	1.9 	2.7 	3.2 	5.1 
PC,A2,EA18	3.0 	2.9 	2.9 	2.7 	2.9 	2.5 	2.4 	3.0 	2.7 	3.0 	2.9 	2.9 e
PC,A2,EA19	3.1 	3.1 	3.0 	2.8 	3.0 	2.5 	2.4 	3.0 	2.8 	3.1 	2.9 	2.9 e
PC,A2,EE	18.4 	18.7 	20.0 	18.5 	16.7 	3.9 	3.4 	8.1 	3.2 b	2.7 	3.0 	3.5 
PC,A2,EL	9.4 	8.5 	8.8 	8.1 	6.7 	6.4 	7.5 	7.9 	6.8 	6.5 	6.3 	6.0 
PC,A2,ES	0.2 b	0.8 	0.6 	0.4 	0.6 	0.9 b	0.5 	0.8 	0.9 	0.6 	0.7 	1.0 
PC,A2,EU27	4.9 e	4.6 	4.6 	4.3 	4.3 	4.0 	3.9 	4.4 	4.1 	4.3 	4.2 	4.6 e
PC,A2,EU28	: 	: 	: 	: 	4.4 	4.1 	4.0 	4.5 	4.2 	4.4 	4.3 	4.6 e
PC,A2,FI	2.0 	1.9 	1.3 	1.2 	1.8 	1.9 	1.8 	2.4 	2.6 	2.0 	1.7 	2.5 
PC,A2,FR	2.7 	2.1 	1.7 	1.8 	2.4 	1.7 	1.9 	1.7 	1.2 	2.4 	1.7 	1.6 
PC,A2,HR	: 	: 	: 	: 	18.0 	17.7 	16.9 	15.6 	12.8 	14.1 	15.3 	: 
PC,A2,HU	22.8 	19.9 	20.0 	17.5 	16.5 	17.8 	17.3 	15.5 	14.7 	16.2 	16.1 	16.3 
PC,A2,IE	0.7 	0.6 	1.4 	0.0 	0.5 	0.0 	0.2 	0.0 	0.1 	0.2 	0.5 	: 
PC,A2,IS	3.1 	4.0 	0.8 	1.5 	1.6 	1.4 	1.9 	2.7 	1.4 	2.6 	0.7 p	: 
PC,A2,IT	6.6 	6.7 	6.8 	6.5 	6.3 	6.4 	6.3 	8.1 	8.7 	8.7 	8.3 	8.4 
PC,A2,LT	21.5 	22.1 	17.8 	18.9 	17.9 	2.3 b	3.2 	7.7 b	9.9 	7.6 	6.2 	6.0 
PC,A2,LU	1.9 	2.5 	2.1 	2.5 	2.5 	2.7 	1.4 	1.4 	0.7 	1.4 	1.8 b	2.5 
PC,A2,LV	30.5 	30.5 	30.1 	29.3 	28.5 	19.1 	14.9 	17.3 	17.9 	18.0 	19.6 	19.1 
PC,A2,MK	: 	: 	: 	: 	: 	: 	12.6 	9.0 	18.5 b	13.4 	14.4 	: 
PC,A2,MT	0.6 	0.7 	0.4 	0.5 	0.7 	0.4 	0.3 	0.4 	0.2 	0.1 	0.1 	0.0 
PC,A2,NL	0.0 	0.3 	0.7 	0.7 	0.4 	0.5 	1.2 	1.4 	1.1 	1.5 	0.7 b	0.7 
PC,A2,NO	0.8 	0.9 	0.7 	0.8 	1.0 	1.1 	1.0 	1.5 	1.1 	1.1 	1.0 	1.0 
PC,A2,PL	24.7 	22.3 	21.7 	19.8 	18.5 	18.5 	17.4 	16.6 	16.0 	15.5 	14.1 	15.5 
PC,A2,PT	1.9 	2.1 	1.7 	1.6 	1.8 	1.7 	1.1 	1.0 	1.4 	1.2 	1.2 	1.2 
PC,A2,RO	: 	15.0 	14.3 	13.5 	13.8 	14.1 	13.6 	13.2 	15.0 	13.4 	14.1 	13.4 
PC,A2,RS	: 	: 	: 	: 	: 	: 	: 	26.0 	24.2 	26.2 	26.1 	: 
PC,A2,SE	2.8 	2.5 	3.1 b	5.0 	6.1 	5.5 	4.7 	3.7 	3.6 	3.6 	5.1 	4.2 
PC,A2,SI	17.5 	16.0 	15.4 	14.2 	13.6 	5.3 b	5.6 	5.3 	5.1 	4.5 	4.2 	4.2 
PC,A2,SK	13.5 	12.4 	10.6 	8.7 	9.3 	8.3 	9.4 	10.4 	10.2 	10.3 	10.3 	10.1 
PC,A2,TR	3.1 	3.2 	2.9 	3.3 	3.7 	3.7 	4.2 	4.0 	3.4 	3.4 	: 	: 
PC,A2,UK	0.5 	0.6 	0.9 	0.5 	0.8 	1.0 	1.0 b	2.3 	1.6 	2.2 	2.3 	: 
PC,A_GE3,AT	13.7 	14.7 	10.5 b	8.5 	7.2 	8.4 	11.8 	9.3 	14.0 	12.3 	10.8 	9.1 
PC,A_GE3,BE	2.2 	1.9 	0.7 	1.0 	1.0 	1.4 	0.7 	0.3 	0.5 	1.9 	3.6 	5.0 
PC,A_GE3,BG	41.1 	45.8 	42.4 	42.5 	43.7 	45.5 	43.1 	42.7 	41.7 	40.9 	42.3 b	41.4 
PC,A_GE3,CH	: 	10.6 	13.1 	10.9 	8.8 	8.4 	6.7 	6.5 	3.7 b	4.5 	6.2 	: 
PC,A_GE3,CY	3.6 	1.1 	0.8 b	2.0 	3.2 	1.0 	1.3 	1.1 	1.8 	1.6 	0.8 	1.3 
PC,A_GE3,CZ	28.3 	25.4 	26.2 	22.0 	18.6 	17.1 	17.2 	16.4 	16.4 	15.0 	13.9 	12.1 
PC,A_GE3,DE	5.8 	7.8 	3.5 	6.1 	4.9 	4.1 	3.9 	3.7 	4.8 	6.7 	5.5 	5.6 
PC,A_GE3,DK	8.8 	6.3 	4.9 	6.5 	6.0 	5.1 	8.4 	8.0 	10.2 	7.0 	21.2 	21.8 
PC,A_GE3,EA18	14.7 	15.0 	14.2 	14.0 	14.1 	13.9 	15.0 	14.5 	14.9 	16.0 	15.5 	15.9 e
PC,A_GE3,EA19	15.0 	15.4 	14.6 	14.3 	14.3 	13.9 	15.0 	14.7 	15.0 	16.1 	15.6 	15.9 e
PC,A_GE3,EE	46.7 	43.2 	38.8 	41.5 	40.1 	11.6 	12.3 	21.5 	9.9 b	6.7 	11.5 	12.4 
PC,A_GE3,EL	33.6 	33.0 	32.4 	31.6 	34.7 	35.8 	37.7 	36.5 	36.9 	38.2 	39.3 	38.7 
PC,A_GE3,ES	5.1 b	4.7 	4.6 	4.2 	4.4 	6.6 b	5.3 	5.0 	4.8 	5.6 	5.1 	4.7 
PC,A_GE3,EU27	21.4 e	21.1 	20.7 	20.1 	19.7 	19.2 	19.8 	19.6 	20.0 	20.3 	19.5 	21.8 e
PC,A_GE3,EU28	: 	: 	: 	: 	19.9 	19.5 	20.1 	19.9 	20.3 	20.6 	19.9 	21.8 e
PC,A_GE3,FI	2.8 	1.9 	3.8 	4.4 	1.9 	1.4 	2.4 	1.1 	0.9 	2.7 	4.5 	1.1 
PC,A_GE3,FR	3.1 	5.6 	6.3 	4.1 	4.5 	4.7 	7.5 	7.7 	3.5 	6.1 	3.7 	4.9 
PC,A_GE3,HR	: 	: 	: 	: 	37.8 	41.3 	39.0 	40.6 	42.9 	41.8 	43.6 	: 
PC,A_GE3,HU	52.9 	48.8 	50.7 	47.8 	46.0 	43.7 	44.1 	44.9 	42.2 	41.5 	42.9 	44.8 
PC,A_GE3,IE	4.9 	4.7 	5.6 	4.0 	0.6 	0.9 	2.8 	2.2 	7.4 	0.7 	3.4 	: 
PC,A_GE3,IS	3.9 	6.2 	2.0 	7.2 	5.2 	5.6 	4.5 	5.9 	6.0 	3.6 	3.8 p	: 
PC,A_GE3,IT	25.4 	25.3 	25.9 	24.7 	24.9 	24.4 	28.5 	27.3 	28.3 	30.9 	30.1 	30.0 
PC,A_GE3,LT	52.7 	51.0 	52.1 	49.2 	42.9 	13.6 b	14.2 	26.5 b	30.6 	24.9 	29.6 	23.1 
PC,A_GE3,LU	6.5 	5.2 	7.1 	2.7 	3.3 	1.9 	1.0 	2.5 	3.6 	5.4 	5.3 b	5.2 
PC,A_GE3,LV	57.9 	58.1 	59.1 	54.3 	54.4 	43.6 	31.6 	32.4 	42.4 	41.3 	41.6 	46.2 
PC,A_GE3,MK	: 	: 	: 	: 	: 	: 	40.7 	41.4 	41.5 b	46.1 	43.0 	: 
PC,A_GE3,MT	3.2 	3.4 	2.2 	1.8 	1.9 	2.2 	1.4 	2.6 	2.4 	2.4 	1.7 	2.4 
PC,A_GE3,NL	2.8 	2.5 	0.3 	0.2 	2.0 	1.7 	2.1 	1.1 	1.1 	3.2 	3.0 b	4.8 
PC,A_GE3,NO	4.0 	2.5 	2.7 	2.0 	4.0 	1.5 	4.0 	3.2 	1.6 	3.2 	2.8 	4.7 
PC,A_GE3,PL	50.6 	48.3 	47.2 	45.4 	44.0 	42.9 	42.5 	39.8 	43.7 	39.3 	38.5 	38.6 
PC,A_GE3,PT	12.9 	13.8 	14.4 	14.3 	15.3 	11.1 	9.3 	12.4 	9.2 	7.6 	7.3 	6.7 
PC,A_GE3,RO	: 	56.7 	55.7 	54.0 	53.0 	53.1 	51.0 	53.3 	49.6 	51.5 	48.3 	46.3 
PC,A_GE3,RS	: 	: 	: 	: 	: 	: 	: 	52.5 	48.5 	50.7 	54.2 	: 
PC,A_GE3,SE	8.1 	8.7 	8.9 b	11.5 	8.5 	13.6 	6.5 	4.1 	11.4 	7.7 	12.6 	13.1 
PC,A_GE3,SI	39.0 	35.5 	34.3 	33.4 	31.3 	13.8 b	12.4 	13.6 	12.5 	12.5 	11.2 	11.5 
PC,A_GE3,SK	39.6 	35.6 	37.1 	35.1 	33.7 	34.5 	34.2 	30.8 	34.3 	32.4 	35.0 	35.3 
PC,A_GE3,TR	34.2 	37.2 	37.3 	37.9 	36.1 	35.0 	34.1 	35.4 	34.8 	33.7 	: 	: 
PC,A_GE3,UK	5.9 	3.1 	6.4 	5.9 	4.2 	5.9 	6.1 b	6.4 	4.2 	6.7 	3.6 	: 
