coicop,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
TOT_X_TBC,I15,AT	104.09 	104.25 	104.91 	103.75 	104.01 	104.96 	105.19 	105.30 	105.33 	104.69 	104.68 r	105.95 
TOT_X_TBC,I15,BE	104.20 	104.37 	104.85 	103.56 	105.27 	105.21 	105.63 	106.01 	106.31 	105.54 	107.05 	106.73 
TOT_X_TBC,I15,BG	99.61 	99.89 	100.58 	100.77 	100.95 	100.74 	101.06 	101.46 	101.97 	103.06 	103.40 	103.02 
TOT_X_TBC,I15,CH	100.49 e	100.20 	100.43 e	99.92 e	100.23 	100.55 e	100.75 e	101.15 	101.11 e	101.47 e	101.46 	101.46 e
TOT_X_TBC,I15,CY	99.82 	98.60 	98.23 	96.30 	97.47 	98.36 	99.48 	100.89 	101.97 	101.69 	102.97 	102.14 
TOT_X_TBC,I15,CZ	103.3 	103.4 	103.4 	104.1 	104.0 	104.0 	104.2 	104.7 	105.1 	105.3 	105.3 	104.9 
TOT_X_TBC,I15,DE	102.1 	102.5 	103.2 	102.3 	102.7 	103.2 	103.0 	103.5 	103.6 	104.1 	104.1 	104.5 
TOT_X_TBC,I15,DK	101.7 	101.3 	100.9 	100.5 	101.2 	101.2 	101.8 	102.0 	101.9 	102.7 	102.3 	102.0 
TOT_X_TBC,I15,EA	102.14 	102.20 	102.57 	101.64 	101.84 	102.83 	103.12 	103.64 	103.76 	103.41 	103.56 r	104.05 
TOT_X_TBC,I15,EA18	102.12 	102.18 	102.56 	101.62 	101.83 	102.82 	103.11 	103.63 	103.75 	103.39 	103.55 r	104.04 
TOT_X_TBC,I15,EA19	102.14 	102.20 	102.57 	101.64 	101.84 	102.83 	103.12 	103.64 	103.76 	103.41 	103.56 r	104.05 
TOT_X_TBC,I15,EE	104.86 	105.25 	104.84 	104.97 	106.08 	106.12 	106.65 	107.21 	108.25 	108.46 	109.16 	108.86 
TOT_X_TBC,I15,EL	101.39 	100.45 	100.79 	99.51 	99.60 	100.82 	101.83 	101.94 	102.91 	101.41 	101.19 	102.66 
TOT_X_TBC,I15,ES	102.40 	102.73 	102.73 	101.18 	101.32 	102.57 	103.36 	104.33 	104.58 	103.30 	103.40 	104.07 
TOT_X_TBC,I15,EU	102.32 	102.45 	102.79 	102.07 	102.29 	103.02 	103.35 	103.82 	103.93 	103.69 	103.90 r	104.27 
TOT_X_TBC,I15,EU28	102.32 	102.45 	102.79 	102.07 	102.29 	103.02 	103.35 	103.82 	103.93 	103.69 	103.90 r	104.27 
TOT_X_TBC,I15,FI	101.09 	101.45 	101.37 	100.90 	101.38 	101.62 	101.97 	102.02 	102.19 	101.97 	102.13 	102.40 
TOT_X_TBC,I15,FR	101.68 	101.74 	102.08 	101.97 	101.97 	102.87 	103.08 	103.59 	103.61 	103.47 	104.02 	103.78 
TOT_X_TBC,I15,HR	101.38 	101.23 	100.77 	100.56 	100.42 	100.92 	101.86 	102.14 	102.95 	103.10 	103.06 	102.85 
TOT_X_TBC,I15,HU	102.69 	102.98 	102.99 	103.34 	103.51 	103.63 	104.43 	105.15 	105.37 	105.72 	105.77 	106.06 
TOT_X_TBC,I15,IE	99.6 	99.5 	99.4 	98.7 	99.6 	100.0 	99.8 	100.4 	100.5 	100.9 	101.2 	100.9 
TOT_X_TBC,I15,IS	98.93 	97.16 	98.50 	97.61 	97.83 	98.55 	98.44 	98.77 	101.00 	102.57 	102.07 	99.62 
TOT_X_TBC,I15,IT	101.9 	101.8 	102.1 	100.5 	100.1 	102.4 	102.8 	103.1 	103.4 	101.9 	101.7 	103.4 
TOT_X_TBC,I15,LT	105.04 	105.31 	105.45 	105.49 	105.34 	105.73 	106.52 	107.03 	106.93 	106.38 	105.86 	107.35 
TOT_X_TBC,I15,LU	102.49 	102.50 	102.50 	101.51 	102.84 	102.85 	103.30 	103.91 	104.20 	103.21 	104.74 	105.08 
TOT_X_TBC,I15,LV	103.21 	103.30 	103.33 	103.23 	103.46 	104.82 	105.12 	105.54 	106.31 	105.44 	105.47 	106.13 
TOT_X_TBC,I15,MK	102.45 d	102.36 d	102.46 d	102.19 d	102.46 d	102.70 d	103.08 d	104.66 d	104.56 d	104.13 d	104.52 d	104.36 d
TOT_X_TBC,I15,MT	103.21 	100.80 	100.70 	99.43 	100.00 	100.94 	103.66 	105.11 	106.51 	106.76 	107.52 	106.63 
TOT_X_TBC,I15,NL	101.89 	101.48 	101.40 	101.03 	101.75 	101.98 	102.90 	103.29 	102.71 	103.84 	103.98 r	103.23 
TOT_X_TBC,I15,NO	106.2 	106.5 	106.5 	106.1 	107.3 	107.6 	108.1 	108.2 	109.1 	110.1 	109.7 	110.3 
TOT_X_TBC,I15,PL	101.5 	101.9 	102.1 	102.3 	101.8 	101.8 	102.4 	102.5 	102.6 	102.4 	102.3 	102.5 
TOT_X_TBC,I15,PT	103.55 	102.42 	102.25 	101.01 	100.35 	102.58 	103.59 	104.45 	104.45 	104.03 	103.32 	104.92 
TOT_X_TBC,I15,RO	100.64 	101.23 	101.53 	102.24 	102.50 	102.83 	103.19 	103.74 	103.80 	103.39 	103.47 	104.10 
TOT_X_TBC,I15,RS	104.2 d	104.1 d	104.1 d	104.4 d	104.6 d	104.7 d	105.2 d	106.1 d	106.5 d	105.9 d	106.3 d	105.8 d
TOT_X_TBC,I15,SE	103.37 	103.60 	104.03 	103.07 	103.91 	104.23 	104.64 	104.92 	105.19 	105.81 	105.51 	106.04 
TOT_X_TBC,I15,SI	101.75 	102.03 	102.11 	101.43 	102.12 	102.52 	103.00 	104.08 	104.12 	103.21 	103.23 	103.79 
TOT_X_TBC,I15,SK	101.26 	101.60 	101.58 	102.47 	102.63 	102.82 	103.44 	103.43 	103.57 	103.39 	103.62 	103.67 
TOT_X_TBC,I15,TR	122.08 d	124.00 d	124.90 d	126.24 d	127.21 d	128.53 d	131.05 d	133.28 d	136.93 d	137.72 d	141.01 d	150.29 d
TOT_X_TBC,I15,UK	103.8 	104.2 	104.5 	103.9 	104.4 	104.5 	104.9 	105.3 	105.3 	105.2 	106.0 	: 
