unit,geo\time	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
RCH_A,IE	: 	: 	: 	: 	9.4 	11.5 	15.5 	11.6 	11.4 	7.4 	1.2 	-1.7 	-5.1 	-7.4 	-8.7 	-12.7 	-12.6 	-14.4 	-14.7 	-12.9 	-12.9 p	-10.6 p	-10.1 p	-12.7 p	-14.8 p	-17.5 p	-20.3 p	-19.2 p	-21.1 p	-18.6 p	-12.5 p	-5.6 p	-5.1 p	-2.3 p	1.8 p	3.7 p	9.0 p	14.7 p	18.3 p	18.1 p	17.2 p	13.6 p	8.0 p	6.5 p	6.5 p	5.1 p	6.9 p	7.8 p	8.1 p	9.3 p	10.4 p	10.2 p	10.8 p	11.3 p
RCH_A,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.2 	-0.7 	-1.4 	-2.9 	-2.4 	-4.9 	-6.3 	-6.9 	-8.7 	-7.7 	-7.3 	-6.4 	-4.8 	-5.4 	-4.8 	-5.0 	-5.5 	-5.0 	-2.9 	-2.5 	-0.3 	0.7 	-0.2 	-1.1 p	-1.9 	-2.2 	-2.6 	-1.1 p	-1.3 	-1.2 p
RCH_A,LT	: 	: 	: 	: 	: 	: 	: 	: 	23.0 	27.3 	20.4 	9.1 	5.4 	3.4 	-4.2 	-10.9 	-30.4 	-34.4 	-35.0 	-31.9 	-15.4 	-9.6 	-6.6 	-1.5 	4.2 	1.6 	2.8 	1.0 	-2.4 	-3.7 	-3.3 	-3.4 	-2.1 	1.1 	-0.8 	2.6 	3.6 	6.4 	10.0 	5.2 	6.1 	4.2 	4.3 	3.8 	2.3 	2.7 	4.6 	8.2 	7.6 	6.8 	4.4 	3.0 	4.5 	5.1 
RCH_A,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	2.3 	-2.4 	0.4 	0.4 	-1.1 	-1.7 	0.0 	5.3 	2.8 	5.2 	3.4 	-1.7 	1.3 	0.3 	2.6 	1.4 	1.8 	2.7 	2.5 	4.3 	3.4 	3.7 	2.0 	0.5 	3.8 	4.8 	6.3 	7.8 	5.6 	5.2 	2.7 	5.0 	5.8 	5.8 	7.2 	5.3 	4.9 	3.3 	2.7 	5.5 	: 
RCH_A,LV	: 	: 	: 	: 	: 	: 	: 	: 	36.8 	26.6 	22.0 	6.9 	1.3 	-4.1 	-15.3 	-25.0 	-38.8 	-40.1 	-34.8 	-24.0 	-15.9 	-8.6 	-6.5 	-2.7 	4.7 	5.4 	6.2 	-0.1 	-1.9 	-1.8 	-2.0 	4.2 	4.4 	8.4 	6.8 	6.6 	9.0 	5.8 	8.6 	-5.8 	-4.8 	-4.0 	-6.6 	7.0 	6.6 	9.4 	8.1 	5.4 	5.5 	5.2 	5.9 	5.5 	8.7 	6.0 p
RCH_A,MT	: 	: 	: 	: 	7.6 	18.9 	13.7 	27.5 	28.8 	21.9 	18.8 	10.4 	13.1 	3.4 	8.0 	4.3 	-6.2 	-3.7 	-7.4 	-7.3 	-1.5 	-0.4 	1.1 	-3.4 	-5.3 	-2.8 	-4.8 	-0.7 	-0.1 	-3.8 	2.4 	3.3 	-0.5 	-0.7 	-2.6 	-1.9 	0.6 	2.6 	0.3 	4.8 	1.8 	1.7 	6.3 	6.1 	4.1 	5.8 	4.8 	4.5 	4.2 	5.1 	3.9 p	3.6 p	5.0 p	5.2 p
RCH_A,NL	: 	: 	: 	: 	1.1 	1.3 	1.3 	2.1 	2.5 	2.2 	3.3 	2.7 	1.4 	0.5 	-0.1 	-1.3 	-1.0 	-2.6 	-4.4 	-3.9 	-5.2 	-3.1 	-2.1 	-2.8 	-2.2 	-4.0 	-4.4 	-5.4 	-6.8 	-6.6 	-9.8 	-8.4 	-9.9 	-10.1 	-6.2 	-5.3 	-2.7 	0.4 	0.5 	1.7 	3.5 	2.7 	3.7 	3.7 	3.5 	4.1 	4.9 	5.4 	5.0 	6.1 	5.6 	6.8 	7.9 	7.3 p
RCH_A,PL	: 	: 	: 	: 	8.1 	14.9 	44.8 	70.5 	76.2 	74.3 	41.0 	10.7 	0.3 	-4.8 	-9.5 	-4.4 	-4.9 	-6.0 	-3.4 	-6.9 	-8.0 	-7.0 	-5.9 	-3.5 	-3.8 	-4.1 	-4.9 	-5.8 	-5.7 	-7.1 	-7.1 	-6.5 	-6.1 	-5.0 	-4.7 	-3.2 	-2.3 	1.3 	2.4 	3.1 	4.7 	3.2 	1.7 	1.3 	1.4 	0.7 	3.6 	3.5 	1.5 	3.0 	1.8 	1.5 	4.5 	4.4 
RCH_A,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.0 	-0.2 	2.8 	3.5 	1.2 	-0.2 	-1.9 	-3.0 	-4.3 	-6.3 	-6.5 	-8.9 	-9.9 	-9.7 	-9.7 	-5.7 	-5.1 	-3.3 	-2.1 	0.0 	3.6 	5.4 	4.8 	1.9 	0.6 	1.8 	2.2 	4.0 	5.9 	5.2 	6.5 	6.5 	6.3 	6.7 	9.5 	9.1 	11.3 	10.1 
RCH_A,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-11.6 	-10.9 	-14.9 	-14.3 	-16.0 	-15.2 	-16.3 	-16.6 	-10.3 	-11.7 	-9.5 	-5.2 	-2.7 	-2.5 	-0.1 	-3.6 	-5.3 	-4.8 	-2.4 	-0.9 	2.2 	2.4 	-0.6 	3.6 	5.0 	7.4 	5.8 	3.7 	4.1 	5.2 	3.9 	3.0 	3.2 	0.1 
RCH_A,SE	: 	: 	: 	: 	12.6 	12.6 	10.6 	8.8 	9.3 	12.1 	13.6 	8.9 	4.3 	0.2 	-4.7 	-7.2 	-4.2 	-2.8 	1.0 	9.2 	8.4 	6.9 	5.9 	4.7 	3.3 	2.4 	0.2 	-2.6 	-0.8 	-0.6 	0.9 	3.4 	3.6 	4.5 	4.9 	5.9 	7.3 	7.4 	8.8 	9.4 	10.3 	12.0 	12.9 	13.2 	11.7 	7.9 	6.0 	5.2 	4.9 	6.5 	5.7 	1.3 	-2.2 	-3.5 
RCH_A,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.5 	3.1 	0.4 	-2.6 	-8.6 	-8.7 	-13.1 	-10.4 	-2.5 	-1.5 	-0.1 	-1.2 	2.1 	1.1 	0.7 	-0.1 	-8.5 	-7.7 	-7.4 	-10.5 	-6.2 	-6.4 	-9.7 	-6.7 	-7.9 	-10.4 	-5.0 	-2.8 	-0.9 	3.8 	3.0 	-0.1 	1.7 	2.2 	5.0 	6.6 	3.9 	6.5 	6.1 	8.2 	11.5 	10.1 
RCH_A,SK	: 	: 	: 	: 	: 	: 	: 	: 	17.9 	24.0 	30.3 	29.6 	28.5 	21.5 	7.6 	-2.2 	-13.2 	-18.3 	-9.2 	-10.1 	-4.9 	-1.8 	-8.3 	-4.6 	-4.5 	-6.3 	-4.3 	-5.5 	-7.1 	-5.7 	-5.5 	-5.4 	-2.0 	-0.2 	-0.7 	1.4 	0.6 	1.7 	1.2 	2.5 	5.6 	5.3 	5.8 	5.1 	5.6 	6.6 	8.0 	8.0 	2.5 	5.2 	5.4 	4.4 	9.1 	4.0 
RCH_A,UK	: 	: 	: 	: 	3.9 	4.2 	5.0 	6.4 	7.9 	8.0 	8.3 	6.7 	0.5 	-3.9 	-11.4 	-17.3 	-17.5 	-15.1 	-6.8 	2.0 	6.9 	6.7 	3.7 	-0.9 	-4.3 	-5.2 	-5.7 	-4.9 	-3.1 	-1.8 	-1.1 	-1.0 	-0.6 	-0.6 	0.0 	2.2 	4.3 	5.9 	7.0 	6.7 	6.1 	4.7 	4.9 	5.9 	6.8 	6.7 	4.7 	3.6 	2.1 	2.2 	2.8 	2.3 	2.1 	1.3 p
RCH_Q,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.5 	2.1 	0.0 	-0.7 	1.3 	1.9 	0.6 	1.5 	0.6 	2.5 	-0.8 	0.8 	1.1 	2.9 	-3.5 	2.2 	0.8 	-0.8 	0.4 	-2.5 	5.7 	4.1 	-2.0 	3.6 	1.8 	0.6 	-0.6 	1.2 	2.1 	0.4 	0.7 	0.4 	0.3 
RCH_Q,BE	: 	1.3 	2.5 	1.7 	1.2 	1.5 	2.0 	0.4 	1.4 	1.3 	1.6 	-0.6 	0.0 	0.1 	0.9 	0.2 	-1.0 	-0.9 	2.4 	-1.0 	0.2 	0.2 	1.6 	0.1 	-0.5 	0.0 	1.5 	-0.6 	-0.2 	-0.1 	0.9 	-1.1 	0.5 	0.0 	1.0 	-1.1 	-2.3 	0.8 	1.4 	0.8 	-2.4 p	1.6 p	2.1 p	-0.8 p	-1.0 p	0.4 p	2.4 p	-0.5 p	-0.2 p	-0.6 	3.2 	-1.0 	-0.4 	0.4 p
RCH_Q,BG	: 	-1.8 p	2.1 p	3.1 p	7.3 p	-2.4 p	2.4 p	9.5 p	3.0 p	3.7 p	2.9 p	9.4 p	8.8 p	-2.6 p	3.7 p	-3.9 p	-10.5 p	-11.6 p	-2.2 p	-2.1 p	-4.6 p	-1.3 	-0.9 	-3.3 	-3.3 	-3.9 	2.4 	-2.4 	-4.6 	1.2 	1.2 	-2.7 	-0.5 	1.8 	4.9 	-6.4 	4.0 	2.0 	-2.9 	-1.1 	0.8 	1.3 	3.7 	-1.3 	2.0 	4.4 	0.2 	1.7 	2.8 	1.2 	0.1 	0.5 	0.7 p	3.2 p
RCH_Q,CY	: 	-0.1 	2.4 	0.6 	3.0 	1.1 	3.7 	2.0 	2.4 	0.1 	3.4 	-1.2 	3.7 	-2.2 	-2.2 	-3.0 	0.5 	-2.7 	-0.7 	-5.0 	-0.6 p	-2.8 p	-0.6 p	-1.3 p	-0.3 p	-0.1 p	-1.4 p	-5.3 p	-0.5 p	-2.3 p	4.6 p	-2.3 p	-2.8 p	-0.3 p	-0.4 p	-2.3 p	-0.9 p	3.2 p	-0.7 p	-0.2 p	-2.4 bp	2.1 	3.8 	-4.1 	0.2 	1.3 	2.2 	0.6 	-3.1 p	2.1 p	0.9 p	2.2 p	-1.2 p	-1.2 p
RCH_Q,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.8 	0.6 	0.1 	-3.3 	-3.0 	-0.5 	-0.5 	-0.2 	-0.3 	-0.7 	0.0 	-0.3 	-0.2 	-0.9 	-1.2 	-1.8 	-0.1 	-0.4 	-0.2 	-0.6 	0.4 	-0.2 	-0.2 	1.1 	0.6 	0.4 	0.9 	1.3 	0.5 	1.4 	1.3 p	1.4 p	1.5 	2.0 	4.3 p	2.1 p	2.1 	1.1 	0.3 p	1.4 p	1.8 p
RCH_Q,DE	: 	-2.2 	1.5 	-2.8 	1.0 	0.0 	-1.4 	0.9 	-4.4 	1.6 	-0.5 	-0.5 	1.0 	-0.3 	-2.3 	1.0 	0.7 	1.1 	-0.2 	1.5 	-2.2 	0.5 	-0.2 	-0.8 	1.8 	0.4 	-0.4 	0.3 	0.2 	0.9 	1.3 	1.1 	-0.6 	1.6 	-0.3 	0.0 	0.5 	1.6 	0.4 	0.2 	1.7 	1.2 	0.6 	1.5 	0.8 	2.2 	1.3 	1.3 	-1.6 	1.6 	1.5 	1.4 	-0.6 p	0.7 p
RCH_Q,DK	: 	4.8 	8.1 	4.8 	7.0 	5.1 	1.4 	-0.8 	-0.1 	0.2 	0.5 	-2.7 	-2.4 	-0.4 	-3.5 	-7.8 	-6.4 	0.9 	0.2 	-0.3 	-1.0 	1.8 	0.2 	-0.9 	-3.1 	2.4 	-2.9 	-3.8 	-1.8 	0.8 	0.0 	-0.3 	0.9 	3.4 	-0.2 	-1.4 	0.8 	3.8 	-0.2 	-0.4 	3.5 	2.3 	0.6 	0.2 	1.8 	1.9 	1.2 	-1.2 	1.4 	2.2 	0.6 	-1.4 	3.8 	0.8 p
RCH_Q,EE	: 	11.3 	5.1 	12.9 	9.4 	8.6 	5.4 	9.9 	0.0 	4.6 	-4.5 	-3.9 	-4.9 	-5.5 	-2.6 	-13.5 	-19.4 	-7.4 	-9.5 	-1.5 	10.6 	0.2 	2.2 	-4.1 	2.8 	1.5 	1.0 	0.8 	-1.4 	3.2 	3.7 	-4.0 	1.9 	3.6 	4.7 	2.8 	4.1 	0.7 	4.2 	0.4 	3.2 	2.1 	-1.4 	0.8 	-0.1 	2.5 	2.7 	0.9 	-1.8 	-0.7 	2.5 	1.3 	0.3 	0.1 
RCH_Q,ES	: 	: 	: 	: 	0.0 	3.1 	3.4 	4.5 	-1.4 	1.8 	1.1 	-0.3 	-3.4 	-1.7 	-1.3 	-1.3 	-4.1 	0.5 	-0.4 	0.6 	-4.2 	1.2 	-2.0 	0.9 	-6.6 	-1.3 	-3.3 	-3.8 	-8.3 	-3.3 	-3.9 	-0.6 	-7.4 	-0.3 	1.3 	0.2 	-3.0 	1.9 	1.0 	2.0 	-2.8 	3.8 	1.7 	1.7 	-0.4 	1.5 	1.2 	1.1 	-0.8 	2.4 	2.6 	1.5 	-1.2 	2.2 
RCH_Q,FI	: 	2.1 p	1.5 p	2.2 p	0.8 p	1.4 p	0.7 p	1.3 p	1.5 p	0.9 p	0.4 p	-0.7 p	0.1 p	-0.5 p	-2.0 p	-4.2 p	2.0 p	0.9 	1.7 	1.9 	1.7 	0.3 	1.1 	-0.9 	-0.3 	1.1 	-0.5 	-1.2 	0.6 	0.0 	-0.4 	0.0 	-0.4 	-0.3 	-0.2 	-1.0 	-0.5 	0.2 	-0.5 	-0.8 	0.6 	0.0 	0.2 	-0.5 	-0.1 	0.7 	-0.4 	-0.7 	1.0 	0.6 	-0.6 	-0.8 	0.0 	1.1 
RCH_Q,FR	: 	3.2 	4.3 	1.6 	1.9 	1.9 	2.9 	0.7 	0.5 	0.4 	2.0 	-0.3 	-1.3 	-1.2 	0.5 	-2.7 	-2.6 	-1.6 	2.1 	0.1 	0.6 	0.9 	3.1 	0.6 	0.1 	1.0 	2.2 	-1.5 	-1.6 	-0.7 	0.9 	-1.7 	-1.3 	-0.7 	1.2 	-1.2 	-1.0 	-0.3 	1.2 	-2.3 	-0.6 	-1.0 	1.9 	-0.8 	0.3 	-0.3 	2.5 	-1.2 	0.4 	0.3 	2.4 	-1.1 	0.0 	-0.2 p
RCH_Q,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.7 	1.3 	-2.1 	-2.1 	-5.2 	-0.4 	-1.7 	-2.9 	-3.1 	0.5 	-0.8 	-2.1 	0.4 	2.1 	-0.7 	-0.8 	-4.0 	-0.7 	-4.4 	-0.3 	-1.4 	1.2 	-1.4 	-0.3 	0.4 	-0.1 	-1.4 	-0.4 	-2.7 	2.2 	-0.3 	2.5 	-1.4 	2.4 	-2.4 	0.1 	3.4 	2.0 	1.0 	1.3 	-1.4 
RCH_Q,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8 	3.8 	-1.4 	-4.7 	1.5 	-0.6 	-0.8 	-3.2 	-4.2 	-2.9 	-3.7 	2.9 	-3.3 	-0.7 	-2.6 	0.5 	-2.8 	-2.3 	-4.5 	1.5 	-5.1 	-1.6 	-4.5 	3.1 	-2.1 	0.6 	-2.4 	2.5 	0.9 	3.3 	1.8 	3.2 	4.8 	4.6 	1.3 	5.6 	1.5 	3.3 	0.6 	-2.7 	2.3 	3.2 	0.8 	3.4 	-0.4 p
RCH_Q,IE	: 	1.8 	3.0 	3.1 	1.2 	3.8 	6.7 	-0.4 	1.0 	0.1 	0.5 	-3.3 	-2.4 	-2.4 	-1.0 	-7.4 	-2.3 	-4.4 	-1.4 	-5.5 	-2.3 p	-1.9 p	-0.8 p	-8.2 p	-4.6 p	-5.0 p	-4.1 p	-7.0 p	-6.8 p	-2.0 p	3.0 p	0.4 p	-6.4 p	0.9 p	7.3 p	2.3 p	-1.6 p	6.2 p	10.6 p	2.2 p	-2.4 p	3.0 p	5.2 p	0.8 p	-2.4 p	1.7 p	7.0 p	1.6 p	-2.2 p	2.8 p	8.1 p	1.3 p	-1.6 p	3.2 p
RCH_Q,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.7 	0.9 	-1.0 	-0.4 	-0.2 	0.2 	-2.5 	0.1 	-2.8 	-1.3 	-3.2 	-1.7 	-1.8 	-0.9 	-2.2 	-0.1 	-2.3 	-0.3 	-2.4 	-0.6 	-1.8 	1.9 	-2.0 	1.6 	-0.8 	1.0 	-2.8 p	0.8 p	-1.1 	0.6 	-1.4 	0.6 	-0.9 p
RCH_Q,LT	: 	: 	: 	: 	: 	-1.0 	10.8 	8.8 	3.0 	2.5 	4.8 	-1.4 	-0.5 	0.6 	-2.9 	-8.4 	-22.2 	-5.2 	-3.8 	-4.1 	-3.2 	1.2 	-0.5 	1.2 	2.3 	-1.3 	0.7 	-0.6 	-1.2 	-2.6 	1.1 	-0.8 	0.2 	0.6 	-0.8 	2.6 	1.2 	3.2 	2.6 	-1.9 	2.2 	1.3 	2.7 	-2.4 	0.7 	1.7 	4.6 	1.0 	0.2 	0.9 	2.2 	-0.3 	1.7 	1.5 
RCH_Q,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.6 	4.2 	-2.8 	-0.1 	1.2 	-0.7 	0.0 	-0.1 	-0.3 	-1.3 	1.7 	5.1 	-2.6 	0.9 	0.1 	-0.1 	0.5 	-0.1 	2.3 	-1.2 	0.9 	0.7 	2.1 	0.5 	0.0 	0.9 	0.5 	-0.9 	3.3 	1.9 	1.9 	0.5 	1.2 	1.5 	-0.5 	2.7 	2.0 	1.5 	0.9 	0.8 	1.6 	0.0 	0.3 	3.7 	: 
RCH_Q,LV	: 	: 	: 	: 	: 	6.8 	8.0 	9.2 	8.6 	-1.1 	4.0 	-4.3 	2.8 	-6.4 	-8.1 	-15.3 	-16.0 	-8.4 	0.1 	-1.3 	-7.1 	-0.4 	2.4 	2.8 	0.0 	0.3 	3.1 	-3.3 	-1.8 	0.4 	2.9 	2.8 	-1.7 	4.2 	1.4 	2.6 	0.6 	1.2 	4.0 	-11.0 	1.6 	2.0 	1.2 	2.0 	1.2 	4.8 	0.0 	-0.5 	1.2 	4.5 	0.6 	-0.9 	4.3 	1.9 p
RCH_Q,MT	: 	-0.4 	8.3 	-3.9 	3.8 	10.1 	3.6 	7.8 	4.8 	4.2 	0.9 	0.2 	7.4 	-4.7 	5.4 	-3.3 	-3.5 	-2.1 	1.3 	-3.2 	2.6 	-1.1 	2.9 	-7.5 	0.6 	1.4 	0.8 	-3.5 	1.1 	-2.2 	7.3 	-2.7 	-2.5 	-2.4 	5.2 	-2.0 	0.0 	-0.5 	2.8 	2.5 	-2.9 	-0.6 	7.5 	2.3 	-4.8 	1.1 	6.4 	2.0 	-5.0 	2.0 	5.2 p	1.7 p	-3.8 p	2.2 p
RCH_Q,NL	: 	-0.8 	0.9 	-0.8 	1.8 	-0.6 	0.9 	0.0 	2.2 	-0.9 	1.9 	-0.6 	0.9 	-1.8 	1.4 	-1.8 	1.2 	-3.3 	-0.6 	-1.3 	-0.2 	-1.1 	0.4 	-1.9 	0.4 	-2.9 	-0.1 	-3.0 	-1.0 	-2.7 	-3.5 	-1.5 	-2.6 	-2.8 	0.6 	-0.5 	0.0 	0.3 	0.7 	0.7 	1.8 	-0.5 	1.7 	0.7 	1.5 	0.0 	2.5 	1.2 	1.2 	1.1 	2.1 	2.3 	2.3 	0.5 p
RCH_Q,PL	: 	-0.3 	-0.4 	2.3 	6.3 	6.0 	25.5 	20.5 	9.9 	4.9 	1.5 	-5.4 	-0.4 	-0.5 	-3.5 	-0.1 	-0.9 	-1.5 	-0.9 	-3.7 	-2.1 	-0.4 	0.3 	-1.2 	-2.4 	-0.7 	-0.6 	-2.2 	-2.3 	-2.2 	-0.6 	-1.5 	-1.9 	-1.1 	-0.3 	0.1 	-1.0 	2.6 	0.7 	0.7 	0.6 	1.1 	-0.7 	0.4 	0.6 	0.4 	2.2 	0.2 	-1.3 	1.9 	1.0 	-0.1 	1.6 	1.9 
RCH_Q,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.4 	-2.1 	-0.9 	2.4 	0.5 	0.8 	-0.2 	0.1 	-0.9 	-0.9 	-1.5 	-1.1 	-3.0 	-1.1 	-4.0 	-2.1 	-2.8 	-1.1 	0.2 	-1.6 	-0.9 	0.1 	2.4 	2.0 	0.8 	-0.4 	-0.4 	0.7 	2.0 	0.0 	1.3 	2.5 	1.3 	1.3 	1.3 	2.3 	1.6 	4.0 	0.9 	4.3 	0.5 
RCH_Q,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-8.1 	12.3 	-19.2 	6.0 	-7.4 	7.3 	-18.6 	3.8 	-6.5 	5.8 	-18.8 	11.5 	-7.9 	8.5 	-15.0 	14.5 	-7.7 	11.2 	-17.9 	12.4 	-7.2 	14.0 	-16.7 	15.8 	-7.0 	10.7 	-13.2 	17.4 	-4.9 	9.1 	-14.9 	18.0 	-4.0 	7.8 	-15.6 	18.2 	-6.8 
RCH_Q,SE	: 	2.2 	4.2 	3.1 	2.6 	2.2 	2.3 	1.4 	3.0 	4.8 	3.7 	-2.8 	-1.4 	0.7 	-1.4 	-5.3 	1.8 	2.2 	2.4 	2.4 	1.1 	0.8 	1.4 	1.3 	-0.3 	-0.1 	-0.7 	-1.5 	1.5 	0.1 	0.8 	0.9 	1.7 	1.0 	1.2 	1.8 	3.1 	1.1 	2.5 	2.4 	3.9 	2.7 	3.3 	2.8 	2.5 	-0.9 	1.5 	2.0 	2.2 	0.6 	0.8 	-2.3 	-1.3 	-0.7 
RCH_Q,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.6 	0.5 	3.6 	2.0 	-2.9 	-2.2 	0.6 	-4.3 	-3.0 	-6.9 	3.6 	4.2 	-2.0 	-5.5 	2.4 	7.7 	-3.0 	-5.9 	1.6 	-1.4 	-2.0 	-5.6 	-1.8 	3.3 	-2.3 	-8.8 	1.4 	2.0 	-5.0 	-3.4 	3.8 	4.0 	-0.5 	-4.1 	0.6 	5.9 	0.0 	-1.5 	2.1 	3.3 	2.5 	-1.8 	4.0 	6.5 	1.2 
RCH_Q,SK	: 	: 	: 	: 	: 	3.2 	2.0 	6.9 	4.9 	8.4 	7.2 	6.2 	4.0 	2.6 	-5.1 	-3.5 	-7.7 	-3.4 	5.5 	-4.4 	-2.4 	-0.2 	-1.6 	-0.5 	-2.3 	-2.1 	0.5 	-1.7 	-4.0 	-0.7 	0.8 	-1.6 	-0.4 	1.1 	0.3 	0.5 	-1.2 	2.2 	-0.2 	1.8 	1.8 	1.9 	0.3 	1.1 	2.2 	2.8 	1.6 	1.1 	-2.9 	5.5 	1.7 	0.2 	1.4 	0.6 
RCH_Q,UK	: 	2.1 	1.6 	-0.2 	0.3 	2.4 	2.4 	1.2 	1.8 	2.5 	2.7 	-0.4 	-4.1 	-2.0 	-5.3 	-7.1 	-4.3 	0.9 	3.9 	1.7 	0.3 	0.7 	1.0 	-2.8 	-3.2 	-0.2 	0.4 	-2.0 	-1.4 	1.3 	1.1 	-1.9 	-1.1 	1.3 	1.8 	0.3 	0.9 	2.8 	2.9 	0.0 	0.4 	1.4 	3.1 	0.9 	1.3 	1.3 	1.1 	-0.2 	-0.2 	1.4 	1.8 	-0.6 	-0.4 	0.6 p
