unit,geo\time	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
INX_Q,FR	89.85 	92.72 	96.75 	98.28 	100.10 	101.98 	104.96 	105.71 	106.27 	106.74 	108.83 	108.48 	107.03 	105.78 	106.31 	103.46 	100.72 	99.09 	101.22 	101.29 	101.89 	102.78 	105.94 	106.62 	106.73 	107.84 	110.19 	108.56 	106.80 	106.01 	107.01 	105.16 	103.76 	103.02 	104.22 	102.96 	101.94 	101.66 	102.93 	100.52 	99.96 	99.01 	100.91 	100.11 	100.39 	100.07 	102.53 	101.35 	101.75 	102.05 	104.51 	103.36 	103.41 	103.19 p
INX_Q,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	141.43 	137.63 	139.44 	136.53 	133.67 	126.71 	126.21 	124.08 	120.50 	116.79 	117.38 	116.43 	113.93 	114.42 	116.79 	115.93 	115.04 	110.41 	109.63 	104.77 	104.44 	102.98 	104.24 	102.80 	102.53 	102.99 	102.89 	101.43 	101.05 	98.34 	100.46 	100.16 	102.64 	101.19 	103.58 	101.05 	101.15 	104.55 	106.62 	107.69 	109.11 	107.53 
INX_Q,HU	: 	: 	: 	: 	: 	: 	: 	: 	124.73 	125.78 	130.59 	128.70 	122.63 	124.43 	123.70 	122.76 	118.83 	113.85 	110.53 	106.48 	109.60 	105.98 	105.23 	102.45 	102.96 	100.08 	97.77 	93.36 	94.77 	89.91 	88.43 	84.42 	87.05 	85.23 	85.78 	83.72 	85.84 	86.60 	89.47 	91.04 	93.98 	98.50 	103.07 	104.45 	110.28 	111.98 	115.67 	116.38 	113.29 	115.90 	119.57 	120.48 	124.52 	124.07 p
INX_Q,IE	132.50 	134.87 	138.95 	143.28 	144.98 	150.42 	160.44 	159.85 	161.51 	161.61 	162.36 	157.07 	153.32 	149.71 	148.16 	137.18 	134.01 	128.16 	126.37 	119.48 	116.74 p	114.56 p	113.64 p	104.32 p	99.49 p	94.53 p	90.62 p	84.31 p	78.54 p	76.97 p	79.27 p	79.58 p	74.52 p	75.21 p	80.67 p	82.56 p	81.20 p	86.24 p	95.41 p	97.53 p	95.16 p	97.98 p	103.03 p	103.83 p	101.30 p	103.00 p	110.17 p	111.91 p	109.49 p	112.55 p	121.65 p	123.29 p	121.35 p	125.27 p
INX_Q,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	127.36 	126.49 	127.60 	126.35 	125.84 	125.59 	125.83 	122.68 	122.80 	119.41 	117.90 	114.16 	112.17 	110.19 	109.25 	106.88 	106.76 	104.28 	104.01 	101.49 	100.90 	99.10 	101.00 	99.00 	100.60 	99.79 	100.79 	97.92 p	98.70 	97.64 	98.21 	96.86 	97.42 	96.50 p
INX_Q,LT	: 	: 	: 	: 	117.50 	116.38 	128.97 	140.32 	144.50 	148.17 	155.25 	153.07 	152.29 	153.18 	148.75 	136.31 	106.03 	100.53 	96.74 	92.76 	89.75 	90.84 	90.36 	91.40 	93.50 	92.28 	92.92 	92.34 	91.27 	88.87 	89.85 	89.16 	89.33 	89.85 	89.16 	91.46 	92.59 	95.58 	98.09 	96.18 	98.28 	99.60 	102.28 	99.85 	100.58 	102.28 	106.95 	108.03 	108.26 	109.28 	111.64 	111.27 	113.11 	114.85 
INX_Q,LU	: 	: 	: 	: 	: 	: 	: 	: 	82.30 	81.84 	85.25 	82.85 	82.75 	83.75 	83.18 	83.17 	83.06 	82.85 	81.74 	83.16 	87.44 	85.21 	85.96 	86.01 	85.92 	86.34 	86.24 	88.23 	87.13 	87.93 	88.53 	90.41 	90.89 	90.91 	91.77 	92.19 	91.36 	94.35 	96.18 	98.04 	98.49 	99.67 	101.17 	100.66 	103.37 	105.44 	107.02 	107.95 	108.86 	110.56 	110.52 	110.84 	114.89 	: 
INX_Q,LV	: 	: 	: 	: 	122.72 	131.08 	141.53 	154.60 	167.83 	165.97 	172.67 	165.30 	169.98 	159.13 	146.32 	123.94 	104.09 	95.34 	95.43 	94.20 	87.54 	87.17 	89.22 	91.69 	91.66 	91.92 	94.78 	91.63 	89.94 	90.29 	92.92 	95.52 	93.90 	97.86 	99.22 	101.80 	102.37 	103.56 	107.75 	95.90 	97.41 	99.37 	100.61 	102.61 	103.81 	108.76 	108.74 	108.20 	109.50 	114.39 	115.12 	114.11 	119.01 	121.30 p
INX_Q,MT	68.92 	68.63 	74.33 	71.44 	74.13 	81.59 	84.53 	91.10 	95.51 	99.49 	100.41 	100.59 	108.02 	102.90 	108.49 	104.96 	101.27 	99.11 	100.42 	97.25 	99.79 	98.67 	101.57 	93.94 	94.52 	95.88 	96.65 	93.31 	94.38 	92.27 	99.01 	96.36 	93.92 	91.67 	96.46 	94.54 	94.53 	94.06 	96.72 	99.12 	96.27 	95.70 	102.83 	105.20 	100.20 	101.27 	107.74 	109.92 	104.37 	106.44 	111.98 p	113.92 p	109.55 p	111.93 p
INX_Q,NL	121.89 	120.90 	121.95 	121.03 	123.20 	122.47 	123.59 	123.57 	126.33 	125.22 	127.66 	126.92 	128.10 	125.84 	127.59 	125.24 	126.78 	122.60 	121.92 	120.38 	120.14 	118.85 	119.34 	117.02 	117.54 	114.12 	114.05 	110.65 	109.56 	106.64 	102.91 	101.35 	98.70 	95.89 	96.50 	95.99 	95.99 	96.23 	96.95 	97.64 	99.37 	98.85 	100.54 	101.25 	102.81 	102.86 	105.42 	106.67 	107.95 	109.10 	111.35 	113.92 	116.52 	117.11 p
