unit,geo\time	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
INX_Q,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	74.05 	76.54 	78.16 	78.44 	79.01 	81.05 	82.83 	83.50 	85.50 	86.75 	89.14 	88.89 	90.37 	91.74 	94.48 	91.81 	94.32 	95.83 	95.14 	96.03 	93.88 	99.89 	104.01 	102.22 	106.48 	108.87 	109.43 	109.35 	111.54 	114.24 	114.75 	116.51 	117.50 	118.51 
INX_Q,BE	69.68 	71.24 	73.78 	75.24 	76.70 	78.79 	81.07 	81.69 	83.62 	85.28 	86.90 	87.24 	88.09 	89.34 	90.62 	90.12 	88.95 	88.09 	90.15 	89.30 	90.28 	91.12 	92.86 	93.41 	94.07 	94.93 	96.80 	96.64 	97.33 	97.42 	98.52 	97.72 	98.34 	98.60 	99.82 	98.83 	97.00 	97.67 	98.96 	99.78 	97.40 p	99.56 p	101.75 p	101.29 p	100.56 p	101.75 p	104.31 p	103.94 p	105.01 	104.67 	108.18 	107.63 	107.67 	108.70 p
INX_Q,BG	76.01 p	79.26 p	81.55 p	83.52 p	87.47 p	88.91 p	92.96 p	98.09 p	107.23 p	112.97 p	121.42 p	132.06 p	141.08 p	149.36 p	153.92 p	147.53 p	130.77 p	118.17 p	112.62 p	109.58 p	107.18 	106.52 	105.38 	104.15 	102.03 	100.23 	99.54 	98.10 	98.23 	98.67 	98.57 	96.82 	96.00 	96.48 	95.52 	95.66 	96.66 	96.97 	97.21 	98.32 	98.85 	99.71 	99.21 	102.23 	103.38 	106.24 	107.94 	110.52 	112.66 	115.37 	117.62 	119.53 	120.65 p	124.03 p
INX_Q,CY	93.41 	95.38 	98.79 	100.64 	103.04 	106.44 	110.64 	114.16 	116.41 	119.71 	124.05 	125.11 	129.59 	130.42 	128.69 	123.96 	122.40 	121.17 	119.19 	116.27 	114.37 p	112.79 p	112.39 p	112.05 p	111.56 p	113.99 p	111.22 p	107.60 p	106.40 p	106.02 p	110.14 p	108.22 p	104.54 p	104.77 p	103.05 p	100.78 p	98.08 p	103.55 p	102.70 p	101.56 p	97.52 b	100.59 	102.49 	99.40 	97.29 	99.18 	101.87 	102.72 	99.64 p	102.74 p	102.46 p	105.24 p	103.34 p	103.98 p
INX_Q,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97.2 	101.2 	102.7 	102.1 	99.9 	96.7 	95.9 	95.2 	95.2 	95.4 	95.1 	95.2 	95.4 	95.9 	95.3 	94.4 	93.9 	94.0 	93.8 	93.7 	93.6 	94.1 	94.0 	93.8 	95.0 	95.8 	96.6 	97.3 	98.3 	99.4 	100.6 	101.7 p	103.0 	105.1 	107.7 	112.8 p	116.2 	119.1 	121.2 	122.3 p	125.0 	128.0 p
INX_Q,DE	84.2 	82.7 	84.4 	82.0 	83.2 	83.5 	82.3 	83.0 	80.0 	81.7 	81.6 	81.6 	82.8 	83.1 	81.6 	81.8 	81.8 	83.1 	82.9 	84.2 	83.0 	84.3 	84.3 	83.8 	86.0 	87.1 	86.7 	87.3 	87.9 	89.1 	90.4 	91.6 	91.3 	93.1 	92.9 	93.0 	93.8 	95.7 	96.2 	96.2 	97.8 	99.9 	100.4 	101.8 	102.5 	105.5 	107.0 	108.8 	107.7 	109.9 	111.7 	113.8 	113.6 p	115.1 p
INX_Q,DK	75.49 	79.46 	85.56 	91.19 	97.68 	103.64 	105.67 	104.58 	105.01 	106.41 	106.58 	104.58 	103.24 	103.56 	100.91 	93.04 	87.14 	88.18 	88.88 	88.55 	89.12 	91.00 	91.73 	90.78 	89.91 	91.94 	88.90 	85.74 	85.75 	86.99 	87.26 	86.85 	88.03 	91.17 	91.21 	89.95 	91.22 	94.69 	94.21 	93.83 	97.34 	100.59 	101.03 	101.04 	102.99 	105.58 	107.00 	105.29 	107.60 	110.52 	111.98 	109.89 	114.00 	115.80 p
INX_Q,EE	50.59 	57.07 	60.25 	68.14 	77.03 	84.82 	90.76 	100.27 	103.53 	110.16 	107.00 	105.46 	102.22 	99.17 	99.04 	84.74 	66.51 	61.83 	57.25 	56.27 	62.84 	63.42 	65.82 	63.51 	67.03 	68.98 	70.29 	70.98 	71.91 	74.27 	76.17 	75.13 	77.45 	80.30 	84.60 	86.82 	91.01 	91.98 	95.77 	95.57 	98.31 	101.60 	99.63 	100.46 	100.32 	103.47 	106.98 	108.21 	108.08 	108.42 	112.06 	113.49 	115.17 	116.43 
INX_Q,ES	: 	: 	: 	123.70 	128.30 	133.79 	138.16 	141.74 	145.14 	149.29 	150.90 	149.82 	149.27 	148.88 	146.51 	141.99 	138.20 	137.58 	136.33 	135.78 	134.08 	136.26 	134.01 	133.86 	129.31 	127.76 	123.20 	116.80 	110.97 	107.37 	103.36 	101.91 	96.75 	95.98 	96.72 	95.50 	95.20 	96.78 	96.99 	97.18 	96.67 	100.67 	101.34 	101.31 	102.74 	104.55 	105.41 	105.78 	108.20 	110.39 	112.43 	113.39 	114.96 	117.90 
INX_Q,FI	73.62 p	75.74 p	76.97 p	78.67 p	79.60 p	81.41 p	81.98 p	83.23 p	85.08 p	86.56 p	86.82 p	87.00 p	87.88 p	88.65 p	87.52 p	84.19 p	86.17 	87.53 	88.85 	90.70 	92.75 	93.56 	94.62 	94.60 	95.84 	97.55 	97.31 	96.76 	98.39 	99.44 	99.36 	99.63 	100.26 	100.68 	100.54 	99.93 	100.06 	100.47 	100.03 	99.42 	99.81 	100.16 	100.12 	99.90 	99.80 	100.98 	100.58 	100.40 	101.75 	102.68 	102.05 	101.56 	101.71 	103.42 
INX_Q,FR	79.81 	83.19 	87.10 	88.77 	90.81 	93.64 	96.59 	97.38 	98.11 	99.83 	102.11 	102.76 	102.13 	102.42 	102.72 	99.24 	95.51 	94.16 	95.68 	95.95 	96.72 	98.69 	101.52 	102.70 	103.34 	105.39 	107.57 	106.53 	105.12 	105.19 	105.86 	104.35 	103.06 	102.94 	103.83 	102.68 	101.46 	101.69 	102.44 	100.35 	99.39 	99.53 	100.94 	100.14 	99.71 	100.20 	102.35 	101.78 	102.39 	103.40 	105.69 	105.14 	105.40 	106.31 p
