na_item,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NULC_PER,I10,AT	87.3 	86.8 	86.4 	86.5 	86.4 	86.3 	87.1 	87.4 	88.7 	88.6 	89.5 	90.8 	91.7 	95.2 	100.0 	100.0 	100.7 	103.8 	106.4 	108.7 	110.2 	112.0 	112.7 
NULC_PER,I10,BE	80.4 	80.9 	80.9 	81.9 	82.9 	83.2 	86.7 	88.4 	89.3 	88.6 	89.6 	91.6 	93.2 	97.6 	100.7 	100.0 	102.7 	106.1 	108.3 	108.4 	107.5 	107.9 	109.6 
NULC_PER,I10,BG	1.9 	3.0 	34.1 	51.1 	57.0 	58.3 	63.2 	63.4 	64.6 	66.2 	69.3 	71.3 	77.2 	87.0 	95.9 	100.0 	102.5 	107.6 p	116.0 p	120.7 p	123.7 p	126.5 p	137.1 p
NULC_PER,I10,CY	65.8 	68.4 	70.8 	69.7 	70.6 	71.8 	73.2 	75.6 	82.3 	83.2 	87.7 	88.9 	90.0 	92.8 	100.2 	100.0 	101.7 	103.1 	97.4 	93.5 	91.9 	90.7 p	91.0 p
NULC_PER,I10,CZ	55.4 	62.6 	69.0 	73.8 	75.6 	77.3 	81.1 	86.6 	89.3 	91.7 	91.2 	91.6 	94.0 	97.4 	99.9 	100.0 	100.7 	103.7 	104.2 	104.7 	103.8 	107.0 	110.9 
NULC_PER,I10,DE	94.0 	94.3 	93.1 	93.3 	94.0 	94.6 	94.5 	95.3 	96.4 	95.8 	95.3 	93.6 	93.0 	95.2 	101.2 	100.0 	100.7 	103.9 	105.9 	107.4 	109.4 	110.8 	112.9 
NULC_PER,I10,DK	69.5 	71.0 	71.9 	74.2 	75.6 	75.7 	78.8 	81.4 	83.3 	83.2 	85.2 	86.8 	91.3 	96.5 	101.0 	100.0 	100.0 	100.9 	101.5 	102.3 	103.9 	104.8 	105.3 
NULC_PER,I10,EE	37.9 	45.2 	48.6 	52.0 	54.4 	55.4 	57.6 	60.0 	63.4 	66.7 	68.9 	75.3 	87.9 	102.5 	104.8 	100.0 	99.8 	104.8 	109.1 	113.8 	118.7 	122.2 	127.9 
NULC_PER,I10,EL	53.0 	56.0 	60.7 	64.6 	66.8 	67.8 	69.0 	75.3 	77.7 	79.0 	86.0 	85.5 	87.7 	92.4 	99.0 	100.0 	98.6 p	96.7 p	90.0 p	88.4 p	87.2 p	87.0 p	87.5 p
NULC_PER,I10,ES	67.0 	69.1 	70.7 	72.0 	73.5 	75.3 	77.7 	80.2 	82.6 	85.0 	88.0 	90.9 	94.6 	100.0 	101.6 	100.0 	99.0 	96.5 	95.9 	95.6 	96.2 	95.5 p	95.6 p
