co_nco,sector,finpos,na_item,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT	198227.3 	207799.7 	223472.6 	234170.4 	255587.5 	282849.7 	295980.9 	303226.6 	316422.7 	325311.6 	342586.5 	365044.6 	398856.5 	419084.3 	418427.5 	436885.2 	451095.9 	457897.2 	475237.5 	475347.6 	490970.2 	512449.4 	525835.8 
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE	223897.1 	236670.0 	263444.3 	287858.3 	330193.8 	374824.9 	402224.9 	407656.3 	437720.2 	470530.4 	486319.4 	517223.2 	584447.5 	674660.3 	718238.4 	710145.2 	773679.8 	811051.7 	822239.8 	833320.1 	869403.7 	986287.2 	965228.3 
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG	395.0 	1138.0 	2068.0 	3084.0 	5055.0 	9968.0 	14412.0 	15804.0 	20901.0 	29452.0 	41398.0 	51698.0 	79329.0 	99511.0 	105047.0 	106436.0 	107836.0 	110583.0 	117116.0 	114378.0 	107644.0 	109499.0 	110253.0 
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY	24389.7 	25115.5 	26402.7 	28093.3 	29562.4 	32310.6 	31310.2 	32939.1 	33175.5 	34829.0 	40085.9 	42126.1 	47275.3 	55029.6 	58049.5 	61872.0 	64572.8 	64400.4 	61951.6 	62293.4 	62923.8 	62642.2 	62078.0 
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ	1111324.0 	1276383.0 	1521044.0 	1436217.0 	1475885.0 	1482798.0 	1445944.0 	1555860.0 	1475267.0 	1627571.0 	1752269.0 	2030585.0 	2371675.0 	2720647.0 	2776446.0 	2872755.0 	2995565.0 	3124606.0 	3452968.0 	3476749.0 	3580895.0 	3699902.0 	3867705.0 
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE	2096995.0 	2218846.0 	2330925.0 	2469855.0 	2575612.0 	2724944.0 	2817265.0 	2872798.0 	2908364.0 	2861894.0 	2843993.0 	2898853.0 	2943632.0 	2980527.0 	2951655.0 	2947486.0 	2960374.0 	3019579.0 	3116309.0 	3130808.0 	3228630.0 	3333414.0 	3510629.0 
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK	1480136.0 	1613578.0 	1751521.0 	1798791.0 	1928769.0 	2146283.0 	2373557.0 	2432699.0 	2549892.0 	2746478.0 	3031312.0 	3539227.0 	3835938.0 	4169395.0 	4144441.0 	4214353.0 	4295051.0 	4430238.0 	4386379.0 	4397992.0 	4560550.0 	4675430.0 	4710829.0 
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE	979.7 	1471.6 	2403.0 	3367.7 	3716.6 	4495.8 	5658.3 	7033.2 	8468.6 	10773.7 	13619.2 	19844.1 	24764.3 	26686.7 	23655.4 	22436.6 	22094.0 	23175.9 	24071.1 	25690.0 	25916.5 	26375.3 	27075.6 
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL	33451.8 	37592.9 	42659.1 	50834.1 	58927.5 	74934.5 	91649.0 	104598.7 	121964.3 	143218.2 	171362.3 	202290.3 	236971.0 	274366.6 	277374.6 	289539.7 	269587.2 	251431.1 	235418.0 	230867.0 	224664.8 	218800.6 	209743.2 
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES	367863.0 	389038.0 	429440.0 	494544.0 	614809.0 	765787.0 	892354.0 	1005479.0 	1141910.0 	1325929.0 	1581262.0 	1942230.0 	2223842.0 	2339310.0 	2315046.0 	2334581.0 	2293617.0 	2150720.0 	2023871.0 	1936454.0 	1888356.0 	1862088.0 	1838760.0 
