currency,bop_item,sector10,sectpart,partner,stk_flow,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,AT	: 	: 	: 	: 	22679.0 	29773.0 	35637.0 	44498.0 	48436.0 	56512.0 	133262.0 	161176.0 	207604.0 	218772.0 	235387.0 	238029.0 	260739.0 	277550.0 	285129.0 	301925.0 	302321.0 	276239.0 	283848.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	320553.0 	365494.0 	421911.0 	660494.0 	696258.0 	776537.0 	864777.0 	861445.0 	819512.0 	931765.0 	988653.0 	1024843.0 	963496.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG	: 	: 	: 	: 	: 	183.6 	162.2 	226.5 	216.4 	679.7 	795.0 	1302.9 	2513.9 	3796.3 	3982.7 	5469.5 	6168.9 	6658.8 	6991.7 	7845.0 	8072.5 	9655.4 	10796.2 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	124163.0 	122708.0 	148780.0 	132610.0 	161979.0 	149693.0 	141504.0 	184594.0 	194713.0 	190573.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ	9190.0 	13609.0 	18989.0 	24004.0 	25115.0 	27899.0 	41176.0 	44397.0 	58582.0 	140147.0 	195228.0 	246444.0 	354163.0 	479984.0 	562744.0 	647520.0 	666546.0 	762409.0 	915136.0 	975542.0 	1049150.0 	1113476.0 	1158096.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE	: 	: 	: 	: 	458290.0 	590738.0 	710710.0 	691453.0 	696648.0 	721306.0 	844891.0 	938463.0 	1049715.0 	1048783.0 	1114315.0 	1223562.0 	1310913.0 	1461890.0 	1517375.0 	1643944.0 	1798571.0 	1868514.0 	1926403.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	808470.0 	825855.0 	908801.0 	1025290.0 	1107532.0 	1244176.0 	1344580.0 	1387557.0 	1411985.0 	1516186.0 	1621444.0 	1797855.0 	1809210.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EE	: 	: 	: 	: 	: 	411.8 	691.9 	898.7 	1181.2 	1513.6 	2266.9 	3628.2 	5576.7 	6271.0 	5954.0 	6487.0 	6064.0 	7134.0 	7696.7 	8712.9 	8392.4 	8818.1 	9140.8 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL	: 	: 	: 	: 	: 	: 	: 	: 	10253.0 	10706.0 	12316.0 	17806.0 	22772.0 	28443.0 	33944.0 	36953.0 	39939.0 	37036.0 	29280.0 	27542.0 	26392.0 	21218.0 	20239.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,ES	: 	: 	: 	: 	108877.0 	152946.0 	173911.0 	165713.0 	191577.0 	223780.0 	271259.0 	351118.0 	421977.0 	453925.0 	477766.0 	513258.0 	524716.0 	535567.0 	515716.0 	540475.0 	589708.0 	632758.0 	630270.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,FI	: 	: 	: 	: 	41679.1 	68760.8 	71175.1 	72178.8 	73734.9 	78670.0 	90199.0 	91633.9 	103953.3 	120833.8 	123137.3 	140450.9 	134036.2 	145366.7 	136177.9 	127079.6 	133010.0 	146896.0 	153066.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,FR	: 	: 	: 	: 	350371.0 	537134.0 	607150.0 	563290.0 	593963.0 	637503.0 	772998.0 	868023.0 	939284.0 	948759.0 	1044552.0 	1165280.0 	1252232.0 	1295271.0 	1284166.0 	1393357.0 	1499170.0 	1558985.0 	1546931.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,HR	: 	: 	: 	: 	: 	6556.7 	6993.0 	11447.0 	12060.0 	11794.0 	12466.0 	13279.0 	19057.0 	27163.0 	33922.0 	27768.0 	29031.0 	27844.0 	26453.0 	38714.0 	41017.0 	39239.0 	43395.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,HU	: 	: 	: 	: 	330862.0 	484327.2 	598449.7 	1057451.1 	1828468.4 	2237256.1 	3070357.6 	23282521.5 	34887741.5 	47060766.0 	45614124.0 	44639631.0 	52261413.0 	52652748.3 	51444571.9 	55884838.2 	62077648.3 	79152365.7 	67585514.2 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,IE	: 	: 	: 	: 	: 	: 	: 	126903.6 	152114.0 	202113.1 	290251.1 	305177.0 	330164.2 	375577.0 	482470.0 	529252.0 	548780.0 	613491.0 	711919.0 	912372.0 	1325798.0 	1413802.0 	1253862.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,IT	: 	: 	: 	: 	196318.0 	215103.0 	228781.0 	203568.0 	203325.0 	216921.0 	264697.0 	306306.0 	376825.0 	389622.0 	434100.0 	445007.0 	478218.0 	491232.0 	505587.0 	520643.0 	540390.0 	555153.0 	563511.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	434.5 	857.1 	1196.5 	1695.5 	1998.3 	2365.5 	2359.7 	2431.8 	2604.4 	3186.1 	3605.4 	3816.2 	4599.4 	5400.8 
