unit,direct,na_item,sector,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT	99.00 	101.37 	101.86 	100.00 	97.59 	97.36 	95.74 	97.73 	95.56 	95.49 	97.08 	95.01 	93.20 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE	100.61 	101.25 	100.83 	100.00 	99.81 	100.01 	98.37 	98.90 	99.23 	101.35 	102.80 	100.02 	: 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG	90.10 	94.56 	93.75 	100.00 	96.39 	99.22 	103.19 	101.88 	109.65 	114.38 	124.55 	133.71 	: 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH	90.03 	94.01 	100.87 	100.00 	99.46 	97.69 	100.44 	105.76 	109.21 	111.71 p	113.51 p	114.90 p	: 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY	93.17 	95.45 	100.18 	100.00 	92.85 	89.33 	85.47 	80.53 	78.16 	74.43 	79.86 	83.01 p	: 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ	96.88 	99.14 	102.53 	100.00 	101.15 	102.55 	100.91 	100.26 	102.11 	107.64 	112.59 	111.85 	112.01 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE	97.23 	98.92 	100.90 	100.00 	98.65 	100.89 	102.72 	104.66 	104.11 	106.87 	109.91 	108.85 	108.95 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DK	95.27 	99.15 	102.42 	100.00 	99.45 	102.90 	102.42 	101.70 	102.48 	103.66 	108.97 	107.30 	108.39 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,EA19	99.05 	100.79 	102.00 	100.00 	98.32 	98.69 	97.86 	97.11 	96.38 	98.18 	101.53 	100.84 	100.87 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,EE	92.09 	95.07 	100.39 	100.00 	94.21 	92.48 	93.18 	95.62 	95.35 	99.92 	106.57 	107.09 	107.09 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,EL	97.30 p	101.68 p	101.47 p	100.00 p	97.79 p	85.01 p	76.52 p	72.06 p	70.04 p	74.56 p	76.16 p	74.24 p	: 
