currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT	: 	: 	: 	: 	307.0 	-3364.0 	-3109.0 	5792.0 	-8.0 	3552.0 	138.0 	4516.0 	7305.0 	14632.0 	875.0 	5759.0 	11031.0 	10208.0 	7885.0 	-1972.0 	5223.0 	1881.0 	45.0 
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	4294.0 	-7683.0 	-1377.0 	-6543.0 	-9721.0 	21263.0 	-43129.0 	-38918.0 	-22938.0 	21252.0 	3283.0 	6566.0 	14747.0 	-27133.0 	26591.0 
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-16432.6 	-11625.0 	-4928.7 	-1825.1 	-2325.9 	-2088.6 	-2431.3 	-285.5 	-4383.2 	-1203.7 	-2110.1 
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1537.0 	-1393.0 	2484.0 	-3006.0 	1994.0 	-304.0 	-1398.0 	8416.0 	-1803.0 	-4539.0 
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ	-67020.0 	-34625.0 	-40451.0 	-115865.0 	-215703.0 	-190768.0 	-208297.0 	-270931.0 	-53501.0 	-101776.0 	-279632.0 	-90261.0 	-179064.0 	-36327.0 	-37694.0 	-94992.0 	-46805.0 	-121260.0 	7436.0 	-80381.0 	49747.0 	-186549.0 	-135319.0 
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE	20286.0 	34531.0 	27039.0 	58853.0 	49943.0 	-153251.0 	15071.0 	-36741.0 	-23754.0 	24567.0 	21787.0 	48647.0 	65106.0 	43267.0 	32202.0 	45158.0 	7492.0 	26449.0 	20108.0 	71394.0 	67536.0 	31170.0 	42249.0 
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24399.0 	33365.0 	33070.0 	80298.0 	15059.0 	62538.0 	-962.0 	30906.0 	35468.0 	18188.0 	35642.0 	68525.0 	35600.0 
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	-554.6 	-1718.0 	-252.8 	-458.0 	-470.0 	-333.0 	-1012.5 	-1769.0 	-397.8 	-192.4 	-483.6 	132.4 	-503.7 	-859.5 
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	679.0 	-1046.0 	2290.0 	-1421.0 	-273.0 	927.0 	453.0 	-827.0 	-2712.0 	249.0 	279.0 	-4003.0 	-2689.0 
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES	-2552.0 	-1953.0 	4833.0 	5390.0 	24070.0 	20235.0 	5250.0 	-6911.0 	2567.0 	28951.0 	13511.0 	58546.0 	53193.0 	-1530.0 	1945.0 	-1464.0 	9226.0 	-21121.0 	-18538.0 	6482.0 	25563.0 	14431.0 	16901.0 
