unit,nace_r2,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_EMP,C_HTC_MH,AT	5.0 b	5.0 	5.1 	5.5 	5.8 	5.8 	5.9 	6.2 	6.0 	5.9 
PC_EMP,C_HTC_MH,BE	5.9 b	5.2 	5.3 	5.2 b	5.0 	4.7 	4.8 	4.6 	4.5 	4.2 b
PC_EMP,C_HTC_MH,BG	4.2 b	3.6 	3.3 b	3.4 b	3.6 	3.9 	3.7 	3.9 	4.0 	3.8 
PC_EMP,C_HTC_MH,CH	6.5 b	6.3 	6.2 b	6.2 	6.0 	6.0 	5.9 	5.6 	5.6 	5.7 
PC_EMP,C_HTC_MH,CY	0.8 b	0.7 b	0.6 	0.7 	0.7 	1.0 	0.9 	0.8 	0.8 	0.8 
PC_EMP,C_HTC_MH,CZ	10.2 b	9.5 	9.5 	9.9 b	10.6 	10.5 	11.2 	11.2 	11.5 	11.4 
PC_EMP,C_HTC_MH,DE	9.9 b	9.9 	9.7 b	9.8 b	9.7 	9.6 	9.7 	9.9 	9.8 	9.8 
PC_EMP,C_HTC_MH,DK	5.5 b	5.0 	5.2 	5.4 	5.1 	5.0 	5.0 	5.1 	5.0 b	5.0 b
PC_EMP,C_HTC_MH,EA18	6.2 b	6.1 	5.9 	6.0 	6.0 	6.0 	6.0 	6.1 	6.1 	6.1 
PC_EMP,C_HTC_MH,EA19	6.2 b	6.0 	5.9 	6.0 	6.0 	6.0 	6.0 	6.1 	6.1 	6.1 
PC_EMP,C_HTC_MH,EE	4.0 b	4.1 	3.5 	4.4 	4.2 	4.1 	3.5 	3.6 	4.0 	3.8 
PC_EMP,C_HTC_MH,EL	1.7 b	1.5 b	1.5 	1.4 	1.3 	1.2 	1.2 	1.3 	1.4 	1.3 
PC_EMP,C_HTC_MH,ES	4.0 b	3.8 	3.8 	3.8 	3.8 	3.9 	3.9 	4.0 	3.9 	4.1 
PC_EMP,C_HTC_MH,EU27	5.9 b	5.6 	5.5 	5.6 	5.6 	5.6 	5.7 	5.8 	5.8 	5.8 
PC_EMP,C_HTC_MH,EU28	5.9 b	5.6 	5.5 	5.6 	5.6 	5.6 	5.7 	5.7 	5.8 	5.8 
PC_EMP,C_HTC_MH,FI	6.0 b	5.6 	5.4 	5.3 	5.3 	5.1 	5.0 	4.7 	4.8 	4.9 
PC_EMP,C_HTC_MH,FR	5.4 b	5.1 	4.8 	4.8 	4.6 	4.5 	4.4 b	4.4 	4.4 	4.5 
PC_EMP,C_HTC_MH,HR	3.8 b	3.3 	3.1 	3.8 	3.8 	3.6 	3.3 	3.2 	3.4 	3.7 
PC_EMP,C_HTC_MH,HU	8.6 b	7.8 	8.2 	8.7 	8.4 	8.5 	8.9 	9.1 	9.5 	9.8 
PC_EMP,C_HTC_MH,IE	4.7 b	4.9 	5.0 	5.0 	5.0 	5.1 	4.9 	5.2 	5.3 	4.4 b
PC_EMP,C_HTC_MH,IS	1.3 b	1.6 	1.4 	1.4 	1.4 	1.5 	1.7 	1.5 	1.7 	1.3 
PC_EMP,C_HTC_MH,IT	6.0 b	6.0 	5.8 	5.8 	5.9 	5.9 	6.0 	6.1 	6.1 	6.0 
PC_EMP,C_HTC_MH,LT	2.1 b	2.1 	1.8 	1.7 	1.8 	1.8 	1.9 	2.1 	2.1 	2.2 
PC_EMP,C_HTC_MH,LU	0.9 b	0.9 b	1.0 	0.7 	0.9 	0.9 	1.3 	0.8 b	0.8 	0.6 
PC_EMP,C_HTC_MH,LV	1.9 b	1.4 	1.3 	1.3 	1.5 	1.8 	1.6 	1.6 	1.8 	1.7 
PC_EMP,C_HTC_MH,ME	: 	: 	: 	: u	: u	: u	: u	: u	: u	: u
PC_EMP,C_HTC_MH,MK	: 	: 	: 	1.7 	1.4 	1.4 	2.1 	2.7 	2.9 	3.6 
PC_EMP,C_HTC_MH,MT	4.8 b	4.3 	4.3 	4.2 	3.8 	3.9 	4.0 	3.4 	3.7 	3.6 
