fin_source,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.0 	: 	: 	: 
TOTAL,LU	139.7 	160.8 	156.8 	177.3 	194.5 	212.6 	238.1 	280.2 	289.4 	306.6 	310.4 	299.4 	310.6 	323.3 	318.6 	327.1 	353.3 
TOTAL,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.9 	19.1 	: 	: 
TOTAL,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.7 	15.4 	: 	: 
TOTAL,NL	7522.0 	-3832.4 	-1572.0 	13433.3 	11340.0 	18311.0 	22790.5 	13237.5 	-9533.7 	4333.7 	9816.0 	15837.7 	15521.9 	14628.3 	51843.4 	61433.0 	35049.7 
TOTAL,NO	1555.7 	1657.6 	2410.4 	2924.0 	2238.5 	3727.5 	4347.7 	4653.3 	2555.9 	3568.1 	4432.5 	3416.3 	3698.7 	4201.4 	3794.0 	4114.1 	3872.9 
TOTAL,PL	31.2 	39.7 	15.1 	24.0 	94.5 	164.6 	238.7 	264.8 	253.3 	268.8 	284.9 	299.9 	327.7 	366.8 	340.1 	449.9 	598.0 
TOTAL,PT	5004.0 	1982.0 	184.9 	1012.0 	543.5 	891.6 	530.4 	1616.4 	1038.6 	-759.7 	122.2 	-933.1 	369.5 	1750.9 	1783.6 	115.4 	567.4 
TOTAL,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.8 	: 	: 	: 
TOTAL,SE	4278.6 	3435.9 	2360.0 	1109.8 	2375.1 	2849.8 	3325.4 	5042.8 	4008.5 	5136.1 	3867.7 	4740.2 	11018.4 	7866.2 	7019.3 	9342.0 	7630.6 
TOTAL,SI	: 	: 	: 	: 	: 	27.9 	35.1 	39.5 	46.0 	51.1 	44.2 	45.1 	45.5 	46.3 	46.3 	140.9 	209.2 
TOTAL,SK	6.3 	9.2 	7.1 	13.3 	22.7 	45.7 	43.9 	49.1 	62.4 	54.1 	55.6 	61.8 	62.0 	64.8 	62.6 	76.5 	95.9 
TOTAL,TR	152.8 	71.6 	77.2 	95.0 	907.0 	845.5 	1324.6 	975.3 	1072.0 	1089.5 	1296.1 	1697.9 	2674.7 	3273.2 	4819.8 	4600.9 	7176.1 
TOTAL,UK	11076.1 	10735.3 	8077.7 	16390.3 	25485.6 	25133.6 	21456.9 	36400.4 	28473.0 	17718.2 	19334.7 	33657.3 	49393.8 	23144.7 	23943.4 	16714.6 	16309.3 
