fin_source,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
FLOW_PRV,FI	39.8 	637.6 	-744.4 	-287.7 	443.3 	711.1 	429.3 	767.2 	-966.9 	1248.0 	2204.0 	-1075.8 	139.8 	-319.9 	964.4 	-1266.3 	579.8 
FLOW_PRV,FR	1557.6 	13273.3 	59.0 	-688.0 	3509.3 	6445.4 	11605.7 	26458.7 	20877.8 	18449.9 	10914.1 	15311.8 	14070.9 	-1119.2 	5964.9 	-7389.3 	9982.8 
FLOW_PRV,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3 
FLOW_PRV,IE	450.4 	387.4 	1042.3 	1367.6 	2419.8 	3433.0 	3087.8 	3158.7 	3059.6 	2150.8 	1131.5 	718.4 	: 	753.0 	: 	: 	: 
FLOW_PRV,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 	: 
FLOW_PRV,IT	9425.4 	-2675.6 	-2761.1 	353.1 	-1174.5 	-1131.2 	81.8 	-1600.7 	139.1 	1232.2 	4322.5 	4637.6 	5787.8 	8300.4 	2932.8 	9042.6 	12002.7 
FLOW_PRV,NL	4070.2 	-7892.5 	-6523.5 	6625.8 	4527.2 	5206.6 	13404.8 	8550.2 	-14500.3 	-949.5 	5253.7 	11411.1 	11015.7 	9919.7 	48013.0 	55855.7 	31264.7 
FLOW_PRV,NO	-39.0 	-146.5 	24.1 	1059.5 	510.5 	1484.5 	2002.7 	1924.8 	-167.6 	639.5 	1134.5 	0.0 	0.0 	0.0 	1.5 	0.0 	: 
FLOW_PRV,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	52.6 	: 
FLOW_PRV,PT	4343.2 	1421.1 	-380.4 	600.8 	150.1 	446.8 	34.7 	1130.8 	167.2 	-1673.3 	-1064.2 	-1506.3 	-60.7 	1258.4 	1532.4 	-33.1 	343.8 
FLOW_PRV,SE	942.7 	565.6 	313.5 	-298.0 	477.3 	345.4 	265.5 	1628.7 	-213.2 	634.5 	52.3 	983.7 	7172.9 	3650.1 	2652.5 	3096.6 	2072.1 
FLOW_PRV,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.9 	135.8 
FLOW_PRV,TR	: 	: 	: 	: 	: 	: 	792.0 	532.9 	494.0 	512.3 	505.6 	631.6 	572.1 	617.4 	1815.6 	538.1 	535.4 
FLOW_PRV,UK	6184.1 	5797.7 	3800.0 	11067.0 	19228.3 	16473.6 	14990.5 	28600.7 	17681.6 	6790.9 	8510.6 	22148.1 	36604.4 	9091.9 	9605.3 	: 	: 
GRNT_NGO,AT	68.4 	63.3 	60.7 	63.2 	71.3 	112.1 	94.5 	89.6 	93.2 	100.1 	126.0 	130.7 	204.6 	133.0 	143.9 	: 	: 
