sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PNP,PC_GDP,FI	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.03 	0.03 	0.02 	0.02 	0.02 	0.02 	0.02 
PNP,PC_GDP,FR	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.02 	0.02 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.04 p	0.04 p
PNP,PC_GDP,HR	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: d	: d	: d	: d	: 
PNP,PC_GDP,IS	0.05 e	0.07 	0.06 e	0.06 	: 	0.08 	0.08 	0.06 	0.06 	0.06 	: 	0.07 be	: 	0 b	0 	: 	0 
PNP,PC_GDP,IT	: 	: 	0.01 	0.02 	0.02 	0.02 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 p
PNP,PC_GDP,JP	0.13 	0.07 b	0.06 	0.06 	0.06 	0.06 	0.06 	0.06 	0.05 	0.05 	0.05 	0.05 	0.05 	0.04 	0.05 	0.04 	: 
PNP,PC_GDP,KR	0.03 d	0.02 d	0.03 d	0.03 d	0.03 d	0.04 d	0.03 d	0.04 b	0.04 	0.05 	0.06 	0.06 	0.05 	0.06 	0.07 	0.07 	: 
PNP,PC_GDP,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 
PNP,PC_GDP,LV	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNP,PC_GDP,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.01 	: 	0.01 	0.01 	0.01 	: 
PNP,PC_GDP,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0.01 
PNP,PC_GDP,MT	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
PNP,PC_GDP,NL	0.02 	: d	0.01 	: d	: d	: d	: d	: d	: d	: d	: d	: d	: d	: d	: d	0 d	: 
PNP,PC_GDP,PL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p
PNP,PC_GDP,PT	0.08 e	0.08 	0.08 e	0.08 	0.08 e	0.09 	0.1 e	0.11 	0.12 	0.14 	0.15 	0.13 	0.12 	0.02 b	0.02 	0.02 	0.02 p
PNP,PC_GDP,RO	: 	: 	: 	0 	0 	0.01 	0.01 	0 	0 	0 	0 	0 b	0 	0 	0 	0 	0 
PNP,PC_GDP,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
PNP,PC_GDP,RU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PNP,PC_GDP,SE	: 	0 	: 	0.01 	0.01 	0.01 b	0.01 e	0.01 b	0.01 e	0 be	0 e	0.01 b	0.01 e	0.01 	0.01 e	0.01 	0.01 p
PNP,PC_GDP,SI	0.02 	0.02 	0.02 	0 	0 	0 	0 	0 	0 	0 	0 	0 b	0 	0 	0 	0 	0 p
PNP,PC_GDP,SK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PNP,PC_GDP,TR	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNP,PC_GDP,UK	0.03 	0.03 	0.03 	0.03 	0.03 	0.04 	0.04 	0.04 	0.04 e	0.04 e	0.04 e	0.03 	0.03 e	0.03 	0.03 e	0.03 	0.03 p
PNP,PC_GDP,US	0.1 de	0.11 de	0.11 de	0.12 de	0.11 de	0.11 de	0.1 de	0.11 de	0.11 de	0.13 de	0.12 de	0.12 de	0.11 de	0.11 de	0.11 de	0.11 de	: 
TOTAL,PC_GDP,AT	1.89 e	1.99 e	2.07 	2.17 e	2.17 	2.37 e	2.36 	2.42 	2.57 e	2.6 	2.73 e	2.67 	2.91 e	2.95 	3.07 e	3.05 	3.09 p
TOTAL,PC_GDP,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.27 	0.32 	0.26 	: 	: 
TOTAL,PC_GDP,BE	1.92 	2.02 	1.89 	1.83 	1.81 	1.78 	1.81 	1.84 	1.92 	1.99 	2.05 	2.16 	2.27 	2.33 	2.39 	2.47 	2.49 p
TOTAL,PC_GDP,BG	0.5 	0.45 	0.47 	0.48 	0.47 	0.45 	0.45 	0.43 	0.45 	0.49 	0.56 	0.53 	0.6 	0.63 	0.79 	0.96 	0.78 
TOTAL,PC_GDP,CH	2.32 	: 	: 	: 	2.67 	: 	: 	: 	2.71 	: 	: 	: 	3.19 	: 	: 	3.37 	: 
TOTAL,PC_GDP,CY	0.23 	0.24 	0.28 	0.32 	0.34 	0.37 	0.38 	0.4 	0.39 	0.44 	0.45 	0.46 	0.44 	0.48 	0.51 	0.48 	0.5 p
TOTAL,PC_GDP,CZ	1.11 	1.1 	1.1 	1.15 	1.15 	1.17 	1.23 	1.3 	1.24 	1.29 	1.34 	1.56 	1.78 	1.9 	1.97 	1.93 	1.68 p
TOTAL,PC_GDP,DE	2.39 	2.39 	2.42 	2.46 	2.42 	2.42 	2.46 	2.45 	2.6 	2.72 	2.71 	2.8 	2.87 	2.82 	2.87 	2.92 	2.94 e
TOTAL,PC_GDP,DK	2.19 	2.32 	2.44 	2.51 	2.42 	2.39 	2.4 	2.52 b	2.77 	3.06 	2.92 	2.94 	2.98 	2.97 	2.91 	2.96 p	2.87 e
TOTAL,PC_GDP,EA19	1.78 e	1.79 e	1.81 e	1.8 	1.78 	1.78 	1.8 	1.81 	1.89 	1.99 	1.99 	2.04 	2.1 	2.1 	2.13 	2.14 	2.13 p
TOTAL,PC_GDP,EE	0.6 	0.7 	0.72 	0.77 	0.85 	0.92 	1.12 	1.07 	1.26 	1.4 	1.58 	2.31 	2.12 	1.72 	1.45 	1.49 	1.28 
TOTAL,PC_GDP,EL	: 	0.56 	: 	0.55 	0.53 e	0.58 	0.56 e	0.58 e	0.66 be	0.63 e	0.6 e	0.67 	0.7 	0.81 	0.83 	0.97 	1.01 
TOTAL,PC_GDP,ES	0.89 	0.89 	0.96 	1.02 	1.04 	1.1 	1.17 	1.23 	1.32 	1.35 	1.35 	1.33 	1.29 	1.27 	1.24 	1.22 	1.19 
TOTAL,PC_GDP,EU28	1.77 e	1.78 e	1.79 e	1.78 	1.75 	1.74 	1.76 	1.77 	1.84 	1.93 	1.93 	1.97 	2.01 	2.02 	2.03 	2.04 	2.03 p
TOTAL,PC_GDP,FI	3.25 	3.2 	3.26 	3.3 	3.31 	3.33 	3.34 	3.35 	3.55 	3.75 	3.73 	3.64 	3.42 	3.29 	3.17 	2.9 	2.75 
TOTAL,PC_GDP,FR	2.08 b	2.13 	2.17 	2.11 	2.09 b	2.04 	2.05 	2.02 	2.06 	2.21 	2.18 b	2.19 	2.23 	2.24 	2.23 	2.27 p	2.25 p
TOTAL,PC_GDP,HR	: 	: 	0.95 	0.95 	1.03 	0.86 	0.74 	0.79 	0.88 	0.84 	0.74 	0.75 	0.75 	0.81 	0.78 	0.84 	0.85 b
TOTAL,PC_GDP,HU	0.79 d	0.91 d	0.98 d	0.92 d	0.86 b	0.92 	0.98 	0.96 	0.98 	1.13 	1.14 	1.19 	1.26 	1.39 	1.35 	1.36 	1.21 
TOTAL,PC_GDP,IE	1.09 	1.05 	1.06 	1.12 	1.18 	1.19 	1.2 	1.23 	1.39 	1.61 e	1.59 e	1.55 e	1.56 e	1.56 e	1.5 e	1.2 	1.18 e
TOTAL,PC_GDP,IS	2.6 e	2.87 	2.86 e	2.73 	: 	2.71 	2.92 	2.57 	2.52 	2.64 	: 	2.48 be	: 	1.76 b	2 	2.17 	2.08 
TOTAL,PC_GDP,IT	1.01 	1.04 	1.08 	1.06 	1.05 	1.05 	1.09 	1.13 	1.16 	1.22 	1.22 	1.21 	1.27 	1.31 	1.34 e	1.34 	1.29 p
TOTAL,PC_GDP,JP	2.91 	2.97 	3.01 	3.04 	3.03 	3.18 	3.28 	3.34 	3.34 b	3.23 	3.14 	3.24 	3.21 	3.32 b	3.4 	3.29 	: 
TOTAL,PC_GDP,KR	2.18 d	2.34 d	2.27 d	2.35 d	2.53 d	2.63 d	2.83 d	3 b	3.12 	3.29 	3.47 	3.74 	4.03 	4.15 	4.29 	4.23 	: 
TOTAL,PC_GDP,LT	0.58 	0.67 	0.66 	0.66 	0.75 	0.75 	0.79 	0.8 	0.79 	0.83 	0.78 	0.9 	0.89 	0.95 	1.03 	1.04 	0.85 
TOTAL,PC_GDP,LU	1.58 	: 	: 	1.63 	1.6 	1.57 	1.67 	1.59 e	1.62 	1.68 	1.5 	1.46 	1.27 b	1.3 	1.26 	1.27 	1.24 p
TOTAL,PC_GDP,LV	0.44 	0.4 	0.41 	0.36 	0.4 	0.53 	0.65 	0.55 	0.58 	0.45 	0.61 	0.7 	0.66 	0.61 	0.69 	0.63 	0.44 
TOTAL,PC_GDP,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.31 	: 	0.37 	0.36 	0.37 	: 
TOTAL,PC_GDP,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.44 	0.43 
TOTAL,PC_GDP,MT	: 	: 	0.25 	0.24 	0.49 b	0.53 	0.58 	0.55 	0.53 	0.52 	0.61 	0.67 	0.83 	0.77 	0.72 	0.77 	0.61 p
TOTAL,PC_GDP,NL	1.81 	1.82 	1.77 	1.81 	1.81 	1.79 	1.76 	1.69 	1.64 	1.69 	1.72 	1.9 b	1.94 b	1.95 	2 	2 	2.03 p
TOTAL,PC_GDP,NO	: 	1.56 	1.63 	1.68 	1.55 	1.48 	1.46 	1.56 	1.55 	1.72 	1.65 	1.63 	1.62 	1.65 	1.71 	1.93 	2.03 
TOTAL,PC_GDP,PL	0.64 	0.62 	0.56 	0.54 	0.55 	0.56 	0.55 	0.56 	0.6 	0.66 	0.72 	0.75 	0.88 	0.87 	0.94 	1 	0.97 p
TOTAL,PC_GDP,PT	0.72 e	0.76 	0.72 e	0.7 	0.73 e	0.76 	0.95 e	1.12 	1.45 b	1.58 	1.53 	1.46 	1.38 	1.33 	1.29 	1.24 	1.27 p
TOTAL,PC_GDP,RO	0.36 	0.39 	0.38 	0.38 	0.38 	0.41 	0.45 	0.51 	0.55 	0.45 	0.46 	0.5 b	0.48 	0.39 	0.38 	0.49 	0.48 
TOTAL,PC_GDP,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.87 	0.74 	0.72 	0.91 	0.73 	0.77 	0.87 	0.89 
TOTAL,PC_GDP,RU	0.99 	1.1 	1.17 	1.21 	1.08 	1 	1.01 	1.05 	0.98 	1.17 	1.06 	1.02 	1.05 	1.06 	1.07 	1.1 	: 
TOTAL,PC_GDP,SE	: 	3.91 e	: 	3.61 e	3.39 e	3.39 b	3.5 e	3.26 	3.5 e	3.45 	3.22 e	3.25 	3.28 e	3.31 e	3.15 e	3.27 	3.25 p
TOTAL,PC_GDP,SI	1.36 	1.47 	1.44 	1.25 	1.37 	1.41 	1.53 	1.42 	1.63 b	1.82 	2.06 	2.42 b	2.57 	2.58 	2.37 	2.2 	2 p
TOTAL,PC_GDP,SK	0.64 	0.63 	0.56 	0.56 	0.5 	0.49 	0.48 	0.45 	0.46 	0.47 	0.62 	0.66 	0.8 	0.82 	0.88 	1.18 	0.79 
TOTAL,PC_GDP,TR	0.47 	0.53 	0.51 	0.47 	0.5 	0.57 	0.56 	0.69 	0.69 	0.81 	0.8 	0.8 	0.83 	0.82 	0.86 	0.88 	: 
TOTAL,PC_GDP,UK	1.63 	1.62 	1.63 	1.59 	1.55 	1.56 	1.59 	1.63 	1.63 e	1.69 e	1.67 e	1.67 b	1.6 e	1.65 	1.67 e	1.67 	1.69 p
TOTAL,PC_GDP,US	2.62 d	2.64 d	2.55 d	2.55 bd	2.49 d	2.51 d	2.55 d	2.63 d	2.77 d	2.82 d	2.74 d	2.77 d	2.7 d	2.73 d	2.75 d	2.79 dp	: 
