sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
BES,PC_GDP,PT	0.2 e	0.24 	0.23 e	0.23 	0.26 e	0.29 	0.44 e	0.58 	0.72 	0.75 	0.7 	0.69 	0.68 	0.63 	0.6 	0.58 	0.61 p
BES,PC_GDP,RO	0.25 	0.24 	0.23 	0.22 	0.21 	0.2 	0.22 	0.21 	0.17 	0.18 	0.17 	0.18 b	0.19 	0.12 	0.16 	0.21 	0.27 
BES,PC_GDP,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.12 	0.09 	0.07 	0.23 	0.1 	0.23 b	0.27 	0.33 
BES,PC_GDP,RU	0.7 	0.78 	0.82 	0.83 	0.75 	0.68 	0.67 	0.67 	0.62 	0.73 	0.64 	0.62 	0.61 	0.64 	0.64 	0.65 	: 
BES,PC_GDP,SE	: 	3.03 e	: 	2.69 e	2.49 e	2.47 b	2.61 e	2.38 	2.59 e	2.45 	2.21 e	2.24 	2.22 e	2.28 	2.11 e	2.28 	2.26 p
BES,PC_GDP,SI	0.76 	0.85 	0.86 	0.8 	0.92 	0.83 	0.92 	0.85 	1.05 b	1.17 	1.4 	1.79 b	1.95 	1.97 	1.83 	1.68 	1.51 p
BES,PC_GDP,SK	0.42 	0.42 	0.36 	0.31 	0.25 	0.25 	0.2 	0.18 	0.2 	0.19 	0.26 	0.25 	0.33 	0.38 	0.32 	0.33 	0.4 
BES,PC_GDP,TR	0.16 	0.18 	0.15 	0.11 	0.12 	0.19 	0.21 	0.29 	0.31 	0.32 	0.34 	0.35 	0.38 	0.39 	0.43 	0.44 	: 
BES,PC_GDP,UK	1.06 	1.06 b	1.06 	1.02 	0.97 	0.96 	0.98 	1.02 	1.01 	1.02 	1.02 	1.06 b	1.02 	1.05 	1.09 	1.11 	1.13 
BES,PC_GDP,US	1.94 d	1.9 d	1.77 d	1.74 d	1.7 d	1.73 d	1.79 d	1.86 d	1.97 d	1.96 d	1.86 d	1.9 d	1.87 d	1.92 d	1.96 d	1.99 dp	: 
GOV,PC_GDP,AT	: 	: 	0.12 	: 	0.11 	0.12 e	0.12 	0.13 	0.14 e	0.14 	0.14 e	0.14 	0.13 e	0.13 	0.14 e	0.14 	0.14 p
GOV,PC_GDP,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.04 	0.02 	0.05 	: 	: 
GOV,PC_GDP,BE	0.12 	0.12 	0.14 	0.13 	0.14 	0.15 	0.15 	0.15 	0.17 	0.18 	0.17 	0.17 	0.19 b	0.2 	0.21 	0.23 	0.24 p
GOV,PC_GDP,BG	0.34 	0.3 	0.33 	0.33 	0.32 	0.3 	0.29 	0.25 	0.26 	0.27 	0.21 	0.19 	0.18 	0.19 	0.2 	0.2 	0.17 
GOV,PC_GDP,CH	0.03 bd	: 	0.03 d	: 	0.03 d	: 	0.02 d	: 	0.02 d	: 	0.02 d	: 	0.02 d	: 	0.03 	0.03 d	: 
GOV,PC_GDP,CY	0.11 	0.11 	0.11 	0.12 	0.12 	0.12 	0.11 	0.1 	0.09 	0.09 	0.09 	0.07 	0.07 	0.07 	0.07 	0.06 	0.06 p
GOV,PC_GDP,CZ	0.28 	0.26 	0.25 	0.27 	0.26 	0.27 	0.27 	0.3 	0.29 	0.31 	0.29 	0.31 	0.33 	0.35 	0.36 	0.39 	0.3 p
