n_item,unit,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
GE3,PC,T,Y18-64,BG	68.4 	70.1 	49.9 b	50.0 	55.7 	56.9 	58.1 	54.4 	42.5 b	45.3 	42.9 b	39.6 
GE3,PC,T,Y18-64,CH	: 	6.8 	5.6 	6.6 	5.4 	3.5 	3.8 	3.8 	5.0 b	4.8 	5.6 	: 
GE3,PC,T,Y18-64,CY	29.6 	29.3 	23.8 b	23.0 	28.7 	28.9 	31.8 	36.5 	37.9 	35.9 	31.1 	29.6 
GE3,PC,T,Y18-64,CZ	18.7 	15.5 	15.2 	14.9 	14.2 	15.4 	16.0 	15.5 	15.7 	12.5 	11.4 	9.4 
GE3,PC,T,Y18-64,DE	14.4 	13.2 	13.9 	13.7 	12.3 	13.6 	12.4 	12.8 	12.3 	11.9 	10.2 	9.7 
GE3,PC,T,Y18-64,DK	8.3 	7.3 	5.8 	6.9 	6.6 	6.6 	7.7 	10.1 	8.9 	9.5 	7.3 	7.8 
GE3,PC,T,Y18-64,EA18	13.9 	13.3 	13.9 	14.3 	14.4 	15.6 	16.7 	17.1 	16.9 	16.1 	14.6 	13.4 e
GE3,PC,T,Y18-64,EA19	14.2 	13.4 	13.9 	14.4 	14.6 	15.8 	16.9 	17.2 	17.0 	16.1 	14.7 	13.4 e
GE3,PC,T,Y18-64,EE	16.5 	14.4 	11.7 b	16.8 	22.9 	22.1 	21.7 	19.6 	15.5 b	12.1 	11.4 	10.8 
GE3,PC,T,Y18-64,EL	21.7 	20.6 	20.4 	21.8 	23.3 	28.2 	34.7 	38.5 	40.1 	41.5 	39.6 	36.6 
GE3,PC,T,Y18-64,ES	12.0 	10.7 	10.6 	13.7 	15.0 	13.8 	17.0 	17.7 	18.9 	17.4 	16.3 	13.6 
GE3,PC,T,Y18-64,EU27	18.9 e	17.8 	17.2 	17.3 e	17.7 	18.4 	19.8 	19.9 	18.8 	17.2 	15.8 	14.9 e
GE3,PC,T,Y18-64,EU28	: 	: 	: 	: 	17.8 	18.5 	19.9 	20.0 	19.0 	17.4 	15.9 	14.9 e
GE3,PC,T,Y18-64,FI	10.3 	9.7 	9.2 	8.6 	8.9 	9.0 	9.6 	9.4 	8.8 	8.5 	9.1 	8.9 
GE3,PC,T,Y18-64,FR	12.9 	12.2 	13.1 	13.6 	12.8 	12.4 	12.9 	12.5 	12.5 	11.4 	11.1 	11.2 
GE3,PC,T,Y18-64,HR	: 	: 	: 	: 	31.2 	34.4 	35.0 	34.1 	34.1 	32.7 	30.1 	: 
GE3,PC,T,Y18-64,HU	36.1 	37.3 	36.8 	39.9 	39.4 	42.1 	44.2 	45.4 	39.5 	34.5 	29.3 	28.1 
GE3,PC,T,Y18-64,IE	10.5 	9.9 	13.3 	16.2 	15.3 	22.1 	24.8 	24.8 	22.9 	20.0 	15.0 	: 
GE3,PC,T,Y18-64,IS	6.8 	7.1 	2.6 b	3.7 	6.6 	7.6 	6.8 	7.0 	5.3 	5.0 	6.3 p	: 
GE3,PC,T,Y18-64,IT	13.6 	14.8 	16.2 	16.1 	16.6 	22.0 	24.9 	24.2 	23.6 	23.2 	20.5 	18.4 
GE3,PC,T,Y18-64,LT	39.9 	27.8 	20.8 b	25.6 	34.5 	32.7 	32.6 	28.5 	25.3 	24.6 	23.3 	21.1 
GE3,PC,T,Y18-64,LU	2.8 	3.0 	3.6 	4.2 	4.3 	5.1 	4.5 	5.5 	5.4 	4.9 	6.2 b	4.4 
GE3,PC,T,Y18-64,LV	48.5 	39.2 	31.8 b	37.6 	45.1 	47.9 	42.8 	38.5 	32.7 	28.4 	24.7 	21.7 
GE3,PC,T,Y18-64,MK	: 	: 	: 	: 	: 	: 	56.5 	55.4 	52.0 	50.2 	49.0 	: 
GE3,PC,T,Y18-64,MT	12.3 	12.7 	12.5 	14.5 	15.0 	17.1 	19.5 	19.3 	19.6 	15.1 	9.6 	7.5 
GE3,PC,T,Y18-64,NL	6.6 	5.9 	5.3 	5.6 	7.6 	7.3 	7.2 	9.1 	9.9 	9.6 	7.7 b	7.8 
GE3,PC,T,Y18-64,NO	7.3 	5.6 	5.1 	5.6 	5.5 	5.8 	5.2 	5.2 	3.8 	4.8 	4.5 	4.6 
GE3,PC,T,Y18-64,PL	43.3 	37.6 	31.4 b	28.4 	27.3 	25.3 	27.1 	25.4 	22.1 	16.8 	15.5 	13.4 
GE3,PC,T,Y18-64,PT	17.3 	20.6 	21.1 	19.6 	20.5 	19.5 	21.2 	25.2 	25.3 	21.2 	19.7 	17.5 
GE3,PC,T,Y18-64,RO	: 	50.3 	46.5 	46.2 	45.7 	45.5 	46.6 	44.4 	41.6 	37.4 	37.8 	35.5 
GE3,PC,T,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	43.8 	44.4 	40.5 	37.0 	: 
GE3,PC,T,Y18-64,SE	6.1 	5.9 	5.4 b	6.3 	5.6 	5.7 	6.1 	5.7 	4.7 	4.3 	4.1 	4.4 
GE3,PC,T,Y18-64,SI	14.1 	13.9 	16.9 	16.4 	16.0 	17.4 	17.5 	17.2 	17.7 	15.3 	14.1 	12.3 
GE3,PC,T,Y18-64,SK	33.8 	27.6 	25.4 	22.5 	23.3 	21.3 	21.5 	22.2 	20.7 	18.8 	17.7 	14.9 
GE3,PC,T,Y18-64,TR	72.3 	71.2 	70.8 	69.3 	71.6 	70.3 	67.5 	56.1 b	41.9 	42.6 	: 	: 
GE3,PC,T,Y18-64,UK	10.5 	10.1 	10.8 	10.6 u	13.6 	13.3 	16.6 b	17.7 	16.2 	14.1 	13.0 	: 
GE3,PC,T,Y_GE65,AT	8.8 	9.8 	12.2 b	7.9 	7.4 	5.7 	6.2 	6.1 	5.2 	4.8 	4.7 	3.8 
GE3,PC,T,Y_GE65,BE	9.8 	9.5 	8.1 	7.0 	7.8 	7.7 	5.9 	5.7 	5.8 	5.3 	6.3 	6.5 
GE3,PC,T,Y_GE65,BG	83.7 	83.0 	74.9 b	73.7 	74.0 	71.6 	72.9 	68.8 	59.6 b	61.1 	58.3 b	56.3 
GE3,PC,T,Y_GE65,CH	: 	3.9 	3.1 	2.8 	2.5 	1.5 	1.7 	1.9 	1.6 b	2.3 	1.8 	: 
