na_item,nace_r2,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B1G,C,PCH_Q1_SCA,AT	1.2 	1.6 	1.5 	-1.4 	0.7 	3.1 	0.8 	0.9 	1.8 	2.2 	1.5 	0.6 
B1G,C,PCH_Q1_SCA,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
B1G,C,PCH_Q1_SCA,BG	3.5 	-1.3 	4.8 	-1.5 	1.5 	2.0 	2.1 	1.2 	0.3 	0.8 	0.7 p	1.1 p
B1G,C,PCH_Q1_SCA,CH	1.6 	1.5 	1.0 	-0.8 	1.5 	-1.9 	3.3 	1.0 	1.5 	1.6 	1.4 	1.5 
B1G,C,PCH_Q1_SCA,CY	2.1 	3.4 	3.9 	2.3 	3.1 	2.2 	2.4 	2.2 	1.8 	1.6 	1.0 	1.5 
B1G,C,PCH_Q1_SCA,CZ	0.7 	0.6 	1.3 	-0.6 	1.5 	2.1 	4.3 	4.3 	1.8 	0.6 	0.2 	0.2 
B1G,C,PCH_Q1_SCA,DE	0.1 	0.0 	4.1 	-0.1 	0.3 	0.0 	0.9 	1.5 	1.9 	1.1 	-0.5 	0.2 
B1G,C,PCH_Q1_SCA,DK	-3.7 	0.9 	5.6 	-2.0 	2.3 	1.8 	0.6 	0.5 	-2.5 	0.6 	2.2 	0.0 
B1G,C,PCH_Q1_SCA,EA	0.6 	0.4 	2.2 	0.0 	0.2 	1.7 	0.4 	1.0 	1.8 	1.3 	-0.8 	0.5 
B1G,C,PCH_Q1_SCA,EA19	0.6 	0.4 	2.2 	0.0 	0.2 	1.7 	0.4 	1.0 	1.8 	1.3 	-0.8 	0.5 
B1G,C,PCH_Q1_SCA,EE	-2.4 	-2.1 	3.1 	2.3 	-2.6 	1.7 	0.1 	3.9 	-1.9 	2.5 	1.4 	2.3 
B1G,C,PCH_Q1_SCA,EL	3.2 p	8.7 p	-2.3 p	3.6 p	0.5 p	0.5 p	2.3 p	-0.3 p	0.7 p	-1.8 p	2.4 p	0.2 p
B1G,C,PCH_Q1_SCA,ES	1.1 	2.0 	1.5 p	0.8 p	0.2 p	0.5 p	2.2 p	0.8 p	1.1 p	1.2 p	-0.3 p	1.0 p
B1G,C,PCH_Q1_SCA,EU28	0.6 	0.4 	1.7 	0.3 	0.2 	1.6 	0.7 	1.0 	1.5 	1.3 	-0.5 	0.4 
B1G,C,PCH_Q1_SCA,FI	-0.9 	1.7 	-2.0 	4.0 	2.1 	0.5 	4.9 	-0.3 	-0.3 	0.8 	3.0 	-1.6 
B1G,C,PCH_Q1_SCA,FR	0.3 	0.5 	0.6 	-0.1 	0.3 	0.2 	0.6 	0.5 	0.6 	1.4 	-0.8 	0.1 
B1G,C,PCH_Q1_SCA,HR	3.6 	0.6 	1.4 	0.8 	-0.3 	4.3 	-1.6 	0.1 	-0.4 	1.5 	0.1 	-0.8 
B1G,C,PCH_Q1_SCA,HU	-0.3 	1.4 	-1.4 	1.5 	-3.2 	3.4 	1.6 	3.8 	-3.2 	3.1 	1.6 	1.6 
B1G,C,PCH_Q1_SCA,IE	7.8 	-1.9 	0.6 	0.0 	-4.1 	23.5 	-8.9 	-2.7 	9.7 	3.5 	-9.9 	5.0 
B1G,C,PCH_Q1_SCA,IT	0.2 	0.6 	1.9 	-0.5 	0.9 	1.0 	0.8 	1.6 	1.6 	0.8 	-0.3 	0.2 
B1G,C,PCH_Q1_SCA,LT	0.1 	2.0 	-1.2 	2.0 	1.6 	0.2 	3.1 	0.4 	1.2 	2.0 	1.2 	0.0 
B1G,C,PCH_Q1_SCA,LU	3.1 	3.6 	10.7 	-0.4 	-4.8 	0.1 	-3.6 	1.5 	3.9 	2.5 	-3.4 	0.9 
B1G,C,PCH_Q1_SCA,LV	0.0 	-1.7 	2.0 	1.8 	-0.5 	3.5 	2.5 	2.5 	0.5 	1.6 	-1.1 	2.3 
B1G,C,PCH_Q1_SCA,NL	0.2 	-0.5 	1.8 p	-1.0 p	1.1 p	0.9 p	1.2 p	1.7 p	0.9 p	1.8 p	0.3 p	0.6 p
