currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_NAC,FA__P__F,S1,S1,A_LE,WRL_REST,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	72413.0 	75273.0 	81388.0 	93593.0 	100669.0 	106986.0 	121495.0 	123959.0 	124952.0 	131487.0 	123085.0 	127605.0 	140531.0 	138237.0 	138631.0 	145403.0 	150322.0 	156808.0 	161770.0 	163923.0 	176141.0 	184622.0 	191647.0 	194213.0 	211265.0 	233086.0 	241612.0 	240933.0 	259936.0 	263604.0 	266478.0 	268001.0 	281934.0 	300449.0 	295076.0 	275524.0 	259512.0 	261430.0 	253196.0 	231676.0 	225568.0 	232441.0 	244333.0 	250217.0 	261162.0 	258275.0 	266650.0 	266299.0 	266745.0 	262304.0 	250457.0 	247332.0 	254728.0 	246658.0 	253257.0 	253337.0 	257374.0 	254464.0 	255729.0 	257213.0 	264495.0 	270283.0 	274838.0 	279489.0 	296872.0 	285587.0 	276143.0 	281260.0 	280754.0 	286862.0 	289398.0 	292452.0 	296266.0 	296861.0 	297957.0 	302222.0 	296488.0 	297615.0 
MIO_NAC,FA__P__F,S1,S1,A_LE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	433139.0 	439257.0 	453076.0 	470157.0 	485182.0 	478827.0 	486894.0 	490857.0 	527728.0 	551519.0 	554343.0 	568810.0 	546548.0 	553195.0 	551142.0 	528512.0 	504611.0 	512659.0 	536977.0 	533968.0 	550092.0 	535285.0 	539474.0 	541533.0 	526955.0 	527035.0 	501404.0 	509325.0 	515670.0 	503677.0 	509011.0 	512242.0 	520395.0 	502892.0 	515623.0 	519599.0 	557301.0 	575493.0 	592452.0 	603061.0 	634525.0 	613022.0 	594781.0 	615289.0 	659852.0 	656763.0 	666299.0 	658965.0 	679726.0 	681343.0 	687283.0 	692156.0 	683850.0 	682784.0 
MIO_NAC,FA__P__F,S1,S1,A_LE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3980.9 	4392.5 	4642.5 	5096.0 	5214.5 	5382.7 	5275.0 	5243.6 	6232.7 	6240.4 	6211.6 	8690.3 	9007.3 	9295.0 	9530.7 	9799.0 	10207.5 	10327.3 	10149.2 	10951.5 	11903.0 	9316.2 	9133.8 	9877.1 	9816.7 	9609.1 	10023.4 	12281.7 	13609.0 	13723.6 	14340.6 	14445.6 	14934.0 	14977.3 
MIO_NAC,FA__P__F,S1,S1,A_LE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30488.0 	31493.0 	35452.0 	40526.0 	45553.0 	49507.0 	51071.0 	51968.0 	52344.0 	58773.0 	39587.0 	43633.0 	39242.0 	32999.0 	34537.0 	32232.0 	28875.0 	28375.0 	28159.0 	25522.0 	14534.0 	13425.0 	13512.0 	14034.0 	13218.0 	13120.0 	13154.0 	12078.0 	12074.0 	11803.0 	12097.0 	12113.0 	13180.0 	11956.0 	12622.0 	14805.0 	16091.0 	16641.0 	16905.0 	17467.0 	18848.0 	18174.0 
MIO_NAC,FA__P__F,S1,S1,A_LE,WRL_REST,CZ	20077.0 	: 	: 	: 	37511.0 	: 	: 	: 	35739.0 	: 	: 	: 	35872.0 	: 	: 	: 	104345.0 	127841.0 	145404.0 	154971.0 	180431.0 	183979.0 	192234.0 	187443.0 	185139.0 	197976.0 	205409.0 	224108.0 	274345.0 	329398.0 	341605.0 	339996.0 	343969.0 	340623.0 	352234.0 	350758.0 	372238.0 	429051.0 	448038.0 	456674.0 	467808.0 	482856.0 	508168.0 	528096.0 	532163.0 	582316.0 	621853.0 	628274.0 	618625.0 	579424.0 	576888.0 	560000.0 	505137.0 	476781.0 	453101.0 	451927.0 	456390.0 	461344.0 	448011.0 	441670.0 	453391.0 	474807.0 	475465.0 	440426.0 	451016.0 	467391.0 	466097.0 	473384.0 	490768.0 	488964.0 	469897.0 	495433.0 	523351.0 	541950.0 	570054.0 	600150.0 	637082.0 	706731.0 	711447.0 	679351.0 	711877.0 	699255.0 	713814.0 	728302.0 	753439.0 	758751.0 	761039.0 	769242.0 	777522.0 	769417.0 	777039.0 
MIO_NAC,FA__P__F,S1,S1,A_LE,WRL_REST,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	889205.0 	: 	: 	: 	1070336.0 	: 	: 	: 	1107199.0 	: 	: 	: 	1029489.0 	: 	: 	: 	1094076.0 	1154413.0 	1171161.0 	1190449.0 	1230802.0 	1311246.0 	1415327.0 	1467226.0 	1540998.0 	1609856.0 	1595863.0 	1668415.0 	1720860.0 	1792512.0 	1817546.0 	1802703.0 	1783037.0 	1728405.0 	1732662.0 	1693633.0 	1544271.0 	1523974.0 	1611529.0 	1715371.0 	1740848.0 	1798041.0 	1807881.0 	1847205.0 	1912652.0 	1918664.0 	1921463.0 	1820726.0 	1839671.0 	1959574.0 	1955119.0 	2032359.0 	2091965.0 	2152155.0 	2141638.0 	2192718.0 	2235963.0 	2306526.0 	2410728.0 	2473458.0 	2533351.0 	2729908.0 	2636618.0 	2608059.0 	2668887.0 	2706324.0 	2775893.0 	2829912.0 	2824008.0 	2871692.0 	2877177.0 	2902380.0 	2934170.0 	2936632.0 	2967013.0 
MIO_NAC,FA__P__F,S1,S1,A_LE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1012622.0 	1138355.0 	1219690.0 	1244150.0 	1312495.0 	1256493.0 	1326861.0 	1426024.0 	1474988.0 	1504383.0 	1484127.0 	1528778.0 	1386004.0 	1408960.0 	1356327.0 	1233965.0 	1289166.0 	1376528.0 	1460737.0 	1488202.0 	1710847.0 	1724053.0 	1735710.0 	1821489.0 	1819984.0 	1775058.0 	1675254.0 	1787727.0 	1873160.0 	1909799.0 	2015374.0 	2085602.0 	2169209.0 	2126237.0 	2172301.0 	2205280.0 	2318041.0 	2426961.0 	2589550.0 	2643456.0 	2821148.0 	2708363.0 	2652071.0 	2715117.0 	2749729.0 	2780602.0 	2843440.0 	2935646.0 	3004922.0 	2984755.0 	3055775.0 	3100056.0 	3088926.0 	3219089.0 
MIO_NAC,FA__P__F,S1,S1,A_LE,WRL_REST,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1352.4 	1361.9 	1528.4 	1637.7 	1906.5 	2114.2 	2494.7 	2494.6 	2909.5 	2954.4 	3508.6 	3641.7 	3985.9 	4273.0 	4484.5 	4359.1 	3990.0 	3730.0 	3544.0 	2702.0 	2637.0 	3099.0 	3388.0 	3475.0 	3543.0 	3671.0 	3976.0 	3989.0 	5164.0 	5135.0 	4652.0 	4181.0 	4406.0 	4455.0 	4799.0 	4679.0 	4786.6 	4628.6 	4874.5 	5468.5 	5506.2 	6043.2 	5952.7 	6121.9 	6495.4 	6125.6 	6272.4 	6658.8 	7187.0 	8016.0 	8542.9 	9241.5 	9759.6 	10565.1 	11401.6 	12127.3 	12187.2 	12315.0 
MIO_NAC,FA__P__F,S1,S1,A_LE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27284.0 	30616.0 	36675.0 	35413.0 	38261.0 	45637.0 	49907.0 	52424.0 	58905.0 	64421.0 	63995.0 	65228.0 	66781.0 	71634.0 	78074.0 	82231.0 	86437.0 	84324.0 	92898.0 	86437.0 	87805.0 	79789.0 	88464.0 	94492.0 	89654.0 	83650.0 	76222.0 	71586.0 	71350.0 	68728.0 	65452.0 	63266.0 	63431.0 	71018.0 	94959.0 	92828.0 	111689.0 	104534.0 	108452.0 	105513.0 	107937.0 	108924.0 	112674.0 	115340.0 	116563.0 	108438.0 	109101.0 	111127.0 	117510.0 	119391.0 	117494.0 	122573.0 	124201.0 	124957.0 	122377.0 	113614.0 	103844.0 	101421.0 	101984.0 
MIO_NAC,FA__P__F,S1,S1,A_LE,WRL_REST,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92243.0 	115094.0 	117081.0 	127387.0 	142363.0 	153144.0 	165636.0 	193682.0 	200774.0 	219293.0 	208396.0 	232647.0 	245082.0 	245723.0 	240550.0 	257293.0 	281745.0 	294037.0 	323655.0 	338245.0 	356123.0 	371504.0 	368026.0 	384274.0 	398787.0 	428992.0 	460479.0 	499874.0 	525772.0 	493566.0 	500213.0 	517430.0 	527534.0 	541304.0 	528416.0 	514882.0 	488783.0 	466496.0 	452384.0 	427750.0 	408010.0 	426589.0 	441765.0 	445431.0 	453023.0 	418115.0 	398089.0 	377182.0 	368050.0 	356959.0 	338469.0 	323105.0 	332392.0 	313405.0 	311975.0 	: c	345808.0 	341854.0 	340510.0 	347534.0 	374417.0 	385186.0 	405278.0 	411378.0 	470969.0 	481597.0 	477275.0 	488645.0 	486402.0 	494618.0 	509058.0 	522327.0 	561277.0 	581787.0 	595855.0 	612327.0 	635570.0 	642271.0 
