s_adj,indic,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
SA,BS-CCI-BAL,AT	10.4 	15.4 	13.4 	9.6 	8.8 	10.8 	11.0 	10.0 	8.1 	17.6 	15.4 	19.6 
SA,BS-CCI-BAL,BE	-6.7 	-5.2 	-4.3 	-1.3 	-5.3 	-2.1 	1.4 	1.3 	0.0 	2.0 	1.6 	1.9 
SA,BS-CCI-BAL,BG	-13.2 	-11.1 	-10.3 	-5.7 	-4.8 	-9.8 	-10.1 	-9.7 	-10.1 	-10.3 	-9.0 	-9.6 
SA,BS-CCI-BAL,CY	-28.3 	-22.9 	-24.3 	-22.8 	-18.8 	-15.6 	-16.7 	-13.1 	-14.5 	-10.8 	-10.9 	-23.1 
SA,BS-CCI-BAL,CZ	-17.4 	-15.4 	-13.2 	-14.4 	-8.4 	-5.9 	-5.3 	-6.4 	-5.4 	-4.9 	-3.2 	-2.7 
SA,BS-CCI-BAL,DE	11.5 	13.5 	14.2 	15.3 	15.6 	15.6 	16.0 	16.6 	15.0 	19.0 	17.6 	18.0 
SA,BS-CCI-BAL,DK	-1.6 	-2.3 	-2.1 	0.5 	-0.3 	-1.9 	-2.7 	-0.1 	-1.8 	-0.1 	-0.9 	-0.5 
SA,BS-CCI-BAL,EA19	0.1 	1.7 	3.2 	4.7 	4.2 	5.2 	4.6 	7.1 	5.6 	5.4 	6.4 	8.3 
SA,BS-CCI-BAL,EE	9.7 	13.0 	10.5 	13.0 	6.2 	8.8 	6.5 	3.0 	11.5 	12.3 	9.5 	12.5 
SA,BS-CCI-BAL,EL	-44.7 	-59.3 	-58.3 	-50.4 	-45.1 	-55.0 	-54.7 	-39.0 	-47.8 	-45.8 	-45.1 	-54.5 
SA,BS-CCI-BAL,ES	-14.0 	-14.5 	-18.7 	-3.0 	-4.7 	-5.2 	-12.3 	1.5 	-1.4 	-17.3 	-10.2 	2.5 
SA,BS-CCI-BAL,EU28	1.9 	0.8 	2.2 	1.8 	2.4 	3.0 	3.5 	4.8 	4.2 	3.5 	4.3 	5.3 
SA,BS-CCI-BAL,FI	4.5 	9.6 	8.4 	2.3 	4.0 	1.5 	8.4 	5.9 	6.7 	-2.9 	13.1 	14.5 
SA,BS-CCI-BAL,FR	0.6 	0.5 	5.7 	4.4 	3.4 	5.9 	4.9 	5.0 	6.4 	8.2 	8.4 	9.3 
SA,BS-CCI-BAL,HR	3.8 	4.9 	5.1 	5.4 	7.6 	6.9 	8.4 	12.6 	13.9 	11.0 	11.7 	13.9 
SA,BS-CCI-BAL,HU	15.8 	17.0 	25.1 	25.1 	22.9 	20.7 	21.7 	28.0 	29.0 	30.6 	32.0 	25.9 
SA,BS-CCI-BAL,IT	-15.3 	-13.3 	-13.4 	-13.3 	-12.1 	-11.6 	-10.8 	-10.8 	-12.7 	-9.9 	-8.8 	-11.1 
SA,BS-CCI-BAL,LT	-23.2 	-12.7 	-14.3 	-15.1 	-11.5 	-8.7 	-9.0 	-12.1 	-11.2 	-9.0 	-13.2 	-12.4 
SA,BS-CCI-BAL,LU	15.9 	12.5 	8.1 	17.6 	20.9 	19.0 	15.2 	16.0 	16.1 	16.2 	16.8 	17.8 
SA,BS-CCI-BAL,LV	-7.4 	-5.1 	-0.6 	-1.7 	-1.2 	-3.5 	-2.8 	-1.2 	-0.5 	-1.1 	-0.6 	0.7 
SA,BS-CCI-BAL,ME	-2.2 	-7.1 	-3.4 	-2.5 	-6.6 	-2.4 	-2.8 	-8.9 	-2.1 	-3.3 	-1.1 	2.3 
SA,BS-CCI-BAL,MK	-7.2 	-10.1 	-13.2 	-13.7 	-15.1 	-13.7 	-10.7 	-6.1 	-13.1 	-6.8 	-8.7 	-5.5 
SA,BS-CCI-BAL,MT	26.4 	21.0 	33.4 	27.4 	28.8 	26.2 	25.0 	37.9 	25.3 	29.1 	21.5 	11.8 
SA,BS-CCI-BAL,NL	22.4 	31.9 	41.8 	33.6 	30.0 	36.0 	35.1 	38.2 	31.4 	34.0 	32.5 	35.1 
SA,BS-CCI-BAL,PL	-13.2 	-11.9 	-8.7 	-7.0 	-6.0 	-6.9 	-7.3 	-7.1 	-7.3 	-8.4 	-8.7 	-8.3 
SA,BS-CCI-BAL,PT	-19.0 	-17.6 	-17.2 	-15.5 	-15.4 	-13.4 	-9.2 	-10.5 	-7.5 	-9.9 	-12.9 	-12.4 
SA,BS-CCI-BAL,RO	-14.1 	-13.4 	-12.3 	-9.5 	-14.9 	-14.1 	-15.2 	-13.9 	-12.3 	-11.7 	-9.4 	-8.4 
SA,BS-CCI-BAL,RS	-7.9 	-6.0 	-3.9 	-6.0 	-4.7 	-2.4 	-0.8 	0.9 	0.7 	-1.2 	0.7 	2.6 
SA,BS-CCI-BAL,SE	35.5 	29.0 	28.7 	30.0 	27.4 	26.3 	28.6 	22.0 	23.1 	19.1 	22.8 	15.8 
SA,BS-CCI-BAL,SI	23.1 	15.1 	21.0 	23.9 	24.5 	24.8 	27.3 	26.0 	27.4 	23.4 	22.1 	17.6 
SA,BS-CCI-BAL,SK	0.5 	-2.9 	-1.5 	-2.7 	-1.7 	-5.5 	-1.3 	-3.1 	0.5 	-2.5 	-2.6 	-11.4 
SA,BS-CCI-BAL,TR	-15.0 	-16.7 	-17.1 	-13.7 	-15.5 	-20.8 	-20.3 	-22.2 	-24.5 	-22.6 	-30.3 	-40.3 
SA,BS-CCI-BAL,UK	10.7 	-1.9 	-1.0 	-11.1 	-4.7 	-5.1 	0.5 	-2.0 	0.5 	-1.9 	-2.4 	-2.6 
SA,BS-CSMCI-BAL,AT	8.8 	10.2 	11.8 	11.7 	12.5 	12.5 	12.9 	11.2 	9.2 	8.7 	8.1 	9.9 
SA,BS-CSMCI-BAL,BE	3.9 	3.0 	1.8 	4.0 	-0.3 	3.4 	3.5 	0.7 	-1.6 	0.2 	-0.6 	0.6 
SA,BS-CSMCI-BAL,BG	-23.5 	-22.4 	-23.6 	-22.4 	-21.6 	-22.2 	-22.9 	-22.1 	-22.5 	-23.1 	-24.9 	-24.4 
SA,BS-CSMCI-BAL,CY	-0.9 	2.2 	-1.2 	0.8 	5.0 	2.2 	4.4 	2.9 	-2.6 	-10.6 	-6.7 	-5.6 
SA,BS-CSMCI-BAL,CZ	4.9 	7.3 	7.0 	11.3 	10.8 	11.1 	10.9 	11.9 	11.0 	9.2 	6.8 	8.1 
SA,BS-CSMCI-BAL,DE	5.2 	5.3 	6.1 	7.4 	6.5 	6.1 	6.1 	5.9 	4.6 	4.5 	4.4 	4.5 
SA,BS-CSMCI-BAL,DK	14.9 	16.4 	16.1 	16.6 	16.8 	16.0 	14.0 	15.9 	16.0 	16.9 	14.2 	16.0 
