unit,age,sex,lmp_type,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
RT,TOTAL,M,TOT2_7,FI	20.6 u	21.5 u	23.6 u	26.0 	20.7 	24.3 	26.9 	26.2 	25.1 	25.9 	24.2 	25.2 
RT,TOTAL,M,TOT2_7,FR	48.2 u	49.2 u	56.3 u	58.3 u	42.3 u	46.2 u	43.3 u	38.1 u	38.3 u	37.0 u	36.3 u	38.2 u
RT,TOTAL,M,TOT2_7,HR	: 	: 	: 	: 	: 	: 	: 	2.7 	4.2 	3.7 	5.4 	5.5 e
RT,TOTAL,M,TOT2_7,HU	: 	: 	: 	: 	10.9 u	19.6 u	14.9 u	35.5 e	40.9 e	38.4 	44.6 	52.3 
RT,TOTAL,M,TOT2_7,IE	30.6 	28.4 	29.8 	23.5 	17.3 	15.0 e	16.5 	18.3 	21.6 	24.8 	26.2 u	28.3 
RT,TOTAL,M,TOT2_7,IT	34.8 u	35.3 u	35.7 u	33.3 u	29.5 u	26.4 u	25.5 u	21.7 u	17.1 u	15.4 u	: 	: 
RT,TOTAL,M,TOT2_7,LT	: 	9.9 u	11.3 u	5.4 u	4.0 u	4.8 u	: 	: 	: 	: 	: 	: 
RT,TOTAL,M,TOT2_7,LU	129.5 u	132.8 u	162.7 	122.8 	80.6 e	100.3 e	66.5 u	88.9 	84.4 	86.4 	54.4 	68.0 
RT,TOTAL,M,TOT2_7,LV	2.6 e	2.9 e	2.3 	2.3 	3.2 	7.9 	7.9 	4.3 	5.2 	5.4 	3.6 	4.9 
RT,TOTAL,M,TOT2_7,MT	: 	5.0 e	4.9 	3.4 	4.7 	10.2 	20.5 	13.2 	5.1 	23.2 	14.3 	11.1 
RT,TOTAL,M,TOT2_7,NL	: 	: 	40.0 u	42.8 u	37.4 u	28.6 u	26.0 u	22.1 u	17.7 u	17.5 u	: 	: 
RT,TOTAL,M,TOT2_7,NO	25.1 	27.7 	31.4 	26.2 	22.8 b	24.8 	25.1 	22.7 	20.3 	21.3 	17.7 	16.8 b
RT,TOTAL,M,TOT2_7,PL	11.3 u	12.7 u	16.6 u	35.2 e	32.8 e	23.4 e	22.1 e	18.8 e	17.8 e	19.9 e	24.8 e	28.4 
RT,TOTAL,M,TOT2_7,PT	33.8 u	32.2 	31.6 	33.5 	31.5 b	29.4 	19.3 b	15.1 	16.4 	24.5 	28.2 	23.4 
RT,TOTAL,M,TOT2_7,RO	8.1 	7.4 	8.0 	7.4 	3.8 	3.9 	2.9 e	3.7 e	2.6 	2.5 	3.4 	3.8 
