sex,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
M,BE	: 	: 	: 	178.6 	170.4 	170.7 	160.7 	158.0 	162.8 	152.3 	144.2 	137.9 	138.0 	132.2 	127.1 	125.1 
M,BG	343.0 	340.7 	343.8 	334.8 	335.6 	351.8 	341.6 	329.5 	321.9 	306.2 	290.5 	278.7 	294.5 	280.9 	284.2 	279.9 
M,CH	144.1 	135.0 	130.1 	129.0 	124.8 	122.9 	117.0 	119.2 	113.1 	109.6 	105.8 	100.6 	99.5 	96.3 	92.0 	90.1 
M,CY	: 	: 	: 	: 	135.0 	123.6 	122.5 	129.9 	130.4 	129.4 	118.4 	105.4 	111.6 	113.2 	112.7 	116.0 
M,CZ	316.4 	298.9 	291.1 	284.3 	273.5 	263.2 	253.9 	250.9 	243.4 	233.5 	228.3 	221.3 	210.8 	208.1 	196.0 	188.0 
M,DE	200.5 	193.8 	190.8 	187.2 	179.0 	174.6 	170.2 	164.7 	160.8 	157.2 	153.9 	150.4 	147.0 	146.9 	141.9 	142.7 
M,DK	197.2 	186.8 	182.5 	181.8 	177.2 	163.6 	169.9 	160.6 	152.9 	148.7 	: 	141.2 	135.6 	129.7 	131.1 	124.1 
M,EE	422.0 	415.2 	403.5 	392.7 	384.3 	358.6 	354.0 	333.2 	312.6 	277.3 	267.9 	255.6 	250.5 	233.0 	233.6 	223.7 
M,EL	190.6 	191.6 	182.2 	185.8 	190.6 	181.3 	177.8 	177.4 	172.5 	174.7 	171.6 	174.2 	178.2 	172.4 	168.8 	170.1 
M,ES	192.0 	188.8 	185.1 	181.8 	174.4 	169.8 	166.4 	162.8 	157.0 	152.3 	147.2 	141.9 	140.6 	135.6 	131.1 	128.4 
M,EU28	: 	: 	218.3 p	213.9 	207.3 p	202.6 p	196.8 	192.1 	187.9 	182.5 	176.9 p	171.4 	167.8 	163.1 	158.4 	156.5 
M,FI	195.8 	184.7 	182.2 	184.3 	186.6 	183.5 	175.6 	175.7 	171.9 	162.5 	163.4 	155.5 	147.2 	142.3 	139.0 	131.9 
M,FR	: 	192.0 	188.5 	185.0 	176.7 	174.8 	170.7 	166.8 	161.5 	159.9 	154.2 	149.5 	145.1 	139.8 	137.5 	136.1 
M,HR	: 	: 	323.9 	313.7 	297.0 	305.0 	294.1 	289.1 	293.5 	281.9 	271.4 	277.5 	264.3 	256.5 	252.5 	250.9 
M,HU	533.6 	505.6 	503.0 	502.9 	494.0 	480.6 	471.5 	462.6 	449.9 	442.7 	424.4 	403.4 	383.8 	363.3 	357.2 	349.3 
M,IE	198.1 	180.5 	178.1 	166.0 	160.2 	149.3 	146.1 	151.0 	141.4 	143.9 	127.0 	132.7 	128.2 	126.3 	122.3 	114.9 
M,IS	118.4 	: 	: 	107.6 	123.4 	127.6 	115.0 	106.7 	94.5 	112.1 	: 	98.9 	99.9 	85.1 	107.1 	81.4 
M,IT	169.0 	163.6 	158.8 	156.6 	: 	: 	139.8 	134.3 	131.9 	128.2 	123.6 	120.9 	116.8 	112.0 	108.5 	107.6 
M,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103.8 	76.8 	79.8 	: 	: 	60.9 
M,LT	382.0 	406.7 	401.2 	406.3 	415.4 	438.4 	475.9 	480.2 	440.5 	405.2 	400.9 	391.7 	374.4 	360.5 	344.7 	346.0 
M,LU	185.0 	171.2 	183.8 	174.5 	177.3 	154.8 	168.4 	127.4 	132.7 	129.6 	126.7 	134.6 	133.2 	128.6 	124.4 	103.8 
M,LV	443.5 	475.2 	472.3 	442.6 	436.7 	457.4 	463.1 	458.3 	428.8 	404.5 	395.4 	371.3 	361.0 	346.8 	338.7 	321.3 
M,MK	282.1 	294.8 	291.0 	283.7 	273.3 	259.0 	283.5 	254.5 	253.0 	252.3 	245.1 	: 	: 	: 	: 	: 
M,MT	168.4 	157.5 	165.0 	148.6 	144.3 	145.8 	147.2 	132.0 	162.4 	130.4 	139.8 	134.8 	141.0 	126.8 	128.1 	134.2 
M,NL	168.4 	158.6 	153.9 	151.7 	146.2 	139.1 	135.2 	129.0 	127.5 	123.6 	121.3 	117.3 	117.0 	109.7 	106.2 	104.5 
M,NO	153.0 	146.7 	146.7 	131.9 	130.8 	125.2 	122.2 	119.5 	116.0 	113.0 	109.2 	105.2 	104.9 	100.7 	93.4 	92.1 
M,PL	332.8 	320.8 	308.8 	299.2 	299.5 	289.0 	285.7 	283.4 	272.8 	260.7 	246.7 	238.0 	238.4 	225.0 	213.4 	213.5 
M,PT	199.7 	202.9 	206.1 	201.3 	192.2 	183.1 	171.7 	175.8 	170.6 	169.0 	168.5 	164.8 	159.7 	160.9 	165.6 	160.4 
M,RO	411.9 	429.0 	426.4 	415.4 	397.7 	389.5 	381.8 	373.7 	377.0 	380.2 	370.1 	347.3 	341.5 	327.6 	327.3 	323.2 
M,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	266.4 	257.1 	251.6 	248.0 	245.9 
M,SE	137.3 	133.6 	129.6 	127.0 	121.8 	120.6 	116.8 	113.9 	112.1 	106.8 	101.3 	98.5 	94.7 	94.6 	93.3 	89.6 
M,SI	266.0 	265.2 	248.4 	249.5 	233.7 	217.2 	221.8 	224.4 	220.7 	203.1 	200.1 	186.5 	188.4 	182.5 	168.5 	171.0 
M,SK	377.6 	367.5 	357.4 	348.9 	330.8 	323.6 	309.2 	330.8 	327.9 	316.7 	304.0 	302.0 	288.5 	281.4 	272.3 	272.5 
M,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	177.7 	169.6 	186.7 	182.1 	175.6 
M,UK	194.7 	193.5 	189.1 	184.5 	174.3 	168.0 	165.8 	160.3 	155.8 	149.1 	146.0 	140.9 	135.3 	135.7 	132.4 	132.0 
T,AL	: 	: 	: 	: 	126.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,AT	156.7 	149.8 	146.2 	146.8 	143.9 	138.6 	133.0 	130.0 	126.7 	127.2 	124.0 	121.9 	117.4 	114.8 	112.1 	108.2 
T,BE	: 	: 	: 	139.7 	134.7 	134.6 	127.7 	128.5 	129.8 	123.5 	118.0 	115.5 	113.1 	110.0 	104.4 	105.1 
T,BG	245.3 	240.9 	244.6 	234.7 	236.3 	247.3 	239.3 	232.1 	227.8 	215.5 	206.3 	198.7 	208.7 	197.8 	205.7 	202.4 
T,CH	115.8 	108.2 	105.9 	104.6 	99.4 	99.4 	97.0 	97.6 	92.8 	90.2 	88.8 	83.4 	83.9 	80.0 	76.4 	75.9 
T,CY	: 	: 	: 	: 	101.8 	98.1 	94.4 	99.6 	102.6 	97.6 	88.1 	82.7 	86.2 	81.9 	85.1 	88.9 
T,CZ	225.9 	216.6 	209.1 	207.7 	197.5 	192.7 	186.3 	183.3 	178.5 	171.5 	167.8 	162.9 	156.9 	156.2 	146.2 	141.4 
T,DE	154.0 	149.4 	147.7 	144.6 	139.5 	136.9 	133.6 	129.9 	128.0 	124.9 	122.8 	121.4 	117.7 	117.9 	113.7 	114.2 
T,DK	174.3 	167.3 	160.5 	156.2 	152.6 	146.1 	148.5 	141.9 	134.6 	131.2 	: 	124.4 	120.2 	114.7 	114.4 	109.5 
T,EE	285.0 	279.2 	268.8 	264.2 	252.1 	237.1 	241.0 	222.2 	210.9 	188.1 	181.0 	174.3 	170.4 	160.3 	159.7 	157.6 
T,EL	134.3 	134.3 	130.4 	131.1 	133.4 	128.2 	127.0 	127.1 	124.3 	124.2 	123.8 	124.6 	127.3 	123.6 	120.5 	120.5 
T,ES	133.8 	132.0 	129.5 	127.5 	122.6 	120.1 	117.5 	116.0 	113.0 	109.6 	107.0 	104.4 	103.2 	101.0 	97.4 	96.4 
T,EU28	: 	: 	164.4 p	161.1 	156.5 p	153.6 p	149.4 	146.7 	143.7 	139.9 	135.6 p	132.5 	130.0 	126.7 	123.3 	122.1 
T,FI	146.2 	137.6 	136.8 	135.3 	137.8 	137.4 	130.8 	131.5 	128.4 	123.4 	122.8 	117.9 	112.5 	109.8 	104.7 	101.6 
T,FR	: 	138.9 	136.8 	134.5 	130.0 	127.7 	125.7 	122.8 	120.0 	118.7 	115.1 	111.8 	109.7 	106.2 	105.3 	104.2 
T,HR	: 	: 	224.5 	219.7 	209.3 	210.7 	204.0 	202.4 	206.7 	196.3 	194.5 	196.3 	187.4 	184.8 	181.5 	180.8 
T,HU	363.4 	349.6 	344.9 	346.7 	340.2 	328.5 	322.6 	320.6 	312.2 	307.4 	295.2 	284.2 	272.8 	260.3 	258.0 	255.7 
T,IE	163.0 	149.1 	143.0 	140.6 	134.0 	127.8 	125.5 	125.5 	123.0 	121.5 	108.1 	113.7 	110.6 	106.9 	103.8 	99.9 
T,IS	122.0 	111.1 	114.3 	104.5 	106.3 	102.6 	103.6 	99.1 	86.2 	90.1 	: 	94.0 	87.2 	76.6 	92.1 	78.9 
T,IT	128.5 	124.5 	122.3 	120.7 	: 	: 	109.0 	106.2 	104.4 	102.4 	98.7 	97.3 	95.0 	91.1 	88.3 	88.1 
T,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	84.3 	81.4 	80.5 	: 	70.9 	61.3 
T,LT	255.3 	268.3 	266.7 	269.5 	274.2 	285.9 	307.8 	313.4 	294.9 	267.7 	263.2 	258.7 	245.7 	239.2 	226.7 	231.5 
T,LU	151.3 	138.5 	144.9 	131.7 	129.3 	119.5 	136.1 	116.6 	104.8 	105.8 	104.5 	113.9 	108.2 	107.8 	95.9 	85.7 
T,LV	292.7 	313.8 	307.6 	293.9 	290.6 	296.9 	310.2 	297.4 	282.2 	271.2 	265.8 	251.2 	240.4 	231.9 	227.6 	221.6 
T,MK	222.8 	223.3 	217.0 	219.9 	211.8 	199.2 	218.7 	200.5 	197.2 	195.6 	191.5 	: 	: 	: 	: 	: 
T,MT	140.1 	128.2 	135.8 	129.3 	115.9 	123.9 	121.0 	114.0 	123.8 	108.4 	112.0 	110.1 	116.6 	99.0 	100.9 	105.3 
T,NL	143.4 	137.9 	135.8 	132.8 	129.2 	126.0 	121.0 	117.5 	117.3 	113.6 	111.2 	110.3 	108.5 	102.3 	98.7 	98.6 
T,NO	132.4 	127.5 	126.2 	116.7 	113.8 	111.0 	108.0 	105.6 	102.9 	99.1 	97.3 	95.1 	92.3 	89.7 	84.1 	81.3 
T,PL	235.5 	227.4 	218.6 	213.7 	213.5 	207.6 	206.5 	205.3 	198.2 	191.1 	181.5 	176.9 	177.2 	169.3 	161.9 	160.9 
T,PT	148.1 	150.3 	151.1 	146.5 	138.8 	132.6 	123.4 	125.8 	122.6 	122.7 	120.0 	119.2 	114.8 	113.8 	116.1 	113.7 
T,RO	300.8 	312.1 	309.9 	300.6 	287.5 	282.1 	275.2 	269.5 	269.4 	270.0 	261.4 	246.9 	243.3 	235.1 	233.8 	230.9 
T,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	203.7 	199.9 	193.9 	192.5 	190.4 
T,SE	121.2 	115.8 	113.5 	111.9 	109.0 	107.1 	103.3 	99.8 	99.4 	95.3 	90.0 	88.1 	84.9 	85.1 	83.5 	79.1 
T,SI	193.4 	193.6 	180.2 	181.5 	172.0 	161.1 	161.5 	163.1 	162.9 	152.2 	147.5 	141.5 	144.9 	139.0 	128.1 	131.3 
T,SK	254.1 	249.7 	242.4 	236.6 	227.8 	223.3 	215.5 	228.5 	226.6 	222.3 	212.4 	210.2 	205.3 	199.2 	194.5 	195.2 
T,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	129.5 	122.5 	134.6 	132.6 	127.9 
T,UK	160.7 	159.1 	155.7 	152.1 	144.4 	140.3 	138.0 	134.7 	131.4 	125.4 	123.1 	119.8 	116.7 	115.3 	113.3 	112.5 
