na_item,nace_r2,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B1G,B-E,PCH_Q1_SCA,AT	1.1 	0.6 	1.6 	-0.7 	1.6 	3.1 	1.3 	0.1 	1.2 	2.1 	2.2 	0.6 
B1G,B-E,PCH_Q1_SCA,BE	0.7 	0.5 	0.0 	0.3 	-0.3 	-0.1 	0.1 	-0.1 	-0.1 	0.2 	-0.3 	-0.2 
B1G,B-E,PCH_Q1_SCA,BG	1.1 	1.0 	1.6 	1.4 	1.5 	1.5 	1.0 	0.7 	0.4 	0.3 	0.4 p	0.6 p
B1G,B-E,PCH_Q1_SCA,CH	1.1 	1.3 	0.2 	-0.8 	1.0 	-2.2 	3.3 	1.1 	1.7 	1.5 	1.7 	1.8 
B1G,B-E,PCH_Q1_SCA,CY	3.0 	2.5 	4.0 	2.3 	1.7 	2.3 	3.0 	0.3 	2.0 	0.5 	0.4 	3.4 
B1G,B-E,PCH_Q1_SCA,CZ	0.3 	0.2 	0.6 	-0.3 	0.7 	2.2 	3.8 	3.5 	1.5 	0.3 	-0.1 	0.5 
B1G,B-E,PCH_Q1_SCA,DE	0.2 	-0.2 	4.3 	-0.1 	0.4 	0.0 	0.6 	1.6 	1.5 	1.0 	-0.5 	0.1 
B1G,B-E,PCH_Q1_SCA,DK	-3.1 	0.1 	4.3 	-1.4 	1.7 	1.8 	0.5 	1.1 	-2.2 	0.1 	2.4 	-1.6 
B1G,B-E,PCH_Q1_SCA,EA	0.5 	0.1 	2.4 	0.0 	0.3 	1.8 	0.1 	1.1 	1.5 	1.3 	-0.7 	0.4 
B1G,B-E,PCH_Q1_SCA,EA19	0.5 	0.1 	2.4 	0.0 	0.3 	1.8 	0.1 	1.1 	1.5 	1.3 	-0.7 	0.4 
B1G,B-E,PCH_Q1_SCA,EE	-3.5 	-2.8 	4.8 	0.5 	2.5 	-1.2 	2.6 	3.6 	-0.4 	3.2 	-0.4 	-0.3 
B1G,B-E,PCH_Q1_SCA,EL	4.1 p	5.0 p	-2.7 p	3.0 p	0.2 p	1.9 p	3.6 p	-0.3 p	1.6 p	-1.3 p	1.9 p	1.9 p
B1G,B-E,PCH_Q1_SCA,ES	1.0 	1.6 	2.2 p	1.3 p	0.8 p	0.5 p	2.0 p	0.9 p	0.6 p	1.4 p	-0.3 p	0.7 p
B1G,B-E,PCH_Q1_SCA,EU28	0.5 	0.0 	1.9 	0.3 	0.2 	1.6 	0.4 	1.0 	1.3 	1.2 	-0.4 	0.2 
B1G,B-E,PCH_Q1_SCA,FI	-1.0 	0.5 	-1.5 	3.3 	1.4 	1.5 	3.3 	0.5 	0.7 	0.8 	2.6 	-0.9 
B1G,B-E,PCH_Q1_SCA,FR	0.5 	0.2 	0.6 	0.1 	-0.2 	0.6 	0.3 	0.6 	0.7 	1.1 	-0.5 	-0.1 
B1G,B-E,PCH_Q1_SCA,HR	2.1 	1.4 	2.0 	0.8 	-1.3 	5.3 	-2.3 	-0.5 	0.2 	2.3 	-1.3 	-0.5 
B1G,B-E,PCH_Q1_SCA,HU	1.0 	1.0 	-0.9 	0.9 	-1.1 	1.9 	1.0 	2.9 	-1.1 	1.7 	1.1 	0.9 
B1G,B-E,PCH_Q1_SCA,IE	6.1 	-1.3 	0.6 	0.4 	-4.9 	23.7 	-8.5 	-2.6 	8.7 	3.8 	-9.4 	5.3 
B1G,B-E,PCH_Q1_SCA,IT	0.2 	0.0 	1.8 	-0.6 	1.0 	1.5 	0.5 	1.4 	1.5 	0.7 	-0.3 	0.0 
B1G,B-E,PCH_Q1_SCA,LT	-0.2 	2.3 	-0.6 	1.7 	1.2 	0.1 	3.0 	0.5 	0.9 	1.8 	0.9 	0.2 
B1G,B-E,PCH_Q1_SCA,LU	1.5 	2.9 	7.1 	-0.1 	-4.4 	0.3 	-3.9 	1.3 	4.9 	2.6 	-3.6 	1.3 
B1G,B-E,PCH_Q1_SCA,LV	0.2 	-2.0 	1.5 	2.4 	-0.7 	5.6 	1.9 	2.1 	0.4 	1.0 	0.6 	-1.0 
B1G,B-E,PCH_Q1_SCA,NL	-0.4 	-1.9 	3.3 p	-2.0 p	0.6 p	1.2 p	-0.1 p	1.4 p	0.9 p	1.5 p	-0.8 p	0.0 p
B1G,B-E,PCH_Q1_SCA,NO	2.7 	-3.9 	1.1 	0.1 	-4.0 	5.3 	-1.0 	0.5 	0.6 	-1.9 	-0.5 	-0.9 
B1G,B-E,PCH_Q1_SCA,PL	3.2 	0.9 	-1.1 	3.1 	-0.4 	1.7 	3.2 	-0.4 	2.1 	1.1 	0.5 	1.8 
B1G,B-E,PCH_Q1_SCA,PT	1.9 	0.0 	-0.4 	-0.2 	2.5 	0.8 	-0.6 	0.1 	1.6 	1.6 	-1.5 	-0.7 
B1G,B-E,PCH_Q1_SCA,RO	2.8 	-2.6 	2.3 p	0.8 p	2.2 p	1.6 p	1.6 p	2.0 p	1.2 p	3.1 p	-1.6 p	1.4 p
B1G,B-E,PCH_Q1_SCA,SE	0.6 	-0.4 	1.5 	-1.8 	0.2 	-0.9 	3.5 	0.6 	0.1 	1.5 	2.1 	-0.9 
B1G,B-E,PCH_Q1_SCA,SI	0.7 	0.5 	2.8 	0.7 	0.9 	1.3 	2.7 	2.3 	2.0 	2.3 	0.1 	1.3 
B1G,B-E,PCH_Q1_SCA,UK	-0.3 	-0.6 	0.1 	1.8 	-0.4 	0.6 	0.2 	0.2 	0.8 	0.6 	0.1 	-0.9 
B1G,B-E,PCH_Q4_NSA,AL	-2.9 	-3.2 	1.9 p	3.1 p	-4.2 p	4.7 p	3.2 p	5.0 p	-0.9 p	3.0 p	20.1 p	20.9 p
B1G,B-E,PCH_Q4_NSA,AT	2.8 	2.8 	5.7 	4.3 	1.7 	4.2 	8.2 	4.3 	4.8 	3.4 	6.2 	6.0 
B1G,B-E,PCH_Q4_NSA,BE	3.2 	3.2 	1.4 	1.5 	0.5 	-0.1 	0.0 	-0.5 	-0.2 	0.1 	-0.4 	-0.4 
B1G,B-E,PCH_Q4_NSA,BG	6.2 	0.7 	7.9 	3.9 	4.5 	8.1 	5.2 	4.2 	4.6 	2.3 	1.6 p	0.4 p
B1G,B-E,PCH_Q4_NSA,CH	0.3 	0.2 	1.3 	3.2 	1.5 	-2.3 	3.0 	1.6 	3.8 	7.4 	4.6 	8.1 
B1G,B-E,PCH_Q4_NSA,CY	4.5 	8.4 	10.1 	11.9 	10.9 	10.2 	9.9 	7.8 	7.1 	6.4 	2.7 	6.2 
B1G,B-E,PCH_Q4_NSA,CZ	3.3 	2.0 	0.8 	3.4 	0.9 	2.6 	8.0 	7.2 	11.6 	9.3 	3.1 	2.9 
B1G,B-E,PCH_Q4_NSA,DE	2.8 	2.6 	4.4 	7.6 	4.0 	3.2 	4.2 	-0.6 	2.6 	3.5 	1.7 	3.2 
B1G,B-E,PCH_Q4_NSA,DK	-2.7 	-3.0 	2.8 	1.6 	4.0 	6.1 	5.3 	3.1 	0.8 	-0.9 	-0.6 	0.9 
B1G,B-E,PCH_Q4_NSA,EA	3.7 	4.1 	2.9 	4.7 	2.2 	3.9 	4.0 	1.2 	3.8 	3.5 	2.0 	2.9 
B1G,B-E,PCH_Q4_NSA,EA19	3.7 	4.1 	2.9 	4.7 	2.2 	3.9 	4.0 	1.2 	3.8 	3.5 	2.0 	2.9 
B1G,B-E,PCH_Q4_NSA,EE	0.2 	-2.5 	-1.1 	0.5 	5.7 	6.6 	6.8 	6.7 	3.7 	8.4 	5.2 	3.7 
B1G,B-E,PCH_Q4_NSA,EL	2.2 p	11.7 p	6.8 p	9.2 p	4.9 p	1.1 p	10.2 p	6.2 p	7.1 p	2.0 p	2.4 p	4.4 p
B1G,B-E,PCH_Q4_NSA,ES	3.2 	3.7 	5.9 p	6.9 p	5.8 p	3.9 p	5.1 p	3.8 p	3.3 p	5.6 p	1.5 p	2.8 p
B1G,B-E,PCH_Q4_NSA,EU28	3.3 	3.4 	2.6 	4.2 	1.9 	3.5 	4.0 	1.4 	3.8 	3.6 	2.2 	2.7 
B1G,B-E,PCH_Q4_NSA,FI	-2.7 	-2.1 	0.2 	1.6 	3.9 	3.4 	11.8 	7.1 	4.7 	5.3 	4.6 	2.9 
B1G,B-E,PCH_Q4_NSA,FR	-0.6 	1.0 	0.9 	2.3 	0.0 	1.0 	1.6 	-0.2 	1.6 	3.0 	1.5 	0.9 
B1G,B-E,PCH_Q4_NSA,HR	4.2 	4.2 	7.4 	6.1 	2.7 	7.3 	2.6 	0.7 	2.5 	-0.1 	0.8 	0.4 
B1G,B-E,PCH_Q4_NSA,HU	6.7 	9.8 	-0.7 	4.9 	0.2 	-0.4 	5.8 	2.6 	3.2 	2.2 	2.3 	3.8 
B1G,B-E,PCH_Q4_NSA,IE	75.2 	96.2 	-5.0 	3.1 	-5.7 	29.2 	2.2 	3.0 	25.0 	3.3 	-1.4 	6.3 
B1G,B-E,PCH_Q4_NSA,IT	1.9 	2.3 	2.6 	2.4 	1.1 	2.4 	4.9 	2.4 	3.9 	3.6 	2.9 	3.0 
B1G,B-E,PCH_Q4_NSA,LT	0.9 	2.5 	3.5 	3.0 	4.6 	2.2 	5.6 	5.0 	4.5 	6.1 	4.4 	3.7 
B1G,B-E,PCH_Q4_NSA,LU	14.2 	24.7 	15.4 	11.6 	5.3 	3.1 	-8.4 	-6.8 	2.6 	5.0 	4.8 	4.8 
B1G,B-E,PCH_Q4_NSA,LV	3.1 	3.5 	3.2 	4.8 	0.5 	9.7 	10.8 	7.3 	9.2 	4.5 	2.8 	2.2 
B1G,B-E,PCH_Q4_NSA,MK	2.9 	8.1 	5.7 p	-1.8 p	3.4 p	-0.9 p	-3.6 e	-3.8 e	-4.1 e	1.1 e	1.4 e	4.4 e
B1G,B-E,PCH_Q4_NSA,NL	-1.2 	-4.0 	-0.4 p	1.7 p	0.2 p	1.0 p	2.3 p	0.7 p	2.1 p	3.1 p	2.2 p	2.6 p
B1G,B-E,PCH_Q4_NSA,NO	4.7 	-2.2 	0.4 	1.9 	-6.4 	1.9 	0.8 	-1.2 	5.1 	-2.2 	-2.8 	-1.8 
B1G,B-E,PCH_Q4_NSA,PL	6.3 	6.0 	3.2 	5.9 	1.9 	3.3 	8.3 	4.1 	6.5 	5.9 	3.3 	5.5 
B1G,B-E,PCH_Q4_NSA,PT	4.2 	2.8 	2.4 	1.3 	2.0 	2.5 	3.0 	2.7 	1.9 	2.6 	2.0 	0.9 
B1G,B-E,PCH_Q4_NSA,RO	5.7 	4.0 	2.0 p	2.8 p	2.6 p	7.6 p	6.2 p	7.4 p	6.5 p	8.6 p	4.4 p	4.0 p
B1G,B-E,PCH_Q4_NSA,RS	6.3 	5.6 	5.6 	-0.8 	2.0 	3.8 	1.3 p	3.5 p	6.4 p	2.8 p	5.4 p	2.6 p
B1G,B-E,PCH_Q4_NSA,SE	-1.8 	-4.5 	6.7 	0.6 	-1.0 	-1.5 	3.5 	1.8 	2.5 	5.0 	4.4 	3.1 
B1G,B-E,PCH_Q4_NSA,SI	0.0 	0.9 	3.3 	6.2 	4.3 	4.3 	6.7 	6.3 	8.1 	9.8 	5.9 	5.1 
B1G,B-E,PCH_Q4_NSA,SK	5.6 	6.4 	7.9 	7.4 	8.4 	11.7 	5.3 	4.1 	1.4 	2.1 	0.8 	4.3 
B1G,B-E,PCH_Q4_NSA,TR	3.9 	9.5 	8.1 	4.7 	-1.8 	5.9 	6.1 	5.9 	15.4 	9.3 	8.1 	4.3 
B1G,B-E,PCH_Q4_NSA,UK	1.7 	0.6 	0.2 	1.4 	0.4 	1.9 	1.9 	-0.1 	2.0 	2.7 	2.3 	0.7 
