currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18678.0 	19266.0 	20023.0 	22679.0 	23257.0 	23897.0 	25983.0 	29773.0 	30738.0 	31689.0 	32758.0 	35637.0 	37411.0 	37458.0 	39158.0 	44498.0 	45396.0 	46895.0 	47778.0 	48436.0 	49526.0 	50233.0 	50229.0 	56512.0 	113242.0 	117869.0 	120846.0 	133262.0 	144979.0 	149136.0 	149404.0 	161176.0 	174740.0 	179279.0 	184426.0 	207604.0 	215977.0 	219945.0 	224957.0 	218772.0 	222727.0 	223643.0 	227467.0 	235387.0 	246057.0 	255429.0 	261021.0 	238029.0 	246923.0 	254728.0 	253692.0 	260739.0 	268010.0 	271363.0 	271445.0 	277550.0 	281874.0 	275015.0 	277658.0 	285129.0 	287412.0 	289336.0 	290672.0 	301925.0 	322300.0 	318677.0 	313530.0 	302321.0 	277659.0 	282157.0 	286199.0 	276239.0 	282413.0 	277238.0 	276315.0 	283848.0 	285959.0 	289257.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	281272.0 	295688.0 	308236.0 	320553.0 	347407.0 	334552.0 	348019.0 	365494.0 	376823.0 	389648.0 	383220.0 	421911.0 	544976.0 	554588.0 	586958.0 	660494.0 	653730.0 	651546.0 	641373.0 	696258.0 	709774.0 	753854.0 	740573.0 	776537.0 	778648.0 	776932.0 	819421.0 	864777.0 	882549.0 	901828.0 	906958.0 	861445.0 	859304.0 	844956.0 	828019.0 	819512.0 	889775.0 	886531.0 	897584.0 	931765.0 	1000591.0 	968074.0 	966447.0 	988653.0 	971416.0 	986227.0 	979192.0 	1024843.0 	1021991.0 	993754.0 	999256.0 	963496.0 	952519.0 	957716.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	183.6 	49.1 	39.2 	54.5 	162.2 	72.6 	75.5 	122.7 	226.5 	85.3 	48.2 	81.2 	216.4 	439.5 	589.4 	746.7 	679.7 	803.8 	848.3 	988.1 	795.0 	1191.6 	1123.2 	1195.7 	1302.9 	1868.3 	2125.6 	2413.2 	2513.9 	3472.1 	3753.9 	3847.9 	3796.3 	4039.1 	3982.8 	4376.2 	3982.7 	4673.4 	4903.2 	4869.0 	5469.5 	5857.6 	5869.5 	6323.1 	6168.9 	6606.8 	6877.3 	6821.1 	6658.8 	7078.9 	7087.7 	7188.5 	6991.7 	7027.8 	7450.7 	7771.3 	7845.0 	8032.9 	8097.0 	7711.8 	8072.5 	8229.5 	8682.6 	9041.5 	9655.4 	9838.3 	9663.0 	10161.6 	10796.2 	11219.2 	11205.7 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	121676.0 	122415.0 	123013.0 	124163.0 	124186.0 	124775.0 	123864.0 	122708.0 	140789.0 	141348.0 	146323.0 	148780.0 	145984.0 	142421.0 	139919.0 	132610.0 	162481.0 	162579.0 	163188.0 	161979.0 	156627.0 	154372.0 	153142.0 	149693.0 	148059.0 	146764.0 	144536.0 	141504.0 	173360.0 	175425.0 	176760.0 	184594.0 	184496.0 	188722.0 	191796.0 	194713.0 	195761.0 	195506.0 	188610.0 	190573.0 	190624.0 	189162.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,CZ	9190.0 	: 	: 	: 	13609.0 	: 	: 	: 	18989.0 	: 	: 	: 	24004.0 	: 	: 	: 	25115.0 	26064.0 	26692.0 	27535.0 	27899.0 	31567.0 	35418.0 	38950.0 	41176.0 	40843.0 	38277.0 	41688.0 	44397.0 	48161.0 	51364.0 	54901.0 	58582.0 	90923.0 	106974.0 	126413.0 	140147.0 	150137.0 	194284.0 	201536.0 	195228.0 	214845.0 	209193.0 	197435.0 	246444.0 	250870.0 	273865.0 	271074.0 	354163.0 	411098.0 	432934.0 	463367.0 	479984.0 	493604.0 	507540.0 	543221.0 	562744.0 	586567.0 	600079.0 	631321.0 	647520.0 	623714.0 	636399.0 	635081.0 	666546.0 	689331.0 	686036.0 	717576.0 	762409.0 	809234.0 	847760.0 	881711.0 	915136.0 	976301.0 	951396.0 	1000301.0 	975542.0 	1033542.0 	1048077.0 	1074421.0 	1049150.0 	1110839.0 	1107059.0 	1116834.0 	1113476.0 	1129177.0 	1121556.0 	1156335.0 	1158096.0 	1176081.0 	1198030.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	458290.0 	: 	: 	: 	590738.0 	: 	: 	: 	710710.0 	: 	: 	: 	691453.0 	: 	: 	: 	696648.0 	698681.0 	710676.0 	713208.0 	721306.0 	748731.0 	781445.0 	801299.0 	844891.0 	869503.0 	873862.0 	910610.0 	938463.0 	977814.0 	1015956.0 	1028055.0 	1049715.0 	1045182.0 	1063605.0 	1081315.0 	1048783.0 	1059391.0 	1077155.0 	1084672.0 	1114315.0 	1170609.0 	1231721.0 	1205807.0 	1223562.0 	1238781.0 	1254395.0 	1283796.0 	1310913.0 	1344675.0 	1373593.0 	1388161.0 	1461890.0 	1494379.0 	1502305.0 	1511702.0 	1517375.0 	1548084.0 	1584806.0 	1634742.0 	1643944.0 	1752169.0 	1761628.0 	1758728.0 	1798571.0 	1791382.0 	1808005.0 	1818284.0 	1868514.0 	1915569.0 	1898359.0 	1902189.0 	1926403.0 	1964812.0 	2037243.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	714258.0 	748710.0 	784681.0 	808470.0 	836729.0 	837690.0 	873422.0 	825855.0 	855451.0 	892278.0 	895729.0 	908801.0 	944931.0 	1002329.0 	1057482.0 	1025290.0 	1075037.0 	1101341.0 	1103201.0 	1107532.0 	1172201.0 	1225321.0 	1224890.0 	1244176.0 	1223360.0 	1256267.0 	1302511.0 	1344580.0 	1372325.0 	1394564.0 	1421211.0 	1387557.0 	1414890.0 	1398794.0 	1414882.0 	1411985.0 	1448611.0 	1456505.0 	1530582.0 	1516186.0 	1620450.0 	1622149.0 	1609733.0 	1621444.0 	1722822.0 	1739444.0 	1755555.0 	1797855.0 	1854172.0 	1826550.0 	1810895.0 	1809210.0 	1796955.0 	1797291.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	381.1 	426.4 	397.2 	411.8 	460.7 	558.4 	640.3 	691.9 	729.5 	790.8 	855.6 	898.7 	973.3 	1017.7 	1121.0 	1181.2 	1311.4 	1409.4 	1542.9 	1513.6 	1668.6 	1890.0 	2055.7 	2266.9 	2651.2 	2968.1 	3248.0 	3628.2 	3954.0 	4629.5 	5084.3 	5576.7 	5964.0 	6136.0 	6377.0 	6271.0 	6332.0 	6008.0 	6101.0 	5954.0 	5881.0 	6035.0 	6035.0 	6487.0 	6832.0 	6876.0 	5925.0 	6064.0 	6297.0 	6447.0 	6659.0 	7134.0 	7273.6 	7401.9 	7475.1 	7696.7 	7943.0 	7982.5 	8484.1 	8712.9 	8613.5 	8128.3 	8424.9 	8392.4 	8386.0 	8701.2 	9018.3 	8818.1 	9330.8 	9632.6 	9774.6 	9140.8 	9281.5 	9295.4 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10253.0 	9481.0 	9586.0 	9744.0 	10706.0 	11034.0 	11267.0 	11670.0 	12316.0 	12459.0 	12658.0 	15139.0 	17806.0 	20030.0 	20546.0 	20938.0 	22772.0 	23280.0 	23941.0 	24710.0 	28443.0 	28923.0 	29228.0 	29424.0 	33944.0 	34056.0 	34404.0 	34788.0 	36953.0 	37200.0 	37702.0 	38156.0 	39939.0 	40188.0 	40016.0 	40200.0 	37036.0 	37111.0 	37025.0 	36355.0 	29280.0 	29853.0 	29136.0 	29726.0 	27542.0 	27873.0 	28244.0 	28724.0 	26392.0 	25580.0 	23488.0 	23662.0 	21218.0 	21818.0 	21310.0 	21530.0 	20239.0 	20662.0 	20424.0 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61846.0 	87279.0 	93908.0 	108877.0 	118054.0 	128379.0 	150543.0 	152946.0 	160600.0 	172433.0 	171635.0 	173911.0 	174025.0 	173683.0 	174002.0 	165713.0 	168399.0 	167879.0 	182814.0 	191577.0 	199831.0 	201711.0 	206886.0 	223780.0 	238918.0 	250782.0 	253644.0 	271259.0 	315696.0 	328546.0 	346352.0 	351118.0 	357000.0 	390826.0 	391654.0 	421977.0 	422280.0 	437604.0 	452087.0 	453925.0 	447721.0 	453892.0 	462293.0 	477766.0 	484661.0 	498000.0 	498189.0 	513258.0 	510092.0 	515474.0 	512288.0 	524716.0 	524632.0 	522931.0 	512167.0 	535567.0 	544939.0 	528375.0 	531842.0 	515716.0 	525629.0 	534812.0 	556286.0 	540475.0 	585458.0 	593637.0 	582749.0 	589708.0 	596957.0 	619329.0 	622905.0 	632758.0 	650081.0 	636192.0 	641320.0 	630270.0 	629474.0 	626359.0 
