unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
INX_A_AVG,AT	60.36 e	60.82 e	61.21 e	61.36 e	60.21 e	63.21 e	65.82 e	68.89 e	69.58 e	72.34 e	76.80 b	81.60 	87.57 	92.10 	95.33 	100.00 	108.53 	114.26 
INX_A_AVG,BE	49.64 e	52.03 e	55.34 e	59.20 e	64.34 e	72.49 	79.56 	85.76 	89.54 	89.12 	91.92 	95.61 	97.75 	98.90 	98.35 	100.00 p	102.64 p	106.37 
INX_A_AVG,BG	: 	39.15 e	35.66 e	39.78 e	58.62 e	80.09 p	91.86 p	118.42 p	147.97 p	117.79 p	105.81 	99.98 	98.07 	95.92 	97.29 	100.00 b	107.02 	116.30 
INX_A_AVG,CY	: 	: 	81.74 e	82.76 e	91.34 e	97.06 	108.57 	121.32 	128.17 	119.76 	112.90 p	111.09 p	107.70 p	103.29 p	101.47 p	100.00 b	100.27 	102.52 p
INX_A_AVG,CZ	50.18 e	54.94 e	61.89 e	68.18 e	68.46 e	69.51 e	74.84 e	89.32 e	100.80 	96.90 	95.20 	95.30 	93.90 	93.90 	96.20 	100.00 p	107.20 p	119.70 p
INX_A_AVG,DE	84.35 e	84.43 e	83.26 e	83.59 e	82.33 e	83.30 	83.00 	81.20 	82.30 	83.00 	83.90 	86.80 	89.80 	92.60 	95.50 	100.00 	106.00 	110.80 
INX_A_AVG,DK	57.21 e	60.56 e	62.74 e	64.73 e	70.53 e	82.93 	102.89 	105.65 	100.19 	88.19 	90.66 	89.12 	86.71 	90.09 	93.49 	100.00 	105.22 	110.00 
INX_A_AVG,EE	: 	: 	: 	: 	: 	59.01 	88.22 	106.54 	96.29 	60.47 	63.90 	69.32 	74.37 	82.29 	93.58 	100.00 	104.75 	110.51 
INX_A_AVG,EL	87.59 e	100.20 e	114.08 e	120.23 e	123.02 e	136.42 e	154.48 e	163.67 e	166.43 e	160.24 e	152.78 e	144.43 e	127.59 e	113.75 e	105.25 e	100.00 e	97.56 e	96.54 e
INX_A_AVG,ES	60.55 e	66.47 e	76.70 e	89.88 e	105.22 e	119.48 e	135.50 	148.79 	146.66 	136.97 	134.55 	124.27 	105.90 	96.24 	96.54 	100.00 	104.62 	111.10 
INX_A_AVG,FI	58.67 e	57.74 e	61.40 e	65.25 e	70.50 e	76.25 p	81.56 p	86.37 p	87.06 p	88.31 	93.88 	96.87 	99.21 	100.35 	100.00 	100.00 	100.44 	102.01 
INX_A_AVG,FR	48.80 	52.60 	57.20 	64.00 	73.70 	85.00 	95.30 	100.80 b	101.63 	95.33 	99.91 	105.71 	105.13 	103.13 	101.49 	100.00 	101.01 	104.16 
INX_A_AVG,HR	66.73 e	67.94 e	71.70 e	74.02 e	82.19 e	91.45 e	107.68 e	120.65 e	124.14 	117.93 	110.47 	110.66 	108.93 	104.63 	102.98 	100.00 	100.89 	104.75 
INX_A_AVG,HU	: 	: 	: 	: 	: 	: 	: 	98.91 	101.26 	95.95 	93.66 	90.45 	87.10 	84.87 	88.43 	100.00 	113.38 	120.13 
INX_A_AVG,IE	78.72 e	90.59 e	94.62 e	108.18 e	120.26 e	131.89 	151.50 	162.81 	151.51 	122.49 	105.96 p	87.86 p	76.04 p	76.99 p	89.72 p	100.00 p	107.46 p	119.18 p
INX_A_AVG,IT	71.99 e	76.18 e	85.25 e	90.49 e	96.07 e	103.40 e	109.33 e	114.79 e	117.82 e	117.24 e	118.10 b	119.70 	116.70 	109.10 	104.00 	100.00 	100.00 p	99.20 
INX_A_AVG,LT	41.43 e	46.65 e	49.26 e	54.06 e	58.44 e	73.43 e	94.25 	119.06 	129.76 	90.92 	84.20 	89.77 	89.56 	90.65 	96.47 	100.00 	105.40 	114.80 
INX_A_AVG,LU	35.82 e	40.87 e	44.32 e	49.29 e	56.18 e	62.59 e	69.56 e	74.42 b	76.91 	76.02 	80.14 	83.09 	86.58 	90.89 	94.88 	100.00 	106.01 	111.96 
INX_A_AVG,LV	29.33 e	29.41 e	43.15 e	52.87 e	54.31 e	67.33 e	104.48 	142.37 	143.94 	90.24 	80.35 	88.73 	91.36 	97.62 	103.48 	100.00 	108.49 	118.01 
INX_A_AVG,MT	32.32 e	35.42 e	39.88 e	46.43 e	54.26 e	58.43 	70.04 	84.75 	94.14 	90.07 	91.04 	89.80 	92.54 	92.16 	94.51 	100.00 	105.45 	111.03 p
INX_A_AVG,NL	81.68 e	89.48 e	95.16 e	97.50 e	101.40 e	106.20 	110.73 	116.10 	118.64 	113.35 	111.40 	109.19 	101.86 	95.75 	96.53 	100.00 	105.02 	112.93 
INX_A_AVG,PL	: 	: 	: 	: 	: 	56.01 	76.52 	113.82 	112.89 e	109.73 e	105.61 	105.70 	102.01 	97.54 	98.50 	100.00 	101.86 	105.78 
INX_A_AVG,PT	90.72 e	95.66 e	96.20 e	97.27 e	97.92 e	100.17 e	102.21 e	103.61 e	107.53 b	106.54 	107.36 	102.09 	94.87 	93.09 	97.04 	100.00 	107.12 	117.02 
INX_A_AVG,RO	: 	: 	: 	: 	: 	: 	: 	: 	169.64 e	129.28 	119.54 	104.83 	99.51 	99.26 	97.22 	100.00 	105.95 	112.36 
INX_A_AVG,SE	35.38 e	38.19 e	40.63 e	43.29 e	47.35 e	51.93 	58.39 	65.71 	66.42 	68.40 	73.87 	75.72 	76.61 	80.81 	88.40 	100.00 	108.63 	115.58 
INX_A_AVG,SI	: 	: 	: 	66.69 e	73.14 e	83.68 e	97.75 e	120.85 	129.31 	117.06 	117.21 	120.39 	112.09 	106.21 	99.20 	100.00 	103.25 	111.56 
INX_A_AVG,SK	: 	: 	: 	: 	: 	: 	75.99 	98.00 	115.55 	100.82 	96.78 	95.33 	92.75 	93.59 	94.91 	100.00 	106.70 	112.99 
INX_A_AVG,UK	43.47 e	47.00 e	54.58 e	63.19 e	70.68 e	78.96 	85.15 	93.59 	89.37 	81.43 	86.09 	84.84 	85.18 	87.37 	94.38 	100.00 	106.98 	111.81 
PCH_3Y,AT	: 	: 	: 	1.70 e	-1.00 e	3.30 e	7.30 e	14.40 e	10.10 e	9.90 e	11.50 be	17.30 e	21.10 e	19.90 	16.80 	14.20 	17.80 	19.90 
PCH_3Y,BE	: 	: 	: 	19.30 e	23.70 e	31.00 e	34.40 e	33.30 e	23.50 	12.00 	7.20 	6.80 	9.70 	7.60 	2.90 	2.30 p	3.80 p	8.20 
PCH_3Y,BG	: 	: 	: 	: 	49.70 e	124.60 e	130.90 e	102.00 e	84.80 p	28.20 p	-10.60 p	-32.40 p	-16.70 p	-9.30 	-2.70 	2.00 b	11.60 	19.50 
PCH_3Y,CY	: 	: 	: 	: 	: 	18.70 e	31.20 e	32.80 e	32.10 	10.30 	-6.90 p	-13.30 p	-10.10 p	-8.50 p	-8.70 p	-7.10 bp	-2.90 p	1.00 p
PCH_3Y,CZ	: 	: 	: 	35.90 e	24.60 e	12.30 e	9.80 e	30.50 e	45.00 e	29.50 e	6.60 e	-5.50 	-3.10 	-1.40 	0.90 	6.50 p	14.20 p	24.40 p
PCH_3Y,DE	: 	: 	: 	-0.90 e	-2.50 e	0.00 e	-0.70 e	-1.40 e	-1.20 	0.00 	3.30 	5.50 	8.20 	10.40 	10.00 	11.40 	14.50 	16.00 
PCH_3Y,DK	: 	: 	: 	13.10 e	16.50 e	32.20 e	59.00 e	49.80 e	20.80 	-14.30 	-14.20 	-11.00 	-1.70 	-0.60 	4.90 	15.30 	16.80 	17.70 
PCH_3Y,EE	: 	: 	: 	: 	: 	: 	: 	: 	63.20 	-31.50 	-40.00 	-28.00 	23.00 	28.80 	35.00 	34.50 	27.30 	18.10 
PCH_3Y,EL	: 	: 	: 	37.30 e	22.80 e	19.60 e	28.50 e	33.00 e	22.00 e	3.70 e	-6.70 e	-13.20 e	-20.40 e	-25.50 e	-27.10 e	-21.60 e	-14.20 e	-8.30 e
PCH_3Y,ES	: 	: 	: 	48.40 e	58.30 e	55.80 e	50.80 e	41.40 e	22.70 e	1.10 	-9.60 	-15.30 	-22.70 	-28.50 	-22.30 	-5.60 	8.70 	15.10 
PCH_3Y,FI	: 	: 	: 	11.20 e	22.10 e	24.20 e	25.00 e	22.50 e	14.20 p	8.30 p	8.70 p	11.30 p	12.30 	6.90 	3.20 	0.80 	0.10 	2.00 
PCH_3Y,FR	: 	: 	: 	31.10 	40.10 	48.60 	48.90 	36.80 b	19.60 	0.00 	-0.90 	4.00 	10.30 	3.20 	-4.00 	-4.90 	-2.10 	2.60 
PCH_3Y,HR	: 	: 	: 	10.90 e	21.00 e	27.50 e	45.50 e	46.80 e	35.70 e	9.50 e	-8.40 e	-10.90 	-7.60 	-5.30 	-6.90 	-8.20 	-3.60 	1.70 
PCH_3Y,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5.30 	-10.70 	-9.20 	-9.40 	-2.20 	14.80 	33.60 	35.80 
PCH_3Y,IE	: 	: 	: 	37.40 e	32.80 e	39.40 e	40.00 e	35.40 e	14.90 	-19.10 	-34.90 p	-42.00 p	-37.90 p	-27.30 p	2.10 p	31.50 p	39.60 p	32.80 p
PCH_3Y,IT	: 	: 	: 	25.70 e	26.10 e	21.30 e	20.80 e	19.50 e	13.90 e	7.20 e	2.90 be	1.60 e	-0.50 e	-7.60 	-13.10 	-14.30 	-8.30 p	-4.60 
PCH_3Y,LT	: 	: 	: 	30.50 e	25.30 e	49.10 e	74.30 e	103.70 e	76.70 e	-3.50 	-29.30 	-30.80 	-1.50 	7.70 	7.50 	11.70 	16.30 	19.00 
PCH_3Y,LU	: 	: 	: 	37.60 e	37.50 e	41.20 e	41.10 e	32.50 be	22.90 e	9.30 e	7.70 	8.00 	13.90 	13.40 	14.20 	15.50 	16.60 	18.00 
PCH_3Y,LV	: 	: 	: 	80.30 e	84.70 e	56.00 e	97.60 e	162.10 e	113.80 e	-13.60 	-43.60 	-38.40 	1.20 	21.50 	16.60 	9.50 	11.10 	14.00 
PCH_3Y,MT	: 	: 	: 	43.70 e	53.20 e	46.50 e	50.90 e	56.20 e	61.10 	28.60 	7.40 	-4.60 	2.70 	1.20 	5.20 	8.10 	14.40 	17.50 p
PCH_3Y,NL	: 	: 	: 	19.40 e	13.30 e	11.60 e	13.60 e	14.50 e	11.70 	2.40 	-4.00 	-8.00 	-10.10 	-14.00 	-11.60 	-1.80 	9.70 	17.00 
PCH_3Y,PL	: 	: 	: 	: 	: 	: 	: 	: 	101.60 e	43.40 e	-7.20 	-6.40 e	-7.00 e	-7.60 	-6.80 	-2.00 	4.40 	7.40 
PCH_3Y,PT	: 	: 	: 	7.20 e	2.40 e	4.10 e	5.10 e	5.80 e	7.30 be	4.20 e	3.60 e	-5.10 	-11.00 	-13.30 	-4.90 	5.40 	15.10 	20.60 
PCH_3Y,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-38.20 e	-23.00 	-17.00 	-7.30 	0.50 	6.70 	15.60 
