unit,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA,S1,S1,NET,WRL_REST,NSA,AT	: 	: 	: 	: 	-7860.0 	-4050.0 	-5716.0 	1904.0 	5190.0 	4322.0 	5315.0 	12020.0 	12295.0 	9801.0 	9326.0 	3369.0 	4752.0 	5223.0 	10922.0 	2840.0 	4015.0 	10671.0 	8995.0 
MIO_NAC,FA,S1,S1,NET,WRL_REST,NSA,BE	: 	: 	: 	: 	: 	: 	: 	: 	9642.0 	8014.0 	7321.0 	5993.0 	5829.0 	-7340.0 	-12583.0 	5246.0 	-6887.0 	1739.0 	-175.0 	-3244.0 	-2034.0 	-1426.0 	-3914.0 
MIO_NAC,FA,S1,S1,NET,WRL_REST,NSA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-20575.5 	-21096.9 	-4806.0 	1364.7 	2642.1 	1872.3 	1735.0 	862.0 	6023.1 	8087.3 	4227.0 
MIO_NAC,FA,S1,S1,NET,WRL_REST,NSA,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3523.0 	-1566.0 	-1660.0 	-234.0 	-418.0 	-342.0 	-1251.0 	-284.0 	-866.0 	-1099.0 
MIO_NAC,FA,S1,S1,NET,WRL_REST,NSA,CZ	-20373.0 	-136058.0 	-90359.0 	-31710.0 	-49427.0 	-116453.0 	-105697.0 	-130883.0 	-144189.0 	-151266.0 	-53557.0 	-82910.0 	-111061.0 	-43229.0 	-72347.0 	-122339.0 	-74764.0 	11689.0 	68307.0 	63595.0 	175260.0 	116857.0 	117127.0 
MIO_NAC,FA,S1,S1,NET,WRL_REST,NSA,DE	-27484.0 	-15906.0 	-6396.0 	-15614.0 	4590.0 	-42531.0 	948.0 	8038.0 	47559.0 	112834.0 	96436.0 	157141.0 	183169.0 	121336.0 	129693.0 	92757.0 	120858.0 	151418.0 	225360.0 	240115.0 	239418.0 	257693.0 	279966.0 
MIO_NAC,FA,S1,S1,NET,WRL_REST,NSA,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53249.0 	13049.0 	21820.0 	-16197.0 	38950.0 	-6168.0 	103650.0 	99016.0 	75426.0 	149628.0 	120865.0 	106711.0 	156369.0 
MIO_NAC,FA,S1,S1,NET,WRL_REST,NSA,EE	-105.2 	-330.7 	-523.5 	-429.3 	-261.9 	-301.8 	-352.1 	-734.7 	-404.5 	-1166.2 	-926.9 	-1926.7 	-2362.6 	-1246.0 	922.9 	831.0 	1009.0 	507.3 	439.3 	302.8 	953.4 	281.5 	1008.3 
MIO_NAC,FA,S1,S1,NET,WRL_REST,NSA,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-13140.0 	-20134.0 	-28663.0 	-30825.0 	-25940.0 	-22012.0 	-18012.0 	-3678.0 	2561.0 	1464.0 	2820.0 	-738.0 	-788.0 
MIO_NAC,FA,S1,S1,NET,WRL_REST,NSA,ES	346.0 	2783.0 	2461.0 	-921.0 	-11322.0 	-19469.0 	-21705.0 	-15288.0 	-17693.0 	-34530.0 	-60522.0 	-85073.0 	-100284.0 	-99442.0 	-51164.0 	-42933.0 	-29728.0 	1749.0 	33295.0 	12102.0 	21915.0 	24823.0 	21536.0 
