unit,indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,LI_R_MD60,T,Y_GE60,AT	14.4 	13.0 	17.5 	16.5 	15.6 	15.7 	14.3 	15.2 	14.0 	13.3 	12.6 	12.3 
PC,LI_R_MD60,T,Y_GE60,BE	21.4 	21.0 	20.2 	19.8 	17.8 	18.5 	18.3 	17.3 	14.9 	14.6 	15.6 	15.4 
PC,LI_R_MD60,T,Y_GE60,BG	18.9 	22.6 	30.3 	34.6 	28.7 	27.8 	25.6 	25.6 	20.8 	29.0 	22.6 b	28.1 
PC,LI_R_MD60,T,Y_GE60,CH	: 	22.1 	23.0 	26.5 	24.1 	24.3 	26.5 	25.3 	22.3 	22.9 	21.9 	: 
PC,LI_R_MD60,T,Y_GE60,CY	43.2 	41.5 	38.4 	38.9 	34.1 	30.1 	25.2 	18.3 	20.6 	16.8 	19.0 	20.5 
PC,LI_R_MD60,T,Y_GE60,CZ	5.4 	4.9 	6.7 	7.1 	6.4 	6.5 	6.1 	5.6 	6.5 	7.3 	8.1 	10.2 
PC,LI_R_MD60,T,Y_GE60,DE	12.6 	16.8 	15.5 	15.8 	15.1 	15.8 	16.9 	16.9 	18.0 	18.2 	18.7 	18.1 
PC,LI_R_MD60,T,Y_GE60,DK	13.6 	13.9 	14.5 	16.4 	14.4 	11.2 	10.5 	8.8 	8.3 	8.0 	7.9 	8.3 
PC,LI_R_MD60,T,Y_GE60,EA18	17.5 	18.1 	17.0 	16.5 	14.7 	15.0 	14.5 	14.0 	13.8 	14.0 	14.5 	14.6 e
PC,LI_R_MD60,T,Y_GE60,EA19	17.5 	18.2 	17.1 	16.6 	14.7 	15.0 	14.6 	14.0 	13.8 	14.1 	14.6 	14.7 e
PC,LI_R_MD60,T,Y_GE60,EE	24.0 	30.6 	35.5 	31.0 	15.5 	13.1 	17.6 	23.3 	30.9 	33.1 	35.3 	36.1 
PC,LI_R_MD60,T,Y_GE60,EL	24.9 	22.0 	22.1 	21.1 	20.8 	23.0 	17.7 	15.8 	15.2 	14.5 	13.6 	13.6 
PC,LI_R_MD60,T,Y_GE60,ES	27.4 	24.6 	23.2 	22.1 	19.8 	18.7 	15.2 	13.7 	12.7 	13.1 	13.8 	15.2 
PC,LI_R_MD60,T,Y_GE60,EU27	17.5 e	18.0 	17.6 	16.9 	15.2 	15.4 	14.5 	14.0 	13.9 	14.4 	14.8 	14.9 e
PC,LI_R_MD60,T,Y_GE60,EU28	: 	: 	: 	: 	15.3 	15.5 	14.6 	14.0 	14.0 	14.5 	14.9 	14.9 e
PC,LI_R_MD60,T,Y_GE60,FI	18.8 	18.5 	18.8 	18.6 	15.6 	16.4 	16.6 	14.9 	14.8 	13.1 	11.8 	11.4 
PC,LI_R_MD60,T,Y_GE60,FR	14.4 	11.9 	10.6 	10.8 	8.8 	9.8 	9.7 	9.3 	8.7 	8.7 	8.1 	8.1 
PC,LI_R_MD60,T,Y_GE60,HR	: 	: 	: 	: 	27.5 	27.2 	24.2 	22.0 	22.6 	25.1 	24.9 	: 
PC,LI_R_MD60,T,Y_GE60,HU	9.1 	5.9 	4.4 	4.9 	4.8 	6.1 	7.7 	5.9 	6.2 	6.8 	8.9 	10.9 
PC,LI_R_MD60,T,Y_GE60,IE	25.3 	27.4 	20.5 	16.7 	12.7 	12.7 	14.2 	12.9 	13.5 	16.0 	17.9 	: 
PC,LI_R_MD60,T,Y_GE60,IS	9.3 	12.4 	12.4 	10.2 	4.5 	3.8 	4.5 	4.0 	5.8 	5.6 	5.6 p	: 
PC,LI_R_MD60,T,Y_GE60,IT	20.1 	20.8 	19.4 	18.3 	15.7 	16.4 	15.8 	15.1 	14.1 	14.7 	15.7 	16.1 
PC,LI_R_MD60,T,Y_GE60,LT	20.7 	26.7 	28.9 	23.7 	12.0 	11.7 	19.5 	20.3 	19.9 	24.0 	26.6 	31.0 
PC,LI_R_MD60,T,Y_GE60,LU	7.9 	7.4 	5.6 	6.6 	6.8 	5.5 	6.7 	6.1 	6.4 	8.2 	9.8 b	12.0 
PC,LI_R_MD60,T,Y_GE60,LV	30.7 	34.1 	47.2 	43.5 	18.3 	10.9 	14.8 	17.6 	25.7 	32.2 	35.7 	36.6 
PC,LI_R_MD60,T,Y_GE60,MK	: 	: 	: 	: 	20.1 	21.3 	20.9 	18.0 	15.6 	14.9 	15.7 	: 
PC,LI_R_MD60,T,Y_GE60,MT	23.3 	20.7 	23.2 	19.5 	17.8 	16.3 	15.9 	15.1 	17.0 	20.2 	22.5 	23.3 
PC,LI_R_MD60,T,Y_GE60,NL	5.9 	8.8 	9.2 	7.8 	6.9 	6.7 	6.5 	7.0 	7.4 	6.7 	10.4 b	11.4 
PC,LI_R_MD60,T,Y_GE60,NO	13.7 	11.6 	11.5 	9.8 	9.6 	8.7 	7.6 	7.8 	8.4 	7.9 	7.9 	7.4 
PC,LI_R_MD60,T,Y_GE60,PL	8.3 	8.3 	11.8 	14.2 	14.0 	14.5 	14.0 	12.3 	12.3 	13.0 	14.0 	15.0 
PC,LI_R_MD60,T,Y_GE60,PT	24.9 	24.7 	21.7 	19.9 	20.0 	19.2 	17.6 	15.5 	16.0 	17.8 	18.5 	17.7 
PC,LI_R_MD60,T,Y_GE60,RO	: 	26.9 	23.7 	19.2 	16.1 	13.8 	13.5 	14.0 	15.6 	18.4 	18.4 	19.1 
PC,LI_R_MD60,T,Y_GE60,RS	: 	: 	: 	: 	: 	: 	: 	19.4 	20.5 	19.9 	19.8 	: 
PC,LI_R_MD60,T,Y_GE60,SE	9.4 	8.3 	12.6 b	13.4 	12.0 	13.9 	13.9 	13.3 	12.5 	14.7 	15.1 	14.1 
PC,LI_R_MD60,T,Y_GE60,SI	18.3 	17.7 	19.1 	18.2 	18.8 	19.1 	17.3 	17.8 	15.9 	16.3 	17.4 	16.1 
PC,LI_R_MD60,T,Y_GE60,SK	7.6 	7.3 	9.0 	8.8 	6.7 	6.2 	7.8 	6.6 	6.6 	6.7 	6.3 	7.5 
PC,LI_R_MD60,T,Y_GE60,TR	18.6 	17.8 	18.5 	19.0 	17.9 	17.6 	17.7 	15.8 	17.3 	16.3 	: 	: 
PC,LI_R_MD60,T,Y_GE60,UK	23.5 	24.6 	24.5 	20.9 	19.9 	20.4 	16.3 	16.3 	17.1 	16.5 	16.6 	: 
PC,LI_R_MD60,T,Y_GE65,AT	16.2 	14.0 	18.9 	17.4 	16.8 	16.2 	15.1 	15.4 	14.2 	13.2 	13.2 	12.9 
PC,LI_R_MD60,T,Y_GE65,BE	23.2 	23.0 	21.2 	21.6 	19.4 	20.2 	19.4 	18.4 	16.1 	15.2 	15.4 	16.0 
PC,LI_R_MD60,T,Y_GE65,BG	19.9 	23.9 	33.8 	39.3 	32.2 	31.2 	28.2 	27.9 	22.6 	31.7 	24.3 b	32.0 
PC,LI_R_MD60,T,Y_GE65,CH	: 	26.1 	27.2 	30.2 	27.6 	28.1 	29.9 	29.5 	25.7 	26.5 	25.2 	: 
PC,LI_R_MD60,T,Y_GE65,CY	51.9 	50.6 	46.3 	46.4 	39.9 	35.5 	29.3 	20.1 	22.4 	17.3 	19.5 	21.6 
PC,LI_R_MD60,T,Y_GE65,CZ	5.9 	5.5 	7.4 	7.2 	6.8 	6.6 	6.0 	5.8 	7.0 	7.4 	8.1 	10.7 
PC,LI_R_MD60,T,Y_GE65,DE	12.5 	16.2 	14.9 	15.0 	14.1 	14.2 	15.0 	14.9 	16.3 	16.5 	17.6 	17.0 
PC,LI_R_MD60,T,Y_GE65,DK	17.4 	17.7 	18.1 	20.1 	17.7 	13.9 	12.8 	10.1 	9.8 	9.1 	8.5 	8.8 
PC,LI_R_MD60,T,Y_GE65,EA18	18.7 	19.0 	18.0 	17.3 	15.2 	15.1 	14.1 	13.3 	13.2 	13.4 	14.0 	14.1 e
PC,LI_R_MD60,T,Y_GE65,EA19	18.8 	19.1 	18.2 	17.4 	15.2 	15.1 	14.1 	13.3 	13.3 	13.5 	14.2 	14.3 e
PC,LI_R_MD60,T,Y_GE65,EE	25.1 	33.2 	39.0 	33.9 	15.1 	13.1 	17.2 	24.4 	32.6 	35.8 	40.2 	41.2 
PC,LI_R_MD60,T,Y_GE65,EL	25.6 	22.9 	22.3 	21.4 	21.3 	23.6 	17.2 	15.1 	14.9 	13.7 	12.4 	12.4 
PC,LI_R_MD60,T,Y_GE65,ES	29.3 	26.1 	25.5 	23.8 	21.8 	19.8 	14.8 	12.7 	11.4 	12.3 	13.0 	14.8 
PC,LI_R_MD60,T,Y_GE65,EU27	18.9 e	19.1 	18.9 	17.9 	15.9 	15.8 	14.4 	13.6 	13.6 	14.0 	14.5 	14.6 e
PC,LI_R_MD60,T,Y_GE65,EU28	: 	: 	: 	: 	16.0 	15.9 	14.5 	13.7 	13.7 	14.1 	14.6 	14.6 e
PC,LI_R_MD60,T,Y_GE65,FI	21.8 	21.6 	22.5 	22.1 	18.3 	18.9 	18.4 	16.1 	16.0 	13.8 	12.3 	12.3 
PC,LI_R_MD60,T,Y_GE65,FR	16.1 	13.1 	11.9 	11.9 	9.4 	9.7 	9.4 	9.1 	8.6 	8.0 	8.2 	7.8 
PC,LI_R_MD60,T,Y_GE65,HR	: 	: 	: 	: 	30.5 	29.4 	25.6 	23.4 	23.1 	26.3 	26.5 	: 
PC,LI_R_MD60,T,Y_GE65,HU	9.4 	6.1 	4.3 	4.6 	4.1 	4.9 	6.3 	4.6 	4.5 	4.6 	6.8 	9.1 
PC,LI_R_MD60,T,Y_GE65,IE	26.9 	28.3 	21.1 	16.2 	9.9 	11.0 	12.8 	10.6 	11.4 	14.2 	16.0 	: 
PC,LI_R_MD60,T,Y_GE65,IS	11.8 	15.1 	15.0 	12.4 	4.9 	4.3 	4.5 	4.0 	6.9 	5.8 	5.9 p	: 
PC,LI_R_MD60,T,Y_GE65,IT	21.7 	22.2 	20.9 	19.6 	16.7 	17.0 	16.1 	15.0 	14.2 	14.7 	15.3 	15.6 
PC,LI_R_MD60,T,Y_GE65,LT	22.0 	29.8 	31.0 	23.9 	9.6 	9.7 	18.7 	19.4 	20.1 	25.0 	27.7 	33.4 
PC,LI_R_MD60,T,Y_GE65,LU	7.9 	7.2 	5.4 	6.0 	5.9 	4.7 	6.1 	6.2 	6.3 	7.9 	9.0 b	11.8 
PC,LI_R_MD60,T,Y_GE65,LV	30.4 	35.6 	52.0 	47.6 	17.2 	9.1 	13.9 	17.6 	27.6 	34.6 	38.1 	39.9 
PC,LI_R_MD60,T,Y_GE65,MK	: 	: 	: 	: 	18.5 	21.1 	22.3 	16.5 	14.5 	14.5 	14.5 	: 
PC,LI_R_MD60,T,Y_GE65,MT	23.5 	20.3 	24.3 	19.7 	18.2 	17.6 	17.3 	14.9 	16.9 	21.0 	24.2 	25.0 
PC,LI_R_MD60,T,Y_GE65,NL	5.8 	9.5 	9.4 	7.7 	5.9 	6.5 	5.5 	5.5 	5.9 	5.6 	9.0 b	10.0 
PC,LI_R_MD60,T,Y_GE65,NO	16.8 	14.1 	14.7 	12.2 	12.0 	11.1 	9.2 	9.7 	9.8 	8.9 	9.0 	8.6 
PC,LI_R_MD60,T,Y_GE65,PL	7.8 	7.8 	11.7 	14.4 	14.2 	14.7 	14.0 	12.3 	11.7 	12.1 	12.8 	13.8 
PC,LI_R_MD60,T,Y_GE65,PT	26.1 	25.5 	22.3 	20.1 	21.0 	20.0 	17.4 	14.6 	15.1 	17.0 	18.3 	17.0 
PC,LI_R_MD60,T,Y_GE65,RO	: 	29.4 	26.5 	21.4 	17.6 	14.8 	14.4 	14.5 	15.7 	19.4 	19.1 	20.0 
PC,LI_R_MD60,T,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	19.4 	20.4 	19.7 	19.1 	: 
