age,sex,workint,indic_il,hhtyp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT	55.5 	54.5 	56.1 b	59.3 	67.4 	58.0 	67.4 	59.9 	62.9 	51.6 	59.0 	69.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BE	70.2 	70.0 	71.9 	75.2 	71.7 	74.8 	73.9 	71.5 	73.6 	71.3 	80.7 	85.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BG	79.0 	84.9 	89.9 	89.2 	84.9 	81.7 	78.3 	80.7 	80.7 	84.3 	83.0 b	87.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CH	: 	65.4 	66.2 	65.7 	59.5 	62.0 	59.0 	61.5 	49.4 b	54.7 	42.0 	: 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CY	36.0 	62.9 	61.4 b	59.3 	59.6 	48.8 	48.2 	60.4 	56.0 	59.2 	62.5 	57.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ	75.4 	83.0 	71.8 	83.6 	79.9 	73.5 	70.6 	68.1 	80.1 	77.4 	85.2 	76.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE	45.7 	60.0 	67.4 	65.8 	69.6 	67.6 	68.2 	55.3 	57.0 	63.4 	63.1 	63.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK	47.4 	46.8 	41.5 	51.1 	51.4 	38.0 b	31.2 	33.4 	34.3 	35.5 	37.8 	48.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18	60.9 	65.7 	65.2 	66.7 	68.4 	68.7 	71.2 	68.4 	68.0 	70.1 	69.6 	72.4 e
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19	61.2 	65.9 	65.3 	66.7 	68.5 	68.7 	71.2 	68.4 	68.1 	70.2 	69.6 	72.6 e
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EE	85.0 	85.1 	82.8 	73.6 	72.5 	75.3 	71.1 	81.9 	70.2 b	77.1 	80.9 	70.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EL	60.1 	55.5 	49.0 	46.9 	49.6 	74.2 	79.3 	75.7 	60.4 	63.3 	67.5 	66.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,ES	75.1 	71.4 	62.9 b	70.5 	71.6 	67.7 	74.8 	75.0 	74.3 	72.1 	74.7 	79.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU27	65.0 e	68.6 	66.8 	67.4 	66.8 	66.5 	66.4 	63.6 	65.7 	67.5 	68.2 	72.2 e
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28	: 	: 	: 	: 	67.0 	66.6 	66.4 	63.7 	65.8 	67.6 	68.3 	72.2 e
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI	53.0 	51.7 	60.4 	70.8 	64.6 	60.5 	63.1 	53.9 	45.8 	47.6 	46.4 	52.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR	70.3 	69.3 	63.1 b	68.3 	69.3 	71.5 	75.0 	75.0 	67.1 	78.9 	67.9 	73.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR	: 	: 	: 	: 	82.0 	71.7 	70.0 	71.2 	74.1 	75.7 	78.7 	: 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HU	76.6 	68.6 	65.7 	65.2 	67.1 	70.5 	71.9 	75.0 	79.6 	72.4 	63.1 	40.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,IE	68.2 	62.3 	47.5 	50.0 	46.3 	47.5 	55.2 	49.9 	57.9 	56.9 	66.1 	: 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,IS	40.9 	21.1 	34.7 	33.7 	34.6 	34.9 	21.1 	44.2 	30.2 	41.6 	27.2 p	: 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,IT	67.9 	71.2 	69.7 	65.3 	73.7 	72.5 	72.3 	70.6 	73.0 	73.3 	71.3 	70.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,LT	84.3 	90.6 	74.2 	74.7 	72.9 	70.9 	70.5 	70.0 	83.3 	89.8 	80.8 	86.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,LU	64.1 	61.0 	64.9 	59.9 	62.8 	54.4 	57.9 	66.4 	81.8 	65.7 	61.2 b	63.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,LV	88.4 	73.4 	82.8 	88.1 	78.2 	73.4 	76.4 	67.8 	75.9 	80.5 	80.6 	87.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,MK	: 	: 	: 	: 	: 	: 	83.2 	82.3 	75.5 	70.4 	76.7 	: 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,MT	67.9 	76.3 	76.0 	65.3 	77.4 	74.8 	75.3 	70.4 	70.6 	80.8 	78.8 	85.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,NL	52.4 	51.4 	55.5 	67.4 	43.5 	62.8 	50.3 	47.4 	57.3 	58.2 	66.3 b	70.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,NO	34.2 	46.0 	42.9 	55.1 	50.9 	42.2 	36.6 	55.3 	58.4 	65.1 	63.8 	56.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,PL	67.9 	66.0 	67.8 	72.8 	75.6 	72.0 	76.9 	75.3 	69.7 	75.8 	77.7 	65.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,PT	74.0 	71.1 	72.7 	72.9 	75.2 	73.6 	71.0 	76.4 	73.9 	75.3 	68.6 	72.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,RO	: 	78.2 	70.6 	78.1 	62.0 	73.3 	72.6 	68.9 	80.6 	79.7 	80.7 	71.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,RS	: 	: 	: 	: 	: 	: 	: 	77.4 	71.3 	74.4 	75.1 	: 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,SE	53.6 	59.0 	68.4 b	70.5 	78.7 	75.5 	82.7 	87.5 	76.9 	78.0 	83.6 	87.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,SI	64.9 	58.7 	63.7 	65.6 	77.7 	78.6 	74.2 	80.7 	80.9 	85.5 	76.7 	75.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,SK	72.5 	79.6 	75.2 	84.3 	79.4 	80.9 	87.0 	89.5 	91.7 	83.7 	88.5 	91.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,TR	58.2 	51.6 	50.1 	51.5 	50.6 	55.0 	55.8 	55.1 	55.3 	58.8 	: 	: 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,UK	69.6 	72.4 	68.7 	64.8 	58.2 	52.8 	46.0 b	40.6 	49.1 	50.9 	54.0 	: 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,AT	29.8 	26.0 	38.0 b	30.7 	40.3 	41.6 	40.1 	40.9 	42.1 	41.2 	36.9 	34.7 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,BE	26.3 	40.2 	39.9 	37.0 	38.5 	32.7 	39.5 	41.7 	39.6 	40.7 	33.8 	36.9 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,BG	42.9 	56.1 	61.4 	61.8 	65.8 	63.1 	57.7 	45.9 	57.0 	43.6 	67.3 b	57.4 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,CH	: 	31.6 	57.2 	42.4 	40.0 	45.8 	43.0 	31.3 	32.8 b	42.7 	40.1 	: 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,CY	27.6 	28.1 	35.5 b	41.1 	34.6 	34.2 	40.0 	35.0 	26.7 	37.1 	37.4 	36.9 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,CZ	46.9 	39.7 	41.5 	52.2 	46.6 	48.3 	43.0 	40.8 	35.2 	33.4 	44.7 	32.4 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,DE	22.1 	31.8 	23.4 	30.0 	33.0 	34.8 	35.9 	29.0 	34.1 	38.3 	39.4 	39.6 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,DK	15.3 	13.9 	35.5 	48.1 	34.2 	16.9 b	30.3 	7.2 	9.0 	14.2 	47.7 	27.3 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,EA18	37.2 	41.4 	41.8 	40.8 	43.6 	44.4 	46.6 	46.6 	45.7 	48.2 	50.4 	48.8 e
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,EA19	37.4 	41.5 	42.1 	41.0 	43.6 	44.4 	46.7 	46.7 	45.7 	48.3 	50.4 	48.8 e
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,EE	49.6 	51.8 	47.7 	60.7 	37.3 	44.8 	45.1 	44.0 	46.1 b	50.6 	41.5 	26.8 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,EL	50.0 	45.4 	56.6 	52.1 	58.2 	52.6 	62.5 	54.5 	59.8 	52.2 	54.3 	58.4 
