coicop,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
CP08,I15,AT	97.04 	96.98 	96.78 	96.49 	96.15 	95.83 	94.98 	94.85 	94.78 	96.51 	96.26 	96.22 
CP08,I15,BE	106.16 	105.94 	105.93 	106.42 	106.17 	106.54 	106.39 	106.27 	106.38 	106.29 	107.23 	107.22 
CP08,I15,BG	93.21 	92.88 	92.96 	92.92 	94.50 	95.22 	95.08 	94.79 	94.73 	94.93 	95.25 	94.98 
CP08,I15,CH	97.06 	96.53 	96.47 	96.44 	96.34 	96.72 	96.90 	97.59 	97.51 	97.65 	97.55 	97.49 
CP08,I15,CY	97.39 	97.36 	97.31 	97.28 	97.22 	97.18 	97.15 	97.08 	97.04 	96.96 	96.90 	92.22 
CP08,I15,CZ	97.6 	97.3 	97.2 	97.2 	97.3 	97.2 	97.2 	97.0 	96.9 	96.7 	96.7 	96.7 
CP08,I15,DE	98.1 	98.2 	98.2 	98.1 	97.9 	98.0 	97.9 	97.7 	97.7 	97.5 	97.4 	97.3 
CP08,I15,DK	87.0 	86.7 	86.7 	86.7 	87.0 	85.3 	85.9 	86.0 	86.2 	85.9 	85.8 	85.4 
CP08,I15,EA	98.21 	98.22 	98.00 	98.16 	98.01 	98.10 	98.21 	98.08 	97.52 	97.44 	97.21 	97.03 
CP08,I15,EA18	98.22 	98.23 	98.01 	98.17 	98.03 	98.12 	98.23 	98.09 	97.53 	97.45 	97.22 	97.04 
CP08,I15,EA19	98.21 	98.22 	98.00 	98.16 	98.01 	98.10 	98.21 	98.08 	97.52 	97.44 	97.21 	97.03 
CP08,I15,EE	92.95 	93.04 	92.90 	92.56 	92.39 	92.08 	92.11 	90.11 	90.11 	89.65 	89.53 	89.34 
CP08,I15,EL	102.11 	102.10 	102.10 	102.10 	102.10 	102.10 	105.60 	105.59 	105.59 	105.56 	106.63 	106.62 
CP08,I15,ES	104.00 	104.04 	103.63 	103.86 	105.85 	105.64 	106.95 	107.03 	106.91 	106.87 	106.79 	106.91 
CP08,I15,EU	98.92 	98.94 	98.63 	98.72 	98.53 	98.58 	98.67 	98.60 	98.28 	98.26 	98.18 r	97.97 
CP08,I15,EU28	98.92 	98.94 	98.63 	98.72 	98.53 	98.58 	98.67 	98.60 	98.28 	98.26 	98.18 r	97.97 
CP08,I15,FI	99.02 	98.54 	98.29 	97.81 	97.75 	97.72 	96.91 	96.27 	96.37 	95.81 	95.93 	95.83 
CP08,I15,FR	95.94 	96.14 	96.14 	96.22 	96.02 	96.50 	96.47 	96.64 	95.45 	95.04 	93.49 	92.93 
CP08,I15,HR	95.49 	96.20 	96.08 	96.15 	96.13 	96.06 	96.11 	96.25 	96.21 	96.05 	95.91 	95.98 
CP08,I15,HU	97.34 	96.12 	96.09 	92.60 	93.12 	92.26 	92.23 	92.15 	92.16 	92.15 	92.11 	92.10 
CP08,I15,IE	98.1 	98.0 	97.8 	98.7 	98.6 	98.5 	98.2 	98.2 	98.0 	97.8 	97.5 	97.3 
CP08,I15,IS	70.99 	70.48 	71.38 	71.38 	70.98 	70.56 	69.79 	69.24 	68.20 	66.79 	66.03 	65.82 
CP08,I15,IT	97.2 	97.0 	97.1 	97.5 	96.2 	96.6 	96.5 	95.8 	94.1 	94.0 	94.2 	94.0 
CP08,I15,LT	95.24 	95.36 	95.42 	95.10 	94.23 	94.37 	94.50 	94.36 	94.37 	94.29 	94.43 	94.18 
CP08,I15,LU	97.01 	96.21 	96.13 	95.91 	96.12 	96.42 	95.54 	95.08 	94.78 	93.86 	94.27 	93.53 
CP08,I15,LV	106.69 	106.86 	106.97 	107.41 	107.11 	107.38 	107.73 	108.73 	108.57 	108.46 	108.54 	108.43 
CP08,I15,MK	114.80 d	115.13 d	115.11 d	115.76 d	115.78 d	116.02 d	116.10 d	116.18 d	115.88 d	115.88 d	115.88 d	115.89 d
CP08,I15,MT	97.63 	97.66 	97.49 	97.27 	96.81 	96.34 	96.88 	96.75 	95.70 	95.61 	95.78 	96.38 
CP08,I15,NL	88.20 	87.96 	85.40 	86.15 	84.94 	84.06 	82.89 	82.99 	82.34 	83.14 	83.38 	83.31 
CP08,I15,NO	106.0 	106.0 	105.9 	105.9 	105.9 	105.8 	106.4 	106.3 	106.7 	106.8 	106.8 	106.9 
CP08,I15,PL	100.6 	100.4 	100.5 	100.6 	99.3 	99.2 	98.7 	99.0 	99.0 	99.0 	99.3 	97.1 
CP08,I15,PT	106.09 	106.08 	105.96 	106.42 	106.50 	106.41 	106.74 	106.80 	106.64 	106.25 	106.26 	106.04 
CP08,I15,RO	99.54 	100.34 	100.42 	100.70 	100.78 	100.88 	100.81 	100.58 	100.91 	100.76 	101.10 	101.22 
CP08,I15,RS	107.2 d	107.5 d	107.6 d	107.1 d	106.9 d	106.8 d	107.2 d	106.6 d	106.8 d	106.0 d	106.3 d	106.0 d
CP08,I15,SE	92.86 	92.62 	92.43 	92.70 	92.84 	92.83 	92.31 	91.96 	91.90 	91.46 	91.74 	90.54 
CP08,I15,SI	102.68 	102.71 	102.36 	103.79 	103.83 	104.17 	104.96 	105.28 	105.42 	104.89 	105.14 	104.33 
CP08,I15,SK	100.35 	100.35 	100.35 	100.38 	100.37 	100.37 	100.37 	100.37 	98.29 	98.29 	100.93 	100.97 
CP08,I15,TR	105.89 d	106.15 d	105.97 d	104.93 d	105.16 d	105.26 d	105.23 d	105.59 d	110.61 d	110.49 d	113.39 d	114.64 d
CP08,I15,UK	105.4 	105.7 	104.3 	104.4 	103.8 	103.9 	104.3 	104.6 	105.3 	105.9 	106.3 	: 
CP08,I15,US	92.18 d	92.54 d	92.76 d	92.70 d	92.44 d	92.40 d	92.38 d	92.51 d	92.55 d	92.68 d	92.34 d	92.42 d
CP08,PCH_M1,AT	-0.3 	-0.1 	-0.2 	-0.3 	-0.4 	-0.3 	-0.9 	-0.1 	-0.1 	1.8 	-0.3 	0.0 
CP08,PCH_M1,BE	0.0 	-0.2 	0.0 	0.5 	-0.2 	0.3 	-0.1 	-0.1 	0.1 	-0.1 	0.9 	0.0 
CP08,PCH_M1,BG	-0.3 	-0.4 	0.1 	0.0 	1.7 	0.8 	-0.1 	-0.3 	-0.1 	0.2 	0.3 	-0.3 
