indic_eu,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	TARGET 
T2020_35T,FR	394.11 	386.86 	378.9 	380.26 	373.43 	379.02 	362.41 	363.84 	366.12 	353.53 	353.01 	357 p	342.48 
T2020_35T,HR	16.85 	17.1 	17.44 	17.18 	16.77 	16.77 	16.48 	15.54 	15.13 	14.66 	15.57 	14.28 p	19.32 
T2020_35T,HU	46.22 	45.99 	43.69 	43.79 	42.55 	42.4 	41.36 	38.85 	38.44 	38.42 	41.44 	42.13 p	52.83 
T2020_35T,IE	47.11 	47.16 	46.86 	47.07 	44.61 	43.93 	41.43 	40.87 	42.21 	41.66 	43.04 	44.54 p	37.65 
T2020_35T,IT	329.36 	323.04 	316.88 	316.11 	300.02 	302.76 	291.17 	281.52 	273.35 	265.28 	273.28 	277.47 p	291.01 
T2020_35T,LT	11.54 	11.93 	13.92 	13.09 	11.17 	11.49 	12.58 	12.67 	12.45 	12.92 	13.25 	13 p	15.24 
T2020_35T,LU	10.04 	9.77 	9.35 	9.71 	9.1 	9.61 	9.7 	9.48 	9.37 	8.86 	8.61 	8.51 p	8.12 
T2020_35T,LV	8.43 	8.87 	9.42 	9.05 	8.59 	8.96 	8.5 	8.58 	8.78 	9.02 	9.01 	8.87 p	9.99 
T2020_35T,MT	1.05 	1.08 	1.13 	1.08 	1.08 	1.14 	1.18 	1.18 	1.25 	1.29 	1.3 	1.34 p	1.17 
T2020_35T,NL	122.79 	121.58 	118.74 	122.65 	119.6 	127.75 	118.62 	117.45 	108.25 	97.89 	101.12 	102.65 p	107.36 
T2020_35T,PL	177.54 	185.57 	186.02 	189.93 	188.18 	198.12 	194.5 	193.53 	186.1 	181.54 	186.77 	192.8 p	205.18 
T2020_35T,PT	47.54 	46.2 	45.79 	45.3 	43.96 	44.01 	42.27 	40.13 	38.61 	38.84 	40.61 	40.41 p	49.08 
T2020_35T,RO	74.02 	75.54 	72 	74.36 	70.5 	66.07 	68.46 	69.68 	72.72 	72.53 	74.56 	72.66 p	89.81 
T2020_35T,SE	42.76 	42.12 	41.68 	40.11 	38.86 	39.49 	38.51 	36.94 	35.28 	34.52 	33.9 	33.71 p	36.08 
T2020_35T,SI	11.74 	11.82 	11.75 	12.74 	11.64 	11.6 	11.67 	11.46 	10.93 	10.47 	10.72 	11.04 p	12.31 
T2020_35T,SK	22.34 	21.61 	21.02 	22.79 	22.26 	23.26 	22.11 	21.31 	21.08 	19.78 	20.08 	19.74 p	25.95 
T2020_35T,UK	411.95 	398.89 	390.24 	383.13 	360.8 	371.37 	340.95 	347.85 	339.45 	324.44 	326.03 	324.37 p	350.93 
