hhtyp,indic_il,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
A1,R_GE65_LT65,DIFF,AT	0.20 	0.19 	0.21 b	0.16 	0.11 	0.14 	0.11 	0.07 	0.11 	0.09 	0.14 	0.12 
A1,R_GE65_LT65,DIFF,BE	-0.07 	-0.10 	0.00 	0.02 	-0.03 	-0.01 	0.02 	0.05 	0.01 	-0.04 	-0.06 	-0.02 
A1,R_GE65_LT65,DIFF,BG	-0.09 	0.04 	0.08 	-0.01 	0.17 	0.16 	0.09 	0.08 	0.02 	0.03 	0.17 b	0.14 
A1,R_GE65_LT65,DIFF,CH	: 	0.08 	0.11 	0.10 	0.03 	0.10 	0.12 	0.10 	0.19 b	0.12 	0.11 	: 
A1,R_GE65_LT65,DIFF,CY	-0.07 	-0.18 	-0.14 b	-0.03 	0.00 	0.09 	0.01 	-0.05 	0.03 	0.02 	0.00 	-0.12 
A1,R_GE65_LT65,DIFF,CZ	-0.13 	-0.18 	-0.19 	-0.11 	-0.06 	-0.09 	-0.09 	-0.07 	-0.04 	0.00 	-0.07 	-0.07 
A1,R_GE65_LT65,DIFF,DE	0.09 	0.05 	0.07 	0.11 	0.09 	0.12 	0.10 	0.17 	0.16 	0.09 	0.05 	0.06 
A1,R_GE65_LT65,DIFF,DK	-0.07 	-0.13 	-0.13 	-0.03 	-0.06 	-0.02 b	0.02 	-0.01 	0.03 	0.01 	0.02 	0.07 
A1,R_GE65_LT65,DIFF,EA18	0.05 	0.03 	0.08 	0.10 	0.12 	0.12 	0.09 	0.12 	0.11 	0.10 	0.08 	0.08 
A1,R_GE65_LT65,DIFF,EA19	0.05 	0.03 	0.08 	0.11 	0.12 	0.12 	0.09 	0.12 	0.11 	0.10 	0.08 	0.08 
A1,R_GE65_LT65,DIFF,EE	-0.03 	0.00 	0.04 	-0.04 	0.16 	0.17 	-0.10 	-0.04 	0.07 b	0.19 	0.02 	0.01 
A1,R_GE65_LT65,DIFF,EL	0.11 	-0.12 	-0.18 	0.02 	0.05 	-0.15 	-0.08 	-0.08 	0.04 	0.10 	0.07 	0.05 
A1,R_GE65_LT65,DIFF,ES	0.03 	-0.06 	0.13 b	0.12 	0.27 	0.24 	0.17 	0.24 	0.19 	0.24 	0.20 	0.21 
A1,R_GE65_LT65,DIFF,EU27	0.79 s	0.05 	0.08 	0.11 	0.11 	0.12 	0.10 	0.12 	0.09 	0.10 	0.08 	0.09 
A1,R_GE65_LT65,DIFF,EU28	: 	: 	: 	: 	0.11 	0.12 	0.10 	0.12 	0.09 	0.09 	0.09 	0.09 
A1,R_GE65_LT65,DIFF,FI	0.01 	-0.02 	0.05 	0.05 	0.06 	0.14 	0.10 	0.02 	0.07 	0.14 	0.11 	0.08 
A1,R_GE65_LT65,DIFF,FR	0.09 	0.08 	0.18 b	0.18 	0.19 	0.17 	0.12 	0.13 	0.13 	0.15 	0.11 	0.14 
A1,R_GE65_LT65,DIFF,HR	: 	: 	: 	: 	0.33 	0.32 	0.25 	0.11 	0.10 	0.05 	0.18 	: 
A1,R_GE65_LT65,DIFF,HU	0.24 	0.30 	0.25 	0.09 	0.13 	0.04 	0.09 	0.11 	0.02 	0.13 	0.07 	0.02 
A1,R_GE65_LT65,DIFF,IE	-0.04 	0.10 	0.14 	0.22 	0.32 	0.32 	0.32 	0.24 	0.11 	0.12 	0.16 	: 
A1,R_GE65_LT65,DIFF,IS	-0.07 u	-0.05 u	0.02 u	-0.06 u	0.15 	0.11 	0.05 	0.14 	0.11 	0.15 	0.14 p	: 
A1,R_GE65_LT65,DIFF,IT	0.05 	0.04 	0.02 	0.04 	0.08 	0.06 	0.06 	0.10 	0.05 	0.02 	0.05 	0.01 
A1,R_GE65_LT65,DIFF,LT	0.03 	0.16 	0.29 	0.33 	0.40 	0.25 	0.02 	0.11 	0.16 	0.17 	0.11 	0.11 
A1,R_GE65_LT65,DIFF,LU	0.01 	-0.12 	-0.10 	0.04 	0.07 	0.16 	0.24 	0.32 	0.16 	0.24 	0.11 b	-0.08 
A1,R_GE65_LT65,DIFF,LV	-0.02 	-0.05 	0.08 	0.17 	0.33 	0.39 	0.29 	0.21 	0.11 	-0.02 	-0.06 	0.04 
A1,R_GE65_LT65,DIFF,MK	: 	: 	: 	: 	: 	: 	0.03 	-0.20 	0.34 	0.29 	0.27 	: 
A1,R_GE65_LT65,DIFF,MT	-0.16 	-0.36 	-0.18 	-0.05 	-0.06 	-0.17 	-0.10 	-0.02 	0.16 	0.13 	0.03 	0.01 
A1,R_GE65_LT65,DIFF,NL	-0.05 	0.02 	-0.02 	-0.03 	-0.06 	-0.06 	-0.10 	-0.05 	0.00 	0.02 	0.02 b	0.00 
A1,R_GE65_LT65,DIFF,NO	0.08 	0.13 	0.00 	0.12 	0.11 	0.14 	0.10 	0.03 	0.01 	-0.03 	0.02 	0.05 
A1,R_GE65_LT65,DIFF,PL	0.32 	0.32 	0.20 	0.26 	0.20 	0.27 	0.17 	0.17 	0.23 	0.03 	0.03 	0.20 
A1,R_GE65_LT65,DIFF,PT	-0.19 	-0.06 	0.14 	0.17 	0.21 	0.19 	0.04 	0.03 	0.10 	0.10 	0.10 	0.12 
A1,R_GE65_LT65,DIFF,RO	: 	0.12 b	0.26 	0.20 	0.33 	0.27 	0.27 	0.18 	0.12 	0.15 	0.22 	0.10 
A1,R_GE65_LT65,DIFF,RS	: 	: 	: 	: 	: 	: 	: 	0.51 	0.40 	0.85 	0.88 	: 
A1,R_GE65_LT65,DIFF,SE	0.07 	0.09 	0.04 b	0.03 	-0.03 	0.03 	0.01 	0.03 	0.11 	0.06 	0.02 	0.11 
