indic_sb,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
V15110,IT	2903.4 	3284 	3282.6 	2283.3 	1901.6 	1294.6 	1660.6 	1609.6 
V15110,LT	77 	26.9 	28.3 	51.2 	55.5 	63.8 	43.7 	53.4 
V15110,LV	134 	91.3 	48.8 	59.4 	57.2 	50.4 	47.2 	66.5 
V15110,NL	: 	924.3 	918.1 	1238.5 	768.4 	735.7 	633.7 	801.8 
V15110,NO	541.8 	385.4 	453.6 	: 	471.5 	464.6 	447.4 	397.2 
V15110,PL	713.9 	511.2 	622.1 	673.1 	633 	678.1 	721.1 	757.9 
V15110,PT	321.7 	277.9 	251.9 	221.8 	160.7 	177.2 	188.5 	184 
V15110,RO	719.9 	323.6 	307.5 	308.9 	301.1 	292.2 	285.4 	326.8 
V15110,SE	654 	442.7 	429.8 	538.7 	473.1 	502.8 	466.1 	590.8 
V15110,SI	: 	109.7 	96 	73.8 	: 	: 	: 	: 
V15110,SK	314.3 	153.7 	154.6 	107.5 	113.7 	95.1 	125.4 	165.4 
V15110,TR	: 	260.3 	: 	: 	: 	: 	: 	: 
V15110,UK	: 	: 	: 	: 	: 	: 	: 	3973.1 
V15111,AT	0.12 	0.11 	0.08 	0.08 	0.09 	0.1 	0.1 	0.09 
V15111,BE	: 	0.26 	0.15 	: 	0.18 	0.16 	0.16 	0.15 
V15111,BG	: 	: 	0.29 	: 	: 	: 	0.25 	0.18 
V15111,CY	0.14 	0.13 	0.08 	0.11 	0.05 	: 	: 	0.06 
V15111,DE	0.08 	0.08 	0.08 	0.1 	0.09 	0.09 	0.08 	0.09 
V15111,DK	0.14 	0.09 	0.08 	0.08 	0.1 	0.07 	0.08 	0.09 
V15111,EE	0.29 	: 	: 	0.25 	: 	: 	: 	: 
V15111,EL	: 	: 	: 	0.03 	: 	0.04 	0.02 	0.04 
V15111,ES	0.12 	0.08 	0.09 	0.07 	0.09 	0.08 	0.08 	0.09 
V15111,EU28	: 	: 	: 	: 	: 	0.11 	0.11 	0.12 
V15111,FI	0.11 	0.09 	0.09 	: 	: 	: 	0.09 	0.09 
V15111,FR	: 	0.1 	0.11 	0.15 	: 	0.11 	0.08 	0.11 
V15111,HR	: 	: 	0.19 	0.18 	0.17 	0.2 	0.15 	0.15 
V15111,HU	0.1 	0.12 	0.11 	0.1 	0.1 	0.12 	0.15 	0.14 
V15111,IT	0.18 	0.21 	0.2 	0.14 	0.12 	0.08 	0.1 	0.1 
V15111,LT	0.24 	0.1 	0.1 	0.16 	0.17 	0.18 	0.12 	0.14 
V15111,LV	0.55 	0.49 	0.27 	0.29 	0.26 	0.22 	0.2 	0.27 
V15111,NL	: 	0.15 	0.15 	0.19 	0.12 	0.11 	0.1 	0.12 
V15111,NO	0.17 	0.14 	0.14 	: 	0.12 	0.12 	0.12 	0.11 
V15111,PL	0.19 	0.16 	0.17 	0.18 	0.16 	0.17 	0.18 	0.18 
V15111,PT	0.18 	0.16 	0.14 	0.13 	0.1 	0.1 	0.11 	0.1 
V15111,RO	0.51 	0.27 	0.24 	0.23 	0.23 	0.2 	0.19 	0.2 
V15111,SE	0.19 	0.14 	0.12 	0.13 	0.11 	0.12 	0.11 	0.13 
V15111,SI	: 	0.3 	0.26 	0.2 	: 	: 	: 	: 
V15111,SK	0.48 	0.24 	0.23 	0.15 	0.16 	0.13 	0.16 	0.21 
V15111,TR	: 	0.06 	: 	: 	: 	: 	: 	: 
V15111,UK	: 	: 	: 	: 	: 	: 	: 	0.15 
V16110,AT	60267 	59770 	60002 	60791 	62075 	64278 	64335 	64494 
V16110,BE	: 	50563 	50990 	: 	54465 	51303 	51183 	53338 
V16110,BG	60612 	60407 	62184 	63235 	62956 	62394 	60097 	59173 
V16110,CY	6284 	6065 	6086 	6028 	6140 	: 	: 	7064 
V16110,DE	467778 	538834 	578887 	592504 	597435 	584566 	626459 	616734 
V16110,DK	44817 	35455 	34623 	36170 	36486 	35586 	38287 	39040 
V16110,EE	11222 	: 	: 	10577 	: 	: 	: 	: 
V16110,EL	: 	: 	: 	64579 	: 	53340 	56585 	57973 
V16110,ES	339443 	319852 	325451 	318008 	319452 	339142 	348456 	369797 
V16110,EU28	: 	: 	: 	: 	3788100 	3812200 	3874966 	: 
V16110,FI	37154 	37335 	39393 	: 	: 	: 	43911 	43795 
V16110,FR	: 	: 	446021 	438504 	448953 	450052 	485871 	422565 
V16110,HR	: 	: 	35779 	34116 	33356 	33029 	35700 	35241 
V16110,HU	68355 	73893 	74683 	75144 	74778 	71825 	73497 	78494 
V16110,IS	: 	: 	: 	: 	: 	: 	: 	3733 
V16110,IT	549857 	524800 	522599 	513990 	520277 	507496 	506000 	502598 
V16110,LT	35071 	29472 	29131 	31966 	33212 	35843 	36711 	36490 
V16110,LV	24583 	21481 	20931 	21210 	23079 	24098 	24872 	25405 
V16110,NL	104040 	103250 	107216 	108258 	108302 	103104 	100995 	103420 
V16110,NO	51077 	46857 	47270 	46371 	47416 	48740 	50412 	51910 
V16110,PL	340607 	317121 	317592 	324841 	327187 	339962 	334837 	353196 
V16110,PT	88043 	86958 	85151 	84217 	80649 	79207 	80686 	82832 
V16110,RO	139693 	129414 	123704 	130744 	134209 	135906 	131293 	131461 
V16110,SE	73219 	68054 	68791 	73372 	73484 	72877 	73889 	75746 
V16110,SI	18298 	17469 	18080 	19022 	20330 	20115 	: 	20488 
V16110,SK	26047 	23670 	46153 	45846 	40386 	39789 	38773 	40362 
V16110,TR	: 	278714 	: 	: 	: 	: 	: 	: 
V16110,UK	428573 	441072 	: 	476467 	462078 	484311 	452815 	497828 
V16111,AT	1.47 	1.47 	1.46 	1.46 	1.48 	1.52 	1.51 	1.5 
V16111,BE	: 	1.14 	1.14 	: 	1.2 	1.13 	1.12 	1.16 
V16111,BG	1.59 	1.61 	1.73 	1.79 	1.83 	1.82 	1.75 	1.72 
V16111,CY	1.56 	1.5 	1.5 	1.49 	1.56 	: 	: 	1.92 
V16111,DE	1.14 	1.32 	1.41 	1.43 	1.42 	1.38 	1.47 	1.43 
V16111,DK	1.52 	1.24 	1.24 	1.3 	1.32 	1.29 	1.37 	1.38 
V16111,EE	1.75 	: 	: 	1.81 	: 	: 	: 	: 
V16111,EL	: 	: 	: 	1.47 	: 	1.33 	1.4 	1.43 
V16111,ES	1.59 	1.6 	1.66 	1.66 	1.74 	1.9 	1.93 	2 
V16111,EU28	: 	: 	: 	: 	1.68 	1.7 	1.71 	: 
V16111,FI	1.45 	1.49 	1.59 	: 	: 	: 	1.75 	1.75 
V16111,FR	: 	: 	1.66 	1.62 	1.65 	1.65 	1.78 	1.54 
V16111,HR	: 	: 	2.1 	2.09 	2.12 	2.15 	2.27 	2.21 
V16111,HU	1.66 	1.84 	1.88 	1.89 	1.88 	1.79 	1.74 	1.82 
V16111,IT	2.17 	2.11 	2.11 	2.07 	2.1 	2.09 	2.08 	2.05 
V16111,LT	2.46 	2.24 	2.34 	2.55 	2.61 	2.77 	2.79 	2.73 
V16111,LV	2.33 	2.38 	2.48 	2.48 	2.66 	2.71 	2.84 	2.86 
V16111,NL	1.17 	1.17 	1.22 	1.22 	1.23 	1.18 	1.16 	1.17 
V16111,NO	1.95 	1.8 	1.82 	1.76 	1.77 	1.8 	1.84 	1.88 
V16111,PL	2.17 	2.01 	2.07 	2.1 	2.11 	2.2 	2.13 	2.21 
V16111,PT	1.73 	1.76 	1.75 	1.76 	1.76 	1.78 	1.79 	1.81 
V16111,RO	1.49 	1.41 	1.35 	1.44 	1.55 	1.59 	1.52 	1.54 
V16111,SE	1.6 	1.53 	1.53 	1.6 	1.59 	1.56 	1.56 	1.58 
V16111,SI	1.83 	1.78 	1.88 	2.01 	2.17 	2.17 	: 	2.18 
V16111,SK	1.16 	1.07 	2.13 	2.08 	1.83 	1.81 	1.74 	1.78 
V16111,UK	1.45 	1.51 	: 	1.62 	1.56 	1.61 	1.47 	1.59 
