unit,hhtyp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,A1,AT	15.4 	16.0 	17.5 b	18.7 	18.8 	17.6 	18.2 	17.3 	18.2 	16.8 	16.5 	17.2 
PC,A1,BE	29.4 	28.4 	31.8 	25.5 	23.3 	27.5 	29.0 	28.5 	28.7 	27.9 	27.5 	27.4 
PC,A1,BG	34.3 	45.6 	34.9 	29.5 	24.8 	32.6 	41.8 	40.6 	30.1 	41.6 	43.0 b	45.7 
PC,A1,CH	: 	: 	: 	34.8 	36.7 	33.5 	32.2 	30.3 	31.7 b	31.4 	33.9 	: 
PC,A1,CY	11.3 	11.5 	8.4 b	6.4 	9.0 	10.3 	11.5 	8.8 	13.4 	12.3 	9.6 	9.0 
PC,A1,CZ	30.4 	30.2 	32.2 	30.5 	30.7 	29.8 	31.9 	32.7 	31.4 	30.5 	30.1 	28.1 
PC,A1,DE	: 	: 	: 	: 	28.1 	32.7 	34.4 	33.1 	34.5 	32.1 	34.7 	32.0 
PC,A1,DK	38.3 	35.1 	38.1 	43.0 	43.1 	43.1 	39.6 	41.1 	39.6 	39.4 	42.9 	45.7 
PC,A1,EA18	24.9 e	21.4 e	20.6 e	18.9 e	21.8 	24.3 	24.9 	24.8 	25.6 	24.5 	25.4 	23.8 e
PC,A1,EA19	24.9 e	21.4 e	20.5 e	18.9 e	21.8 	24.3 	24.9 	24.7 	25.5 	24.5 	25.4 	23.8 e
PC,A1,EE	21.0 	15.8 	11.0 	10.2 	15.3 	15.6 	16.8 	15.6 	18.7 b	14.6 	13.1 	13.8 
PC,A1,EL	57.2 	42.2 	53.6 	56.2 	51.5 	57.3 	61.4 	62.2 	68.7 	72.1 	63.6 	63.8 
PC,A1,ES	15.1 	18.7 	18.3 	18.3 	18.3 	21.2 	20.3 	20.3 	21.5 	20.1 	19.1 	19.3 
PC,A1,EU27	28.0 e	25.6 e	25.5 e	24.0 e	24.9 	26.6 	25.1 	24.9 	26.1 	25.1 	25.8 	24.9 e
PC,A1,EU28	: 	: 	: 	: 	25.0 	26.6 	25.1 	24.9 	26.1 	25.1 	25.8 	24.9 e
PC,A1,FI	10.3 	11.7 	12.8 	11.2 	10.6 	11.2 	13.2 	12.6 	14.0 	13.9 	12.9 	13.2 
PC,A1,FR	17.3 	17.3 	15.9 	14.2 	15.1 	14.7 	15.1 	15.2 	15.7 	16.0 	14.9 	12.8 
PC,A1,HR	: 	: 	: 	: 	44.0 	20.3 	19.3 	22.0 	21.3 	22.0 	21.0 	: 
PC,A1,HU	23.2 	23.3 	28.1 	22.5 	26.8 	30.3 	31.1 	26.9 	24.0 	18.1 	18.4 	21.1 
PC,A1,IE	7.0 	8.5 	8.8 	7.1 	10.9 	13.8 	14.9 	13.0 	15.3 	12.4 	12.1 	: 
PC,A1,IS	17.9 	19.6 	19.7 	19.0 	20.2 	24.5 	18.3 	16.7 	19.8 	21.0 	21.0 p	: 
