unit,sex,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_ACT,T,SK	: 	: 	6.4 	7.7 b	10.1 	11.3 	12.2 	11.4 b	11.8 	11.7 	10.2 	8.3 	6.6 	6.5 	9.2 	9.2 b	9.4 	10.0 	9.3 	7.6 	5.8 	5.1 
PC_ACT,T,UK	: 	: 	: 	: 	1.5 	1.3 	1.1 	1.1 	1.0 b	1.0 	1.2 	1.3 b	1.4 b	1.9 	2.5 	2.7 	2.7 	2.7 	2.2 	1.6 	1.3 	1.1 
PPCH_3Y,T,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3 	0.4 	-0.2 b	-0.4 	-0.3 	-0.1 	0.2 	0.0 	0.1 	0.3 	0.5 	0.6 	0.3 
PPCH_3Y,T,BE	: 	: 	: 	: 	: 	: 	-1.2 	-0.1 	0.9 	0.7 	0.5 	-0.3 	-1.1 	-0.7 	0.2 	0.2 	-0.1 	-0.1 	0.8 	1.0 	0.1 	-0.8 b
PPCH_3Y,T,BG	: 	: 	: 	: 	: 	: 	: 	-0.6 	-5.4 	-6.0 	-4.0 	-3.1 	-3.1 	-2.0 	0.6 b	3.4 b	3.8 	2.7 	0.6 	-1.2 	-2.9 	-3.5 
PPCH_3Y,T,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.6 	-0.8 	-0.3 b	0.6 	1.1 	3.0 	4.8 	6.1 	3.2 	-0.3 	-3.2 
PPCH_3Y,T,CZ	: 	: 	: 	: 	: 	2.2 	0.5 	-0.4 	0.0 	0.5 	0.1 	-1.4 	-2.0 	-1.9 	0.2 	0.5 b	1.0 	0.0 	0.0 	-0.6 	-1.3 	-1.7 
PPCH_3Y,T,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.6 	-2.0 	-2.2 	-1.6 b	-1.1 b	-1.1 	-1.0 	-0.6 	-0.4 	-0.6 	-0.6 
PPCH_3Y,T,DK	: 	: 	: 	: 	: 	: 	-0.3 	0.1 	0.3 	0.2 	-0.3 	-0.6 	-0.6 	-0.2 	0.9 	1.3 	1.5 	0.3 	-0.1 	-0.4 	-0.4 b	-0.4 b
PPCH_3Y,T,EE	: 	: 	: 	: 	: 	: 	: 	-1.9 	-1.2 	-1.7 	-1.9 	-2.9 	-2.7 	0.8 	5.3 	5.4 	1.8 	-3.8 	-3.8 	-3.1 	-1.7 	-1.4 
PPCH_3Y,T,EL	: 	: 	: 	: 	: 	-0.5 b	-1.3 	-0.8 	0.1 b	-0.1 	-0.5 	-1.4 	-1.5 	-1.0 b	1.5 	5.1 	10.6 	12.8 	10.7 	3.7 	-1.5 	-3.9 
PPCH_3Y,T,ES	: 	: 	: 	-4.4 	-4.9 	-5.5 b	-3.4 	-2.0 	-0.3 	-1.6 b	-2.0 	-1.8 	-0.2 	2.5 	5.6 	6.9 	6.7 	5.7 	4.0 	0.4 	-3.5 	-5.2 
PPCH_3Y,T,FI	: 	: 	: 	: 	: 	: 	-0.7 	-0.4 	-0.4 	-0.1 	-0.4 	-0.6 	-0.9 	-0.5 	0.5 	0.5 	0.2 	-0.3 	0.2 	0.7 	0.6 	0.2 
PPCH_3Y,T,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.4 e	-0.8 e	-0.5 e	0.6 e	1.1 e	0.8 e	0.5 e	0.5 	0.5 	0.2 	-0.3 
PPCH_3Y,T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.3 	-2.1 	-1.6 	0.6 	3.1 	5.1 	4.4 	1.7 	0.0 	-4.4 	-5.5 
PPCH_3Y,T,HU	: 	: 	: 	: 	: 	: 	-0.9 	-0.7 	0.1 	0.7 	1.0 	0.8 	0.4 	0.8 	2.0 	1.6 	0.8 	-0.6 	-1.5 	-1.9 	-2.5 	-2.0 
PPCH_3Y,T,IE	: 	: 	: 	: 	: 	: 	-0.9 	0.0 	0.2 	0.0 	-0.1 	-0.1 b	0.3 	2.1 	5.5 	7.1 	5.7 	1.1 	-2.2 	-3.9 	-3.8 	-3.6 
PPCH_3Y,T,IT	: 	: 	: 	: 	: 	: 	: 	-1.5 	-2.1 b	-1.6 	-1.7 	-0.9 	-0.7 	0.1 	1.1 	1.3 	2.2 	2.9 	3.4 	1.3 	-0.2 	-1.2 
PPCH_3Y,T,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3.0 	-3.4 	-4.2 u	-3.1 u	0.7 	6.0 	6.7 	3.3 	-2.3 	-3.2 	-2.7 	-2.1 	-2.1 
PPCH_3Y,T,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	0.1 b	0.4 	-0.2 b	0.1 	-0.2 	0.4 	0.5 	0.2 	0.3 b	0.4 	0.5 
PPCH_3Y,T,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.2 	-2.6 	-3.4 	-2.6 	2.1 	7.2 	6.9 	3.3 	-3.1 	-4.2 	-3.3 	-1.7 	-1.3 
PPCH_3Y,T,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.4 b	-0.4 	-0.7 	-0.8 	0.2 	0.4 	0.4 	0.1 	-0.3 	-0.3 	-0.6 	-0.9 	-1.1 
PPCH_3Y,T,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.7 	-0.3 	-1.0 	-0.9 	0.0 b	0.7 b	1.1 	1.3 	1.3 	1.1 	0.0 	-1.0 
PPCH_3Y,T,PL	: 	: 	: 	: 	: 	: 	: 	3.6 b	1.1 b	-0.6 	-3.2 	-5.4 	-7.9 	-5.3 	-1.9 b	1.2 	1.6 	1.4 	0.2 	-1.1 	-2.2 	-2.3 
PPCH_3Y,T,PT	: 	: 	: 	: 	-1.8 	-0.7 	-0.1 	0.5 	1.5 	2.0 	1.7 	0.8 	-0.1 	0.3 	1.9 	2.6 b	3.5 	3.6 	2.2 	-0.5 	-3.1 	-3.9 
PPCH_3Y,T,RO	: 	: 	: 	: 	: 	: 	1.5 b	0.5 b	1.4 	-0.6 	-0.2 	-1.6 	-1.6 	-1.9 	-0.8 b	0.5 	0.8 	0.8 	-0.1 	0.0 	-0.2 	-0.8 
PPCH_3Y,T,SE	: 	: 	: 	: 	: 	: 	: 	: 	0.3 	0.1 e	0.0 e	-0.5 	-0.3 	0.1 	0.8 	0.7 	0.4 	-0.2 	-0.1 	0.0 	-0.1 	-0.2 
PPCH_3Y,T,SI	: 	: 	: 	: 	: 	: 	0.2 	-0.6 	-0.4 	-0.4 	-0.6 	-1.1 	-1.2 	-1.1 	1.0 	1.7 	2.5 	2.0 	1.7 	0.4 	-0.9 	-2.2 
PPCH_3Y,T,SK	: 	: 	: 	: 	: 	4.9 	4.5 	1.3 b	0.5 	-0.5 	-1.2 	-3.5 	-5.1 	-3.7 	0.9 	2.6 b	2.9 	0.8 	0.1 	-1.8 	-4.2 	-4.2 
PPCH_3Y,T,UK	: 	: 	: 	: 	: 	: 	: 	-0.4 	-0.3 b	-0.1 	0.1 	0.3 b	0.4 b	0.7 	1.2 	1.3 	0.8 	0.2 	-0.5 	-1.1 	-1.4 	-1.1 
