unit,incgrp,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,T,TOTAL,AT	16.0 	15.7 	15.5 b	13.4 	12.0 	12.1 	14.1 	15.1 	15.4 	15.3 	15.6 	15.2 
PC,TOTAL,T,TOTAL,BE	3.4 	3.5 	4.0 	3.8 	4.0 	2.1 	1.4 	1.8 	1.9 	1.5 	3.9 	5.3 
PC,TOTAL,T,TOTAL,BG	50.3 	53.8 	50.0 	48.9 	49.6 	49.9 	47.0 	47.2 	46.2 	45.1 	46.8 b	46.2 
PC,TOTAL,T,TOTAL,CH	: 	7.6 	7.9 	7.7 	5.6 	5.9 	5.8 	6.5 	6.6 b	6.0 	6.7 	: 
PC,TOTAL,T,TOTAL,CY	1.9 	1.6 	3.4 b	2.7 	3.6 	2.9 	2.8 	2.5 	2.3 	1.4 	2.5 	3.0 
PC,TOTAL,T,TOTAL,CZ	34.7 	33.7 	30.7 	27.6 	23.3 	21.8 	22.2 	22.1 	20.9 	19.4 	18.5 	16.5 
PC,TOTAL,T,TOTAL,DE	6.7 	5.4 	5.8 	6.0 	6.0 	5.7 	5.5 	5.6 	5.6 	5.9 	6.1 	6.2 
PC,TOTAL,T,TOTAL,DK	6.3 	6.7 	6.8 	6.8 	6.5 	6.7 b	6.8 	7.1 	7.7 	7.1 	7.5 	8.4 
PC,TOTAL,T,TOTAL,EA18	13.1 	12.9 	12.8 	12.4 	12.5 	11.9 	12.1 	12.3 	12.2 	12.6 	12.8 	12.8 e
PC,TOTAL,T,TOTAL,EA19	13.5 	13.4 	13.2 	12.8 	12.8 	12.0 	12.2 	12.5 	12.4 	12.8 	13.0 	12.9 e
PC,TOTAL,T,TOTAL,EE	48.3 	45.6 	44.1 	43.6 	41.8 	16.0 	15.5 	24.2 	15.7 b	14.9 	15.0 	14.9 
PC,TOTAL,T,TOTAL,EL	30.4 	30.3 	27.8 	26.0 	26.4 	27.1 	27.7 	29.2 	29.3 	30.2 	31.1 	31.8 
PC,TOTAL,T,TOTAL,ES	6.9 	6.2 	6.0 	5.5 	5.2 	7.1 b	6.0 	5.5 	5.7 	5.9 	5.9 	5.6 
PC,TOTAL,T,TOTAL,EU27	20.2 e	19.8 	19.4 	18.9 	18.7 	17.9 	17.7 	17.9 	17.5 	17.6 	17.5 	18.8 e
PC,TOTAL,T,TOTAL,EU28	: 	: 	: 	: 	18.9 	18.1 	18.0 	18.1 	17.7 	17.9 	17.7 	18.8 e
PC,TOTAL,T,TOTAL,FI	3.5 	3.3 	3.0 	3.2 	3.4 	3.8 	3.6 	4.5 	4.5 	4.2 	3.9 	3.9 
PC,TOTAL,T,TOTAL,FR	7.4 	9.4 	9.2 	9.3 	8.8 	7.3 	7.5 	7.1 	6.6 	7.3 	7.7 	7.5 
PC,TOTAL,T,TOTAL,HR	: 	: 	: 	: 	46.5 	47.4 	47.0 	45.2 	44.6 	44.0 	43.5 	: 
PC,TOTAL,T,TOTAL,HU	54.0 	50.3 	51.4 	49.8 	50.3 	49.4 	49.3 	48.4 	46.2 	45.6 	45.2 	45.4 
PC,TOTAL,T,TOTAL,IE	6.5 	5.2 	5.0 	3.8 	3.6 	2.8 	3.4 	3.0 	3.7 	3.6 	3.4 	: 
PC,TOTAL,T,TOTAL,IS	8.9 	10.8 	6.1 	6.9 	6.7 	7.0 	7.6 	8.9 	8.2 	8.5 	7.4 p	: 
PC,TOTAL,T,TOTAL,IT	26.8 	26.5 	26.7 	25.8 	27.0 	26.8 	28.9 	29.9 	30.1 	30.9 	30.8 	30.1 
PC,TOTAL,T,TOTAL,LT	56.4 	55.6 	51.6 	51.3 	49.3 	22.2 b	21.7 	31.2 b	31.4 	29.5 	26.4 	26.9 
PC,TOTAL,T,TOTAL,LU	7.2 	7.2 	7.4 	6.0 	7.1 	6.1 	6.4 	5.7 	6.4 	6.0 	7.7 b	7.8 
PC,TOTAL,T,TOTAL,LV	62.5 	62.1 	59.7 	58.9 	58.3 	46.9 	39.6 	40.4 	42.7 	43.9 	45.9 	44.9 
PC,TOTAL,T,TOTAL,MK	: 	: 	: 	: 	: 	: 	53.6 	51.7 	47.0 	52.1 	51.1 	: 
PC,TOTAL,T,TOTAL,MT	3.7 	4.5 	4.1 	4.1 	4.3 	4.8 	4.2 	3.8 	4.3 	3.8 	3.1 	2.8 
PC,TOTAL,T,TOTAL,NL	1.3 	1.7 	1.4 	1.1 	1.6 	1.4 	2.1 	2.0 	2.9 	2.8 	3.3 b	3.5 
PC,TOTAL,T,TOTAL,NO	4.3 	4.2 	3.9 	3.7 	4.4 	3.7 	4.6 	4.7 	3.4 	3.8 	3.9 	3.4 
