na_item,s_adj,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B11,SCA,MIO_EUR_SCA,AT	3543.8 	3352.5 	3680.8 	3539.0 	3335.9 	2629.4 	2708.1 	2762.9 	2718.5 	3300.2 	4275.3 	3307.5 
B11,SCA,MIO_EUR_SCA,BE	1814.0 	2513.0 	2048.0 	2078.0 	203.0 	1296.0 	709.0 	891.0 	696.0 	781.0 	799.0 	455.0 
B11,SCA,MIO_EUR_SCA,BG	-42.7 	-33.2 	435.2 	477.3 	448.5 	635.5 	485.3 	481.0 	607.9 	240.3 	45.9 p	-12.5 p
B11,SCA,MIO_EUR_SCA,CH	19110.0 	18639.0 	11064.1 	19337.5 	18521.6 	21183.1 	13845.7 	17985.7 	13417.8 	19965.4 	17442.5 	18313.6 
B11,SCA,MIO_EUR_SCA,CY	-6.6 	-128.2 	689.5 	-591.7 	163.0 	-372.3 	-187.0 	41.0 	90.3 	-633.6 	714.3 	-244.1 
B11,SCA,MIO_EUR_SCA,CZ	2583.7 	2965.2 	3328.4 	3424.1 	3419.1 	3411.2 	3531.7 	3650.0 	3571.2 	3743.3 	3634.5 	3639.6 
B11,SCA,MIO_EUR_SCA,DE	62277.0 	59685.0 	60594.0 	65560.0 	61334.0 	57464.0 	59601.0 	60260.0 	64243.0 	64763.0 	63300.0 	60052.0 
B11,SCA,MIO_EUR_SCA,DK	4637.1 	4269.4 	4280.1 	4326.3 	3495.1 	5086.6 	5772.1 	5287.6 	4796.6 	4240.0 	3303.3 	2370.0 
B11,SCA,MIO_EUR_SCA,EA	126768.9 	115289.4 	126571.0 	123112.6 	118331.6 	107494.6 	122081.2 	124207.6 	138162.4 	140569.0 	140606.4 	132764.8 
B11,SCA,MIO_EUR_SCA,EA19	126768.9 	115289.4 	126571.0 	123112.6 	118331.6 	107494.6 	122081.2 	124207.6 	138162.4 	140569.0 	140606.4 	132764.8 
B11,SCA,MIO_EUR_SCA,EE	185.0 	165.6 	168.3 	200.8 	326.3 	185.2 	275.8 	227.5 	283.2 	286.9 	110.1 	214.9 
B11,SCA,MIO_EUR_SCA,EL	925.4 	-761.2 	-177.7 	-967.2 	-77.3 	-390.3 	-1285.0 	-464.7 p	-79.4 p	-297.7 p	27.8 p	-4.5 p
B11,SCA,MIO_EUR_SCA,ES	5760.0 	6309.0 	8159.0 p	8986.0 p	9455.0 p	8679.0 p	7104.0 p	9449.0 p	8176.0 p	9262.0 p	6607.0 p	5930.0 p
B11,SCA,MIO_EUR_SCA,EU28	135923.1 	125415.2 	137865.6 	136036.0 	121255.8 	124313.9 	134776.6 	136584.7 	152401.4 	154735.8 	153695.5 	140164.2 
B11,SCA,MIO_EUR_SCA,FI	-402.0 	-632.0 	-143.0 	-334.0 	-531.0 	-963.0 	564.0 	-122.0 	94.0 	268.0 	301.0 	259.0 
B11,SCA,MIO_EUR_SCA,FR	-2952.0 	-4676.0 	-2933.0 	-2934.0 	-6392.0 	-6165.0 	-10373.0 	-4524.0 	-6217.0 	-4179.0 	-4272.0 	-6587.0 
B11,SCA,MIO_EUR_SCA,HR	215.4 	211.1 	366.5 	285.8 	331.0 	271.2 	283.4 	264.6 	366.9 	155.2 	52.7 	297.8 
B11,SCA,MIO_EUR_SCA,HU	2101.6 	2523.2 	2743.2 	2992.6 	2943.8 	2718.0 	2070.4 	2537.4 	2129.3 	2640.8 	2061.6 	2192.7 
B11,SCA,MIO_EUR_SCA,IE	17705.0 	15472.2 	13139.6 	8584.1 	11053.9 	9031.6 	20160.5 	16427.3 	23130.3 	28852.5 	26420.9 	32683.3 
B11,SCA,MIO_EUR_SCA,IT	11169.4 	12801.7 	13399.2 	13787.6 	13447.6 	12875.5 	13511.6 	12127.4 	13376.0 	13045.7 	12988.2 	11055.4 
B11,SCA,MIO_EUR_SCA,LT	-16.3 	101.1 	189.8 	9.7 	186.1 	132.6 	243.5 	265.0 	343.3 	353.0 	233.8 	239.8 
B11,SCA,MIO_EUR_SCA,LU	4090.9 	4571.2 	4479.2 	4458.9 	4789.7 	4274.3 	4473.1 	4432.6 	4715.6 	4792.7 	5039.9 	5180.5 
