stk_flow,indic_et,partner,bclas_bec,geo\time	2017M09 	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,AT	-533.9 	-571.2 	-495.8 	-587.6 	-194.0 	-128.1 	-958.1 	-781.4 	-1015.2 	-640.7 	-345.8 	-453.5 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,BE	1394.2 	1881.1 	2322.2 	2412.4 	2008.9 	1784.3 	1079.9 	1394.9 	1277.3 	1252.6 	606.6 	1107.1 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,BG	-267.6 	-227.3 	-377.5 	-435.2 	-457.0 	-454.8 	-289.3 	-362.1 	-384.3 	-496.8 	-493.9 	-343.2 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,CY	-298.7 	-680.8 	-747.5 	-502.7 	-410.7 	-483.3 	135.1 	-656.9 	-349.7 	-124.2 	-403.5 	-323.7 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,CZ	1353.4 	1119.6 	1574.7 	1631.7 	1275.6 	1495.5 	1320.2 	1396.2 	1193.3 	1159.4 	945.0 	987.5 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,DE	22602.8 	19679.5 	22165.0 	21939.3 	21368.4 	19730.7 	21389.8 	20706.1 	19423.7 	20687.8 	17152.5 	18675.2 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,DK	929.5 	653.3 	428.4 	393.6 	292.2 	547.7 	419.9 	-974.7 	347.7 	675.6 	813.0 	417.1 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,EA19	23637.0 	17525.4 	20182.3 	22765.2 	19378.8 	17985.4 	19138.1 	17834.7 	16665.5 	16648.5 	12586.5 	16573.2 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,EE	-104.6 	-140.6 	-122.8 	-168.5 	-212.4 	-91.2 	-183.9 	-139.4 	-202.8 	-148.1 	-121.1 	-210.5 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,EL	-1431.3 	-1797.3 	-1476.9 	-1817.9 	-1882.6 	-1714.7 	-1559.3 	-1665.0 	-1621.9 	-2181.0 	-2106.2 	-2084.1 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,ES	-2395.2 	-2622.5 	-2376.9 	-2342.2 	-2712.5 	-2605.8 	-2321.7 	-3181.6 	-2736.4 	-3298.7 	-3939.6 	-2508.9 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,EU28	2651.7 	-751.0 	2756.7 	4730.7 	-1906.7 	488.1 	4332.4 	-892.0 	-862.2 	672.5 	-4938.0 	-2101.4 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,FI	-190.7 	-113.8 	-209.5 	-150.4 	-96.6 	-151.1 	-110.1 	273.7 	-607.7 	-84.7 	-304.5 	-321.5 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,FR	-5801.7 	-6779.6 	-7248.2 	-4186.9 	-7460.7 	-6418.3 	-5894.1 	-6411.1 	-7925.5 	-7296.0 	-5786.0 	-7127.0 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,HR	-705.1 	-631.3 	-540.2 	-703.1 	-694.6 	-664.0 	-892.2 	-676.5 	-729.4 	-733.7 	-790.8 	-643.3 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,HU	519.4 	388.5 	385.6 	691.7 	482.8 	444.6 	331.6 	271.7 	370.2 	601.2 	361.1 	118.2 
