unit,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,F,AT	3.7 	3.4 	3.5 	6.3 	4.9 	4.6 	4.4 	4.2 	4.2 	4.2 	3.3 	3.1 	3.9 
PC,TOTAL,F,BE	6.5 	6.7 	6.2 	6.0 	5.5 	6.0 	5.4 	6.3 	4.7 	5.6 	6.1 	5.7 	5.4 
PC,TOTAL,F,BG	: 	58.2 	58.6 	42.8 	43.5 	47.2 	44.6 	45.3 	44.4 	34.3 	35.3 	33.4 b	31.1 
PC,TOTAL,F,CH	: 	: 	2.3 	2.1 	2.0 	1.6 	0.9 	0.8 	0.7 	1.2 	1.4 	1.8 	: 
PC,TOTAL,F,CY	11.9 	12.7 	14.0 	9.3 	9.8 	10.9 	11.4 	14.9 	15.6 	15.1 	15.0 	13.3 	11.4 
PC,TOTAL,F,CZ	12.7 	9.9 	7.7 	7.3 	6.5 	6.5 	6.7 	7.2 	7.2 	7.2 	6.2 	5.0 	4.0 
PC,TOTAL,F,DE	4.8 	5.1 	5.3 	5.6 	5.4 	4.7 	5.7 	5.2 	5.6 	5.1 	4.6 	4.0 	3.9 
PC,TOTAL,F,DK	3.3 	3.5 	3.6 	2.4 	2.4 	2.5 	2.9 	2.7 	3.7 	3.2 	3.8 	2.1 	2.6 
PC,TOTAL,F,EA18	6.2 	6.0 	5.9 	6.1 	6.1 	6.1 	7.1 	7.8 	7.6 	7.5 	7.0 	6.8 	6.1 e
PC,TOTAL,F,EA19	6.6 	6.2 	6.0 	6.2 	6.2 	6.2 	7.2 	8.0 	7.7 	7.5 	7.1 	6.9 	6.1 e
PC,TOTAL,F,EE	12.6 	7.2 	5.8 	4.9 	6.3 	8.7 	8.6 	9.3 	7.1 	6.2 	4.7 	4.8 	4.5 
PC,TOTAL,F,EL	13.8 	11.9 	12.3 	12.2 	11.7 	12.2 	15.4 	19.1 	20.3 	21.8 	22.2 	22.6 	21.2 
PC,TOTAL,F,ES	4.2 	4.0 	3.6 	3.5 	4.4 	5.1 	4.6 	5.5 	6.1 	7.1 	6.3 	6.2 	5.3 
PC,TOTAL,F,EU27	11.2 e	10.2 e	9.6 	8.8 	8.4 e	8.6 	9.1 	10.1 	9.8 	9.0 	8.1 	7.7 	7.2 e
PC,TOTAL,F,EU28	: 	: 	: 	: 	: 	8.6 	9.1 	10.2 	9.8 	9.0 	8.2 	7.7 	7.2 e
PC,TOTAL,F,FI	3.8 	3.6 	4.1 	3.8 	2.7 	3.1 	3.2 	2.9 	2.5 	2.9 	2.3 	2.4 	2.2 
PC,TOTAL,F,FR	5.5 	5.3 	5.0 	5.7 	5.9 	5.8 	5.4 	5.5 	5.4 	5.1 	4.7 	4.6 	4.4 
PC,TOTAL,F,HR	: 	: 	: 	: 	: 	14.2 	15.0 	16.1 	14.5 	14.3 	13.6 	12.2 	10.4 p
PC,TOTAL,F,HU	23.1 	21.0 	20.1 	18.4 	20.4 	21.6 	23.7 	26.8 	27.8 	24.4 	19.6 	16.3 	14.7 
PC,TOTAL,F,IE	5.5 	5.0 	4.9 	5.8 	6.8 	5.9 	8.3 	10.0 	10.6 	8.6 	7.8 	6.9 	: 
PC,TOTAL,F,IS	2.8 	2.4 	2.5 	0.9 	0.6 	2.0 	2.1 	2.4 	2.5 	1.8 	2.1 	2.0 p	: 
PC,TOTAL,F,IT	7.0 	6.8 	7.4 	7.8 	7.6 	7.5 	11.4 	15.0 	12.4 	11.5 	11.2 	12.1 	10.0 
PC,TOTAL,F,LT	33.8 	26.7 	17.3 	13.0 	16.2 	19.8 	19.3 	20.5 	17.6 	14.3 	14.4 	13.8 	13.1 
PC,TOTAL,F,LU	1.6 	1.3 	0.8 	0.7 	1.3 	0.7 	1.1 	1.3 	2.0 	1.4 	2.1 	1.5 b	1.2 
PC,TOTAL,F,LV	41.9 	33.1 	25.6 	20.6 	22.8 	28.3 	31.5 	26.5 	24.7 	20.1 	17.3 	13.4 	11.8 
PC,TOTAL,F,MK	: 	: 	: 	: 	: 	34.0 	39.3 	40.9 	37.4 	35.6 	30.1 	30.1 	: 
PC,TOTAL,F,MT	5.7 	4.2 	4.8 	4.6 	5.2 	6.6 	6.9 	9.7 	9.6 	10.5 	8.0 	4.2 	3.4 
PC,TOTAL,F,NL	2.7 	2.8 	1.7 	1.6 	1.5 	2.2 	2.6 	2.4 	2.6 	3.6 	2.6 	2.9 b	2.7 
PC,TOTAL,F,NO	3.5 	3.1 	2.5 	1.9 	2.0 	1.9 	2.5 	1.8 	2.2 	1.2 	2.0 	1.9 	1.8 
