nabs07,unit,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
NABS08,EUR_HAB,PL	0.1 	0.2 	0.2 	0.5 	0.6 	: 	: 	: 	1.7 b	1.8 	1.4 	1.6 	1.4 	1.5 	: 
NABS08,EUR_HAB,PT	1.6 	1.8 	1.7 	2.3 	2.6 	3.2 	3 	2.5 	0.9 	1.6 	1.7 	1.8 	1.8 	1.8 	: 
NABS08,EUR_HAB,RO	0.3 	0.3 	1.4 	1.4 	2.4 	1.4 	2.9 	1.9 	1.5 	0.7 b	0.8 	1.2 	1.2 	1.1 	: 
NABS08,EUR_HAB,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.5 	1.6 	2 	1.6 	1.8 	: 
NABS08,EUR_HAB,RU	: 	: 	: 	0.3 	0.4 	0.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NABS08,EUR_HAB,SE	7.8 	6.2 	6.6 	4.3 	4.7 	4.4 d	5.1 d	5.5 d	6.1 d	5.5 d	5.6 d	4.8 d	5.3 e	4.8 e	: 
NABS08,EUR_HAB,SI	1.9 	2.7 	2 	3.7 	3.8 	4 	4 	4.5 	3.6 	3.4 	3.3 	2.9 	3.4 	4.3 p	: 
NABS08,EUR_HAB,SK	1.9 	2.3 	2 	1.9 	2 	2.1 	2.5 	3.3 	1.8 	2.2 	1.8 	1.9 	1.8 	1.4 p	: 
NABS08,EUR_HAB,TR	: 	: 	: 	: 	0.6 	0.9 	0.8 	0.9 	0.8 	0.7 	0.6 	1.1 	0.9 	0.8 	: 
NABS08,EUR_HAB,UK	6.9 	6.6 	6.9 	6 	5.1 	6.1 	5.7 	6.5 	7.4 	7.4 	6.6 	7.4 	6.9 	6.3 e	: 
NABS08,EUR_HAB,US	6.8 d	7.2 d	7.1 d	5.6 d	5.2 d	6.1 bd	6.4 d	5.1 d	5.9 d	5.1 d	5.8 d	7.1 d	7.7 dp	: 	: 
NABS08,MIO_EUR,AT	34.572 d	30.536 d	32.028 d	37.248 d	40.021 d	37.747 d	39.372 d	41.121 d	38.554 d	45.013 d	34.433 d	32.304 d	32.13 	33.455 p	31.728 p
NABS08,MIO_EUR,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.241 	0 	0 	: 	: 
NABS08,MIO_EUR,BE	32.562 	23.847 	24.965 	29.292 	30.097 	31.742 	32.205 	37.425 	39.496 	34.822 	38.953 	37.268 	37.101 	36.922 p	: 
NABS08,MIO_EUR,BG	: 	: 	: 	13.025 	24.964 	23.011 	13.869 	14.747 	16.634 	20.47 	17.582 	17.294 	15.713 	21.095 	: 
NABS08,MIO_EUR,CH	47.791 	: 	48.981 	: 	47.932 	: 	59.537 	: 	74.801 	: 	105.572 	125.825 	: 	: 	: 
NABS08,MIO_EUR,CY	10.646 	10.32 	9.926 	11.043 	9.494 	9.97 	9.633 	9.663 	9.037 	7.015 	6.01 	5.933 	5.507 	5.36 	: 
