hhtyp,incgrp,unit,sex,age,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,A_MD60,PC,T,TOTAL,AT	8.5 	9.6 	9.3 	9.8 	8.8 	12.4 b	14.1 	14.0 	12.6 	11.2 	11.4 	9.5 	10.9 	10.2 	11.0 
TOTAL,A_MD60,PC,T,TOTAL,BE	12.6 	12.3 	13.3 	13.9 	12.7 	16.6 	13.7 b	17.0 	19.5 	17.1 	16.5 	15.8 	16.0 	17.2 	16.8 
TOTAL,A_MD60,PC,T,TOTAL,BG	: 	: 	26.7 	26.7 	9.1 	25.6 	19.5 	10.9 b	10.4 	9.5 	7.8 	8.9 	9.2 	8.9 b	8.3 
TOTAL,A_MD60,PC,T,TOTAL,CH	: 	: 	: 	: 	7.8 	7.8 	8.4 	8.3 	10.3 	12.8 	11.4 	10.3 b	11.6 	11.6 	: 
TOTAL,A_MD60,PC,T,TOTAL,CY	: 	: 	34.8 	31.3 	28.3 	25.2 b	28.7 	28.9 	28.0 	29.2 	30.3 	24.4 	25.1 	24.9 	27.1 
TOTAL,A_MD60,PC,T,TOTAL,CZ	: 	: 	19.1 	19.0 	14.1 	12.5 	13.7 	11.0 	10.9 	9.4 	9.1 	8.2 	7.9 	7.5 	7.6 
TOTAL,A_MD60,PC,T,TOTAL,DE	: 	: 	13.0 	14.7 	12.0 	12.5 	12.1 	11.8 	11.8 	12.0 	11.9 	10.9 	11.4 	11.5 	10.8 
TOTAL,A_MD60,PC,T,TOTAL,DK	7.3 	8.3 	7.5 	8.5 	10.2 	8.3 	7.5 	7.2 	15.8 b	16.5 	15.8 	14.9 	15.3 	15.3 	13.9 
TOTAL,A_MD60,PC,T,TOTAL,EA18	: 	: 	14.8 	15.1 	14.5 	14.2 	14.2 	14.7 	14.1 	13.6 	14.8 	14.8 	14.3 	14.0 	11.8 e
TOTAL,A_MD60,PC,T,TOTAL,EA19	: 	: 	15.0 	15.2 	14.6 	14.3 	14.2 	14.7 	14.1 	13.6 	14.8 	14.8 	14.3 	14.0 	11.8 e
