currency,bop_item,sector10,sectpart,s_adj,stk_flow,partner,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL	-221.6 	-258.3 	-191.2 	-280.5 	-145.5 	-128.1 	-133.4 	-230.2 	-112.7 	-267.0 	-146.6 	-151.6 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT	-995.0 	1016.0 	5114.0 	362.0 	2310.0 	666.0 	4311.0 	65.0 	325.0 	2261.0 	5181.0 	937.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE	-1532.0 	-152.0 	2480.0 	587.0 	-3529.0 	-1691.0 	869.0 	1220.0 	1319.0 	162.0 	1196.0 	-2386.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG	1348.9 	-496.7 	423.5 	710.6 	1545.2 	-364.4 	368.8 	792.9 	2774.1 	-38.1 	-128.1 	308.5 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH	20834.9 	1216.2 	5869.8 	17645.3 	14946.4 	23601.6 	12289.3 	18949.7 	13845.3 	13096.2 	14076.7 	19988.8 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY	321.0 	-414.0 	126.0 	-445.0 	384.0 	-965.0 	-773.0 	83.0 	290.0 	-1140.0 	-120.0 	-223.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ	-1494.2 	933.4 	5105.4 	432.0 	-263.3 	-550.6 	3645.2 	-13.5 	-1010.2 	1123.9 	2249.4 	282.5 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE	71901.0 	76168.0 	66384.0 	70828.0 	61358.0 	73709.0 	68196.0 	52846.0 	64048.0 	72382.0 	71326.0 	63842.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DK	6342.4 	5113.9 	3644.0 	6261.1 	5412.5 	7043.0 	5441.9 	6740.7 	5815.7 	5429.6 	2290.4 	3842.4 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EA19	101214.0 	119812.0 	60121.0 	81164.0 	99720.0 	108766.0 	38657.0 	52811.0 	116366.0 	121047.0 	84189.0 	80845.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE	260.1 	208.7 	-57.4 	221.6 	325.1 	161.2 	131.4 	146.0 	313.9 	389.3 	-44.8 	155.4 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL	5428.0 	-405.0 	-1951.0 	-731.0 	3708.0 	-2183.0 	-2639.0 	-409.0 	4492.0 	-2311.0 	-2725.0 	-1110.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES	6333.0 	10504.0 	227.0 	7445.0 	9259.0 	10857.0 	-958.0 	6376.0 	7207.0 	11571.0 	-1342.0 	2976.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28	41016.1 	53373.2 	26335.0 	34439.7 	57339.9 	66918.6 	-7667.9 	8545.4 	65271.8 	71845.4 	48848.2 	33690.7 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI	609.0 	-100.0 	-589.0 	-1228.0 	887.0 	-575.0 	-733.0 	-1496.0 	422.0 	481.0 	-656.0 	-2021.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR	166.0 	-833.0 	-14201.0 	-2719.0 	-2517.0 	4104.0 	-17684.0 	-1819.0 	3274.0 	4228.0 	-12075.0 	-631.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR	3926.1 	-336.7 	-1453.9 	247.9 	3442.8 	-372.6 	-1405.2 	227.3 	3913.0 	-481.4 	-1893.1 	388.2 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU	1514.5 	2610.3 	1965.0 	2202.8 	2045.6 	765.7 	1298.6 	2183.1 	1097.7 	582.3 	1975.7 	982.7 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE	4039.0 	-3505.0 	-1964.0 	-5141.0 	-1063.0 	-7535.0 	-9044.0 	-9541.0 	7789.0 	7552.0 	9115.0 	9798.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS	389.1 	101.0 	81.8 	235.9 	760.7 	349.1 	44.6 	105.1 	533.9 	13.5 	-1.3 	10.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT	10837.0 	16577.0 	1603.0 	10541.0 	14842.0 	12670.0 	5126.0 	9204.0 	17040.0 	15899.0 	4391.0 	9681.0 
