areaprot,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MPA_KM2,AT	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
MPA_KM2,BE	170 	181 	181 	181 	200 	198 	198 	1266 	1263 	1263 	1271 	1271 	1271 	1271 	1271 
MPA_KM2,BG	: 	: 	: 	: 	: 	592 	592 	972 	926 	926 	990 	2827 	2827 	2827 	2827 
MPA_KM2,CY	: 	: 	50 	50 	50 	50 	50 	132 	132 	132 	132 	131 	131 	131 	131 
MPA_KM2,CZ	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
MPA_KM2,DE	7190 	7190 	18034 	18086 	18086 	19134 	19768 	25668 	25667 	25509 	25604 	25602 	25603 	25603 	25603 
MPA_KM2,DK	7959 	7959 	7959 	7959 	7959 	7959 	16145 	18541 	18789 	19012 	19062 	19053 	19053 	19053 	19053 
MPA_KM2,EE	: 	: 	3419 	3419 	3854 	3854 	3752 	6626 	6773 	6771 	6756 	6754 	6754 	6754 	6754 
MPA_KM2,EL	5998 	5998 	5998 	5998 	5998 	5998 	6344 	7151 	6899 	6908 	7186 	7199 	7199 	7199 	22796 
MPA_KM2,ES	5317 	5191 	5191 	5191 	5217 	5548 	7926 	10275 	10193 	10193 	10637 	71677 	84386 	84404 	84404 
MPA_KM2,EU27	: 	: 	: 	: 	: 	92894 	131459 	198757 	217464 	244191 	246286 	312847 	355364 	390542 	: 
MPA_KM2,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	251566 	318127 	360350 	395528 	532417 
MPA_KM2,FI	5142 	5142 	5142 	5460 	5460 	5460 	5460 	6914 	6922 	7225 	7135 	7140 	7140 	7140 	7140 
MPA_KM2,FR	5028 	4906 	5000 	5603 	5593 	5688 	25709 	41298 	41625 	41736 	41680 	41697 	41703 	41685 	114057 
MPA_KM2,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5280 	5280 	4986 	4986 	4986 
MPA_KM2,HU	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
MPA_KM2,IE	3431 	3386 	3386 	3386 	3386 	6010 	6014 	6763 	6828 	6828 	6905 	10228 	10259 	10259 	10258 
MPA_KM2,IT	53 	2227 	2227 	2244 	2244 	2243 	2254 	4886 	5305 	6308 	6704 	6721 	6793 	6806 	6859 
MPA_KM2,LT	: 	: 	171 	171 	171 	171 	171 	686 	686 	681 	674 	994 	1310 	1563 	1563 
MPA_KM2,LU	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
MPA_KM2,LV	: 	: 	556 	556 	562 	562 	562 	560 	4379 	4379 	4382 	4387 	4387 	4387 	4387 
MPA_KM2,MT	: 	: 	0 	8 	8 	8 	8 	9 	191 	191 	193 	192 	192 	3490 	3490 
MPA_KM2,NL	3550 	3553 	3553 	4025 	4025 	4067 	10857 	11781 	11662 	11644 	11808 	11795 	11797 	15083 	15083 
MPA_KM2,PL	: 	: 	0 	0 	0 	3594 	3600 	7261 	7248 	7248 	7237 	7236 	7236 	7236 	7236 
MPA_KM2,PT	490 	490 	490 	490 	490 	490 	775 	1748 	1756 	2408 	2619 	2634 	31885 	31885 	38052 
MPA_KM2,RO	: 	: 	: 	: 	: 	1353 	1353 	1573 	1707 	1721 	1888 	1894 	1894 	6362 	6362 
MPA_KM2,SE	2835 	5833 	5833 	5848 	5849 	7506 	7512 	7854 	9203 	9211 	9329 	9331 	9328 	20229 	20229 
MPA_KM2,SI	: 	: 	0 	0 	0 	0 	0 	2 	3 	3 	11 	11 	11 	11 	11 
MPA_KM2,SK	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
MPA_KM2,UK	9026 	9071 	9109 	9131 	9131 	12409 	12409 	36791 	49307 	73894 	74083 	74073 	74205 	87164 	129865 
