unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NCO,F4,LIAB,S11,AT	: 	4.9 	3.2 	5.0 	7.9 	8.9 	6.1 	3.0 	3.1 	0.0 	3.2 	4.9 	7.7 	4.1 	-3.5 	2.0 	2.1 	0.2 	2.2 	1.0 	1.7 	4.1 	3.9 
PC_GDP,NCO,F4,LIAB,S11,BE	1.1 	2.3 	9.1 	10.5 	14.0 	15.3 	10.7 	2.5 	14.2 	7.5 	2.0 	3.0 	13.3 	15.8 	7.6 	-8.6 	14.5 	9.4 	-2.0 	-0.6 	0.1 	21.1 	-3.5 
PC_GDP,NCO,F4,LIAB,S11,BG	0.0 	33.2 	2.7 	2.6 	7.0 	9.1 	14.7 	3.9 	11.3 	14.2 	15.7 	12.5 	31.4 	29.2 	8.6 	3.3 	3.1 	3.9 	6.4 	1.3 	-1.5 	2.9 	3.0 
PC_GDP,NCO,F4,LIAB,S11,CY	55.7 	15.7 	15.0 	5.1 	5.3 	27.9 	-1.8 	-13.3 	1.0 	4.3 	15.6 	5.1 	17.5 	16.5 	5.4 	4.2 	7.5 	10.0 	-5.8 	2.2 	5.4 	10.3 	8.6 
PC_GDP,NCO,F4,LIAB,S11,CZ	8.4 	10.0 	11.1 	-2.3 	0.3 	-0.4 	-1.6 	2.1 	-3.7 	2.7 	1.0 	3.9 	2.9 	4.5 	-1.5 	0.5 	2.1 	2.4 	4.6 	-0.8 	1.4 	0.3 	3.4 
PC_GDP,NCO,F4,LIAB,S11,DE	1.9 	2.8 	2.4 	4.1 	4.1 	4.4 	2.6 	1.2 	-0.6 	-2.6 	-0.5 	1.7 	2.0 	1.3 	-0.5 	0.6 	0.6 	0.9 	1.1 	0.0 	1.8 	1.0 	3.2 
PC_GDP,NCO,F4,LIAB,S11,DK	-6.6 	3.3 	1.8 	-1.2 	4.5 	10.7 	2.6 	1.9 	2.2 	2.9 	3.3 	18.3 	7.6 	9.5 	-8.4 	-1.5 	1.3 	4.1 	-2.7 	-5.5 	2.7 	0.9 	-1.3 
PC_GDP,NCO,F4,LIAB,S11,EE	10.2 	13.3 	11.7 	16.0 	7.1 	11.0 	16.4 	13.4 	16.2 	16.1 	14.3 	22.5 	7.2 	11.0 	-2.3 	-6.1 	0.1 	9.0 	4.4 	5.1 	0.5 	1.6 	0.9 
PC_GDP,NCO,F4,LIAB,S11,EL	3.0 	3.1 	3.1 	4.7 	4.3 	4.7 	6.3 	3.0 	4.7 	3.2 	4.7 	6.3 	5.8 	6.3 	1.4 	4.4 	-3.7 	-2.7 	-3.0 	-0.9 	-0.9 	-0.4 	0.1 
PC_GDP,NCO,F4,LIAB,S11,ES	1.2 	2.1 	3.8 	6.7 	13.1 	18.0 	12.9 	9.2 	8.5 	10.4 	15.2 	23.2 	17.4 	8.0 	-2.2 	3.3 	0.6 	-7.7 	-5.7 	-3.3 	-0.8 	-0.1 	0.0 
