unit,sex,age,incgrp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,TOTAL,A_MD60,AT	12.1 	13.0 	12.5 b	12.3 	12.4 	13.1 	12.9 	13.1 	12.7 	12.8 	12.7 	11.9 
PC,T,TOTAL,A_MD60,BE	15.1 	14.9 	16.3 b	14.0 	14.4 	14.6 	15.6 	14.4 	14.2 	13.8 	12.8 	12.9 
PC,T,TOTAL,A_MD60,BG	20.0 	20.2 	16.7 	13.1 	13.2 	15.2 	17.6 	18.4 	16.8 	17.6 	19.8 b	18.6 
PC,T,TOTAL,A_MD60,CH	: 	: u	: u	20.6 	21.3 	20.7 	19.8 	19.2 	19.6 b	19.2 	19.6 	: 
PC,T,TOTAL,A_MD60,CY	8.6 	7.5 	7.4 b	6.6 	6.5 	6.9 	7.7 	8.4 	8.5 	8.7 	7.7 	7.3 
PC,T,TOTAL,A_MD60,CZ	19.2 	19.0 	18.8 	17.8 	18.1 	17.4 	18.0 	19.8 	19.2 	18.4 	17.7 	16.9 
PC,T,TOTAL,A_MD60,DE	: 	: 	: 	: 	20.9 	21.2 	20.8 	20.9 	19.9 	20.0 	19.7 	19.1 
PC,T,TOTAL,A_MD60,DK	23.5 	23.0 	25.4 	28.2 	27.0 	25.1 b	23.5 	23.2 	21.3 	21.1 	19.3 	20.6 
PC,T,TOTAL,A_MD60,EA18	13.3 e	12.8 e	12.2 e	12.3 e	14.3 	14.6 	14.8 	15.0 	14.8 	14.8 	13.9 	13.4 e
PC,T,TOTAL,A_MD60,EA19	13.3 e	12.8 e	12.1 e	12.3 e	14.3 	14.6 	14.8 	15.0 	14.7 	14.7 	13.9 	13.4 e
PC,T,TOTAL,A_MD60,EE	12.0 	10.2 	10.2 	10.7 	12.4 	12.9 	13.1 	12.7 	11.3 b	10.5 	9.4 	9.0 
PC,T,TOTAL,A_MD60,EL	21.8 	19.9 	21.0 	20.7 	21.4 	23.8 	26.8 	28.3 	31.7 	32.1 	28.6 	28.6 
PC,T,TOTAL,A_MD60,ES	8.8 	9.1 	8.2 b	9.0 	9.4 	9.9 	10.6 	11.1 	10.4 	10.5 	10.0 	9.6 
