exch_rt,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NEER_EA19,I10,AT	102.6 	100.7 	99.6 	100.0 	100.3 	100.3 	100.4 	100.4 	100.5 	100.5 	100.4 	100.4 	100.2 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,BE	103.3 	101.1 	99.8 	100.0 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,BG	2194.8 	849.1 	102.0 	99.7 	99.9 	100.4 	100.7 	100.6 	100.7 	100.4 	100.3 	100.3 	100.2 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,CY	96.9 	96.7 	99.9 	101.3 	100.9 	102.1 	101.8 	101.9 	100.4 	100.8 	101.7 	101.8 	100.6 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,CZ	71.8 	72.6 	70.8 	70.9 	69.6 	72.0 	75.3 	83.2 	80.5 	80.2 	85.8 	90.0 	91.4 	101.5 	95.5 	100.0 	102.8 	100.5 	97.4 	91.8 	92.7 	93.5 	96.0 
NEER_EA19,I10,DE	104.6 	101.3 	99.7 	100.2 	100.4 	100.4 	100.5 	100.5 	100.5 	100.5 	100.5 	100.4 	100.2 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,DK	100.1 	99.7 	99.8 	100.2 	100.5 	100.1 	100.2 	100.5 	100.5 	100.4 	100.2 	100.1 	100.1 	99.9 	100.0 	100.0 	100.0 	100.0 	99.9 	99.9 	99.8 	100.0 	100.1 
NEER_EA19,I10,EE	104.2 	102.8 	100.3 	100.8 	100.4 	99.1 	99.1 	99.2 	99.7 	99.9 	100.1 	100.1 	100.1 	100.0 	100.0 	100.0 	100.0 	99.9 	99.9 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,EL	112.1 	110.3 	110.4 	103.8 	104.8 	101.3 	100.2 	100.2 	100.3 	100.2 	100.2 	100.2 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,ES	101.2 	102.1 	100.5 	100.2 	100.1 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,FI	102.8 	100.6 	101.4 	100.3 	100.3 	100.2 	100.2 	100.2 	100.3 	100.3 	100.3 	100.2 	100.1 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,FR	99.2 	99.2 	99.1 	100.0 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,HR	104.1 	102.6 	103.0 	101.7 	95.4 	95.1 	97.3 	98.3 	96.5 	97.6 	98.8 	99.8 	99.5 	101.0 	99.3 	100.0 	98.0 	96.9 	96.2 	95.5 	95.7 	96.7 	97.7 
NEER_EA19,I10,HU	165.5 	140.5 	131.0 	116.1 	109.7 	106.6 	108.2 	114.2 	109.5 	110.2 	111.8 	104.9 	110.0 	109.5 	98.1 	100.0 	98.6 	95.3 	92.9 	89.3 	88.9 	88.5 	89.2 
NEER_EA19,I10,IE	95.0 	97.7 	105.8 	101.0 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,IT	88.1 	96.7 	100.4 	100.3 	100.1 	100.2 	100.2 	100.2 	100.3 	100.3 	100.3 	100.2 	100.1 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,LT	64.9 	67.1 	76.1 	77.5 	80.7 	92.3 	95.0 	98.6 	99.6 	99.8 	100.2 	100.1 	100.1 	100.0 	100.0 	100.0 	100.0 	99.9 	99.9 	99.9 	99.9 	99.9 	99.9 
NEER_EA19,I10,LU	103.1 	101.1 	99.9 	100.1 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.2 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
NEER_EA19,I10,LV	103.5 	102.3 	109.7 	109.9 	115.2 	127.9 	127.4 	122.6 	111.1 	107.0 	102.1 	102.1 	101.4 	100.9 	100.4 	100.0 	100.4 	101.6 	101.0 	100.8 	100.8 	100.8 	100.8 
NEER_EA19,I10,MT	93.8 	92.7 	98.4 	99.4 	101.0 	106.5 	106.7 	105.2 	100.9 	100.5 	100.0 	100.1 	100.1 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
