unit,bmi,geo\time	2008 	2014 
PC,BMI25-29,AT	36.5 	33.3 
PC,BMI25-29,BE	33.5 	35.3 
PC,BMI25-29,BG	39.3 	39.2 
PC,BMI25-29,CY	35.7 	33.8 
PC,BMI25-29,CZ	38.3 	37.6 
PC,BMI25-29,DE	36.3 	35.2 
PC,BMI25-29,DK	: 	32.9 
PC,BMI25-29,EE	32.5 	33.5 
PC,BMI25-29,EL	38.7 	39.4 
PC,BMI25-29,ES	37.3 	35.7 
PC,BMI25-29,EU28	: 	35.7 
PC,BMI25-29,FI	: 	36.4 
PC,BMI25-29,FR	31.4 	31.9 
PC,BMI25-29,HR	: 	38.7 
PC,BMI25-29,HU	34.9 	34.0 
PC,BMI25-29,IE	: 	37.0 
PC,BMI25-29,IS	: 	38.6 
PC,BMI25-29,IT	: 	34.1 
PC,BMI25-29,LT	: 	38.3 
PC,BMI25-29,LU	: 	32.4 
PC,BMI25-29,LV	38.0 	35.2 
PC,BMI25-29,MT	36.8 u	35.0 
PC,BMI25-29,NL	: 	36.0 
PC,BMI25-29,NO	: 	36.2 
PC,BMI25-29,PL	37.6 	37.5 
PC,BMI25-29,PT	: 	36.9 
PC,BMI25-29,RO	42.4 	46.4 
PC,BMI25-29,SE	: 	35.9 
PC,BMI25-29,SI	39.8 	37.4 
PC,BMI25-29,SK	35.6 	38.0 
PC,BMI25-29,TR	34.4 	35.3 
PC,BMI25-29,UK	: 	35.6 
PC,BMI_GE25,AT	49.3 	48.0 
PC,BMI_GE25,BE	47.5 	49.3 
PC,BMI_GE25,BG	50.8 	54.0 
PC,BMI_GE25,CY	51.3 	48.3 
PC,BMI_GE25,CZ	56.6 	56.8 
PC,BMI_GE25,DE	52.1 	52.1 
PC,BMI_GE25,DK	: 	47.7 
PC,BMI_GE25,EE	51.0 	53.9 
PC,BMI_GE25,EL	56.3 	56.7 
PC,BMI_GE25,ES	53.0 	52.4 
PC,BMI_GE25,EU28	: 	51.6 
PC,BMI_GE25,FI	: 	54.7 
PC,BMI_GE25,FR	43.6 	47.2 
PC,BMI_GE25,HR	: 	57.4 
PC,BMI_GE25,HU	54.9 	55.2 
PC,BMI_GE25,IE	: 	55.7 
PC,BMI_GE25,IS	: 	57.6 
PC,BMI_GE25,IT	: 	44.9 
PC,BMI_GE25,LT	: 	55.6 
PC,BMI_GE25,LU	: 	48.0 
PC,BMI_GE25,LV	54.9 	56.5 
PC,BMI_GE25,MT	59.7 u	61.0 
PC,BMI_GE25,NL	: 	49.4 
PC,BMI_GE25,NO	: 	49.3 
PC,BMI_GE25,PL	54.0 	54.7 
PC,BMI_GE25,PT	: 	53.6 
PC,BMI_GE25,RO	50.3 	55.8 
PC,BMI_GE25,SE	: 	49.9 
PC,BMI_GE25,SI	56.6 	56.6 
PC,BMI_GE25,SK	50.7 	54.2 
PC,BMI_GE25,TR	50.6 	56.5 
PC,BMI_GE25,UK	: 	55.7 
PC,BMI_GE30,AT	12.8 	14.7 
PC,BMI_GE30,BE	14.0 	14.0 
PC,BMI_GE30,BG	11.5 	14.8 
PC,BMI_GE30,CY	15.6 	14.5 
PC,BMI_GE30,CZ	18.3 	19.3 
PC,BMI_GE30,DE	15.8 	16.9 
PC,BMI_GE30,DK	: 	14.9 
PC,BMI_GE30,EE	18.5 	20.4 
PC,BMI_GE30,EL	17.6 	17.3 
PC,BMI_GE30,ES	15.7 	16.7 
PC,BMI_GE30,EU28	: 	15.9 
PC,BMI_GE30,FI	: 	18.3 
PC,BMI_GE30,FR	12.2 	15.3 
PC,BMI_GE30,HR	: 	18.7 
PC,BMI_GE30,HU	20.0 	21.2 
PC,BMI_GE30,IE	: 	18.7 
PC,BMI_GE30,IS	: 	19.0 
PC,BMI_GE30,IT	: 	10.8 
PC,BMI_GE30,LT	: 	17.3 
PC,BMI_GE30,LU	: 	15.6 
PC,BMI_GE30,LV	16.9 	21.3 
PC,BMI_GE30,MT	22.9 u	26.0 
PC,BMI_GE30,NL	: 	13.3 
PC,BMI_GE30,NO	: 	13.1 
PC,BMI_GE30,PL	16.4 	17.2 
PC,BMI_GE30,PT	: 	16.6 
PC,BMI_GE30,RO	7.9 	9.4 
PC,BMI_GE30,SE	: 	14.0 
PC,BMI_GE30,SI	16.8 	19.2 
PC,BMI_GE30,SK	15.1 	16.3 
PC,BMI_GE30,TR	16.2 	21.2 
PC,BMI_GE30,UK	: 	20.1 
