coicop,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
TOT_X_NRG_FOOD_S,I15,AT	104.69 	104.75 	105.47 	104.26 	104.58 	105.69 	105.80 	105.67 	105.64 	104.99 	105.00 r	106.26 
TOT_X_NRG_FOOD_S,I15,BE	104.03 	103.95 	104.45 	102.91 	104.92 	104.93 	105.24 	105.40 	105.54 	104.57 	106.18 	105.57 
TOT_X_NRG_FOOD_S,I15,BG	100.10 	100.23 	100.88 	100.96 	101.05 	101.04 	101.27 	101.30 	101.85 	103.00 	103.38 	102.56 
TOT_X_NRG_FOOD_S,I15,CH	100.30 e	99.99 	100.29 e	99.55 e	99.90 	100.30 e	100.40 e	100.54 	100.41 e	100.81 e	100.84 	100.71 e
TOT_X_NRG_FOOD_S,I15,CY	99.93 	98.60 	98.50 	96.36 	97.30 	98.23 	99.06 	100.09 	100.97 	100.69 	101.57 	100.41 
TOT_X_NRG_FOOD_S,I15,CZ	104.6 	104.7 	104.5 	105.0 	105.0 	105.1 	105.5 	105.7 	105.9 	106.5 	106.5 	105.8 
TOT_X_NRG_FOOD_S,I15,DE	102.9 	103.1 	103.9 	102.7 	103.3 	103.9 	103.5 	103.8 	104.0 	104.5 	104.5 	104.5 
TOT_X_NRG_FOOD_S,I15,DK	101.9 	101.5 	101.1 	100.6 	101.5 	101.4 	101.9 	101.9 	101.8 	102.9 	102.3 	102.0 
TOT_X_NRG_FOOD_S,I15,EA	102.41 	102.33 	102.73 	101.40 	101.69 	102.98 	103.23 	103.47 	103.54 	103.13 	103.27 r	103.59 
TOT_X_NRG_FOOD_S,I15,EA18	102.39 	102.31 	102.71 	101.38 	101.67 	102.96 	103.22 	103.45 	103.52 	103.11 	103.25 r	103.57 
TOT_X_NRG_FOOD_S,I15,EA19	102.41 	102.33 	102.73 	101.40 	101.69 	102.98 	103.23 	103.47 	103.54 	103.13 	103.27 r	103.59 
TOT_X_NRG_FOOD_S,I15,EE	105.83 	105.78 	105.25 	104.90 	105.96 	106.06 	106.78 	107.39 	108.07 	108.05 	109.09 	108.75 
TOT_X_NRG_FOOD_S,I15,EL	102.12 	100.96 	101.35 	99.81 	99.84 	101.30 	102.20 	102.17 	103.05 	101.42 	101.16 	102.58 
TOT_X_NRG_FOOD_S,I15,ES	102.31 	102.54 	102.53 	100.61 	100.86 	102.68 	103.41 	103.83 	103.87 	102.44 	102.44 	102.96 
TOT_X_NRG_FOOD_S,I15,EU	102.62 	102.63 	102.98 	101.93 	102.22 	103.17 	103.47 	103.69 	103.74 	103.49 	103.69 r	103.92 
TOT_X_NRG_FOOD_S,I15,EU28	102.62 	102.63 	102.98 	101.93 	102.22 	103.17 	103.47 	103.69 	103.74 	103.49 	103.69 r	103.92 
TOT_X_NRG_FOOD_S,I15,FI	101.34 	101.39 	101.43 	101.01 	101.47 	101.76 	102.09 	101.90 	102.03 	101.90 	101.90 	102.08 
TOT_X_NRG_FOOD_S,I15,FR	101.34 	101.32 	101.68 	101.02 	101.05 	102.41 	102.55 	102.75 	102.72 	102.52 	103.15 	102.65 
TOT_X_NRG_FOOD_S,I15,HR	102.33 	102.10 	101.58 	101.14 	100.97 	101.61 	102.42 	102.38 	103.17 	103.59 	103.64 	103.26 
TOT_X_NRG_FOOD_S,I15,HU	103.89 	103.97 	104.13 	104.16 	104.29 	104.40 	104.93 	105.13 	105.40 	105.80 	105.85 	106.04 
TOT_X_NRG_FOOD_S,I15,IE	100.4 	100.1 	100.0 	99.2 	100.2 	100.7 	100.5 	100.9 	100.8 	101.3 	101.4 	101.0 
TOT_X_NRG_FOOD_S,I15,IS	99.40 	97.40 	98.82 	97.59 	97.85 	98.66 	98.50 	98.78 	101.09 	102.81 	102.22 	99.36 
TOT_X_NRG_FOOD_S,I15,IT	102.1 	101.8 	102.1 	99.9 	99.5 	102.2 	103.0 	103.1 	103.3 	101.5 	101.3 	103.1 
TOT_X_NRG_FOOD_S,I15,LT	107.05 	107.03 	106.86 	106.40 	106.34 	106.98 	107.65 	108.01 	108.28 	107.88 	107.76 	108.34 
TOT_X_NRG_FOOD_S,I15,LU	103.51 	103.20 	103.24 	101.82 	103.55 	103.70 	103.81 	103.97 	104.08 	103.01 	104.67 	104.76 
TOT_X_NRG_FOOD_S,I15,LV	104.66 	104.40 	104.20 	103.84 	103.96 	105.54 	105.86 	106.18 	106.80 	105.93 	106.26 	106.76 
TOT_X_NRG_FOOD_S,I15,MK	104.21 d	104.50 d	104.64 d	104.27 d	104.39 d	104.44 d	104.50 d	105.12 d	105.29 d	105.76 d	106.28 d	105.62 d
TOT_X_NRG_FOOD_S,I15,MT	103.62 	100.91 	100.85 	99.34 	100.11 	101.13 	104.10 	105.77 	107.42 	107.61 	108.24 	107.06 
