watpol,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 
NO3_MG_L_GW,AT	25.2 	25.3 	25.6 	25.5 	26.1 	25.6 	26.0 	24.6 	23.7 	24.5 	25.1 	24.7 	23.6 
NO3_MG_L_GW,BE	27.4 	26.5 	26.9 	28.1 	27.5 	29.7 	31.8 	31.9 	33.2 	31.2 	30.7 	30.1 	29.9 
NO3_MG_L_GW,BG	29.5 	28.2 	25.9 	26.4 	24.0 	25.7 	26.0 	26.1 	25.5 	29.1 	25.9 	25.5 	28.6 
NO3_MG_L_GW,CH	16.4 	16.4 	16.4 	16.1 	16.7 	16.2 	17.0 	16.1 	15.4 	15.4 	15.6 	15.2 	15.1 
NO3_MG_L_GW,CY	20.3 	21.3 	17.2 	25.4 	23.3 	41.5 	37.9 	45.8 	39.5 	45.4 	48.9 	44.8 	48.5 
NO3_MG_L_GW,CZ	22.7 	20.3 	19.3 	19.7 	19.3 	19.6 	20.1 	20.2 	18.9 	18.4 	19.6 	19.3 	19.2 
NO3_MG_L_GW,DE	23.3 	23.9 	23.8 	23.5 	24.4 	24.5 	23.8 	23.3 	24.7 	24.4 	25.0 	23.4 	23.3 
NO3_MG_L_GW,DK	16.1 	17.4 	16.2 	17.1 	17.2 	18.2 	18.8 	18.9 	18.1 	18.3 	18.3 	17.4 	16.7 
NO3_MG_L_GW,EE	4.7 	3.3 	3.4 	3.9 	3.3 	4.2 	4.0 	5.2 	7.3 	6.0 	4.8 	5.7 	7.0 
NO3_MG_L_GW,ES	32.3 	32.3 	32.3 	32.3 	32.8 	35.7 	37.9 	38.6 	34.6 	33.0 	31.3 	32.9 	34.5 
NO3_MG_L_GW,EU_V	19.1 	19.2 	19.0 	19.2 	19.3 	19.9 	20.4 	20.4 	19.7 	19.2 	19.3 	19.0 	19.1 
NO3_MG_L_GW,FI	1.3 	1.2 	1.2 	1.4 	1.4 	1.2 	0.9 	1.0 	1.2 	1.1 	0.9 	1.0 	0.9 
NO3_MG_L_GW,FR	17.3 	17.3 	18.1 	18.1 	18.3 	17.6 	17.8 	18.0 	17.6 	17.6 	18.0 	17.8 	17.6 
NO3_MG_L_GW,IE	16.6 	16.9 	17.0 	16.5 	17.2 	17.1 	17.1 	17.1 	14.5 	11.1 	13.8 	13.5 	12.0 
NO3_MG_L_GW,IT	17.5 	17.5 	15.4 	13.5 	14.6 	18.5 	19.9 	25.4 	21.9 	28.9 	17.4 	23.7 	20.4 
NO3_MG_L_GW,LI	5.4 	5.0 	5.0 	5.0 	5.2 	5.1 	5.2 	4.9 	4.6 	4.5 	4.6 	4.6 	4.6 
NO3_MG_L_GW,LT	1.2 	1.0 	0.9 	2.6 	1.1 	0.7 	1.2 	3.0 	2.0 	2.3 	2.4 	2.4 	1.0 
NO3_MG_L_GW,LU	28.0 	28.0 	28.0 	28.0 	26.3 	27.0 	28.5 	30.3 	35.1 	33.7 	34.0 	34.3 	34.3 
NO3_MG_L_GW,MT	51.1 	51.1 	51.1 	49.2 	54.0 	54.6 	54.9 	51.6 	48.3 	48.3 	58.1 	58.1 	58.1 
NO3_MG_L_GW,NL	23.8 	19.0 	21.1 	28.5 	26.0 	22.2 	18.4 	21.2 	20.8 	22.7 	22.7 	22.7 	22.7 
NO3_MG_L_GW,NO	0.7 	0.1 	0.1 	2.7 	5.4 	5.8 	4.7 	4.7 	4.2 	4.8 	5.4 	6.0 	5.3 
NO3_MG_L_GW,PT	20.8 	28.6 	26.7 	25.5 	25.7 	26.5 	26.5 	22.7 	21.4 	17.3 	23.9 	21.0 	24.2 
NO3_MG_L_GW,RS	4.8 	4.8 	4.8 	4.8 	2.8 	5.2 	7.1 	4.4 	4.1 	3.8 	2.4 	2.5 	1.9 
NO3_MG_L_GW,SI	21.9 	24.6 	23.2 	21.5 	23.8 	21.8 	25.3 	19.4 	20.6 	20.4 	19.2 	18.7 	18.5 
NO3_MG_L_GW,SK	19.9 	18.8 	15.9 	14.3 	17.7 	18.3 	18.3 	17.7 	21.5 	20.4 	20.9 	16.6 	16.4 
NO3_MG_L_GW,UK	5.1 	4.9 	5.1 	5.0 	5.0 	5.0 	5.9 	6.0 	5.4 	4.9 	5.1 	4.9 	4.9 
