unit,nace_r2,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
RT_INC,TOTAL,AT	4.18 	4.8 	4.44 	3.01 	3.44 	3.43 	3.06 	3.23 	2.91 
RT_INC,TOTAL,BE	3.64 	2.12 	2.25 	2.77 	1.78 	2.46 	1.28 b	1.41 	1.8 
RT_INC,TOTAL,BG	5.34 	3.26 	3.6 	3.63 	3.82 	3.35 	4.45 	3.57 	2.89 
RT_INC,TOTAL,CH	2.53 	1.63 	2.13 	1.2 	1.61 	1.73 	1.63 	1.3 	1.97 
RT_INC,TOTAL,CY	4.11 	2.36 	4.93 	1.5 	2.74 	2.47 	1.74 	1.29 	1.4 
RT_INC,TOTAL,CZ	3.48 	2.09 	2.48 	3.2 	2.4 	2.63 	2.37 	3.24 	2.07 
RT_INC,TOTAL,DE	1.59 	1.05 	1.2 	1.18 	1.18 	0.99 	1.09 	0.97 	0.88 
RT_INC,TOTAL,DK	1.64 	1.38 	1.53 	1.64 	1.75 	1.45 	1.4 	1.02 	1.23 
RT_INC,TOTAL,EE	3.47 	3.47 	3.24 	3.12 	2.24 	3.22 	2.56 	2.93 	4.45 
RT_INC,TOTAL,EL	2.15 	0.69 	0.73 	0.9 	0.69 	0.63 	0.79 b	1.19 	1.29 
RT_INC,TOTAL,ES	3.33 	2.58 	2.19 	2.5 	2.16 	1.88 	1.93 	2.3 	1.92 
RT_INC,TOTAL,EU27	2.41 	2.03 	2.1 	2.04 	1.94 	1.8 p	1.82 	1.82 	1.71 
RT_INC,TOTAL,EU28	2.39 	2.01 	2.11 	2.05 	1.95 	1.8 p	1.82 	1.83 	1.71 
RT_INC,TOTAL,FI	1.35 	1.3 	1.51 	1.33 	1.45 	0.9 	1.44 	1.44 	1.43 
RT_INC,TOTAL,FR	1.56 	2.17 	2.57 	3.09 	3.07 	2.96 	2.7 b	2.57 	2.74 
RT_INC,TOTAL,HR	: 	: 	2.45 	2.69 	3.87 	2.09 	1.94 	2.16 	2.37 
RT_INC,TOTAL,HU	3.55 	2.64 	2.61 	2.41 	1.68 	1.4 	2.22 	2.29 	2.14 
RT_INC,TOTAL,IE	2.42 	1.98 	2.27 	2.65 	2.34 	2.13 	2.46 	2.51 	2.14 
RT_INC,TOTAL,IS	: 	: 	: 	0 	0 	0 	: 	: 	: 
RT_INC,TOTAL,IT	3.44 	3.01 	3.09 	2.71 	2.64 	2.31 	2.34 	2.42 	2.78 
RT_INC,TOTAL,LT	6.04 	4.27 	4.02 	4.06 	4.98 	4.49 	4.74 	3.84 	3.69 
RT_INC,TOTAL,LU	2.67 	1.49 	3.82 	2.73 	3.38 	1.6 	2.55 	3.3 	6.32 
RT_INC,TOTAL,LV	4.4 	3.3 	2.74 	4.21 	4.12 	3.59 	4.5 	3.32 	4.22 
RT_INC,TOTAL,MT	1.87 	4.97 	1.83 	0.59 	4.59 	2.27 	2.2 	2.69 	3.65 
RT_INC,TOTAL,NL	1.49 	1.07 	0.88 	0.52 	0.49 	0.5 	0.64 b	0.5 	0.5 
RT_INC,TOTAL,NO	2.15 	1.68 	1.7 	2.12 	1.43 	1.85 	1.71 b	1.48 	1.66 
RT_INC,TOTAL,PL	3.29 	4.64 	3.65 	2.5 	2.3 	1.83 	1.75 	1.89 	1.54 
RT_INC,TOTAL,PT	5.25 	4.21 	4.1 	5.07 	4.8 	3.61 	3.56 	3.54 	3 
RT_INC,TOTAL,RO	7.96 	4.45 	4.91 	6.37 	5.78 	5.6 	5.5 	5.56 	4.52 
RT_INC,TOTAL,SE	1.48 	0.96 	1.23 	1.25 	0.98 	0.77 	0.87 	0.73 	0.77 
RT_INC,TOTAL,SI	3.07 	2.65 	2.77 	2.35 	2.61 	2.38 	3.09 	2.79 	1.65 
RT_INC,TOTAL,SK	3.85 	1.87 	2.04 	1.56 	2.17 	2.36 	1.69 	2.67 	2.13 
RT_INC,TOTAL,UK	0.55 	0.49 	0.62 	0.68 	0.55 	0.92 	0.81 	0.83 	0.8 
