sex,prof_pos,sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
T,TOTAL,HES,PC_ACT_FTE,NO	: 	0.3238 	0.3333 	0.3423 	0.3656 	0.4014 	0.413 	0.4503 b	0.4495 	0.4631 	0.4745 	0.4828 	0.4796 	0.487 	0.4945 	0.5241 	0.5588 
T,TOTAL,HES,PC_ACT_FTE,PL	0.2452 	0.2489 	0.259 	0.2671 	0.2724 	0.2653 	0.249 	0.2564 	0.2593 	0.2432 	0.2554 	0.2602 	0.2512 	0.2423 	0.2583 	0.2627 	: 
T,TOTAL,HES,PC_ACT_FTE,PT	0.1955 e	0.2025 	0.2096 e	0.2184 	0.2238 e	0.2274 	0.2486 e	0.27 	0.4692 b	0.4837 	0.4857 	0.4767 	0.4819 	0.5539 b	0.54 	0.5456 	0.5777 p
T,TOTAL,HES,PC_ACT_FTE,RO	0.0363 	0.0417 	0.0563 	0.0703 	0.0733 	0.0727 	0.0742 	0.0731 	0.0892 	0.093 	0.1011 	0.1009 b	0.0984 	0.1078 	0.1009 	0.1017 	0.0992 
T,TOTAL,HES,PC_ACT_FTE,RU	0.1368 	0.1442 	0.1358 	0.1374 	0.1362 	0.1327 	0.1357 	0.1403 	0.1411 	0.1406 	0.1502 	0.1599 	0.1577 	: 	: 	: 	: 
T,TOTAL,HES,PC_ACT_FTE,SE	: 	0.444 	: 	0.4776 	0.4848 	0.3833 b	0.3656 	0.3689 	0.3669 e	0.3929 	0.4034 e	0.4095 	0.4437 e	0.4232 	0.4478 e	0.425 	0.4298 p
T,TOTAL,HES,PC_ACT_FTE,SI	0.1854 	0.1871 	0.1738 	0.1515 	0.1511 	0.2118 	0.2122 	0.1936 	0.2063 	0.2317 	0.2681 	0.3009 b	0.2938 	0.2833 	0.2691 	0.2576 	0.2364 p
T,TOTAL,HES,PC_ACT_FTE,SK	0.2271 	0.2166 	0.205 	0.2241 	0.2758 	0.2711 	0.3071 	0.321 	0.3213 	0.3493 	0.3908 	0.4015 	0.3757 	0.3688 	0.3435 	0.3242 	0.315 
T,TOTAL,HES,PC_ACT_FTE,TR	: 	: 	: 	: 	: 	: 	0.1224 e	0.1329 e	0.1306 e	0.1307 e	0.1333 e	0.1383 e	0.1547 e	0.156 e	0.1469 e	0.1498 	: 
T,TOTAL,HES,PC_ACT_FTE,UK	: 	: 	: 	: 	: 	0.5159 be	0.5262 e	0.5341 e	0.535 e	0.5509 e	0.5547 e	0.5662 e	0.5568 e	0.5673 e	0.5804 e	0.5883 	0.5931 p
T,TOTAL,PNP,PC_ACT_FTE,AT	: 	: 	0.0059 	: 	0.0055 	0.0044 e	0.004 	0.004 	0.0043 e	0.0096 	0.0099 e	0.0098 	0.0095 e	0.0093 	0.0111 e	0.0117 	0.0118 p
T,TOTAL,PNP,PC_ACT_FTE,BE	0.0119 	0.0127 	0.0131 	0.0134 	0.0127 	0.0119 	0.012 	0.012 	0.0121 	0.0121 	0.0125 	0.0125 	0.0064 b	0.0064 	0.0059 	0.0079 	0.0089 p
T,TOTAL,PNP,PC_ACT_FTE,BG	0.0014 	0.0023 	0.0006 	0.0022 	0.0021 	0.0077 	0.0041 	0.0036 	0.0025 	0.0018 	0.0026 	0.0028 	0.0037 	0.0056 	0.0039 	0.005 	0.0017 
T,TOTAL,PNP,PC_ACT_FTE,CY	0.0162 	0.0154 	0.0168 	0.0192 	0.0209 	0.0241 	0.0263 	0.0295 	0.0291 	0.035 	0.0341 	0.0353 	0.0373 	0.0349 	0.0472 	0.0422 	0.0429 p
T,TOTAL,PNP,PC_ACT_FTE,CZ	0.0038 	0.0049 	0.0035 	0.0056 	0.0034 	0.0045 b	0.003 	0.0033 	0.004 	0.0048 	0.006 	0.0064 	0.0062 	0.0052 	0.0054 	0.0048 	0.0042 p
T,TOTAL,PNP,PC_ACT_FTE,DE	: 	: 	: 	: 	: 	: 	: 	: 	: d	: d	: d	: d	: d	: d	: d	: 	: 
T,TOTAL,PNP,PC_ACT_FTE,DK	0.0104 	0.01 	0.0082 	0.0085 	0.0091 	0.0119 	0.01 	0.0096 b	0.0096 	0.0095 	0.0102 	0.0095 	0.0106 	0.0103 	0.0102 	0.0104 p	0.01 e
T,TOTAL,PNP,PC_ACT_FTE,EA19	0.0093 e	0.0093 e	0.0106 e	0.0099 e	0.0101 e	0.0109 e	0.0131 e	0.013 e	0.0129 e	0.0135 e	0.0128 e	0.0128 e	0.0128 e	0.0102 e	0.011 e	0.0112 e	: 
T,TOTAL,PNP,PC_ACT_FTE,EE	0.006 	0.0076 	0.0107 	0.0151 	0.0139 	0.0142 	0.0159 	0.0188 	0.0157 	0.015 	0.0129 	0.0138 	0.0141 	0.0134 	0.0148 	0.015 	0.0163 
T,TOTAL,PNP,PC_ACT_FTE,EL	: 	0.0021 	: 	0.0041 	: 	0.004 	0.0042 e	0.0044 e	: 	: 	: 	0.0068 	0.007 	0.0111 	0.0109 	0.0109 	0.0113 
T,TOTAL,PNP,PC_ACT_FTE,ES	0.0095 	0.0067 	0.0025 b	0.002 	0.0015 	0.0017 	0.0026 	0.0022 	0.0021 	0.0023 	0.0021 	0.0018 	0.0019 	0.0017 	0.0017 	0.0019 	0.0026 
T,TOTAL,PNP,PC_ACT_FTE,EU28	: 	: 	0.0098 e	0.0095 e	0.0099 e	0.0107 e	0.0121 e	0.0119 e	0.0123 e	0.0128 e	0.0118 e	0.0115 e	0.0116 e	0.0095 e	0.0099 e	0.0106 e	0.0108 p
T,TOTAL,PNP,PC_ACT_FTE,FI	0.0174 	0.0174 	0.0176 	0.0192 	0.0198 	0.0188 	0.0188 	0.018 	0.0186 	0.021 	0.022 	0.0235 	0.0207 	0.0208 	0.0223 	0.0215 	0.0229 
T,TOTAL,PNP,PC_ACT_FTE,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0262 	0.0251 p	: 
T,TOTAL,PNP,PC_ACT_FTE,HR	: 	: 	: 	: 	: 	0.001 	0.0016 	0.0007 	0.0008 	0.0009 	0.001 	0.001 	: d	: d	: d	: d	: 
T,TOTAL,PNP,PC_ACT_FTE,IS	: 	: 	: 	0.0552 	: 	0.0671 	0.0648 	0.0527 	0.0541 	0.0638 	: 	0.0596 b	: 	: 	: 	: 	0 
T,TOTAL,PNP,PC_ACT_FTE,IT	: 	: 	0.0109 	0.0126 	0.0142 	0.0203 	0.0336 	0.0337 	0.0325 	0.0332 	0.0267 	0.0237 	0.024 	0.0243 	0.0258 	0.0277 	0.0285 p
T,TOTAL,PNP,PC_ACT_FTE,KR	0.0071 d	0.0065 d	0.0091 d	0.0095 d	0.01 d	0.0124 d	0.0116 d	0.0133 b	0.0159 	0.017 	0.0184 	0.0214 	: 	: 	: 	: 	: 
T,TOTAL,PNP,PC_ACT_FTE,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 
T,TOTAL,PNP,PC_ACT_FTE,LV	0.0001 	0.0001 	0.0001 	0 	0.0001 	0.0001 	0.0001 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,TOTAL,PNP,PC_ACT_FTE,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0023 	0.0018 	0.0071 
T,TOTAL,PNP,PC_ACT_FTE,MT	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
T,TOTAL,PNP,PC_ACT_FTE,NL	0.0136 	0.0121 	0.0108 	: d	: d	: d	: d	: d	: d	: d	: d	: d	: d	: d	: d	0 d	: 
T,TOTAL,PNP,PC_ACT_FTE,PL	0.0001 	0.0004 	0.0007 	0.0006 	0.0008 	0.0009 	0.0011 	0.0013 	0.0003 	0.0001 	0.0008 	0.0008 	0.0014 	0.001 	0.0011 	0.0009 	: 
T,TOTAL,PNP,PC_ACT_FTE,PT	0.0546 e	0.0588 	0.0619 e	0.0655 	0.0659 e	0.0658 	0.0714 e	0.077 	0.0841 	0.084 	0.0999 	0.1131 	0.1016 	0.0151 b	0.0125 	0.0131 	0.0142 p
T,TOTAL,PNP,PC_ACT_FTE,RO	: 	: 	: 	0.0022 	0.0024 	0.0022 	0.001 	0.0016 	0.0013 	0.0011 	0.0016 	0.0022 b	0.0018 	0.0015 	0.0014 	0.0013 	0.0018 
T,TOTAL,PNP,PC_ACT_FTE,RU	0.0034 	0.0042 	0.0028 	0.0037 	0.0022 	0.0021 	0.0031 	0.0045 	0.0036 	0.0031 	0.0027 	0.0026 	0.0031 	: 	: 	: 	: 
T,TOTAL,PNP,PC_ACT_FTE,SE	: 	0.0023 	: 	0.0082 	0.0082 	0.007 	0.0068 	0.0021 b	0.0048 e	0.0021 be	0.0008 e	0.0053 b	0.006 e	0.0065 	0.007 e	0.0038 	0.0045 p
T,TOTAL,PNP,PC_ACT_FTE,SI	0.0156 	0.0196 	0.0203 	0.0039 	0.0046 	0.0031 	0.0028 	0.0024 	0.0023 	0.0019 	0.0016 	0.0016 b	0.0018 	0.0017 	0.0013 	0.0011 	0.0012 p
T,TOTAL,PNP,PC_ACT_FTE,SK	0 	0 	0.0001 	0.0002 	0.0029 	0.0006 	0.0006 	0.0006 	0.0007 	0.0003 	0.0023 	0.0017 	0.0016 	0.0013 	0.0006 	0.0013 	0.0032 
T,TOTAL,PNP,PC_ACT_FTE,UK	0.0203 	0.0221 	0.0193 e	0.019 e	0.0207 e	0.0219 e	0.0222 e	0.022 e	0.0254 e	0.0269 e	0.0218 e	0.0186 	0.0192 e	0.0161 	0.0152 e	0.0201 	0.0203 p
T,TOTAL,TOTAL,PC_ACT_FTE,AT	: 	: 	1.0142 	: 	1.1097 	1.2106 e	1.2363 	1.3103 	1.415 e	1.3659 	1.445 e	1.4648 	1.5416 e	1.5533 	1.6326 e	1.6531 	1.6692 p
T,TOTAL,TOTAL,PC_ACT_FTE,BE	1.2201 	1.2951 	1.189 	1.1852 	1.163 	1.1662 	1.207 	1.233 	1.2318 	1.253 	1.2371 	1.3057 	1.3824 	1.3854 	1.4796 	1.5753 	1.6183 p
T,TOTAL,TOTAL,PC_ACT_FTE,BG	0.4574 	0.4452 	0.4532 	0.478 	0.4775 	0.4832 	0.4834 	0.4913 	0.4913 	0.5298 	0.4893 	0.5144 	0.5072 	0.528 	0.5843 	0.6866 	0.7831 
T,TOTAL,TOTAL,PC_ACT_FTE,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.7084 	: 	: 	: 	: 
T,TOTAL,TOTAL,PC_ACT_FTE,CY	0.2244 	0.2197 	0.2569 	0.2777 	0.2955 	0.3239 	0.3358 	0.3248 	0.3111 	0.3222 	0.3184 	0.3093 	0.2923 	0.2933 	0.302 	0.3016 	0.3088 p
T,TOTAL,TOTAL,PC_ACT_FTE,CZ	0.4767 	0.5175 	0.5157 	0.5543 	0.5681 	0.8474 b	0.9286 	0.9585 	0.9841 	0.9783 	1.0071 	1.0823 	1.1658 	1.1889 	1.2379 	1.2773 	1.2588 p
T,TOTAL,TOTAL,PC_ACT_FTE,DE	1.24 	1.2271 	1.2233 e	1.1984 	1.1867 	1.1761 	1.1938 	1.2355 	1.2758 	1.3039 	1.3657 	1.4222 	1.4585 	1.4422 	1.4766 	1.5578 	1.5662 e
T,TOTAL,TOTAL,PC_ACT_FTE,DK	1.3347 	1.4091 	1.5064 	1.4754 	1.4968 	1.5284 	1.561 	1.6346 b	2.0147 e	1.9275 	1.9716 	2.0106 	2.0329 	2.0448 	2.0615 	2.0823 p	2.0549 e
T,TOTAL,TOTAL,PC_ACT_FTE,EA19	0.9954 e	1.0028 e	1.0049 e	1.0021 e	1.0148 e	1.024 e	1.0638 e	1.0959 e	1.1333 e	1.1457 e	1.1785 e	1.2101 e	1.2293 e	1.2357 e	1.2545 	1.3031 	1.3093 p
T,TOTAL,TOTAL,PC_ACT_FTE,EE	0.5571 	0.5683 	0.6411 	0.6366 	0.7318 	0.6742 	0.7108 	0.7533 	0.7591 	0.8153 	0.7983 	0.8608 	0.8898 	0.8944 	0.8935 	0.8618 	0.8771 
T,TOTAL,TOTAL,PC_ACT_FTE,EL	: 	0.6541 	: 	0.6732 	: 	0.6924 	0.719 e	0.726 e	: 	: 	: 	0.7597 b	0.7738 	0.8818 	0.9125 	1.0481 	0.8831 
T,TOTAL,TOTAL,PC_ACT_FTE,ES	0.6737 	0.7009 	0.712 	0.7716 	0.7991 	0.8323 	0.8736 	0.9026 	0.9415 	0.9555 	0.9566 	0.9239 	0.897 	0.8823 	0.8777 	0.8823 	0.9087 
T,TOTAL,TOTAL,PC_ACT_FTE,EU28	: 	: 	0.9363 e	0.9372 e	0.9464 e	0.9599 e	0.9895 e	1.0151 e	1.0458 e	1.0531 e	1.0824 e	1.1119 e	1.1296 e	1.1452 e	1.1698 	1.213 	1.2245 p
T,TOTAL,TOTAL,PC_ACT_FTE,FI	2.0453 	2.0643 	2.1244 	2.2169 	2.2642 	2.213 	2.2236 	2.1288 	2.1243 	2.1206 	2.1221 	2.0677 b	2.0495 	2.0203 	1.992 	1.9231 	1.8137 
T,TOTAL,TOTAL,PC_ACT_FTE,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.4311 	1.4698 p	: 
T,TOTAL,TOTAL,PC_ACT_FTE,HR	: 	: 	: 	0.5257 	0.6367 	0.5328 	0.5504 	0.5374 	0.56 	0.5841 	0.5804 	0.577 	0.5681 	0.5769 	0.5368 	0.5708 	0.62 b
T,TOTAL,TOTAL,PC_ACT_FTE,HU	0.5785 	0.5616 d	0.5795 d	0.5628 d	0.5531 b	0.556 	0.6151 	0.6203 	0.6613 	0.7206 	0.7547 	0.8105 	0.8378 	0.8875 	0.8459 	0.8219 	0.7871 
T,TOTAL,TOTAL,PC_ACT_FTE,IE	0.6997 	0.7129 	0.7126 	0.7422 	0.7825 	0.7948 	0.794 	0.7915 	0.8658 	0.8719 	0.894 e	0.9891 e	1.0399 e	1.1003 e	1.2911 e	1.5633 	1.5961 e
T,TOTAL,TOTAL,PC_ACT_FTE,IS	: 	: 	: 	1.9091 	: 	2.0416 	2.0446 	1.7239 	1.7708 	1.975 	: 	1.8971 b	: 	1.5636 b	: 	1.625 	1.7457 
T,TOTAL,TOTAL,PC_ACT_FTE,IT	0.6458 	0.6569 	0.6941 	0.68 	0.6846 	0.7322 	0.7987 	0.8684 	0.9078 	0.935 	0.9322 	0.9397 	0.9672 	0.9944 	0.9963 	1.0368 	1.0244 p
T,TOTAL,TOTAL,PC_ACT_FTE,KR	0.6238 d	0.7375 d	0.7516 d	0.8112 d	0.8287 d	0.907 d	0.9909 d	1.1125 b	1.2094 	1.2669 	1.3546 	1.4398 	: 	: 	: 	: 	: 
T,TOTAL,TOTAL,PC_ACT_FTE,LT	0.7177 	0.7408 	0.5949 	0.5993 	0.6711 	0.7126 	0.7628 	0.8393 	0.8426 	0.7957 	0.8243 	0.769 	0.7228 	0.7716 	0.816 	0.7397 	0.7623 
T,TOTAL,TOTAL,PC_ACT_FTE,LU	2.0016 	: 	: 	2.0777 	2.1806 	2.1741 	2.1349 	2.1822 e	2.1838 	2.0754 	2.1711 	2.2183 	1.9282 b	1.9819 	2.032 	1.9077 	1.8759 p
T,TOTAL,TOTAL,PC_ACT_FTE,LV	0.5074 	0.5156 	0.4976 	0.457 	0.4801 	0.5227 	0.6003 	0.5718 	0.5955 	0.5131 	0.538 	0.5394 	0.556 	0.5473 	0.5941 	0.5772 	0.535 
T,TOTAL,TOTAL,PC_ACT_FTE,MK	: 	: 	: 	: 	: 	: 	0.1534 	0.1502 	0.1387 	0.1245 	0.1542 	0.1188 	0.1787 	0.1645 	0.2059 	0.2139 	0.2244 
T,TOTAL,TOTAL,PC_ACT_FTE,MT	: 	: 	0.3025 	0.2597 	0.4536 b	0.5187 	0.5353 	0.5223 	0.56 	0.5358 	0.6404 	0.7744 	0.7996 	0.7328 	0.7639 	0.7367 	0.7221 p
T,TOTAL,TOTAL,PC_ACT_FTE,NL	1.1332 	1.1345 	1.1005 	1.0796 b	1.1396 	1.1124 	1.1532 	1.0878 	1.0734 	1.0052 	1.1672 	1.3684 b	1.4074 b	1.4095 	1.4298 	1.4802 	1.5217 p
T,TOTAL,TOTAL,PC_ACT_FTE,NO	: 	1.1556 	1.1537 	1.2323 	1.2539 	1.2768 	1.3067 	1.3757 	1.4065 	1.4339 	1.4322 	1.4524 	1.457 	1.4759 	1.5316 	1.5931 	1.643 
T,TOTAL,TOTAL,PC_ACT_FTE,PL	0.4662 	0.4535 	0.4512 	0.4629 	0.4685 	0.4549 	0.441 	0.4534 	0.4449 	0.4318 	0.4849 	0.5022 	0.531 	0.5482 	0.6084 	0.6384 	: 
T,TOTAL,TOTAL,PC_ACT_FTE,PT	0.442 e	0.4573 	0.4769 e	0.5001 	0.5024 e	0.5009 	0.5904 e	0.68 	0.9203 b	0.9126 	0.9217 	0.9653 	0.9348 	0.9324 	0.9421 	0.9699 	1.0306 p
T,TOTAL,TOTAL,PC_ACT_FTE,RO	0.3255 	0.3175 	0.3375 	0.3559 	0.3536 	0.3551 	0.3067 	0.3056 	0.3213 	0.2994 	0.2922 	0.3381 b	0.3518 	0.3681 	0.3534 	0.3537 	0.3707 
T,TOTAL,TOTAL,PC_ACT_FTE,RU	1.3842 	1.409 	1.3639 	1.3468 	1.3038 	1.2499 	1.2316 	1.2117 	1.149 	1.1176 	1.1129 	1.1074 	1.0947 	: 	: 	: 	: 
T,TOTAL,TOTAL,PC_ACT_FTE,SE	: 	1.6157 	: 	1.6214 	1.6034 	1.6809 be	1.6794 	1.5856 be	1.6583 e	1.6121 e	1.6039 e	1.6052 e	1.6556 e	1.6312 e	1.6678 e	1.6564 e	1.7782 p
T,TOTAL,TOTAL,PC_ACT_FTE,SI	0.9096 	0.9033 	0.9068 	0.7216 	0.727 	0.9076 	0.9822 	1.0297 	1.1356 b	1.2215 	1.2724 	1.53 b	1.5034 	1.5383 	1.5001 	1.434 	1.462 p
T,TOTAL,TOTAL,PC_ACT_FTE,SK	0.59 	0.55 	0.5233 	0.5109 	0.5424 	0.5464 	0.5671 	0.5828 	0.5814 	0.5952 	0.6746 	0.6789 	0.6726 	0.6351 	0.6499 	0.647 	0.6489 
T,TOTAL,TOTAL,PC_ACT_FTE,TR	: 	: 	: 	: 	: 	: 	0.2494 e	0.285 e	0.2935 e	0.3096 e	0.3313 e	0.3601 e	0.3987 e	0.414 e	0.411 e	0.4231 	: 
T,TOTAL,TOTAL,PC_ACT_FTE,UK	1.0121 e	1.0449 e	: 	: 	: 	1.0983 be	1.1143 e	1.1372 e	1.1191 e	1.1331 e	1.1415 e	1.1513 e	1.144 e	1.2043 e	1.2567 e	1.3038 	1.312 p
