sex,prof_pos,sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
T,TOTAL,BES,PC_ACT_FTE,MT	: 	: 	0.0478 	0.0585 p	0.2424 b	0.3069 	0.3152 	0.3142 	0.3283 	0.3274 	0.4381 	0.5722 	0.5777 	0.4881 	0.5029 	0.4749 	0.4742 p
T,TOTAL,BES,PC_ACT_FTE,NL	0.5896 	0.5906 	0.5654 	0.5328 	0.5957 	0.5775 	0.6228 	0.5712 	0.5517 	0.4843 	0.6285 	0.8624 b	0.884 b	0.8854 	0.884 	0.9302 	0.9646 p
T,TOTAL,BES,PC_ACT_FTE,NO	: 	0.6257 	0.6093 	0.6751 	0.6739 	0.6561 	0.6707 	0.6929 	0.7329 	0.7217 	0.7066 	0.7119 	0.7196 	0.7293 	0.7829 	0.8128 	0.8294 
T,TOTAL,BES,PC_ACT_FTE,PL	0.1098 	0.1015 	0.0503 	0.0684 	0.0776 	0.0828 	0.0849 	0.0905 	0.0764 	0.0804 	0.1092 	0.1151 	0.1507 	0.1769 	0.2172 	0.2458 	: 
T,TOTAL,BES,PC_ACT_FTE,PT	0.072 e	0.0771 	0.0983 e	0.12 	0.1201 e	0.1194 	0.1829 e	0.246 	0.2789 	0.2697 	0.2717 	0.312 	0.308 	0.3238 	0.3486 	0.3694 	0.3978 p
T,TOTAL,BES,PC_ACT_FTE,RO	0.2165 	0.1939 	0.1893 	0.1823 	0.1735 	0.1727 	0.1439 	0.1382 	0.1219 	0.1134 	0.0923 	0.1137 b	0.123 	0.119 	0.1175 	0.1143 	0.124 
T,TOTAL,BES,PC_ACT_FTE,RU	0.8642 	0.8716 	0.8392 	0.82 	0.7785 	0.7122 	0.6925 	0.674 	0.6305 	0.6011 	0.5884 	0.5802 	0.5468 	: 	: 	: 	: 
T,TOTAL,BES,PC_ACT_FTE,SE	: 	1.1064 	: 	1.0689 	1.0428 	1.216 b	1.2298 	1.1461 b	1.2254 e	1.1627 	1.1352 e	1.1211 	1.1375 e	1.1367 	1.145 e	1.1438 	1.2603 p
T,TOTAL,BES,PC_ACT_FTE,SI	0.4363 	0.446 	0.4736 	0.389 	0.393 	0.4386 	0.4821 	0.5262 	0.6077 b	0.6678 	0.6938 	0.9641 b	0.9489 	0.991 	0.9784 	0.9296 	0.9698 p
T,TOTAL,BES,PC_ACT_FTE,SK	0.2005 	0.1814 	0.1716 	0.1397 	0.1315 	0.1337 	0.1186 	0.102 	0.1024 	0.098 	0.1198 	0.1219 	0.1406 	0.1338 	0.1527 	0.162 	0.1696 
T,TOTAL,BES,PC_ACT_FTE,TR	: 	: 	: 	: 	: 	: 	0.0826 	0.1091 	0.1199 	0.1326 	0.152 	0.1762 	0.1981 	0.214 	0.2206 	0.2307 	: 
T,TOTAL,BES,PC_ACT_FTE,UK	0.5102 	0.538 b	0.5483 	0.5383 	0.5115 	0.4915 	0.4975 	0.5203 	0.4978 	0.494 	0.504 	0.5119 	0.5138 	0.5679 	0.6096 	0.6495 	0.6548 
