na_item,nace_r2,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
EMP_DC,TOTAL,PCH_PRE_PER,AT	: 	0.4 	0.7 	1.0 	1.5 	0.9 	0.7 	-0.1 	0.7 	0.6 	1.2 	1.8 	1.8 	1.9 	-0.5 	0.8 	1.6 	1.0 	0.3 	1.0 	0.6 	1.3 	1.7 
EMP_DC,TOTAL,PCH_PRE_PER,BE	: 	0.3 	0.7 	1.8 	1.4 	2.0 	1.4 	-0.2 	-0.1 	1.0 	1.4 	1.1 	1.7 	1.8 	-0.2 	0.6 	1.4 	0.4 	-0.3 	0.4 	0.9 	1.3 	1.4 
EMP_DC,TOTAL,PCH_PRE_PER,BG	: 	2.7 	-3.1 	-1.0 	-4.3 	-2.4 	-0.8 	0.2 	3.0 	2.6 	2.7 	3.3 	3.2 	2.4 	-1.7 	-3.9 	-2.2 	-2.5 p	-0.4 p	0.4 p	0.4 p	0.5 p	1.8 p
EMP_DC,TOTAL,PCH_PRE_PER,CY	: 	0.5 	0.6 	1.6 	1.8 	1.7 	2.2 	2.1 	3.6 	4.0 	3.6 	1.9 	4.4 	3.5 	0.0 	0.5 	0.0 	-3.2 	-5.9 	-1.8 	1.5 	4.6 	3.9 p
EMP_DC,TOTAL,PCH_PRE_PER,CZ	: 	0.5 	-0.7 	-1.7 	-2.2 	-0.8 	-0.3 	0.6 	-0.8 	-0.2 	1.9 	1.3 	2.1 	2.2 	-1.8 	-1.0 	-0.3 	0.4 	0.3 	0.6 	1.4 	1.6 	1.6 
EMP_DC,TOTAL,PCH_PRE_PER,DE	0.4 	0.0 	-0.1 	1.2 	1.6 	2.3 	-0.3 	-0.4 	-1.1 	0.3 	0.0 	0.8 	1.7 	1.3 	0.1 	0.3 	1.4 	1.2 	0.6 	0.8 	0.9 	1.3 	1.4 
EMP_DC,TOTAL,PCH_PRE_PER,DK	0.6 	1.0 	1.4 	1.4 	0.8 	0.7 	1.0 	0.1 	-0.9 	-0.5 	1.4 	2.3 	2.3 	1.2 	-3.2 	-2.3 	0.0 	-0.7 	0.0 	0.9 	1.4 	1.6 	1.6 
EMP_DC,TOTAL,PCH_PRE_PER,EE	: 	-2.4 	0.0 	-1.9 	-4.5 	0.9 	0.6 	0.0 	2.1 	-0.4 	2.3 	4.9 	0.2 	-0.2 	-10.2 	-4.9 	6.5 	1.6 	1.2 	0.8 	2.9 	0.3 	2.7 
EMP_DC,TOTAL,PCH_PRE_PER,EL	: 	-0.6 	-0.4 	4.4 	0.0 	0.3 	0.4 	2.4 	1.4 	2.4 	0.9 	1.8 	1.3 	1.3 	-0.6 	-2.6 	-6.9 p	-6.3 p	-2.6 p	0.9 p	0.7 p	0.5 p	1.5 p
EMP_DC,TOTAL,PCH_PRE_PER,ES	: 	1.4 	3.7 	4.4 	4.6 	5.0 	3.3 	2.6 	3.3 	3.8 	4.3 	4.2 	3.3 	0.2 	-6.3 	-1.7 	-2.7 	-4.0 	-2.6 	1.0 	2.8 	2.6 p	2.6 p
EMP_DC,TOTAL,PCH_PRE_PER,FI	1.8 	1.4 	3.4 	1.9 	2.5 	2.2 	1.4 	1.1 	0.1 	0.6 	1.6 	1.8 	2.1 	2.2 	-2.4 	-0.7 	1.3 	0.9 	-0.7 	-0.5 	-0.1 	0.5 	1.2 
EMP_DC,TOTAL,PCH_PRE_PER,FR	1.0 	0.6 	0.8 	1.7 	2.4 	2.5 	1.4 	0.5 	0.0 	0.1 	0.7 	1.1 	1.4 	0.5 	-1.1 	0.1 	0.8 	0.3 	0.2 	0.5 	0.2 	0.7 p	1.1 p
EMP_DC,TOTAL,PCH_PRE_PER,HR	: 	0.0 p	0.1 p	-0.2 p	0.0 p	-0.1 p	-0.6 p	0.9 p	2.5 p	0.8 p	1.0 p	3.2 p	3.2 p	2.1 d	-0.7 d	-3.8 d	-3.9 d	-3.6 d	-2.6 d	2.7 d	1.2 d	0.3 d	2.2 d
EMP_DC,TOTAL,PCH_PRE_PER,HU	: 	0.1 	0.2 	1.6 	2.8 	1.0 	-0.2 	-0.1 	0.0 	-1.0 	-0.3 	0.4 	0.1 	-2.0 	-2.5 	-1.1 	0.0 	0.2 	1.1 	4.8 	2.4 	3.1 	2.0 
EMP_DC,TOTAL,PCH_PRE_PER,IE	: 	3.7 	3.9 	6.6 	6.5 	4.5 	3.1 	1.6 	1.9 	3.4 	4.9 	4.6 	4.4 	-0.6 	-7.8 	-4.5 	-1.9 b	-0.5 	3.0 	2.7 	3.5 	3.8 	2.9 
EMP_DC,TOTAL,PCH_PRE_PER,IT	: 	0.6 	0.3 	1.0 	1.1 	1.9 	2.0 	1.7 	1.5 	0.6 	0.6 	2.0 	1.2 	0.2 	-1.7 	-0.6 	0.3 	-0.3 	-1.8 	0.1 	0.7 	1.3 	1.2 
EMP_DC,TOTAL,PCH_PRE_PER,LT	: 	0.9 	0.6 	-0.8 	-2.2 	-4.3 	-3.8 	3.6 	2.2 	-1.1 	0.8 	-0.3 	2.0 	-1.3 	-7.7 	-5.3 	0.5 	1.8 	1.3 	2.0 	1.3 	2.0 	-0.5 
EMP_DC,TOTAL,PCH_PRE_PER,LU	: 	2.6 	3.4 	4.4 	4.8 	5.3 	5.7 	2.9 	1.8 	2.4 	2.8 	3.8 	4.4 	4.8 	1.0 	1.8 	3.0 	2.4 	1.8 	2.6 	2.6 	3.0 	3.4 
EMP_DC,TOTAL,PCH_PRE_PER,LV	: 	0.6 	4.5 	-0.4 	-1.8 	-3.4 	1.6 	1.5 	0.6 	0.2 	0.9 	5.8 	3.8 	-0.8 	-14.3 	-6.7 	1.5 	1.4 	2.3 	-1.3 	1.4 	-0.3 	0.0 
EMP_DC,TOTAL,PCH_PRE_PER,MT	: 	1.6 	0.3 	-0.2 	0.7 	-1.2 	1.8 	0.3 	-0.4 	0.4 	1.3 	1.5 	2.2 	2.5 	0.0 	1.7 	2.9 	2.5 	3.7 	5.1 	3.9 	4.2 	5.2 
EMP_DC,TOTAL,PCH_PRE_PER,NL	: 	2.1 	3.1 	2.4 	2.9 	1.8 	2.0 	0.7 	-0.6 	-1.1 	0.7 	2.2 	2.9 	1.6 	-0.9 	-0.7 	0.9 	-0.2 	-1.2 	-0.1 	1.0 	1.1 p	2.2 p
EMP_DC,TOTAL,PCH_PRE_PER,PL	: 	: 	: 	: 	: 	: 	-2.2 	-3.0 	-1.2 	1.1 	2.2 	3.2 	4.5 	3.8 	0.4 	-2.7 b	0.6 	0.1 	-0.1 	1.7 	1.5 	0.6 p	1.4 p
EMP_DC,TOTAL,PCH_PRE_PER,PT	: 	1.7 	2.6 	2.8 	1.5 	2.2 	1.7 	0.4 	-1.0 	-0.7 	-0.5 	0.4 	0.0 	0.4 	-2.7 	-1.4 	-1.9 	-4.1 	-2.9 	1.4 	1.4 	1.6 	3.3 p
EMP_DC,TOTAL,PCH_PRE_PER,RO	: 	-3.3 	0.8 	-3.0 	-1.2 	-0.8 	-1.1 	-10.2 	0.0 	-1.7 	-1.5 	0.7 	0.4 	0.0 	-2.0 	-0.3 	-0.8 	-4.8 b	-0.9 	0.8 	-1.3 	-1.1 	2.8 p
EMP_DC,TOTAL,PCH_PRE_PER,SE	1.6 	-0.8 	-1.3 	1.7 	2.1 	2.5 	2.1 	0.0 	-0.6 	-0.7 	0.3 	1.7 	2.3 	0.9 	-2.4 	1.0 	2.1 	0.7 	1.0 	1.4 	1.5 	1.9 	2.3 
EMP_DC,TOTAL,PCH_PRE_PER,SI	: 	-2.0 	-1.8 	-0.1 	1.5 	1.6 	0.6 	1.6 	-0.3 	0.3 	-0.5 	1.6 	3.4 	2.6 	-1.8 	-2.1 	-1.7 	-0.9 	-1.1 	0.4 	1.3 	1.8 	2.9 
EMP_DC,TOTAL,PCH_PRE_PER,SK	: 	2.1 	-1.0 	-0.5 	-2.5 	-2.0 	0.6 	0.1 	1.1 	-0.2 	1.6 	2.1 	2.1 	3.2 	-2.0 	-1.5 	1.8 	0.1 	-0.8 	1.4 	2.0 	2.4 	2.2 
EMP_DC,TOTAL,PCH_PRE_PER,UK	: 	0.9 	1.8 	1.0 	1.4 	1.2 	0.8 	0.8 	1.0 	1.1 	1.1 	1.0 	0.8 	0.8 	-1.6 	0.2 	0.5 	1.1 	1.2 	2.4 	1.7 	1.4 	1.0 
EMP_DC,TOTAL,THS_PER,AT	3587.13 	3601.07 	3627.40 	3664.13 	3719.72 	3754.97 	3782.00 	3778.38 	3803.03 	3826.82 	3872.90 	3940.73 	4012.73 	4089.13 	4067.50 	4098.21 	4161.95 	4205.16 	4219.77 	4259.90 	4285.54 	4341.00 	4414.54 
EMP_DC,TOTAL,THS_PER,BE	3867.90 	3878.10 	3904.50 	3973.00 	4027.80 	4109.00 	4165.20 	4157.30 	4153.90 	4194.80 	4255.30 	4302.90 	4374.00 	4453.00 	4445.60 	4474.10 	4535.40 	4555.10 	4540.20 	4560.00 	4600.70 	4659.60 	4724.10 
EMP_DC,TOTAL,THS_PER,BG	3518.57 	3614.98 	3503.91 	3467.92 	3318.15 	3239.20 	3214.74 	3222.12 	3317.39 	3403.40 	3495.27 	3612.04 	3726.74 	3814.65 	3749.30 	3603.89 	3524.55 	3436.39 p	3421.58 p	3434.17 p	3446.21 p	3463.35 p	3525.35 p
EMP_DC,TOTAL,THS_PER,CY	295.94 	297.50 	299.33 	304.02 	309.64 	314.76 	321.57 	328.30 	340.10 	353.61 	366.46 	373.25 	389.77 	403.51 	403.64 	405.58 	405.68 	392.75 	369.42 	362.70 	368.15 	384.95 	399.77 p
EMP_DC,TOTAL,THS_PER,CZ	5105.54 	5131.99 	5095.99 	5007.59 	4899.70 	4859.34 	4846.39 	4876.77 	4838.06 	4828.89 	4922.64 	4988.98 	5093.14 	5204.08 	5110.10 	5057.24 	5043.44 	5064.62 	5080.93 	5108.97 	5181.91 	5264.30 	5346.09 
EMP_DC,TOTAL,THS_PER,DE	37958.00 	37969.00 	37947.00 	38407.00 	39031.00 	39917.00 	39809.00 	39630.00 	39200.00 	39337.00 	39326.00 	39635.00 	40325.00 	40856.00 	40892.00 	41020.00 	41577.00 	42061.00 	42319.00 	42671.00 	43071.00 	43642.00 	44269.00 
EMP_DC,TOTAL,THS_PER,DK	2612.00 	2638.00 	2674.00 	2712.00 	2735.00 	2755.00 	2782.00 	2784.00 	2759.00 	2744.00 	2783.00 	2846.00 	2912.00 	2947.00 	2854.00 	2788.00 	2787.00 	2767.00 	2766.00 	2791.00 	2831.00 	2875.00 	2921.00 
EMP_DC,TOTAL,THS_PER,EE	633.60 	618.70 	619.00 	607.40 	580.30 	585.30 	588.60 	588.50 	601.10 	598.70 	612.30 	642.20 	643.40 	642.10 	576.60 	548.10 	584.00 	593.50 	600.90 	605.50 	622.90 	624.70 	641.50 
EMP_DC,TOTAL,THS_PER,EL	4156.34 	4132.66 	4116.42 	4297.27 	4298.69 	4312.79 	4328.38 	4434.29 	4495.68 	4604.09 	4646.87 	4731.34 	4795.07 	4856.36 	4829.00 	4705.48 	4381.82 p	4105.22 p	3997.71 p	4034.84 p	4064.04 p	4083.03 p	4146.05 p
