exch_rt,unit,geo\time	2017M09 	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 
REER_IC42_CPI,I10,AT	104.80 	104.77 	104.93 	105.46 	105.07 	105.16 	105.81 	105.98 	105.15 	104.92 	104.66 	104.79 
REER_IC42_CPI,I10,BE	102.59 	102.60 	102.77 	103.13 	102.61 	104.18 	103.82 	104.04 	103.43 	103.47 	103.20 	104.84 
REER_IC42_CPI,I10,BG	96.07 	96.05 	96.67 	97.10 	97.90 	98.06 	97.61 	97.95 	97.79 	98.08 	99.84 	101.75 
REER_IC42_CPI,I10,CH	106.14 	105.12 	103.84 	103.75 	103.91 	105.69 	104.41 	102.56 	102.22 	103.76 	104.41 	106.32 
REER_IC42_CPI,I10,CY	94.39 	93.49 	92.42 	92.19 	91.18 	92.05 	92.65 	93.43 	93.50 	94.09 	94.61 	95.95 
REER_IC42_CPI,I10,CZ	98.84 	100.32 	101.29 	100.59 	102.64 	102.90 	102.15 	102.61 	101.38 	101.03 	101.25 	102.20 
REER_IC42_CPI,I10,DE	98.79 	98.34 	98.68 	99.52 	99.24 	99.64 	99.80 	99.48 	98.98 	98.75 	99.79 	100.01 
REER_IC42_CPI,I10,DK	97.90 	97.80 	97.72 	97.44 	97.70 	98.14 	97.98 	98.51 	97.67 	97.14 	98.24 	98.00 
REER_IC42_CPI,I10,EA19	98.05 	97.71 	97.88 	98.49 	98.28 	98.65 	99.60 	99.75 	98.88 	98.50 	99.20 	99.99 
REER_IC42_CPI,I10,EE	112.49 	111.92 	112.86 	112.54 	112.95 	114.10 	114.25 	115.47 	115.20 	115.80 	116.28 	117.98 
REER_IC42_CPI,I10,EL	94.71 	94.43 	93.88 	94.08 	93.62 	93.69 	94.51 	95.39 	94.69 	95.33 	94.67 	95.68 
REER_IC42_CPI,I10,ES	97.99 	98.39 	98.81 	98.75 	98.00 	98.08 	98.80 	99.30 	99.37 	99.40 	98.68 	99.08 
REER_IC42_CPI,I10,EU28	95.99 	95.73 	96.15 	97.06 	97.37 	97.70 	98.42 	99.04 	97.23 	96.54 	97.24 	98.10 
REER_IC42_CPI,I10,FI	101.96 	101.69 	102.30 	102.30 	102.54 	102.96 	103.14 	103.69 	102.61 	102.36 	102.59 	103.29 
REER_IC42_CPI,I10,FR	96.76 	96.58 	96.68 	97.01 	97.79 	97.61 	98.45 	98.42 	97.80 	97.50 	98.00 	98.74 
REER_IC42_CPI,I10,HR	98.21 	97.46 	96.92 	96.57 	98.34 	98.12 	98.17 	99.43 	99.33 	100.00 	100.52 	100.79 
REER_IC42_CPI,I10,HU	94.08 	93.65 	93.37 	92.78 	94.79 	94.03 	93.70 	94.47 	92.95 	91.39 	91.45 	92.31 
REER_IC42_CPI,I10,IE	91.75 	91.29 	91.13 	91.14 	91.50 	92.23 	92.33 	91.75 	90.88 	90.54 	91.26 	91.25 
REER_IC42_CPI,I10,IT	99.60 	99.31 	99.18 	99.45 	98.70 	98.08 	100.16 	100.53 	99.72 	99.60 	98.74 	98.86 
REER_IC42_CPI,I10,JP	74.70 	73.80 	74.05 	73.84 	73.85 	74.94 	76.13 	74.95 	74.66 	74.82 	74.71 	76.18 
REER_IC42_CPI,I10,LT	107.64 	107.33 	107.96 	108.04 	108.34 	108.31 	108.64 	110.27 	109.83 	109.27 	109.10 	109.76 
REER_IC42_CPI,I10,LU	101.71 	101.67 	101.67 	101.51 	101.28 	102.26 	101.86 	102.10 	101.93 	102.02 	101.48 	102.90 
REER_IC42_CPI,I10,LV	105.03 	105.08 	105.49 	105.45 	105.59 	105.84 	107.18 	108.08 	107.79 	108.19 	107.70 	108.88 
REER_IC42_CPI,I10,MT	101.28 	100.28 	97.90 	97.85 	97.49 	97.82 	98.38 	100.69 	100.72 	101.67 	102.64 	103.32 
REER_IC42_CPI,I10,NL	100.20 	100.19 	99.76 	99.51 	99.86 	100.37 	100.26 	100.98 	100.57 	99.77 	101.32 	101.89 
REER_IC42_CPI,I10,NO	88.51 	87.61 	85.90 	83.63 	85.65 	86.19 	87.03 	86.82 	86.64 	88.05 	89.01 	87.72 
REER_IC42_CPI,I10,PL	94.10 	94.41 	95.69 	96.25 	97.93 	97.32 	96.00 	96.82 	94.31 	93.72 	93.39 	94.48 
REER_IC42_CPI,I10,PT	100.14 	100.28 	99.14 	98.92 	98.59 	97.82 	99.45 	100.05 	99.96 	99.75 	99.96 	99.38 
REER_IC42_CPI,I10,RO	96.35 	97.47 	97.27 	97.34 	98.30 	98.32 	98.11 	98.59 	98.92 	98.33 	98.73 	99.75 
REER_IC42_CPI,I10,SE	97.75 	96.61 	94.64 	94.35 	95.11 	94.51 	92.39 	90.73 	90.26 	90.72 	91.33 	89.94 
REER_IC42_CPI,I10,SI	99.67 	99.71 	100.08 	99.93 	99.77 	100.36 	100.35 	100.86 	101.25 	101.05 	100.61 	101.16 
REER_IC42_CPI,I10,SK	101.37 	101.45 	101.72 	101.44 	102.81 	102.81 	102.74 	103.23 	102.71 	102.70 	102.87 	103.38 
REER_IC42_CPI,I10,TR	76.24 	74.17 	71.18 	71.97 	72.44 	71.80 	70.29 	68.80 	65.89 	65.22 	64.00 	53.28 
REER_IC42_CPI,I10,UK	99.82 	100.03 	100.81 	101.89 	102.26 	102.53 	102.60 	104.05 	102.26 	101.59 	101.16 	100.81 
REER_IC42_CPI,I10,US	114.84 	116.84 	117.05 	116.56 	114.42 	113.53 	114.17 	114.46 	118.28 	120.20 	119.75 	120.40 
