indic_il,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
R_PN_WK,F,SI	0.38 	0.37 	0.39 	0.40 	0.41 	0.42 	0.43 	0.44 	0.43 	0.44 	0.44 	0.45 	0.45 
R_PN_WK,F,SK	0.56 	0.58 	0.57 	0.55 	0.54 	0.59 	0.63 	0.60 	0.66 	0.68 	0.65 	0.67 	0.67 
R_PN_WK,F,TR	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 
R_PN_WK,F,UK	0.43 	0.45 	0.45 	0.44 	0.45 	0.47 	0.48 	0.49 b	0.53 	0.50 	0.51 	0.51 	: 
R_PN_WK,M,AT	0.70 	0.66 	0.62 	0.61 b	0.62 	0.63 	0.66 	0.63 	0.63 	0.68 	0.72 	0.69 	0.71 
R_PN_WK,M,BE	0.45 	0.46 	0.46 	0.44 	0.47 	0.46 	0.44 	0.47 	0.47 	0.48 	0.49 	0.51 	0.51 
R_PN_WK,M,BG	: 	0.41 	0.40 	0.37 	0.39 	0.51 	0.46 	0.52 	0.46 	0.51 	0.47 	0.50 b	0.43 
R_PN_WK,M,CH	: 	: 	0.45 	0.48 	0.42 	0.46 	0.45 	0.48 	0.47 	0.51 b	0.47 	0.50 	: 
R_PN_WK,M,CY	0.34 	0.32 	0.34 	0.38 b	0.39 	0.41 	0.42 	0.43 	0.45 	0.47 	0.53 	0.53 	0.51 
R_PN_WK,M,CZ	0.49 	0.50 	0.51 	0.48 	0.50 	0.52 	0.51 	0.54 	0.56 	0.57 	0.53 	0.51 	0.50 
R_PN_WK,M,DE	0.47 	0.48 	0.48 	0.46 	0.47 	0.49 	0.50 	0.46 	0.46 	0.46 	0.47 	0.46 	0.46 
R_PN_WK,M,DK	0.32 	0.37 	0.38 	0.38 	0.39 	0.42 	0.42 b	0.40 	0.41 	0.43 	0.42 	0.43 	0.45 
R_PN_WK,M,EA18	0.55 	0.55 	0.52 	0.46 	0.53 	0.55 	0.56 	0.56 	0.57 	0.58 	0.60 	0.61 	0.62 
R_PN_WK,M,EA19	0.55 	0.54 	0.52 	0.46 	0.53 	0.55 	0.56 	0.56 	0.57 	0.58 	0.60 	0.61 	0.62 
R_PN_WK,M,EE	0.40 	0.40 	0.40 	0.37 	0.42 	0.47 	0.45 	0.41 	0.40 	0.39 b	0.39 	0.39 	0.39 
R_PN_WK,M,EL	0.56 	0.57 	0.46 	0.48 	0.46 	0.48 	0.53 	0.53 	0.60 	0.63 	0.68 	0.69 	0.68 
R_PN_WK,M,ES	0.62 	0.51 	0.53 	0.46 b	0.49 	0.53 	0.54 	0.61 	0.62 	0.65 	0.71 	0.69 	0.74 
R_PN_WK,M,EU27	0.54 s	0.54 s	0.52 	0.48 	0.53 	0.55 	0.55 	0.57 	0.58 	0.58 	0.59 	0.61 	0.62 
R_PN_WK,M,EU28	: 	: 	: 	: 	: 	0.55 	0.55 	0.57 	0.58 	0.58 	0.59 	0.61 	0.62 
R_PN_WK,M,FI	0.46 	0.47 	0.47 	0.48 	0.47 	0.51 	0.53 	0.52 	0.50 	0.51 	0.51 	0.51 	0.51 
R_PN_WK,M,FR	0.62 	0.61 	0.61 	: 	0.67 	0.69 	0.66 	0.65 	0.66 	0.67 	0.67 	0.68 	0.67 
R_PN_WK,M,HR	: 	: 	: 	: 	: 	0.38 b	0.40 	0.40 	0.39 	0.40 	0.39 	0.42 	: 
R_PN_WK,M,HU	0.60 	0.56 	0.60 	0.61 	0.67 	0.61 	0.61 	0.61 	0.65 	0.65 	0.66 	0.71 	0.69 
R_PN_WK,M,IE	0.40 	0.37 	0.44 	0.46 	0.48 	0.46 	0.44 	0.48 	0.43 	0.42 	0.41 	0.35 	: 
R_PN_WK,M,IS	0.45 	0.40 	0.42 	0.41 	0.42 	0.44 	0.48 	0.44 	0.44 	0.47 	0.46 	0.46 p	: 
R_PN_WK,M,IT	0.63 	0.64 	0.56 	0.57 	0.57 	0.58 	0.60 	0.63 	0.65 	0.65 	0.66 	0.73 	0.74 
R_PN_WK,M,LT	0.50 	0.47 	0.38 	0.45 	0.47 	0.61 	0.56 	0.45 	0.48 	0.47 	0.46 	0.47 	0.45 
R_PN_WK,M,LU	0.58 	0.59 	0.59 	0.54 	0.64 	0.65 	0.65 	0.67 	0.76 	0.83 	0.77 	0.87 b	0.80 
R_PN_WK,M,LV	0.55 	0.41 	0.33 	0.25 	0.31 	0.45 	0.51 	0.49 	0.46 	0.43 	0.42 	0.40 	0.40 
R_PN_WK,M,MK	: 	: 	: 	: 	: 	: 	: 	0.56 	0.62 	0.68 	0.70 	0.68 	: 
R_PN_WK,M,MT	0.47 	0.48 	0.49 	0.43 	0.44 	0.42 	0.48 	0.47 	0.57 	0.55 	0.54 	0.55 	0.55 
R_PN_WK,M,NL	0.48 	0.48 	0.49 	0.49 	0.52 	0.53 	0.52 	0.54 	0.55 	0.58 	0.58 	0.56 b	0.56 
R_PN_WK,M,NO	0.52 	0.51 	0.55 	0.55 	0.56 	0.56 	0.55 	0.56 	0.56 	0.58 	0.59 	0.57 	0.57 
R_PN_WK,M,PL	0.66 	0.67 	0.64 	0.65 	0.63 	0.64 	0.63 	0.65 	0.68 	0.70 	0.67 	0.72 	0.71 
R_PN_WK,M,PT	0.58 	0.59 	0.50 	0.66 	0.58 	0.57 	0.61 	0.66 	0.67 	0.64 	0.65 	0.68 	0.77 
R_PN_WK,M,RO	: 	: 	0.48 	0.55 	0.63 	0.68 	0.70 	0.76 	0.76 	0.71 	0.70 	0.68 	0.64 
R_PN_WK,M,RS	: 	: 	: 	: 	: 	: 	: 	: 	0.55 	0.55 	0.55 	0.56 	: 
R_PN_WK,M,SE	0.62 	0.66 	0.66 	0.64 b	0.63 	0.64 	0.61 	0.59 	0.61 	0.63 	0.60 	0.59 	0.59 
R_PN_WK,M,SI	0.52 	0.49 	0.51 	0.50 	0.51 	0.51 	0.52 	0.52 	0.50 	0.48 	0.48 	0.50 	0.48 
R_PN_WK,M,SK	0.53 	0.55 	0.53 	0.54 	0.57 	0.59 	0.55 	0.53 	0.59 	0.59 	0.60 	0.60 	0.60 
R_PN_WK,M,TR	: 	0.76 	0.80 	0.78 	0.80 	0.84 	0.72 	0.77 	0.78 	0.78 	0.81 	: 	: 
R_PN_WK,M,UK	0.42 	0.46 	0.45 	0.45 	0.47 	0.47 	0.46 	0.54 b	0.54 	0.52 	0.52 	0.58 	: 
R_PN_WK,T,AT	0.69 	0.65 	0.62 	0.61 b	0.56 	0.57 	0.59 	0.58 	0.59 	0.60 	0.62 	0.62 	0.64 
R_PN_WK,T,BE	0.42 	0.42 	0.44 	0.45 	0.45 	0.46 	0.44 	0.46 	0.47 	0.47 	0.47 	0.48 	0.50 
R_PN_WK,T,BG	: 	0.37 	0.37 	0.34 	0.34 	0.43 	0.41 	0.42 	0.39 	0.44 	0.41 	0.45 b	0.37 
R_PN_WK,T,CH	: 	: 	0.39 	0.36 	0.40 	0.41 	0.39 	0.41 	0.41 	0.44 b	0.43 	0.45 	: 
R_PN_WK,T,CY	0.29 	0.28 	0.29 	0.33 b	0.37 	0.37 	0.39 	0.39 	0.40 	0.39 	0.43 	0.44 	0.43 
R_PN_WK,T,CZ	0.51 	0.52 	0.51 	0.51 	0.51 	0.54 	0.53 	0.55 	0.56 	0.55 	0.51 	0.50 	0.51 
R_PN_WK,T,DE	0.46 	0.46 	0.46 	0.44 	0.47 	0.49 	0.51 	0.47 	0.47 	0.45 	0.46 	0.46 	0.46 
R_PN_WK,T,DK	0.35 	0.37 	0.39 	0.41 	0.42 	0.44 	0.43 b	0.42 	0.44 	0.45 	0.45 	0.47 	0.48 
R_PN_WK,T,EA18	0.52 	0.51 	0.49 	0.49 	0.51 	0.52 	0.54 	0.54 	0.56 	0.57 	0.58 	0.58 	0.60 
R_PN_WK,T,EA19	0.52 	0.51 	0.49 	0.49 	0.51 	0.52 	0.54 	0.54 	0.56 	0.57 	0.58 	0.58 	0.60 
R_PN_WK,T,EE	0.47 	0.49 	0.47 	0.45 	0.52 	0.55 	0.54 	0.50 	0.50 	0.47 b	0.43 	0.45 	0.45 
R_PN_WK,T,EL	0.49 	0.49 	0.40 	0.41 	0.41 	0.42 	0.45 	0.52 	0.60 	0.60 	0.62 	0.64 	0.62 
R_PN_WK,T,ES	0.57 	0.48 	0.48 	0.42 b	0.45 	0.47 	0.51 	0.55 	0.60 	0.60 	0.66 	0.66 	0.69 
R_PN_WK,T,EU27	0.51 s	0.50 s	0.49 	0.49 	0.51 	0.53 	0.54 	0.54 	0.56 	0.56 	0.57 	0.58 	0.59 
R_PN_WK,T,EU28	: 	: 	: 	: 	: 	0.52 	0.53 	0.54 	0.56 	0.56 	0.57 	0.58 	0.59 
R_PN_WK,T,FI	0.46 	0.47 	0.47 	0.49 	0.48 	0.50 	0.50 	0.49 	0.49 	0.51 	0.52 	0.53 	0.53 
R_PN_WK,T,FR	0.57 	0.58 	0.60 	0.65 b	0.66 	0.65 	0.64 	0.65 	0.66 	0.69 	0.69 	0.68 	0.68 
R_PN_WK,T,HR	: 	: 	: 	: 	: 	0.32 b	0.36 	0.36 	0.37 	0.40 	0.40 	0.39 	: 
R_PN_WK,T,HU	0.61 	0.54 	0.58 	0.61 	0.62 	0.60 	0.60 	0.58 	0.62 	0.62 	0.65 	0.67 	0.64 
R_PN_WK,T,IE	0.46 	0.38 	0.49 	0.49 	0.48 	0.47 	0.43 	0.42 	0.37 	0.38 	0.38 	0.35 	: 
R_PN_WK,T,IS	0.50 	0.46 	0.44 	0.46 	0.46 	0.48 	0.52 	0.50 	0.49 	0.49 	0.53 	0.51 p	: 
R_PN_WK,T,IT	0.58 	0.58 	0.49 	0.51 	0.51 	0.53 	0.55 	0.59 	0.62 	0.64 	0.66 	0.69 	0.71 
R_PN_WK,T,LT	0.47 	0.44 	0.40 	0.43 	0.48 	0.58 	0.52 	0.45 	0.48 	0.45 	0.46 	0.45 	0.43 
R_PN_WK,T,LU	0.63 	0.66 	0.61 	0.58 	0.62 	0.68 	0.74 	0.79 	0.78 	0.85 	0.80 	0.88 b	0.86 
R_PN_WK,T,LV	0.61 	0.49 	0.38 	0.30 	0.34 	0.47 	0.53 	0.49 	0.47 	0.44 	0.42 	0.42 	0.43 
R_PN_WK,T,MK	: 	: 	: 	: 	: 	: 	: 	0.55 	0.60 	0.65 	0.70 	0.72 	: 
R_PN_WK,T,MT	0.47 	0.45 	0.47 	0.41 	0.45 	0.44 	0.48 	0.46 	0.56 	0.56 	0.54 	0.54 	0.56 
R_PN_WK,T,NL	0.43 	0.43 	0.43 	0.43 	0.44 	0.47 	0.46 	0.47 	0.47 	0.50 	0.52 	0.50 b	0.52 
