sector,finpos,co_nco,na_item,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
S12,LIAB,NCO,F2,PC,AT	627.3 	534.1 	448.1 	400.1 	349.6 	328.9 	349.2 	337.4 	313.6 	298.9 	214.7 	211.9 	204.6 	290.2 	237.3 	229.2 	245.6 	220.4 	204.9 	193.5 	182.7 	192.0 	189.0 
S12,LIAB,NCO,F2,PC,BE	481.6 	462.1 	375.9 	233.0 	240.2 	211.1 	209.8 	242.7 	241.7 	213.5 	213.8 	196.0 	194.5 	238.3 	201.6 	187.8 	189.8 	197.2 	189.9 	189.2 	175.8 	196.0 	194.1 
S12,LIAB,NCO,F2,PC,BG	653.8 	262.7 	563.9 	504.6 	531.5 	607.3 	737.7 	895.4 	539.7 	395.2 	305.1 	169.1 	215.0 	431.9 	385.9 	439.5 	413.0 	438.4 	450.2 	429.7 	506.7 	475.9 	524.4 
S12,LIAB,NCO,F2,PC,CY	2107.9 	1023.2 	1047.7 	990.5 	207.4 	330.5 	603.4 	615.0 	701.1 	1004.7 	679.4 	398.1 	360.4 	127.7 	147.7 	121.4 	138.1 	102.7 	90.9 	99.4 	78.5 	73.1 	75.0 
S12,LIAB,NCO,F2,PC,CZ	906.3 	990.8 	952.6 	1059.1 	979.0 	1019.2 	1204.2 	1377.8 	673.9 	625.0 	658.1 	668.2 	648.5 	759.0 	642.9 	567.4 	624.5 	540.6 	532.0 	498.7 	508.4 	501.2 	621.6 
S12,LIAB,NCO,F2,PC,DE	649.3 	618.6 	480.6 	465.3 	403.9 	437.5 	499.6 	661.6 	577.3 	583.6 	526.3 	494.0 	515.8 	758.1 	602.7 	563.2 	601.7 	522.1 	422.9 	398.2 	369.3 	367.7 	346.7 
S12,LIAB,NCO,F2,PC,DK	354.6 	298.0 	232.9 	203.3 	167.0 	149.4 	216.2 	269.2 	258.2 	248.1 	189.8 	176.8 	204.7 	316.4 	248.9 	217.5 	209.5 	208.5 	190.0 	170.0 	153.5 	158.6 	157.6 
S12,LIAB,NCO,F2,PC,EE	515.3 	268.9 	282.6 	540.9 	399.9 	246.8 	253.8 	230.9 	287.5 	229.5 	277.7 	420.2 	408.1 	445.6 	477.6 	409.5 	399.7 	369.5 	299.8 	312.7 	370.8 	362.1 	345.8 
S12,LIAB,NCO,F2,PC,EL	826.8 	659.1 	340.7 	243.2 	144.9 	217.6 	288.1 	385.1 	319.8 	298.4 	289.7 	287.5 	308.4 	1197.0 	955.1 	1655.0 	2908.7 	964.2 	854.5 	978.7 	1340.4 	1346.2 	1047.2 
S12,LIAB,NCO,F2,PC,ES	528.8 	395.3 	280.1 	242.8 	250.2 	269.5 	295.2 	353.8 	324.0 	311.9 	331.6 	337.2 	403.6 	615.8 	572.6 	647.4 	707.2 	781.3 	601.3 	490.6 	466.4 	452.5 	424.1 
