na_item,sector,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
GD,S13,MIO_NAC,FI	54351.4 	56457.7 	57858.0 	56414.1 	55912.4 	57926.2 	59186.6 	59661.0 	64870.0 	67697.0 	65759.0 	65894.0 	63425.0 	63254.0 	75482.0 	88160.0 	95490.0 	107708.0 	114801.0 	123696.0 	133206.0 	136150.0 	137278.0 
GD,S13,MIO_NAC,FR	683523.0 	751340.0 	794088.0 	829352.0 	847555.0 	870626.0 	897446.0 	956794.0 	1050356.0 	1123615.0 	1189919.0 	1194106.0 	1252867.0 	1370326.0 	1607985.0 	1701124.0 	1807959.0 	1892503.0 	1977697.0 	2039848.1 	2101221.2 	2188348.6 	2257764.9 
GD,S13,MIO_NAC,HR	: 	: 	: 	: 	: 	63983.1 	70835.5 	77412.4 	88522.8 	100897.7 	111028.6 	113670.3 	120044.4 	135489.0 	159895.4 	188617.0 	212828.1 	229740.0 	266622.9 	278369.7 	284206.2 	281741.9 	283317.7 
GD,S13,MIO_NAC,HU	4900605.0 	5072071.0 	5480415.0 	6285528.0 	6988670.0 	7377569.0 	8007848.0 	9656989.0 	11078541.0 	12389858.0 	13643767.0 	15635158.0 	16813307.0 	19465604.0 	20569410.0 	21847404.0 	22780457.0 	22556631.0 	23334879.0 	24975014.0 	26336529.0 	26912197.0 	28095477.0 
GD,S13,MIO_NAC,IE	43060.7 	42063.9 	42735.4 	41352.7 	43212.9 	39096.3 	40538.4 	41538.4 	43564.4 	44055.8 	44379.0 	43692.4 	47147.8 	79621.0 	104685.5 	144229.9 	189728.8 	210022.3 	215337.8 	203355.4 	201624.1 	200677.8 	201289.9 
GD,S13,MIO_NAC,IT	1151539.0 	1213535.2 	1239878.5 	1258222.6 	1285054.1 	1302548.0 	1360285.4 	1371679.2 	1397460.4 	1449656.6 	1518639.7 	1588072.3 	1606203.2 	1671400.8 	1770229.7 	1851816.9 	1908003.8 	1990129.7 	2070253.8 	2137322.0 	2173402.7 	2219581.2 	2263479.2 
GD,S13,MIO_NAC,LT	894.5 	1351.5 	1802.2 	2153.7 	2885.6 	3139.9 	3249.8 	3365.4 	3394.7 	3404.5 	3701.9 	4151.9 	4609.7 	4762.1 	7528.5 	10150.4 	11629.2 	13264.1 	13550.6 	14827.1 	15939.5 	15515.4 	16614.1 
GD,S13,MIO_NAC,LU	1520.0 	1580.9 	1624.9 	1624.8 	1627.4 	1672.2 	1736.6 	1768.3 	1817.9 	2051.9 	2217.1 	2630.1 	2868.2 	5684.6 	5815.7 	7951.0 	8074.5 	9699.7 	11009.6 	11330.5 	11446.9 	11024.4 	12697.1 
GD,S13,MIO_NAC,LV	563.6 	620.1 	574.3 	542.7 	757.0 	829.2 	1032.5 	1093.4 	1311.4 	1550.8 	1552.0 	1634.5 	1817.9 	4426.8 	6738.7 	8401.5 	8662.8 	9020.0 	8892.7 	9668.5 	8953.3 	10091.6 	10806.8 
GD,S13,MIO_NAC,MT	1044.9 	1236.0 	1582.2 	1841.5 	2361.1 	2519.2 	2781.0 	2851.6 	3285.6 	3489.8 	3606.4 	3472.9 	3584.6 	3837.0 	4152.7 	4452.1 	4796.6 	4855.1 	5226.6 	5390.0 	5585.5 	5734.9 	5670.6 
GD,S13,MIO_NAC,NL	240962.0 	245950.0 	242791.0 	247173.0 	245746.0 	235427.0 	238329.0 	244564.0 	256381.0 	266230.0 	274420.0 	264268.0 	266215.0 	354022.0 	354795.0 	378789.0 	401269.0 	432428.0 	446944.0 	455706.0 	446058.0 	438418.0 	419778.0 
GD,S13,MIO_NAC,PL	163971.0 	182860.0 	220697.0 	232934.0 	262437.0 	272317.0 	291181.0 	338665.0 	394100.0 	420282.0 	459985.0 	502261.0 	524400.0 	595380.0 	678328.0 	767844.0 	847708.0 	875260.0 	922755.0 	867345.0 	923206.0 	1009216.0 	1005688.0 
GD,S13,MIO_NAC,PT	51913.1 	56149.2 	56484.8 	57727.9 	61074.6 	64640.5 	72554.2 	80133.6 	85726.1 	94454.1 	106919.5 	115002.2 	120088.5 	128191.4 	146691.3 	173062.5 	196231.4 	212556.0 	219714.8 	226040.5 	231512.6 	240962.6 	242804.5 
GD,S13,MIO_NAC,RO	503.2 	1209.7 	3840.2 	6217.5 	11974.5 	18185.6 	30368.5 	37795.0 	42431.7 	46356.8 	45625.7 	42583.4 	50954.4 	66814.7 	116225.3 	157410.4 	191035.3 	219761.5 	238882.3 	262195.3 	269151.3 	285553.1 	301158.5 
GD,S13,MIO_NAC,SE	1309923.0 	1351003.0 	1364248.0 	1417196.0 	1371032.0 	1209595.0 	1296008.0 	1293116.0 	1332063.0 	1371971.0 	1429434.0 	1363126.0 	1294142.0 	1279954.0 	1361160.0 	1360305.0 	1384883.0 	1403632.0 	1535220.0 	1791624.0 	1856324.0 	1857761.0 	1869507.0 
GD,S13,MIO_NAC,SI	1926.4 	2619.1 	3052.1 	3489.5 	4084.5 	4886.3 	5511.6 	6442.4 	6856.3 	7429.1 	7682.8 	8204.4 	8025.1 	8274.5 	12527.1 	13907.4 	17203.6 	19404.0 	25504.9 	30219.9 	32087.4 	31753.4 	31859.1 
GD,S13,MIO_NAC,SK	4266.3 	6695.3 	8052.4 	9028.7 	13440.2 	15681.7 	16565.6 	15986.4 	17219.5 	18735.3 	17201.2 	17430.5 	18979.8 	19493.7 	23236.8 	27842.3 	30846.9 	37925.7 	40600.0 	40725.0 	41295.0 	42053.2 	43229.8 
GD,S13,MIO_NAC,UK	378245.0 	400253.0 	411845.0 	408217.0 	410732.0 	403133.0 	387617.0 	406983.0 	445516.0 	506689.0 	552591.0 	596771.0 	643457.0 	784963.0 	979797.0 	1194338.0 	1328779.0 	1424798.0 	1499789.0 	1604788.0 	1665979.0 	1731392.0 	1786069.0 
GD,S13,PC_GDP,AT	68.3 	68.3 	63.5 	63.9 	66.7 	66.1 	66.7 	66.7 	65.9 	65.2 	68.6 	67.3 	65.0 	68.7 	79.9 	82.7 	82.4 	81.9 	81.3 	84.0 	84.8 	83.0 	78.3 
GD,S13,PC_GDP,BE	130.5 	128.0 	123.2 	118.2 	114.4 	108.8 	107.6 	104.7 	101.1 	96.5 	94.7 	91.1 	87.0 	92.5 	99.5 	99.7 	102.6 	104.3 	105.5 	107.6 	106.5 	106.1 	103.4 
GD,S13,PC_GDP,BG	: 	: 	97.1 	67.9 	75.9 	71.2 	65.0 	51.4 	43.7 	36.0 	26.8 	21.0 	16.3 	13.0 	13.7 	15.3 	15.2 	16.7 	17.1 	27.1 	26.2 	29.6 	25.6 
GD,S13,PC_GDP,CY	49.0 	50.3 	54.1 	55.7 	55.8 	55.7 	57.3 	60.5 	63.8 	64.8 	63.4 	59.3 	54.0 	45.6 	54.3 	56.8 	66.2 	80.1 	103.1 	108.0 	108.0 	105.5 	96.1 
GD,S13,PC_GDP,CZ	13.7 	11.6 	12.3 	14.0 	15.3 	17.0 	22.8 	25.9 	28.3 	28.5 	27.9 	27.7 	27.5 	28.3 	33.6 	37.4 	39.8 	44.5 	44.9 	42.2 	40.0 	36.8 	34.7 
GD,S13,PC_GDP,DE	54.8 	57.6 	58.7 	59.4 	60.0 	58.9 	57.7 	59.4 	63.1 	64.8 	67.0 	66.5 	63.7 	65.2 	72.6 	81.0 	78.6 	79.9 	77.4 	74.5 	70.8 	67.9 	63.9 
GD,S13,PC_GDP,DK	: 	: 	: 	: 	: 	52.4 	48.5 	49.1 	46.2 	44.2 	37.4 	31.5 	27.3 	33.3 	40.2 	42.6 	46.1 	44.9 	44.0 	44.3 	39.9 	37.9 	36.1 
GD,S13,PC_GDP,EE	8.2 	7.5 	7.0 	6.0 	6.5 	5.1 	4.8 	5.7 	5.6 	5.1 	4.5 	4.4 	3.7 	4.5 	7.0 	6.6 	6.1 	9.7 	10.2 	10.5 	9.9 	9.2 	8.7 
GD,S13,PC_GDP,EL	99.0 	101.3 	99.5 	97.4 	98.9 	104.9 	107.1 	104.9 	101.5 	102.9 	107.4 	103.6 	103.1 	109.4 	126.7 	146.2 	172.1 	159.6 	177.4 	178.9 	175.9 	178.5 	176.1 
GD,S13,PC_GDP,ES	61.7 	65.6 	64.4 	62.5 	60.9 	58.0 	54.2 	51.3 	47.6 	45.3 	42.3 	38.9 	35.6 	39.5 	52.8 	60.1 	69.5 	85.7 	95.5 	100.4 	99.3 	99.0 	98.1 
GD,S13,PC_GDP,FI	55.1 	55.3 	52.2 	46.9 	44.1 	42.5 	41.0 	40.2 	42.8 	42.7 	40.0 	38.2 	34.0 	32.7 	41.7 	47.1 	48.5 	53.9 	56.5 	60.2 	63.6 	63.0 	61.3 
GD,S13,PC_GDP,FR	56.1 	60.0 	61.4 	61.3 	60.5 	58.9 	58.3 	60.3 	64.4 	65.9 	67.4 	64.6 	64.5 	68.8 	83.0 	85.3 	87.8 	90.6 	93.4 	94.9 	95.6 	98.2 	98.5 
GD,S13,PC_GDP,HR	: 	: 	: 	: 	: 	35.5 	36.5 	36.6 	38.1 	40.3 	41.2 	38.6 	37.2 	39.0 	48.3 	57.3 	63.8 	69.4 	80.4 	84.0 	83.7 	80.2 	77.5 
GD,S13,PC_GDP,HU	84.0 	71.2 	62.0 	60.1 	59.9 	55.3 	51.9 	55.3 	57.9 	58.7 	60.5 	64.5 	65.5 	71.6 	77.8 	80.2 	80.5 	78.4 	77.1 	76.6 	76.6 	75.9 	73.3 
GD,S13,PC_GDP,IE	78.5 	69.9 	61.6 	51.5 	46.6 	36.1 	33.2 	30.6 	29.9 	28.2 	26.1 	23.6 	23.9 	42.4 	61.5 	86.0 	110.9 	119.9 	119.7 	104.1 	76.8 	73.4 	68.4 
GD,S13,PC_GDP,IT	116.9 	116.3 	113.8 	110.8 	109.7 	105.1 	104.7 	101.9 	100.5 	100.1 	101.9 	102.6 	99.8 	102.4 	112.5 	115.4 	116.5 	123.4 	129.0 	131.8 	131.6 	131.4 	131.2 
GD,S13,PC_GDP,LT	11.5 	13.9 	15.4 	16.5 	22.7 	23.5 	22.9 	22.1 	20.4 	18.7 	17.6 	17.2 	15.9 	14.6 	28.0 	36.2 	37.2 	39.8 	38.8 	40.5 	42.6 	39.9 	39.4 
GD,S13,PC_GDP,LU	9.6 	9.5 	9.3 	8.9 	7.8 	7.2 	7.3 	7.0 	6.9 	7.3 	7.4 	7.8 	7.7 	14.9 	15.7 	19.8 	18.7 	22.0 	23.7 	22.7 	22.2 	20.7 	23.0 
GD,S13,PC_GDP,LV	13.9 	13.3 	10.6 	9.0 	12.1 	12.1 	13.8 	13.0 	13.7 	14.0 	11.4 	9.6 	8.0 	18.2 	35.8 	46.8 	42.7 	41.2 	39.0 	40.9 	36.8 	40.3 	40.0 
GD,S13,PC_GDP,MT	34.4 	38.7 	46.6 	51.2 	62.1 	60.9 	65.2 	63.2 	69.0 	71.9 	70.0 	64.5 	62.3 	62.6 	67.6 	67.5 	70.1 	67.7 	68.4 	63.7 	58.6 	56.3 	50.9 
GD,S13,PC_GDP,NL	73.1 	71.4 	65.8 	62.7 	58.6 	52.1 	49.5 	48.8 	50.0 	50.3 	49.8 	45.2 	43.0 	54.7 	56.8 	59.3 	61.7 	66.2 	67.7 	67.9 	64.6 	61.9 	57.0 
GD,S13,PC_GDP,PL	47.6 	42.4 	42.3 	38.4 	39.0 	36.5 	37.3 	41.8 	46.6 	45.0 	46.4 	46.9 	44.2 	46.3 	49.4 	53.1 	54.1 	53.7 	55.7 	50.4 	51.3 	54.2 	50.6 
GD,S13,PC_GDP,PT	58.3 	59.5 	55.2 	51.8 	51.0 	50.3 	53.4 	56.2 	58.7 	62.0 	67.4 	69.2 	68.4 	71.7 	83.6 	96.2 	111.4 	126.2 	129.0 	130.6 	128.8 	129.2 	124.8 
GD,S13,PC_GDP,RO	6.6 	10.6 	14.9 	16.7 	21.6 	22.4 	25.7 	24.8 	21.3 	18.6 	15.7 	12.3 	11.9 	12.4 	22.1 	29.7 	34.0 	36.9 	37.6 	39.2 	37.8 	37.3 	35.1 
GD,S13,PC_GDP,SE	69.5 	69.8 	67.5 	66.7 	61.2 	50.7 	52.2 	50.2 	49.7 	48.9 	49.1 	43.9 	39.2 	37.7 	41.3 	38.6 	37.8 	38.1 	40.7 	45.5 	44.2 	42.4 	40.8 
GD,S13,PC_GDP,SI	18.3 	21.6 	22.1 	22.8 	23.7 	25.9 	26.1 	27.3 	26.7 	26.8 	26.3 	26.0 	22.8 	21.8 	34.6 	38.4 	46.6 	53.8 	70.4 	80.4 	82.6 	78.7 	74.1 
GD,S13,PC_GDP,SK	21.7 	30.5 	33.0 	33.9 	47.1 	49.6 	48.3 	42.9 	41.6 	40.6 	34.1 	31.0 	30.1 	28.5 	36.3 	41.2 	43.7 	52.2 	54.7 	53.5 	52.2 	51.8 	50.9 
GD,S13,PC_GDP,UK	44.7 	44.3 	43.4 	41.2 	39.8 	37.0 	34.3 	34.4 	35.6 	38.6 	39.8 	40.7 	41.7 	49.7 	63.7 	75.2 	80.8 	84.1 	85.2 	87.0 	87.9 	87.9 	87.4 
